xflr5 v6.47

VTOL_SINGLE_W1_FX63137_2020
T1-25.0 m/s-Panel-0.0kg-x0.0m-Inviscid
QInf  =   25.000000 m/s
Alpha =   20.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    2.390595
Cy    =    0.000000
Cd    =    0.156097     ICd   =    0.156097     PCd   =    0.000000
Cl   = 2.87936e-15
Cm   =   -0.764391
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.059476     YCP   =   -0.000000     ZCP   =    0.013224  
XNP   =    0.000000
Bending =   89.889536

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -1.1306     0.1421   -12.166    0.444224    0.000000    0.095766   -0.221966   -0.064502     0.0000    0.0000    0.3609    0.0000
   -1.1248     0.1427    -9.996    0.750838    0.000000    0.132344   -0.286915   -0.078727     0.0000    0.0000    0.3428    0.0004
   -1.1133     0.1439    -8.374    1.052033    0.000000    0.154857   -0.329849   -0.065638     0.0000    0.0000    0.3038    0.0054
   -1.0961     0.1456    -7.815    1.330426    0.000000    0.182589   -0.418511   -0.085654     0.0000    0.0000    0.3047    0.0277
   -1.0734     0.1480    -7.483    1.574614    0.000000    0.206816   -0.509202   -0.111925     0.0000    0.0000    0.3105    0.0919
   -1.0452     0.1508    -6.458    1.768567    0.000000    0.200184   -0.577276   -0.127729     0.0000    0.0000    0.3110    0.2379
   -1.0116     0.1542    -5.642    1.924074    0.000000    0.190066   -0.631474   -0.139476     0.0000    0.0000    0.3106    0.5206
   -0.9729     0.1582    -4.974    2.046579    0.000000    0.178124   -0.673657   -0.148017     0.0000    0.0000    0.3100    1.0109
   -0.9293     0.1626    -4.437    2.141378    0.000000    0.166170   -0.705882   -0.154120     0.0000    0.0000    0.3093    1.7940
   -0.8809     0.1675    -4.017    2.213446    0.000000    0.155458   -0.730096   -0.158431     0.0000    0.0000    0.3086    2.9688
   -0.8280     0.1729    -3.700    2.267098    0.000000    0.146603   -0.747952   -0.161453     0.0000    0.0000    0.3080    4.6450
   -0.7709     0.1787    -3.470    2.305904    0.000000    0.139827   -0.760767   -0.163536     0.0000    0.0000    0.3076    6.9417
   -0.7098     0.1849    -3.315    2.332713    0.000000    0.135135   -0.769569   -0.164927     0.0000    0.0000    0.3073    9.9836
   -0.6452     0.1915    -3.225    2.349717    0.000000    0.132405   -0.775124   -0.165794     0.0000    0.0000    0.3071   13.8985
   -0.5773     0.1984    -3.191    2.358554    0.000000    0.131499   -0.777996   -0.166250     0.0000    0.0000    0.3070   18.8135
   -0.5064     0.2056    -3.207    2.360382    0.000000    0.132273   -0.778565   -0.166361     0.0000    0.0000    0.3069   24.8513
   -0.4329     0.2130    -3.270    2.355950    0.000000    0.134614   -0.777054   -0.166144     0.0000    0.0000    0.3070   32.1258
   -0.3573     0.2207    -3.379    2.345661    0.000000    0.138504   -0.773567   -0.165601     0.0000    0.0000    0.3071   40.7383
   -0.2798     0.2286    -3.537    2.329539    0.000000    0.144009   -0.768029   -0.164680     0.0000    0.0000    0.3073   50.7724
   -0.2009     0.2366    -3.755    2.307160    0.000000    0.151415   -0.760114   -0.163196     0.0000    0.0000    0.3075   62.2902
   -0.1209     0.2447    -4.057    2.277346    0.000000    0.161534   -0.748969   -0.160704     0.0000    0.0000    0.3075   75.3275
   -0.0404     0.2529    -4.540    2.236980    0.000000    0.177632   -0.732144   -0.155776     0.0000    0.0000    0.3067   89.8895
    0.0404     0.2529    -4.540    2.236980    0.000000    0.177632   -0.732144   -0.155776     0.0000    0.0000    0.3067   89.8895
    0.1209     0.2447    -4.057    2.277346    0.000000    0.161534   -0.748969   -0.160704     0.0000    0.0000    0.3075   75.3275
    0.2009     0.2366    -3.755    2.307160    0.000000    0.151415   -0.760114   -0.163196     0.0000    0.0000    0.3075   62.2902
    0.2798     0.2286    -3.537    2.329539    0.000000    0.144009   -0.768029   -0.164680     0.0000    0.0000    0.3073   50.7724
    0.3573     0.2207    -3.379    2.345661    0.000000    0.138504   -0.773567   -0.165601     0.0000    0.0000    0.3071   40.7383
    0.4329     0.2130    -3.270    2.355950    0.000000    0.134614   -0.777054   -0.166144     0.0000    0.0000    0.3070   32.1258
    0.5064     0.2056    -3.207    2.360382    0.000000    0.132273   -0.778565   -0.166361     0.0000    0.0000    0.3069   24.8513
    0.5773     0.1984    -3.191    2.358554    0.000000    0.131499   -0.777996   -0.166250     0.0000    0.0000    0.3070   18.8135
    0.6452     0.1915    -3.225    2.349717    0.000000    0.132405   -0.775124   -0.165794     0.0000    0.0000    0.3071   13.8985
    0.7098     0.1849    -3.315    2.332713    0.000000    0.135135   -0.769569   -0.164927     0.0000    0.0000    0.3073    9.9836
    0.7709     0.1787    -3.470    2.305904    0.000000    0.139827   -0.760767   -0.163536     0.0000    0.0000    0.3076    6.9417
    0.8280     0.1729    -3.700    2.267098    0.000000    0.146603   -0.747952   -0.161453     0.0000    0.0000    0.3080    4.6450
    0.8809     0.1675    -4.017    2.213446    0.000000    0.155458   -0.730096   -0.158431     0.0000    0.0000    0.3086    2.9688
    0.9293     0.1626    -4.437    2.141378    0.000000    0.166170   -0.705882   -0.154120     0.0000    0.0000    0.3093    1.7940
    0.9729     0.1582    -4.974    2.046579    0.000000    0.178124   -0.673657   -0.148017     0.0000    0.0000    0.3100    1.0109
    1.0116     0.1542    -5.642    1.924074    0.000000    0.190066   -0.631474   -0.139476     0.0000    0.0000    0.3106    0.5206
    1.0452     0.1508    -6.458    1.768567    0.000000    0.200184   -0.577276   -0.127729     0.0000    0.0000    0.3110    0.2379
    1.0734     0.1480    -7.483    1.574614    0.000000    0.206816   -0.509202   -0.111925     0.0000    0.0000    0.3105    0.0919
    1.0961     0.1456    -7.815    1.330426    0.000000    0.182589   -0.418511   -0.085654     0.0000    0.0000    0.3047    0.0277
    1.1133     0.1439    -8.374    1.052033    0.000000    0.154857   -0.329849   -0.065638     0.0000    0.0000    0.3038    0.0054
    1.1248     0.1427    -9.996    0.750838    0.000000    0.132344   -0.286915   -0.078727     0.0000    0.0000    0.3428    0.0004
    1.1306     0.1421   -12.166    0.444224    0.000000    0.095766   -0.221966   -0.064502     0.0000    0.0000    0.3609    0.0000











