xflr5 v6.47

VTOL_SINGLE_W1_FX63137_2020
T1-25.0 m/s-Panel-0.0kg-x0.0m-Inviscid
QInf  =   25.000000 m/s
Alpha =   20.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    2.390595
Cy    =    0.000000
Cd    =    0.156097     ICd   =    0.156097     PCd   =    0.000000
Cl   = 2.87936e-15
Cm   =   -0.764391
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.059476     YCP   =   -0.000000     ZCP   =    0.013224  
XNP   =    0.000000
Bending =   89.889536

Main Wing Cp Coefficients
 Panel     CtrlPt.x        CtrlPt.y        CtrlPt.z       Nx      Ny       Nz        Area       Cp
Main WingCp Coefficients
Strip 1
  11       1.407e-01      -1.131e+00       5.066e-04          -0.332           0.034          -0.943       8.810e-06         -4.2087
  12       1.351e-01      -1.131e+00       1.912e-03          -0.209           0.022          -0.978       2.480e-05         -4.9480
  13       1.242e-01      -1.131e+00       3.346e-03          -0.080           0.010          -0.997       3.835e-05         -4.1794
  14       1.091e-01      -1.131e+00       3.680e-03           0.024           0.001          -1.000       4.911e-05         -2.3927
  15       9.088e-02      -1.131e+00       2.576e-03           0.093          -0.004          -0.996       5.624e-05         -1.1596
  16       7.105e-02      -1.131e+00       4.424e-04           0.121          -0.006          -0.993       5.880e-05         -0.5996
  17       5.123e-02      -1.131e+00      -1.678e-03           0.091          -0.005          -0.996       5.624e-05         -0.3235
  18       3.301e-02      -1.131e+00      -2.895e-03           0.038          -0.003          -0.999       4.914e-05         -0.1213
  19       1.787e-02      -1.131e+00      -3.093e-03          -0.019          -0.002          -1.000       3.823e-05          0.0875
  20       7.039e-03      -1.131e+00      -2.437e-03          -0.125          -0.001          -0.992       2.444e-05          0.4118
  21       1.396e-03      -1.131e+00      -7.678e-04          -0.621           0.000          -0.784       1.060e-05          0.7707
  22       1.396e-03      -1.131e+00       2.964e-03          -0.874          -0.000           0.486       1.709e-05         -1.6614
  23       7.039e-03      -1.131e+00       7.995e-03          -0.502          -0.002           0.865       2.804e-05         -1.6189
  24       1.787e-02      -1.131e+00       1.247e-02          -0.294          -0.005           0.956       3.999e-05         -1.1265
  25       3.301e-02      -1.131e+00       1.571e-02          -0.140          -0.008           0.990       4.959e-05         -0.9043
  26       5.123e-02      -1.131e+00       1.702e-02          -0.012          -0.012           1.000       5.601e-05         -0.8174
  27       7.105e-02      -1.131e+00       1.620e-02           0.092          -0.016           0.996       5.862e-05         -0.8959
  28       9.088e-02      -1.131e+00       1.348e-02           0.180          -0.021           0.983       5.695e-05         -1.3281
  29       1.091e-01      -1.131e+00       9.674e-03           0.231          -0.025           0.973       5.048e-05         -2.5310
  30       1.242e-01      -1.131e+00       5.869e-03           0.259          -0.027           0.965       3.959e-05         -4.4607
  31       1.351e-01      -1.131e+00       2.706e-03           0.312          -0.032           0.949       2.554e-05         -5.8232
  32       1.407e-01      -1.131e+00       6.618e-04           0.417          -0.042           0.908       9.150e-06         -6.5824
Strip 2
  33       1.413e-01      -1.125e+00       5.087e-04          -0.332           0.034          -0.943       2.649e-05         -2.0648
  34       1.356e-01      -1.125e+00       1.920e-03          -0.209           0.022          -0.978       7.458e-05         -2.2838
  35       1.247e-01      -1.125e+00       3.359e-03          -0.080           0.010          -0.997       1.153e-04         -1.9030
  36       1.095e-01      -1.125e+00       3.695e-03           0.024           0.001          -1.000       1.477e-04         -1.1823
  37       9.125e-02      -1.125e+00       2.587e-03           0.093          -0.004          -0.996       1.691e-04         -0.6485
  38       7.134e-02      -1.125e+00       4.442e-04           0.121          -0.006          -0.993       1.768e-04         -0.3663
  39       5.144e-02      -1.125e+00      -1.685e-03           0.091          -0.005          -0.996       1.691e-04         -0.1810
  40       3.314e-02      -1.125e+00      -2.907e-03           0.038          -0.003          -0.999       1.478e-04          0.0053
  41       1.794e-02      -1.125e+00      -3.106e-03          -0.019          -0.002          -1.000       1.150e-04          0.2359
  42       7.068e-03      -1.125e+00      -2.448e-03          -0.125          -0.001          -0.992       7.348e-05          0.6070
  43       1.402e-03      -1.125e+00      -7.710e-04          -0.621           0.000          -0.784       3.188e-05          0.7685
  44       1.402e-03      -1.125e+00       2.976e-03          -0.874          -0.000           0.486       5.140e-05         -2.3271
  45       7.068e-03      -1.125e+00       8.028e-03          -0.502          -0.002           0.865       8.432e-05         -2.0242
  46       1.794e-02      -1.125e+00       1.253e-02          -0.294          -0.005           0.956       1.203e-04         -1.3677
  47       3.314e-02      -1.125e+00       1.578e-02          -0.140          -0.008           0.990       1.491e-04         -1.0398
  48       5.144e-02      -1.125e+00       1.709e-02          -0.012          -0.012           1.000       1.684e-04         -0.8551
  49       7.134e-02      -1.125e+00       1.626e-02           0.092          -0.016           0.996       1.763e-04         -0.8157
  50       9.125e-02      -1.125e+00       1.353e-02           0.180          -0.021           0.983       1.713e-04         -1.0109
  51       1.095e-01      -1.125e+00       9.714e-03           0.231          -0.025           0.973       1.518e-04         -1.5890
  52       1.247e-01      -1.125e+00       5.893e-03           0.259          -0.027           0.965       1.191e-04         -2.4251
  53       1.356e-01      -1.125e+00       2.717e-03           0.312          -0.032           0.949       7.679e-05         -2.9752
  54       1.413e-01      -1.125e+00       6.646e-04           0.417          -0.042           0.908       2.752e-05         -3.1985
Strip 3
  55       1.424e-01      -1.113e+00       5.128e-04          -0.332           0.034          -0.943       4.437e-05         -0.2810
  56       1.367e-01      -1.113e+00       1.935e-03          -0.209           0.022          -0.978       1.249e-04         -0.2670
  57       1.258e-01      -1.113e+00       3.387e-03          -0.080           0.010          -0.997       1.931e-04         -0.1995
  58       1.104e-01      -1.113e+00       3.726e-03           0.024           0.001          -1.000       2.473e-04         -0.1644
  59       9.200e-02      -1.113e+00       2.608e-03           0.093          -0.004          -0.996       2.832e-04         -0.1147
  60       7.193e-02      -1.113e+00       4.478e-04           0.121          -0.006          -0.993       2.961e-04         -0.0551
  61       5.186e-02      -1.113e+00      -1.699e-03           0.091          -0.005          -0.996       2.832e-04          0.0397
  62       3.341e-02      -1.113e+00      -2.930e-03           0.038          -0.003          -0.999       2.474e-04          0.2056
  63       1.809e-02      -1.113e+00      -3.132e-03          -0.019          -0.002          -1.000       1.925e-04          0.4590
  64       7.126e-03      -1.113e+00      -2.468e-03          -0.125          -0.001          -0.992       1.231e-04          0.8369
  65       1.413e-03      -1.113e+00      -7.773e-04          -0.621           0.000          -0.784       5.338e-05          0.5996
  66       1.413e-03      -1.113e+00       3.000e-03          -0.874          -0.000           0.486       8.608e-05         -3.2832
  67       7.126e-03      -1.113e+00       8.094e-03          -0.502          -0.002           0.865       1.412e-04         -2.5670
  68       1.809e-02      -1.113e+00       1.263e-02          -0.294          -0.005           0.956       2.014e-04         -1.7013
  69       3.341e-02      -1.113e+00       1.591e-02          -0.140          -0.008           0.990       2.497e-04         -1.2440
  70       5.186e-02      -1.113e+00       1.723e-02          -0.012          -0.012           1.000       2.820e-04         -0.9362
