VTOL_DOUBLE_wing&VTP
Tandem_W&VTP_T1-26.0 m/s-LLT-x0.0m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15      0.30173     0.032544     0.019246     0.013297     -0.10294     -0.43713     0.001401     -0.43853   -0.0048675   -0.0074064  -0.00047557   -0.0069308       9.2715       5.0928       1.8205       66.096       7.1289      -3.0264      -22.549       66.096      -6.0417      -22.548       68.872            0            0            0        25.85            0           26        6.156      -2.7169      -20.128      -4.1339        0.293    -0.087752     0.012561        18.55            0       185.35      0.17759     0.088407            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0        -14.5      0.30303     0.031862     0.019222      0.01264    -0.099811     -0.43725    0.0013783     -0.43862   -0.0047197   -0.0071805  -0.00046027   -0.0067203       9.5109       5.2356       1.8166       66.382       6.9796      -2.7944      -21.864       66.382      -5.6542      -21.863        68.98            0            0            0       25.857            0           26       6.0022      -2.6343      -20.133      -4.0079       0.2926    -0.084719     0.012123       18.555            0       181.47      0.18844     0.088669            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0          -14       0.3043     0.031195     0.019195     0.012001    -0.096653     -0.43736    0.0013538     -0.43872   -0.0045703   -0.0069525  -0.00044489   -0.0065076       9.7546        5.381       1.8128       66.659       6.8336      -2.5696      -21.173       66.659      -5.2786      -21.171       69.085            0            0            0       25.864            0           26       5.8533       -2.551      -20.139      -3.8806      0.29222    -0.081698     0.011703       18.556            0       177.67      0.20015     0.088923            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0        -13.5      0.30552     0.030545     0.019166     0.011379    -0.093466     -0.43748    0.0013271     -0.43881   -0.0044196   -0.0067223  -0.00042924   -0.0062931       10.003       5.5288       1.8092       66.927       6.6911      -2.3521      -20.474       66.927      -4.9152      -20.473       69.186            0            0            0       25.871            0           26       5.7092      -2.4669      -20.144      -3.7521      0.29186    -0.078687     0.011299       18.555            0       173.97      0.21279     0.089169            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0          -13      0.30671     0.029912     0.019137     0.010775    -0.090251      -0.4376    0.0012999      -0.4389   -0.0042676   -0.0064901  -0.00041352   -0.0060765       10.254       5.6787       1.8057       67.187       6.5523      -2.1418       -19.77       67.187       -4.564      -19.769       69.284            0            0            0       25.877            0           26       5.5701       -2.382      -20.149      -3.6225       0.2915    -0.075687     0.010912        18.55            0       170.36      0.22646     0.089406            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0        -12.5      0.30785     0.029289     0.019098      0.01019    -0.087007     -0.43771    0.0012719     -0.43898   -0.0041142   -0.0062556  -0.00039737   -0.0058582       10.511       5.8319       1.8023       67.437       6.4159       -1.939       -19.06       67.437      -4.2251      -19.058       69.379            0            0            0       25.883            0           26       5.4347      -2.2964      -20.154      -3.4916      0.29117    -0.072696     0.010542       18.543            0       166.81      0.24124     0.089636            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0          -12      0.30895     0.028685     0.019061    0.0096244    -0.083738     -0.43782    0.0012434     -0.43906   -0.0039596   -0.0060193  -0.00038124    -0.005638        10.77       5.9865       1.7991       67.678       6.2837      -1.7436      -18.343       67.678      -3.8988      -18.342       69.469            0            0            0       25.889            0           26       5.3046      -2.2101       -20.16      -3.3597      0.29084    -0.069715     0.010188       18.533            0       163.38      0.25725     0.089856            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0        -11.5      0.31001     0.028101     0.019023    0.0090783    -0.080443     -0.43792    0.0012144     -0.43914   -0.0038038   -0.0057813  -0.00036509   -0.0054162       11.032       6.1424        1.796       67.909       6.1557      -1.5557      -17.621       67.909      -3.5849       -17.62       69.557            0            0            0       25.894            0           26       5.1795      -2.1231      -20.164      -3.2269      0.29054    -0.066743    0.0098496        18.52            0       160.05       0.2746     0.090069            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0          -11      0.31102     0.027535     0.018983    0.0085523    -0.077123     -0.43803    0.0011846     -0.43921   -0.0036468   -0.0055415  -0.00034882   -0.0051927       11.295       6.2994       1.7931       68.132       6.0318      -1.3754      -16.894       68.132      -3.2837      -16.893       69.641            0            0            0       25.899            0           26       5.0593      -2.0355      -20.169       -3.093      0.29024     -0.06378    0.0095272       18.504            0       156.83       0.2934     0.090273            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0        -10.5      0.31199     0.026984     0.018937    0.0080467     -0.07378     -0.43813    0.0011539     -0.43929   -0.0034887   -0.0052998  -0.00033226   -0.0049676       11.562       6.4582       1.7903       68.345       5.9111      -1.2027      -16.162       68.345      -2.9953      -16.161       69.721            0            0            0       25.903            0           26       4.9432      -1.9473      -20.174      -2.9581      0.28997    -0.060825    0.0092203       18.485            0       153.69      0.31378     0.090468            0            0            0            0            0            0            0            0            0            0            0            0  
