VTOL_DOUBLE_canard_only
Tandem_canard_T1-26_0 m_s-LLT-x0_0505m.txt
Freestream speed = 26.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -15.5            0     -0.56556     0.053012     0.044175    0.0088364            0     -0.11015    0.0075416     -0.11769   7.5541e-19   1.6962e-19    1.214e-19   4.8217e-20      -10.669      -8.0233            0      -123.63       11.588      -31.178            0      -119.65            0            0            0            0            0            0       25.887            0           26      -5.3548   4.1988e-16      -5.0613   9.4281e-17   -0.0033235            0            0      -35.477            0        301.3      0.94092    0.0018797            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0          -15            0     -0.53356     0.049563      0.04167    0.0078928            0     -0.11283    0.0071183     -0.11995    3.831e-18   1.5963e-19    1.295e-19   3.0136e-20      -10.765      -7.8636            0      -116.64       10.835      -28.521            0      -113.11            0            0            0            0            0            0       25.889            0           26       -5.307   2.1294e-15      -5.1844    8.873e-17   -0.0069126            0            0       -33.45            0        281.7      0.93757    0.0036883            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0        -14.5            0     -0.50126     0.046593     0.039623    0.0069693            0     -0.11459    0.0067756     -0.12137   1.3705e-18   2.0986e-19   1.7671e-19   3.3149e-20      -10.758      -7.6169            0      -109.58       10.185      -25.961            0      -106.47            0            0            0            0            0            0       25.888            0           26      -5.3104   7.6178e-16      -5.2655   1.1665e-16    -0.010682            0            0      -31.431            0       264.81      0.93713    0.0053544            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0          -14            0     -0.46718     0.043932     0.037877    0.0060547            0     -0.11607    0.0064851     -0.12255   1.1223e-18    1.076e-19   1.1061e-19  -3.0136e-21      -10.634      -7.2685            0      -102.12       9.6035      -23.422            0      -99.411            0            0            0            0            0            0       25.886            0           26      -5.3721   6.2382e-16      -5.3333   5.9807e-17     -0.01513            0            0      -29.286            0       249.69      0.93698    0.0070684            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0        -13.5            0     -0.43059     0.041545     0.036405    0.0051398            0     -0.11743    0.0062414     -0.12367   1.1331e-18   8.4969e-20   5.9353e-20   2.5615e-20      -10.364      -6.8011            0      -94.127       9.0817      -20.881            0      -91.788            0            0            0            0            0            0        25.88            0           26       -5.511   6.2982e-16      -5.3958   4.7228e-17    -0.020667            0            0      -26.977            0       236.12      0.93764     0.008899            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0          -13            0     -0.39314     0.039387     0.035096    0.0042916            0     -0.11864    0.0060237     -0.12466   5.2879e-19   1.2628e-19   1.1196e-19   1.4314e-20      -9.9814      -6.2584            0       -85.94       8.6101      -18.418            0      -83.949            0            0            0            0            0            0        25.87            0           26      -5.7212   2.9392e-16      -5.4515   7.0189e-17     -0.02735            0            0      -24.617            0       223.86      0.93613     0.010752            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0        -12.5            0     -0.35723     0.037337     0.033799    0.0035383            0      -0.1198    0.0058125     -0.12561   1.2302e-18   5.9389e-20   5.2609e-20   6.7805e-21      -9.5676      -5.7184            0       -78.09       8.1619      -16.147            0      -76.406            0            0            0            0            0            0       25.859            0           26      -5.9669    6.838e-16      -5.5048    3.301e-17    -0.035047            0            0      -22.325            0       212.21      0.93746      0.01252            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0          -12            0     -0.32174     0.035391     0.032512    0.0028792            0     -0.12099    0.0056012      -0.1266   9.4965e-19   7.7898e-20   7.1494e-20   6.4038e-21      -9.0909      -5.1565            0      -70.332       7.7365      -14.007            0      -68.926            0            0            0            0            0            0       25.844            0           26      -6.2773   5.2785e-16      -5.5596   4.3298e-17    -0.044456            0            0      -20.082            0       201.15      0.93452     0.014303            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0        -11.5            0     -0.28959     0.033543      0.03121    0.0023331            0     -0.12139    0.0053855     -0.12677   1.7266e-19    6.532e-20   5.6656e-20    8.664e-21      -8.6333      -4.6459            0      -63.304       7.3326      -12.121            0      -62.135            0            0            0            0            0            0       25.827            0           26      -6.6072   9.5973e-17      -5.5777   3.6307e-17    -0.054398            0            0      -18.046            0       190.65      0.93431     0.015753            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0          -11            0     -0.25984      0.03172     0.029856    0.0018647            0     -0.12164    0.0051586      -0.1268   1.2734e-18   6.8451e-20   2.0234e-20   4.8217e-20      -8.1916      -4.1756            0      -56.801       6.9341      -10.438            0      -55.835            0            0            0            0            0            0       25.808            0           26        -6.96    7.078e-16      -5.5894   3.8047e-17    -0.065693            0            0      -16.166            0       180.29      0.94115      0.01707            0            0            0            0            0            0            0            0            0            0       0.0505            0  
