VTOL_DOUBLE_W1_only
Tandel_wing_T1-26.0 m/s-LLT-x0.0505m
Freestream speed = 26.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -15.5            0     -0.56556     0.053012     0.044175    0.0088364            0     -0.11943            0     -0.11943   7.5383e-19   1.6927e-19   1.2115e-19   4.8117e-20      -10.669      -8.0233            0      -123.89       11.613      -31.243            0       -119.9            0            0            0            0            0            0       25.887            0           26      -5.3548   4.2076e-16      -5.4992   9.4478e-17   -0.0033235            0            0      -35.477            0       301.93      0.93896    0.0018797            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0          -15            0     -0.53356     0.049563      0.04167    0.0078928            0     -0.12149            0     -0.12149    3.823e-18    1.593e-19   1.2923e-19   3.0073e-20      -10.765      -7.8636            0      -116.88       10.857      -28.581            0      -113.35            0            0            0            0            0            0       25.889            0           26       -5.307   2.1338e-15      -5.5942   8.8915e-17   -0.0069126            0            0       -33.45            0       282.29      0.93562    0.0036883            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0        -14.5            0     -0.50126     0.046593     0.039623    0.0069693            0     -0.12273            0     -0.12273   1.3677e-18   2.0942e-19   1.7634e-19    3.308e-20      -10.758      -7.6169            0       -109.8       10.206      -26.015            0      -106.69            0            0            0            0            0            0       25.888            0           26      -5.3104   7.6337e-16      -5.6513   1.1689e-16    -0.010682            0            0      -31.431            0       265.37      0.93518    0.0053544            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0          -14            0     -0.46718     0.043932     0.037877    0.0060547            0     -0.12374            0     -0.12374     1.12e-18   1.0738e-19   1.1038e-19  -3.0073e-21      -10.634      -7.2685            0      -102.34       9.6236      -23.471            0      -99.619            0            0            0            0            0            0       25.886            0           26      -5.3721   6.2512e-16      -5.6977   5.9932e-17     -0.01513            0            0      -29.286            0       250.21      0.93503    0.0070684            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0        -13.5            0     -0.43059     0.041545     0.036405    0.0051398            0     -0.12468            0     -0.12468   1.1307e-18   8.4792e-20    5.923e-20   2.5562e-20      -10.364      -6.8011            0      -94.323       9.1006      -20.925            0       -91.98            0            0            0            0            0            0        25.88            0           26       -5.511   6.3114e-16      -5.7408   4.7327e-17    -0.020667            0            0      -26.977            0       236.62      0.93569     0.008899            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0          -13            0     -0.39314     0.039387     0.035096    0.0042916            0      -0.1255            0      -0.1255   5.2768e-19   1.2601e-19   1.1173e-19   1.4285e-20      -9.9814      -6.2584            0       -86.12       8.6281      -18.457            0      -84.124            0            0            0            0            0            0        25.87            0           26      -5.7212   2.9453e-16      -5.7789   7.0335e-17     -0.02735            0            0      -24.617            0       224.33      0.93418     0.010752            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0        -12.5            0     -0.35723     0.037337     0.033799    0.0035383            0      -0.1263            0      -0.1263   1.2277e-18   5.9265e-20   5.2499e-20   6.7664e-21      -9.5676      -5.7184            0      -78.253        8.179       -16.18            0      -76.566            0            0            0            0            0            0       25.859            0           26      -5.9669   6.8523e-16      -5.8156   3.3079e-17    -0.035047            0            0      -22.325            0       212.65      0.93551      0.01252            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0          -12            0     -0.32174     0.035391     0.032512    0.0028792            0     -0.12715            0     -0.12715   9.4768e-19   7.7735e-20   7.1345e-20   6.3905e-21      -9.0909      -5.1565            0      -70.479       7.7527      -14.036            0       -69.07            0            0            0            0            0            0       25.844            0           26      -6.2773   5.2895e-16      -5.8549   4.3389e-17    -0.044456            0            0      -20.082            0       201.57      0.93257     0.014303            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0        -11.5            0     -0.28959     0.033543      0.03121    0.0023331            0     -0.12722            0     -0.12722    1.723e-19   6.5183e-20   5.6537e-20   8.6459e-21      -8.6333      -4.6459            0      -63.436       7.3479      -12.146            0      -62.265            0            0            0            0            0            0       25.827            0           26      -6.6072   9.6173e-17       -5.858   3.6383e-17    -0.054398            0            0      -18.046            0       191.05      0.93237     0.015753            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0          -11            0     -0.25984      0.03172     0.029856    0.0018647            0     -0.12716            0     -0.12716   1.2707e-18   6.8308e-20   2.0192e-20   4.8117e-20      -8.1916      -4.1756            0       -56.92       6.9485       -10.46            0      -55.952            0            0            0            0            0            0       25.808            0           26        -6.96   7.0928e-16      -5.8552   3.8127e-17    -0.065693            0            0      -16.166            0       180.66      0.93918      0.01707            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0        -10.5            0     -0.23417     0.029995      0.02834    0.0016549            0     -0.12624            0     -0.12624  -1.3031e-18   8.6218e-20   2.0125e-19  -1.1503e-19      -7.8072       -3.778            0      -51.298       6.5705      -8.9918            0      -50.505            0            0            0            0            0            0       25.789            0           26      -7.2991  -7.2731e-16      -5.8128   4.8123e-17     -0.07683            0            0       -14.69            0       170.83      0.85955     0.017992            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0          -10            0     -0.20908     0.028233     0.026891    0.0013426            0     -0.12541            0     -0.12541  -7.5383e-19     7.19e-21   1.1846e-19  -1.1127e-19      -7.4055      -3.3862            0      -45.801       6.1847      -7.6636            0      -45.156            0            0            0            0            0            0       25.766            0           26      -7.6904  -4.2076e-16      -5.7747   4.0131e-18    -0.090361            0            0      -13.108            0        160.8      0.84458     0.018893            0            0            0            0            0            0            0            0            0            0       0.0505            0  
          0         -9.5            0     -0.18616     0.026531     0.025455    0.0010755            0     -0.12415            0     -0.12415  -9.9075e-19   3.3031e-20    1.225e-19  -8.9467e-20      -7.0168      -3.0275            0       -40.78       5.8117      -6.4982            0      -40.259            0            0            0            0            0            0        25.74            0           26      -8.1109  -5.5299e-16      -5.7165   1.8437e-17     -0.10542            0            0       -11.68            0        151.1      0.83582     0.019626            0            0            0            0            0            0            0            0            0            0       0.0505            0  
