VTOL_SINGLE_VTAIL_NACA_LAST_PROJECTED_NOCENTER
Vee_projected_NCS_T1-26.0 m/s-LLT-x0.082m
Freestream speed = 26.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -12.5            0     -0.99988     0.072502     0.029658     0.042844            0    -0.030854            0    -0.030854   4.2648e-18   1.6027e-19   2.0791e-19  -4.7638e-20      -13.791       -13.79            0      -90.826       6.5859      -15.859            0      -89.516            0            0            0            0            0            0       25.932            0           26      -4.1473    5.044e-16     -0.48373   1.8955e-17     0.077452            0            0      -12.856            0       171.23      0.96127    -0.077443            0            0            0            0            0            0            0            0            0            0        0.082            0  
          0          -12            0      -0.9796     0.068653     0.027604     0.041049            0    -0.026027            0    -0.026027   5.5016e-18   9.5733e-20   2.5056e-19  -1.5482e-19      -14.269      -14.123            0      -88.984       6.2362      -14.854            0      -87.815            0            0            0            0            0            0       25.936            0           26      -4.0089   6.5067e-16     -0.40805   1.1322e-17     0.078275            0            0      -12.591            0       162.14      0.96301    -0.076678            0            0            0            0            0            0            0            0            0            0        0.082            0  
          0        -11.5            0     -0.95569     0.064788     0.025735     0.039053            0    -0.021661            0    -0.021661   4.2648e-18   3.9041e-19    3.785e-19    1.191e-20      -14.751      -14.421            0      -86.812       5.8851      -13.831            0      -85.777            0            0            0            0            0            0        25.94            0           26      -3.8782    5.044e-16      -0.3396   4.6174e-17     0.079038            0            0      -12.283            0       153.01      0.96344    -0.075536            0            0            0            0            0            0            0            0            0            0        0.082            0  
          0          -11            0     -0.93076     0.061137     0.024143     0.036994            0    -0.017377            0    -0.017377   4.0089e-18   1.8358e-19   1.3594e-19   4.7638e-20      -15.224      -14.688            0      -84.547       5.5535      -12.834            0      -83.635            0            0            0            0            0            0       25.944            0           26      -3.7581   4.7413e-16     -0.27243   2.1712e-17     0.079804            0            0       -11.96            0       144.39      0.96466    -0.074278            0            0            0            0            0            0            0            0            0            0        0.082            0  
          0        -10.5            0     -0.90365     0.057624     0.022787     0.034837            0    -0.013442            0    -0.013442   6.2693e-18   1.6526e-19   1.6526e-19            0      -15.682      -14.907            0      -82.085       5.2344      -11.847            0      -81.287            0            0            0            0            0            0       25.947            0           26      -3.6487   7.4147e-16     -0.21075   1.9545e-17     0.080541            0            0      -11.604            0       136.09       0.9656    -0.072781            0            0            0            0            0            0            0            0            0            0        0.082            0  
          0          -10            0     -0.87535     0.054122     0.021461      0.03266            0   -0.0097713            0   -0.0097713   2.1324e-19   1.0909e-19   1.7459e-19  -6.5503e-20      -16.174      -15.132            0      -79.514       4.9163      -10.886            0      -78.821            0            0            0            0            0            0        25.95            0           26       -3.538    2.522e-17     -0.15319   1.2902e-17     0.081255            0            0      -11.231            0       127.82      0.96645    -0.071126            0            0            0            0            0            0            0            0            0            0        0.082            0  
          0         -9.5            0     -0.84669     0.050734     0.020213     0.030522            0   -0.0062041            0   -0.0062041   3.9236e-18   2.1069e-19   1.3328e-19   7.7412e-20      -16.689      -15.356            0      -76.911       4.6086      -9.9595            0      -76.314            0            0            0            0            0            0       25.953            0           26      -3.4291   4.6405e-16    -0.097268   2.4918e-17     0.081993            0            0      -10.853            0       119.82      0.96756    -0.069423            0            0            0            0            0            0            0            0            0            0        0.082            0  
          0           -9            0     -0.81676     0.047504     0.019128     0.028376            0   -0.0028213            0   -0.0028213   1.4927e-18   8.3169e-20   6.5305e-20   1.7864e-20      -17.194      -15.539            0      -74.192       4.3151      -9.0604            0      -73.682            0            0            0            0            0            0       25.956            0           26      -3.3286   1.7654e-16    -0.044232   9.8364e-18      0.08273            0            0      -10.468            0       112.19      0.96846    -0.067571            0            0            0            0            0            0            0            0            0            0        0.082            0  
          0         -8.5            0     -0.78457     0.044273     0.018106     0.026167            0   0.00013115            0   0.00013115   2.6442e-18   7.1912e-20   1.1062e-19  -3.8706e-20      -17.721      -15.697            0      -71.268       4.0216      -8.1833            0      -70.837            0            0            0            0            0            0       25.959            0           26      -3.2297   3.1273e-16    0.0020562   8.5051e-18      0.08341            0            0       -10.07            0       104.56      0.96906    -0.065441            0            0            0            0            0            0            0            0            0            0        0.082            0  
          0           -8            0     -0.75082     0.041155     0.017203     0.023953            0    0.0027285            0    0.0027285  -3.8383e-19  -4.3044e-20   8.7962e-20  -1.3101e-19      -18.243      -15.808            0      -68.202       3.7384      -7.3373            0      -67.841            0            0            0            0            0            0       25.961            0           26      -3.1375  -4.5396e-17     0.042777  -5.0908e-18     0.084074            0            0      -9.6587            0       97.199      0.96952    -0.063124            0            0            0            0            0            0            0            0            0            0        0.082            0  
          0         -7.5            0     -0.71495     0.038061     0.016362     0.021699            0    0.0047903            0    0.0047903   1.0875e-18   8.3425e-20   1.0129e-19  -1.7864e-20      -18.784      -15.883            0      -64.944       3.4574      -6.5226            0      -64.645            0            0            0            0            0            0       25.963            0           26      -3.0474   1.2862e-16     0.075103   9.8666e-18     0.084644            0            0      -9.2202            0       89.892      0.97038    -0.060516            0            0            0            0            0            0            0            0            0            0        0.082            0  
          0           -7            0      -0.6712     0.034728     0.015573     0.019155            0    0.0050396            0    0.0050396    2.367e-18   7.4322e-20     7.73e-20  -2.9774e-21      -19.327      -15.834            0       -60.97       3.1546      -5.7033            0      -60.727            0            0            0            0            0            0       25.965            0           26      -2.9619   2.7994e-16     0.079012   8.7901e-18      0.08482            0            0       -8.687            0        82.02      0.96883    -0.056931            0            0            0            0            0            0            0            0            0            0        0.082            0  
          0         -6.5            0     -0.62412     0.031407     0.014805     0.016602            0    0.0044149            0    0.0044149   2.7081e-18    1.374e-19   8.5296e-20   5.2104e-20      -19.872      -15.699            0      -56.694       2.8529      -4.9195            0        -56.5            0            0            0            0            0            0       25.967            0           26      -2.8808   3.2029e-16     0.069218    1.625e-17     0.084792            0            0       -8.095            0       74.176      0.96652     -0.05292            0            0            0            0            0            0            0            0            0            0        0.082            0  
          0           -6            0     -0.57575      0.02816     0.014008     0.014152            0    0.0033513            0    0.0033513   7.4634e-19   8.9535e-20   9.9956e-20  -1.0421e-20      -20.446      -15.514            0      -52.299        2.558      -4.1883            0      -52.147            0            0            0            0            0            0       25.969            0           26      -2.8001    8.827e-17     0.052542   1.0589e-17     0.084614            0            0      -7.4785            0       66.507       0.9649    -0.048716            0            0            0            0            0            0            0            0            0            0        0.082            0  
