VTOL_SINGLE_VTAIL_NACA_LAST_PROJECTED
Vee_projected_T1-26.0 m/s-LLT-x0.071m
Freestream speed = 26.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -12.5            0      -1.0224     0.066899     0.027208     0.039692            0   -0.0018157            0   -0.0018157   7.3012e-19   8.5587e-20    2.487e-19  -1.6311e-19      -15.283      -15.454            0      -113.17       7.4048      -20.205            0      -111.44            0            0            0            0            0            0       25.945            0           26      -3.7436   1.2332e-16    -0.036178   1.4456e-17     0.071563            0            0       -18.72            0       192.52      0.96241     -0.07317            0            0            0            0            0            0            0            0            0            0        0.071            0  
          0          -12            0     -0.99747     0.062982     0.025225     0.037756            0    0.0012916            0    0.0012916   1.5698e-18   1.4219e-19   2.4413e-19  -1.0194e-19      -15.837      -15.817            0      -110.41       6.9711      -18.867            0      -108.86            0            0            0            0            0            0       25.948            0           26      -3.6129   2.6514e-16     0.025736   2.4017e-17     0.072214            0            0       -18.27            0       181.25      0.96292    -0.072031            0            0            0            0            0            0            0            0            0            0        0.071            0  
          0        -11.5            0     -0.96991     0.059255     0.023584     0.035671            0    0.0040691            0    0.0040691   2.5919e-18    3.107e-20   1.4831e-19  -1.1724e-19      -16.368       -16.12            0      -107.35       6.5586      -17.534            0      -105.99            0            0            0            0            0            0       25.952            0           26       -3.496   4.3779e-16     0.081078   5.2479e-18      0.07283            0            0      -17.772            0       170.52      0.96366    -0.070638            0            0            0            0            0            0            0            0            0            0        0.071            0  
          0          -11            0     -0.93978     0.055674     0.022162     0.033512            0    0.0065252            0    0.0065252   6.5711e-19   8.5295e-20   2.0763e-19  -1.2233e-19       -16.88      -16.364            0      -104.02       6.1622      -16.207            0      -102.82            0            0            0            0            0            0       25.954            0           26      -3.3903   1.1099e-16      0.13002   1.4407e-17     0.073417            0            0      -17.232            0       160.22      0.96302    -0.068996            0            0            0            0            0            0            0            0            0            0        0.071            0  
          0        -10.5            0     -0.91082     0.052102     0.020652      0.03145            0    0.0091996            0    0.0091996   1.1682e-18     2.71e-19   1.9964e-19   7.1361e-20      -17.481      -16.684            0      -100.81       5.7669      -14.949            0       -99.76            0            0            0            0            0            0       25.958            0           26      -3.2739   1.9731e-16      0.18331   4.5774e-17     0.074069            0            0        -16.7            0       149.94      0.96386    -0.067463            0            0            0            0            0            0            0            0            0            0        0.071            0  
          0          -10            0     -0.87998     0.048775     0.019414     0.029361            0       0.0116            0       0.0116   3.9427e-18    1.935e-19   1.3233e-19   6.1166e-20      -18.042      -16.924            0      -97.401       5.3987      -13.713            0      -96.486            0            0            0            0            0            0        25.96            0           26      -3.1725   6.6594e-16      0.23114   3.2683e-17     0.074708            0            0      -16.133            0       140.37      0.96373    -0.065742            0            0            0            0            0            0            0            0            0            0        0.071            0  
          0         -9.5            0     -0.84827     0.045554     0.018286     0.027269            0     0.013847            0     0.013847   3.6871e-18   1.0083e-19     1.62e-19  -6.1166e-20      -18.621       -17.15            0       -93.89       5.0422       -12.52            0      -93.101            0            0            0            0            0            0       25.963            0           26       -3.074   6.2277e-16      0.27592   1.7031e-17     0.075351            0            0      -15.549            0        131.1      0.96423    -0.063917            0            0            0            0            0            0            0            0            0            0        0.071            0  
          0           -9            0     -0.81711     0.042476     0.017197     0.025279            0     0.016214            0     0.016214   2.5554e-18   7.2382e-20   1.4374e-19  -7.1361e-20      -19.237      -17.389            0      -90.442       4.7014      -11.385            0      -89.766            0            0            0            0            0            0       25.965            0           26      -2.9757   4.3162e-16      0.32307   1.2226e-17     0.076061            0            0      -14.971            0       122.24      0.96512     -0.06215            0            0            0            0            0            0            0            0            0            0        0.071            0  
          0         -8.5            0      -0.7838      0.03952      0.01626      0.02326            0     0.018239            0     0.018239   1.8253e-18   6.6653e-20   9.4688e-20  -2.8035e-20      -19.833      -17.559            0      -86.755       4.3743      -10.277            0      -86.183            0            0            0            0            0            0       25.967            0           26      -2.8865    3.083e-16      0.36343   1.1258e-17     0.076747            0            0      -14.378            0       113.73      0.96511    -0.060154            0            0            0            0            0            0            0            0            0            0        0.071            0  
          0           -8            0     -0.74972      0.03668     0.015401      0.02128            0     0.020054            0     0.020054   1.5333e-18  -2.6917e-20   7.7575e-20  -1.0449e-19      -20.439      -17.698            0      -82.983       4.0599      -9.2166            0      -82.503            0            0            0            0            0            0       25.969            0           26       -2.801   2.5897e-16      0.39958  -4.5465e-18     0.077445            0            0      -13.773            0       105.56      0.96519    -0.058063            0            0            0            0            0            0            0            0            0            0        0.071            0  
