VTAIL-WITH_CENTER_SECTION
T6/1-TriUniform-ThickSurf-beta(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -10            0          -10     0.028829     0.044301     0.011331      0.03297      0.12773      0.19926    0.0062611        0.193     0.077425    0.0002655  -4.1286e-05   0.00030678      0.65075      0.11049       5.8896      0.93169       1.4317       1.8098       4.1279      0.93169       1.1585       4.3822       1.0612            0            0            0       8.1814            0           15       56.946       3.3204       1.1698     0.011386     -0.42765       3.0761      0.18515       1.9423            0       21.476    0.0010686    -0.012329            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -9            0           -9     0.026299     0.038684       0.0113     0.027384      0.11907      0.16619    0.0062686      0.15993     0.071971   0.00021703  -3.5001e-05   0.00025203      0.67985      0.11025       6.1664      0.84993       1.2502       1.5055       3.8482      0.84993      0.95245       4.0453      0.95645            0            0            0       8.4333            0           15        55.79       3.0865      0.97565    0.0093074     -0.37961       3.1087      0.19466       1.7882            0       18.753    0.0010706   -0.0099834            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -8            0           -8      0.02447      0.03354     0.011306     0.022234      0.10962      0.13576    0.0063093      0.12945     0.066156   0.00018362  -2.9477e-05    0.0002131      0.72958      0.11413       6.3927      0.79082       1.0839       1.2235       3.5425      0.79082      0.76438       3.6904      0.87586            0            0            0       8.8408            0           15       53.886       2.8371      0.79696    0.0078746      -0.3183       3.0487       0.2036       1.6341            0       16.259    0.0011416   -0.0077888            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -7            0           -7     0.022455     0.028719     0.011346     0.017373     0.098618      0.10723    0.0063821      0.10085     0.059445   0.00014797  -2.3556e-05   0.00017153       0.7819      0.11717       6.6733       0.7257      0.92813      0.95699       3.1871       0.7257      0.59336       3.2926      0.79006            0            0            0       9.2394            0           15       51.978       2.5493      0.62952    0.0063458     -0.25645       2.9663      0.21488       1.4199            0       13.922    0.0012304   -0.0057587            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -6            0           -6     0.020263     0.024338     0.011402     0.012936     0.086294     0.081272    0.0064674     0.074805     0.051915   0.00011216   -1.849e-05   0.00013065      0.83256      0.11851        7.025      0.65486      0.78656      0.71348       2.7888      0.65486       0.4417       2.8598      0.69916            0            0            0       9.5975            0           15       50.221       2.2264      0.47711    0.0048099     -0.19484       2.8554      0.22854       1.2364            0       11.798    0.0013455    -0.003948            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -5            0           -5     0.018248     0.020543     0.011472    0.0090712     0.073064     0.058698     0.006562     0.052136     0.043878   8.0372e-05  -1.4592e-05   9.4963e-05      0.88827      0.11999       7.4028      0.58972      0.66389      0.50086       2.3613      0.58972      0.31177        2.406      0.61621            0            0            0       9.9616            0           15       48.386       1.8817      0.34459    0.0034468     -0.13075       2.6679       0.2435       1.0447            0       9.9584     0.001556   -0.0023858            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -4            0           -4     0.016833     0.017413     0.011538    0.0058747     0.059358     0.040001    0.0066501     0.033351     0.035597   5.8312e-05  -1.0829e-05   6.9141e-05      0.96671      0.12542       7.7075      0.54402      0.56275      0.32446       1.9183      0.54402      0.20492       1.9444      0.55562            0            0            0       10.426            0           15        45.97       1.5266      0.23483    0.0025008    -0.063727       2.3377      0.25599      0.82743            0       8.4413    0.0020446   -0.0010727            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -3            0           -3     0.015584     0.014942     0.011602    0.0033393     0.045033     0.025199    0.0067299     0.018469     0.026986     3.85e-05  -7.4278e-06   4.5928e-05        1.043      0.13021       8.0104      0.50365      0.48288      0.18434       1.4554      0.50365      0.12115       1.4691      0.50329            0            0            0       10.828            0           15       43.794       1.1573      0.14793    0.0016511   -0.0029203       1.9088      0.26859      0.63578            0       7.2432     0.003083  -4.5511e-05            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -2            0           -2     0.014645     0.013157     0.011651    0.0015062     0.030302     0.014484     0.006788    0.0076956     0.018149   2.2606e-05  -5.3938e-06      2.8e-05       1.1131       0.1347       8.2635      0.47328       0.4252     0.082906       0.9793      0.47328     0.061043      0.98559      0.46414            0            0            0       11.158            0           15       41.937      0.77832     0.085027   0.00096949     0.047459       1.3633         0.28      0.44191            0        6.378    0.0060356   0.00069502            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -1            0           -1     0.014068     0.012075     0.011681   0.00039433     0.015239    0.0079945    0.0068255     0.001169    0.0091173   1.1297e-05  -2.1026e-06   1.3399e-05        1.165      0.13819       8.4309      0.45466      0.39025     0.021342      0.49248      0.45466     0.024842      0.49476      0.44017            0            0            0       11.382            0           15       40.641        0.391     0.046932   0.00048447     0.081186      0.71213      0.28733      0.23725            0       5.8538     0.021276    0.0011422            0            0            0            0            0            0            0            0            0            0         0.09            0  
