VTAIL-NO_CENTER_SECTION
T6/1-TriUniform-ThickSurf-beta(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -15            0          -15     0.040783      0.08458     0.012085     0.072494      0.16606      0.33888    0.0086786       0.3302     0.098048    0.0023586  -6.7477e-05     0.002426      0.48219     0.097377       4.9518       1.0294       2.1348       3.0174       4.1914       1.0294       1.9993       4.6775       1.0982            0            0            0        6.515            0           15       64.257       2.6911       1.4758     0.064734     -0.46945       2.1798       0.1761       1.7603            0       32.022    0.0011312    -0.019146            0            0            0            0            0            0            0            0            0            0          0.1            0  
        -14            0          -14     0.038519     0.076286     0.011924     0.064362      0.16144      0.30187    0.0085745       0.2933     0.094473    0.0022173  -6.0004e-05    0.0022773      0.50493     0.099098       5.0952      0.97223       1.9255       2.6902       4.0747      0.97223       1.7652       4.4767       1.0335            0            0            0       6.7609            0           15        63.21       2.5929       1.3147     0.060858     -0.43435        2.196      0.17908       1.5916            0       28.882    0.0011366    -0.016731            0            0            0            0            0            0            0            0            0            0          0.1            0  
        -13            0          -13     0.036274     0.068425     0.011796     0.056628      0.15594      0.26658    0.0084984      0.25808     0.090561    0.0020706  -5.4016e-05    0.0021246      0.53013      0.10097       5.2505      0.91556       1.7271       2.3756        3.936      0.91556       1.5435       4.2628      0.96967            0            0            0       7.0257            0           15       62.071       2.4856       1.1609     0.056829     -0.39835       2.2098      0.18255       1.5051            0       25.906    0.0011456    -0.014449            0            0            0            0            0            0            0            0            0            0          0.1            0  
        -12            0          -12     0.034164     0.060979     0.011698     0.049281      0.14953      0.23298    0.0084459      0.22453     0.086272    0.0019245  -4.7352e-05    0.0019719      0.56027      0.10356       5.4102      0.86232       1.5391       2.0739       3.7741      0.86232       1.3339       4.0338      0.90914            0            0            0       7.3317            0           15        60.74       2.3679       1.0146     0.052822     -0.35975       2.2119      0.18629       1.4168            0       23.087    0.0011677    -0.012291            0            0            0            0            0            0            0            0            0            0          0.1            0  
        -11            0          -11     0.032104     0.053985     0.011632     0.042353      0.14224      0.20126    0.0084226      0.19284     0.081642    0.0017739  -4.1171e-05    0.0018151      0.59468      0.10655       5.5811      0.81032       1.3626       1.7869       3.5903      0.81032       1.1376       3.7914      0.85023            0            0            0       7.6669            0           15       59.261       2.2408       0.8765     0.048688     -0.31984       2.2066      0.19055       1.3267            0       20.439    0.0011998    -0.010268            0            0            0            0            0            0            0            0            0            0          0.1            0  
        -10            0          -10     0.030109     0.047473     0.011604     0.035869      0.13413      0.17158    0.0084334      0.16314     0.076688    0.0016189  -3.4689e-05    0.0016536      0.63425      0.11005        5.763      0.75998       1.1982       1.5163       3.3855      0.75998      0.95531       3.5363      0.79333            0            0            0        8.034            0           15       57.615       2.1048      0.74722     0.044434     -0.27859       2.1911      0.19519       1.2348            0       17.974    0.0012461   -0.0083882            0            0            0            0            0            0            0            0            0            0          0.1            0  
         -9            0           -9     0.028533      0.04141     0.011613     0.029797      0.12504      0.14384    0.0084798      0.13536     0.071295    0.0014665  -2.8714e-05    0.0014952      0.68905      0.11639         5.92       0.7202       1.0452       1.2613        3.156       0.7202      0.78669        3.264      0.74686            0            0            0       8.5109            0           15       55.431       1.9568      0.62642     0.040251     -0.23171       2.1333      0.19918       1.1405            0       15.678    0.0013472   -0.0066115            0            0            0            0            0            0            0            0            0            0          0.1            0  
         -8            0           -8      0.02703     0.035716     0.011657     0.024059      0.11459      0.11777    0.0085601      0.10921     0.065201    0.0013121  -2.2465e-05    0.0013346      0.75681      0.12443       6.0824      0.68226       0.9015       1.0197       2.8923      0.68226      0.63147       2.9638      0.70203            0            0            0        9.052            0           15       52.881       1.7896      0.51287     0.036014     -0.18287       2.0458       0.2041      0.98828            0       13.522    0.0014973    -0.004943            0            0            0            0            0            0            0            0            0            0          0.1            0  
         -7            0           -7     0.024916     0.030462     0.011725     0.018737      0.10281     0.093619    0.0086637     0.084955     0.058356    0.0011392  -1.8298e-05    0.0011575      0.81796      0.12911       6.3352       0.6289      0.76887       0.7951       2.5949       0.6289      0.49132        2.637      0.64163            0            0            0        9.497            0           15       50.718       1.6017      0.40771     0.031268     -0.13913       1.9748       0.2111      0.88088            0       11.533    0.0016336   -0.0034666            0            0            0            0            0            0            0            0            0            0          0.1            0  
         -6            0           -6     0.023167     0.025749     0.011808     0.013941     0.089865     0.071918     0.008781     0.063137     0.050867   0.00097192  -1.3736e-05   0.00098565       0.8997      0.13694         6.57      0.58474      0.64992      0.59221       2.2682      0.58474      0.36759        2.288       0.5906            0            0            0       10.033            0           15       48.022       1.3961       0.3132     0.026676    -0.091829       1.8423      0.21763      0.76734            0       9.7488    0.0018981   -0.0021274            0            0            0            0            0            0            0            0            0            0          0.1            0  
