VTAIL-WITH_CENTER_SECTION
T6/1-TriUniform-ThickSurf-alpha(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20          -20            0     -0.66159      0.21844      0.19709     0.021343  -2.7999e-13    -0.039085     0.077977     -0.11706  -1.1911e-13  -3.4556e-14  -7.2989e-14   3.8433e-14      -3.0287      -2.4635            0      -21.381       7.0594      -6.6645  -9.0487e-12      -20.327      -3.1799  -6.4414e-12      -20.042            0            0            0       14.244            0           15      -18.272   -5.108e-12     -0.22945   -1.482e-12     0.026838   1.9043e-13     0.089344      -3.3213            0       105.89      0.86931    -0.017756            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -19          -19            0     -0.64103      0.20436      0.18424     0.020123   4.0437e-13    -0.037798     0.073906      -0.1117   4.5369e-13   2.7434e-14   1.6219e-14   1.1214e-14      -3.1368      -2.5115            0      -20.717       6.6044      -6.1298   1.3068e-11        -19.8      -2.9635   2.5969e-11       -19.51            0            0            0       14.291            0           15      -17.682   1.9457e-11     -0.22189   1.1765e-12     0.029233  -3.5443e-13     0.089976      -3.2157            0       99.066      0.86562    -0.018739            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -18          -18            0     -0.62758       0.1899      0.17074     0.019164   1.0702e-13    -0.037215     0.069975     -0.10719  -2.2359e-14  -6.2318e-14  -5.2834e-14  -9.4842e-15      -3.3048      -2.6181            0      -20.282       6.1371      -5.6785   3.4585e-12      -19.481      -2.8042   2.5299e-12      -19.204            0            0            0       14.357            0           15      -16.835  -9.5888e-13     -0.21848  -2.6725e-12      0.03187   2.6083e-15     0.090739      -3.1472            0       92.057       0.8712    -0.020001            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -17          -17            0     -0.64998      0.16768      0.14639     0.021291   5.5545e-13    -0.049661      0.05928     -0.10894   4.2449e-13   -3.297e-14  -9.2923e-15  -2.3678e-14      -3.8763      -3.1251            0      -21.006        5.419      -5.4835   1.7951e-11      -20.289       -2.909   2.3182e-11      -20.018            0            0            0       14.524            0           15      -14.466   1.8204e-11     -0.29154   -1.414e-12      0.03505  -4.9819e-13     0.091697      -3.2707            0       81.285      0.84111    -0.022781            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -16          -16            0     -0.65044      0.15066      0.12955     0.021117  -2.1726e-13    -0.054652     0.052178     -0.10683  -5.9309e-14  -2.9175e-14  -6.1604e-14   3.2429e-14      -4.3172      -3.4818            0      -21.021        4.869      -5.1381  -7.0214e-12      -20.394      -2.8595  -2.7764e-12      -20.093            0            0            0       14.613            0           15      -13.042  -2.5435e-12     -0.32084  -1.2512e-12     0.037772   1.5612e-13     0.092923       -3.285            0       73.036      0.84927    -0.024568            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -15          -15            0     -0.65654      0.13308      0.11166      0.02142   2.7485e-13    -0.062695     0.043238     -0.10593   2.9117e-13  -1.2764e-13  -7.6109e-14  -5.1531e-14      -4.9334      -3.9974            0      -21.218       4.3009      -4.8229   8.8827e-12      -20.674      -2.8479    1.707e-11      -20.359            0            0            0       14.701            0           15      -11.459   1.2487e-11     -0.36806   -5.474e-12     0.040603   -3.691e-13     0.094228      -3.3329            0       64.513      0.85302    -0.026657            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -14          -14            0     -0.65356      0.11642     0.095552     0.020871   8.2945e-14    -0.064443     0.038373     -0.10282   4.5585e-14   2.0021e-14   1.2655e-14   7.3656e-15      -5.6137      -4.5383            0      -21.122       3.7625      -4.4554   2.6806e-12      -20.657      -2.7712   3.4667e-12      -20.338            0            0            0       14.768            0           15        -10.1   1.9549e-12     -0.37832    8.586e-13     0.043453   -4.288e-14     0.093739      -3.2948            0       56.438      0.86757    -0.028399            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -13          -13            0     -0.66982     0.097135     0.074877     0.022258   3.2376e-13    -0.077067     0.027186     -0.10425   3.6589e-13  -1.6591e-14  -1.2572e-15  -1.5333e-14      -6.8958      -5.6437            0      -21.647       3.1392      -4.1686   1.0463e-11      -21.254      -2.8443   1.7236e-11      -20.938            0            0            0       14.845            0           15      -8.2513   1.5692e-11     -0.45243   -7.115e-13     0.046392  -4.2585e-13     0.094979       -3.402            0       47.088      0.85447    -0.031074            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -12          -12            0     -0.66563      0.08051     0.058888     0.021622   1.9525e-14    -0.076297     0.023888     -0.10019   2.1778e-13   1.9227e-14   1.9331e-15   1.7294e-14      -8.2677      -6.7453            0      -21.512       2.6019       -3.789   6.3101e-13      -21.187      -2.7602   5.4277e-12       -20.88            0            0            0       14.891            0           15      -6.8966   9.3398e-12      -0.4479   8.2455e-13     0.049325  -2.2265e-13     0.093144      -3.3306            0       39.028      0.86864    -0.032832            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -11          -11            0     -0.70173     0.055925     0.032613     0.023312   5.7338e-13    -0.094449    0.0095843     -0.10403   2.7676e-13  -3.7827e-15   1.4931e-14  -1.8714e-14      -12.548      -10.511            0      -22.678       1.8074      -3.5877    1.853e-11      -22.406      -2.9895   1.8209e-11      -22.035            0            0            0       14.953            0           15      -4.5565   1.1869e-11     -0.55447  -1.6222e-13      0.05243  -4.0231e-13     0.095453      -3.5631            0        27.11      0.89542    -0.036792            0            0            0            0            0            0            0            0            0            0         0.09            0  
