VTAIL-NO_CENTER_SECTION
VTAIL-T6/1-TriUniform-ThickSurf-vl-x0.09m-DEF


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -10          -10            0     -0.63191     0.041345     0.017708     0.023637   1.9631e-13    -0.071749     0.012038    -0.083787   1.6203e-13  -1.1294e-14   2.5581e-15  -1.3852e-14      -15.284      -12.149            0       -15.95       1.0436      -2.1821    4.955e-12      -15.811      -2.0191   6.0587e-12      -15.493            0            0            0       14.968            0           15      -3.7435   4.4472e-12     -0.31247  -3.0999e-13     0.056518  -1.7133e-13       0.1216      -2.0666            0       15.654       0.8329    -0.035714            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -9           -9            0     -0.58449     0.035982     0.015762      0.02022   2.7583e-13    -0.062164     0.010861    -0.073025   1.7217e-13  -1.7973e-14   3.5868e-15   -2.156e-14      -16.244      -12.419            0      -14.753      0.90821      -1.8038   6.9622e-12      -14.651      -1.7157   7.0926e-12      -14.371            0            0            0       14.972            0           15      -3.5228   4.7256e-12     -0.27072  -4.9329e-13      0.05932  -2.1856e-13      0.12092      -1.9145            0       13.623        0.833    -0.034672            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -8           -8            0     -0.53647     0.031213     0.014177     0.017036  -4.8453e-13    -0.052972    0.0098867    -0.062858  -3.0619e-13   3.0437e-14  -6.4423e-15   3.6879e-14      -17.187      -12.589            0      -13.541      0.78783      -1.4587   -1.223e-11      -13.469      -1.4344  -1.2804e-11      -13.225            0            0            0       14.975            0           15      -3.3299  -8.4039e-12     -0.23069   8.3538e-13     0.062095   4.3575e-13      0.12011      -1.7608            0       11.817      0.83292    -0.033312            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -7           -7            0      -0.4865     0.027089     0.013072     0.014017  -1.3997e-13    -0.043896    0.0092222    -0.053118  -4.5357e-14   7.9016e-15  -1.0517e-15   8.9533e-15       -17.96      -12.527            0       -12.28      0.68373      -1.1453  -3.5328e-12      -12.231      -1.1698  -2.9368e-12      -12.025            0            0            0       14.977            0           15       -3.187  -1.2449e-12     -0.19117   2.1687e-13     0.064832   8.3332e-14      0.11912      -1.6007            0       10.256      0.83253    -0.031541            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -6           -6            0     -0.43391     0.023502     0.012343      0.01116  -1.9162e-13    -0.034981    0.0087981    -0.043779  -1.5967e-13   8.8606e-15  -3.6568e-16   9.2263e-15      -18.462      -12.162            0      -10.952       0.5932     -0.86467  -4.8366e-12      -10.921     -0.92195  -5.4984e-12      -10.754            0            0            0       14.978            0           15      -3.1003  -4.3825e-12     -0.15234   2.4319e-13     0.067541   2.7557e-13      0.11792      -1.4314            0       8.8981      0.83181    -0.029307            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -5           -5            0     -0.37911     0.020447     0.011909     0.008538   3.2417e-14    -0.026439    0.0085715     -0.03501   1.5285e-13  -3.0056e-15  -1.4252e-15  -1.5805e-15      -18.541      -11.416            0      -9.5688      0.51609     -0.61929   8.1822e-13      -9.5512     -0.69607   2.3472e-12      -9.4206            0            0            0       14.978            0           15      -3.0872   4.1953e-12     -0.11514  -8.2494e-14      0.07022  -2.8925e-13      0.11654      -1.2559            0       7.7413      0.82994    -0.026621            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -4           -4            0     -0.31832     0.017803      0.01173    0.0060723  -1.7721e-13    -0.017959    0.0085239    -0.026483  -9.6574e-14   1.1463e-14   1.9812e-16   1.1265e-14       -17.88      -10.088            0      -8.0346      0.44935     -0.40757  -4.4729e-12      -8.0257     -0.48495  -4.3034e-12       -7.933            0            0            0       14.977            0           15       -3.201  -2.6506e-12    -0.078211   3.1462e-13     0.072914   2.5392e-13      0.11541       -1.067            0       6.7403      0.82274     -0.02321            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -3           -3            0     -0.24401     0.015425     0.011787    0.0036376  -5.8454e-13   -0.0091761    0.0086872    -0.017863  -2.8439e-13   3.0528e-14   4.6534e-16   3.0062e-14      -15.819      -7.8143            0      -6.1589      0.38933     -0.23064  -1.4754e-11      -6.1553     -0.28032  -1.4318e-11      -6.1022            0            0            0        14.97            0           15      -3.6171  -7.8054e-12    -0.039962   8.3788e-13      0.07551   9.5869e-13      0.11371     -0.83383            0       5.8399        0.807    -0.018425            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -2           -2            0     -0.15869     0.013544     0.011943    0.0016012  -4.9542e-13   -0.0012783    0.0089307    -0.010209  -2.7108e-13   2.9864e-14   9.0488e-16   2.8959e-14      -11.717      -4.6676            0      -4.0055      0.34185    -0.099398  -1.2505e-11      -4.0044     -0.11215  -1.2489e-11       -3.986            0            0            0       14.946            0           15      -4.8782  -7.4401e-12   -0.0055671   8.1966e-13     0.077709   1.3983e-12      0.10895     -0.55655            0       5.1278      0.77544    -0.012332            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -1           -1            0     -0.07118     0.012474     0.012092    0.0003816   9.8289e-14    0.0046182    0.0091348   -0.0045166   1.0289e-13  -3.5581e-15  -2.4646e-16  -3.3117e-15      -5.7064      -1.5225            0      -1.7966      0.31484    -0.021725   2.4809e-12      -1.7965    -0.011087   2.2782e-12      -1.8013            0            0            0       14.775            0           15      -9.9396   2.8241e-12     0.020112  -9.7658e-14     0.078733  -1.1691e-12     0.091883     -0.26646            0       4.7226       0.6546   -0.0056042            0            0            0            0            0            0            0            0            0            0         0.09            0  
