WING
WING-T6/1-TriUniform-ThickSurf-x0.05m-DEF


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -10          -10            0     -0.23458     0.038523     0.036962    0.0015611  -8.4733e-14    -0.085531    0.0053833    -0.090914  -3.0589e-13   2.8239e-14  -4.8189e-15   3.3058e-14      -6.0893      -2.9493            0      -16.191       2.6589      -2.7054  -5.8484e-12      -15.964      -1.4647  -6.5993e-12      -15.335            0            0            0       14.802            0           15       -9.326  -5.3793e-11      -1.1747   4.9661e-12    -0.028914   3.2608e-12     -0.02224      -4.8601            0       39.884      0.86564    0.0067825            0            0            0            0            0            0            0            0            0            0         0.05            0  
         -9           -9            0     -0.15989     0.035249     0.034463   0.00078596   3.9623e-15    -0.083962    0.0052451    -0.089207   9.4952e-15   7.8792e-15   3.2804e-15   4.5988e-15      -4.5359      -1.8137            0      -11.036        2.433      -1.6728   2.7348e-13      -10.908     -0.76762   6.5799e-15      -10.357            0            0            0       14.648            0           15      -12.433   1.6698e-12      -1.1531   1.3856e-12    -0.061307  -1.2159e-13     -0.05465      -3.3364            0       36.495      0.79876    0.0098022            0            0            0            0            0            0            0            0            0            0         0.05            0  
         -8           -8            0     -0.13713     0.029483     0.028801   0.00068209   1.0275e-13    -0.080629    0.0045825    -0.085211   -1.736e-14  -1.9929e-14  -1.4384e-14   -5.545e-15      -4.6513      -1.7225            0      -9.4652        2.035      -1.2707   7.0919e-12      -9.3797     -0.56023   8.4997e-12      -8.9564            0            0            0       14.665            0           15      -12.133  -3.0529e-12      -1.1074  -3.5047e-12    -0.073681   2.8216e-13     -0.07246      -2.7395            0       30.524      0.67708     0.010104            0            0            0            0            0            0            0            0            0            0         0.05            0  
         -7           -7            0     -0.15294     0.027355     0.026365   0.00099043    1.244e-13    -0.075366    0.0043698    -0.079736   4.0622e-13  -7.0215e-14  -2.3852e-14  -4.6362e-14      -5.5911      -2.1866            0      -10.557       1.8881      -1.2187   8.5863e-12      -10.486     -0.65717   9.4882e-12      -10.214            0            0            0       14.766            0           15      -10.141   7.1438e-11      -1.0351  -1.2348e-11    -0.054611   -6.766e-12    -0.060806      -2.8947            0       28.322         0.58    0.0083525            0            0            0            0            0            0            0            0            0            0         0.05            0  
         -6           -6            0     -0.16688     0.025115       0.0241    0.0010147  -8.0085e-14    -0.072222    0.0040754    -0.076298  -3.4069e-13   3.9228e-14   1.0274e-14   2.8954e-14      -6.6447      -2.7144            0      -11.519       1.7335      -1.1344  -5.5276e-12      -11.463     -0.74533  -5.2113e-12       -11.34            0            0            0       14.833            0           15      -8.5586  -5.9914e-11     -0.99192   6.8986e-12     -0.04211   5.1755e-12    -0.047279      -3.4328            0       26.002      0.67403    0.0070273            0            0            0            0            0            0            0            0            0            0         0.05            0  
         -5           -5            0     -0.16548     0.023337     0.022416   0.00092082   -1.957e-15    -0.067605    0.0040566    -0.071661   3.7049e-14  -5.1869e-15  -3.0356e-15  -2.1513e-15      -7.0909      -2.8845            0      -11.422       1.6108     -0.93215  -1.3508e-13      -11.384     -0.73378  -5.1811e-13       -11.39            0            0            0       14.853            0           15      -8.0273   6.5154e-12      -0.9285  -9.1216e-13    -0.037254  -5.7455e-13    -0.048456      -3.2491            0       24.161       0.7303    0.0061648            0            0            0            0            0            0            0            0            0            0         0.05            0  
         -4           -4            0     -0.04223     0.027278     0.026772   0.00050529  -1.4934e-13    -0.067677    0.0049361    -0.072613  -6.1135e-13    6.636e-14   2.1371e-14   4.4989e-14      -1.5482     -0.31814            0      -2.9148       1.8828     -0.16853  -1.0308e-11      -2.9101     0.015492  -1.0572e-11      -2.9414            0            0            0         12.6            0           15       -32.86  -1.0751e-10     -0.92949    1.167e-11     -0.29238   3.6737e-11      -0.3213     -0.75057            0       28.241     0.086674     0.012347            0            0            0            0            0            0            0            0            0            0         0.05            0  
         -3           -3            0      0.11016     0.031955     0.031246   0.00070902  -3.8111e-13    -0.070163    0.0058354    -0.075999  -1.5566e-12   2.1424e-13   1.5403e-13   6.0214e-14       3.4472       1.1441        3.013       7.6032       2.2056      0.44679  -2.6305e-11       7.5903      0.58466  -2.7147e-11        7.568            0            0            0       14.406            0           15       16.177  -2.7375e-10     -0.96363   3.7677e-11      0.18605   -3.581e-11      0.18338       2.2845            0       33.084      0.42029     0.020494            0            0            0            0            0            0            0            0            0            0         0.05            0  
         -2           -2            0      0.18499     0.033105     0.031912    0.0011932     -1.5e-14    -0.070246    0.0061364    -0.076383  -8.3506e-14   3.8219e-15   1.9758e-15   1.8461e-15       5.5881       2.4035        2.325       12.768        2.285      0.52792  -1.0353e-12       12.758      0.67084  -1.9654e-13       12.678            0            0            0       14.765            0           15       10.146  -1.4685e-11     -0.96478   6.7212e-13       0.1316  -1.1488e-12      0.12408       3.6911            0       34.274      0.70432     0.024345            0            0            0            0            0            0            0            0            0            0         0.05            0  
         -1           -1            0      0.23946     0.033307     0.031513    0.0017939   1.0978e-13     -0.06914    0.0062784    -0.075418   5.7364e-13   1.0224e-14  -1.0421e-15   1.1266e-14       7.1895       3.5182       2.0435       16.528       2.2989      0.41225   7.5774e-12       16.523      0.62841   7.5077e-12       16.371            0            0            0       14.857            0           15       7.9186   1.0088e-10     -0.94958    1.798e-12      0.11265   6.0685e-12      0.10428       4.8212            0       34.484        0.785     0.026976            0            0            0            0            0            0            0            0            0            0         0.05            0  
