VTAIL_CENTERSECTION_45_DEG
T6/1-TriUniform-ThickSurf-alpha(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20          -20            0      -1.3262      0.12523     0.046517      0.07871  -1.0854e-12      -0.6881     -0.31083     -0.37727  -5.9081e-13   7.5419e-14   -1.868e-14   9.4099e-14       -10.59      -12.195            0      -118.46       11.186       -33.91  -9.6955e-11      -113.72      -31.168  -1.0133e-10      -109.28            0            0            0        26.88            0           27      -5.3943  -5.9239e-11      -11.108   7.5621e-12     0.015195   2.0755e-13      0.13413      -21.073            0       302.03       1.1293    -0.020151            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -19          -19            0      -1.2649      0.11276     0.041349     0.071411   6.9998e-13     -0.60802     -0.26015     -0.34786   5.0517e-13  -5.7628e-14   1.4324e-14  -7.1952e-14      -11.218      -12.616            0      -112.99       10.073      -30.754   6.2528e-11      -108.91      -28.306   6.9628e-11      -104.85            0            0            0       26.893            0           27      -5.0942   5.0652e-11      -9.8155  -5.7782e-12     0.018265  -1.8071e-13        0.135      -20.166            0       271.96       1.1324    -0.023103            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -18          -18            0      -1.2036      0.10164     0.037121     0.064518  -1.3138e-12     -0.53872     -0.21941     -0.31931  -5.6738e-13   8.6233e-14  -2.0033e-14   1.0627e-13      -11.842      -12.991            0      -107.51       9.0792      -27.742  -1.1736e-10      -104.03      -25.565  -1.1451e-10      -100.34            0            0            0       26.904            0           27      -4.8271   -5.689e-11      -8.6969   8.6463e-12      0.02137   2.6873e-13      0.13571      -19.244            0       245.14       1.1348    -0.025721            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -17          -17            0      -1.1412      0.09147       0.0336     0.057869  -1.2382e-12     -0.47783     -0.18605     -0.29179  -5.8505e-13   9.3011e-14  -2.0076e-14   1.1309e-13      -12.476      -13.327            0      -101.94       8.1708       -24.86  -1.1061e-10      -98.994      -22.936  -1.1115e-10       -95.66            0            0            0       26.914            0           27      -4.5828  -5.8662e-11      -7.7139    9.326e-12     0.024455    2.833e-13      0.13632      -18.301            0       220.61       1.1374    -0.027907            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -16          -16            0       -1.078     0.081895     0.030363     0.051532    6.538e-13     -0.42213     -0.15686     -0.26527   3.2175e-13  -4.6138e-14   1.0139e-14  -5.6277e-14      -13.164      -13.667            0      -96.298       7.3155      -22.118   5.8402e-11      -93.836      -20.428   6.0789e-11      -90.845            0            0            0       26.922            0           27      -4.3443   3.2261e-11      -6.8146  -4.6261e-12     0.027531  -1.6576e-13       0.1368       -17.34            0       197.52       1.1398    -0.029679            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -15          -15            0      -1.0142     0.072943     0.027429     0.045515   3.7265e-13     -0.37104     -0.13124      -0.2398   4.2064e-13  -3.8011e-14   9.1223e-15  -4.7134e-14      -13.904      -14.002            0      -90.594       6.5158       -19.52   3.3288e-11       -88.56      -18.045    3.795e-11      -85.896            0            0            0        26.93            0           27      -4.1138   4.2177e-11      -5.9899  -3.8113e-12     0.030592    -2.06e-13      0.13716      -16.361            0       175.93       1.1422    -0.031026            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -14          -14            0     -0.94963     0.064996     0.025169     0.039827   5.2878e-13     -0.32628     -0.11087     -0.21541   3.1464e-13  -4.8633e-14   7.0226e-15  -5.5656e-14      -14.611      -14.238            0      -84.828       5.8059       -17.07   4.7234e-11      -83.169      -15.791   4.5312e-11      -80.818            0            0            0       26.937            0           27      -3.9154   3.1549e-11      -5.2673  -4.8763e-12     0.033635  -2.2641e-13      0.13739      -15.364            0       156.76       1.1444     -0.03194            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -13          -13            0     -0.88438     0.057374     0.022896     0.034478   2.5592e-13     -0.28429     -0.09217     -0.19212   2.7418e-13   -2.023e-14     3.86e-15   -2.409e-14      -15.414      -14.496            0      -78.999       5.1251       -14.77   2.2861e-11      -77.667      -13.671   2.8484e-11      -75.614            0            0            0       26.943            0           27      -3.7119   2.7491e-11      -4.5895  -2.0284e-12     0.036652  -1.4662e-13      0.13749       -14.35            0       138.38       1.1465    -0.032415            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -12          -12            0     -0.81845     0.050584     0.021106     0.029478  -1.0043e-13     -0.24695    -0.076988     -0.16997   6.9344e-15   1.6436e-14  -6.5479e-16   1.7091e-14       -16.18      -14.638            0       -73.11       4.5186      -12.625   -8.971e-12       -72.06      -11.689  -9.6638e-12      -70.286            0            0            0       26.949            0           27      -3.5367    6.953e-13      -3.9867    1.648e-12      0.03964   1.5184e-14      0.13746      -13.319            0          122       1.1485    -0.032443            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -11          -11            0     -0.75184     0.044154     0.019318     0.024835   6.7829e-13      -0.2121    -0.063123     -0.14897   3.8376e-13  -4.6641e-14     6.65e-15  -5.3291e-14      -17.028      -14.765            0       -67.16       3.9441      -10.637    6.059e-11       -66.35      -9.8471    5.759e-11      -64.838            0            0            0       26.954            0           27      -3.3609   3.8479e-11       -3.424  -4.6766e-12     0.042591   -3.247e-13      0.13728      -12.271            0       106.49       1.1504    -0.032022            0            0            0            0            0            0            0            0            0            0         0.09            0  
