VTAIL_CENTERSECTION_45_DEG_S_h_proj
T6/1-TriUniform-ThickSurf-alpha(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20          -20            0      -1.0206     0.094422     0.036593     0.057829   4.3928e-13     -0.55267     -0.24291     -0.30976   3.4671e-13  -2.6933e-14   1.0826e-14  -3.7759e-14      -10.809      -10.919            0       -126.3       11.685      -36.471   5.4361e-11      -121.13      -33.545   5.8108e-11      -116.44            0            0            0       26.885            0           27      -5.2859   6.7791e-11      -12.329  -5.2661e-12     0.011487   -2.356e-13      0.14578       -24.11            0       315.49      0.63649    -0.011723            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -19          -19            0     -0.97339      0.08489     0.032425     0.052464  -8.4799e-15     -0.48762     -0.20244     -0.28519   6.5342e-14   1.4925e-15  -1.2706e-16   1.6195e-15      -11.466      -11.313            0      -120.46       10.505      -33.078  -1.0494e-12      -116.01      -30.464   6.9601e-12      -111.73            0            0            0       26.898            0           27      -4.9842   1.2776e-11      -10.878   2.9182e-13     0.014739   -4.336e-15      0.14679      -23.072            0       283.64       0.6382    -0.014347            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -18          -18            0     -0.92615     0.076446     0.029048     0.047397   8.5472e-13     -0.43149     -0.17012     -0.26137    5.909e-13  -4.1074e-14   1.9192e-14  -6.0266e-14      -12.115      -11.659            0      -114.61       9.4602      -29.839   1.0577e-10      -110.82      -27.514   1.1245e-10      -106.92            0            0            0       26.908            0           27      -4.7186   1.1554e-10      -9.6259  -8.0311e-12     0.018032  -4.3742e-13      0.14762      -22.016            0       255.43      0.63953      -0.0167            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -17          -17            0      -0.8781     0.068742     0.026231     0.042512    9.403e-13     -0.38218     -0.14374     -0.23843   5.8383e-13  -5.2346e-14   1.6084e-14   -6.843e-14      -12.774       -11.97            0      -108.67       8.5069       -26.74   1.1636e-10      -105.46      -24.685   1.2291e-10      -101.94            0            0            0       26.918            0           27      -4.4763   1.1415e-10      -8.5257  -1.0235e-11     0.021307  -4.6411e-13      0.14835      -20.937            0       229.69      0.64097     -0.01871            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -16          -16            0      -0.8295     0.061555       0.0237     0.037855   4.0733e-13     -0.33741     -0.12105     -0.21636   3.1221e-13  -2.3967e-14   5.9103e-15  -2.9877e-14      -13.476      -12.273            0      -102.65       7.6175      -23.792   5.0407e-11      -99.967      -21.986   5.5036e-11      -96.814            0            0            0       26.926            0           27       -4.244   6.1046e-11      -7.5271  -4.6862e-12     0.024578  -2.4885e-13      0.14895      -19.837            0       205.67      0.64235    -0.020388            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -15          -15            0     -0.78036     0.054746     0.021313     0.033434  -7.9779e-14      -0.2959      -0.1007     -0.19519  -3.2596e-14   2.5025e-15  -7.2381e-16   3.2263e-15      -14.254      -12.592            0       -96.57       6.7749      -20.998  -9.8727e-12      -94.351      -19.421  -7.1622e-12      -91.545            0            0            0       26.934            0           27       -4.013  -6.3733e-12       -6.601   4.8931e-13     0.027839   3.3048e-14      0.14942      -18.717            0       182.92      0.64367    -0.021725            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -14          -14            0     -0.73068     0.048785      0.01953     0.029255  -2.5221e-13     -0.25976    -0.084816     -0.17494  -2.0623e-14   1.6495e-14  -4.3333e-16   1.6928e-14      -14.978      -12.803            0      -90.423       6.0372      -18.362  -3.1211e-11      -88.613      -16.996  -3.0627e-11      -86.137            0            0            0        26.94            0           27      -3.8198  -4.0324e-12      -5.7948   3.2252e-12     0.031085   4.8907e-14      0.14976      -17.576            0       163.01      0.64492    -0.022713            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -13          -13            0     -0.68048     0.043089     0.017763     0.025326  -1.0457e-12     -0.22601    -0.070369     -0.15564  -3.3862e-13    4.507e-14  -7.9026e-15   5.2972e-14      -15.792      -13.027            0       -84.21       5.3323      -15.889  -1.2941e-10      -82.756      -14.714  -1.3041e-10      -80.595            0            0            0       26.946            0           27      -3.6232  -6.6208e-11       -5.042   8.8123e-12      0.03431   4.3251e-13      0.14997      -16.416            0       143.97      0.64612    -0.023347            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -12          -12            0     -0.62975     0.037981     0.016327     0.021653   1.0221e-13     -0.19579    -0.058472     -0.13732   1.6351e-13  -4.2051e-15   2.7818e-15  -6.9869e-15      -16.581      -13.158            0      -77.933       4.7001      -13.582   1.2649e-11      -76.787      -12.581   1.3323e-11      -74.921            0            0            0       26.951            0           27      -3.4513   3.1971e-11      -4.3678  -8.2221e-13     0.037508  -1.8125e-13      0.15003      -15.237            0        126.9      0.64725    -0.023621            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -11          -11            0     -0.57852     0.033178     0.014934     0.018244   1.1857e-12     -0.16777    -0.047786     -0.11999   6.9365e-13  -5.8549e-14   9.6339e-15  -6.8183e-14      -17.437      -13.263            0      -71.593       4.1058      -11.444   1.4673e-10      -70.708      -10.599   1.5208e-10      -69.119            0            0            0       26.956            0           27      -3.2823   1.3563e-10      -3.7428  -1.1448e-11     0.040674  -9.4478e-13      0.14996      -14.039            0       110.86      0.64831    -0.023531            0            0            0            0            0            0            0            0            0            0         0.09            0  
        -10          -10            0     -0.52679     0.028826     0.013722     0.015104   4.0115e-13     -0.14235    -0.038667     -0.10368   2.9253e-13   -1.822e-14     3.26e-15   -2.148e-14      -18.275      -13.264            0      -65.191       3.5673      -9.4796   4.9642e-11      -64.526      -8.7736   5.5188e-11      -63.195            0            0            0        26.96            0           27      -3.1321   5.7197e-11      -3.1756  -3.5624e-12       0.0438  -4.1092e-13      0.14972      -12.823            0       96.317      0.64929    -0.023073            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -9           -9            0     -0.47458     0.024888     0.012647     0.012242   6.2052e-13     -0.11919    -0.030774    -0.088415   3.3378e-13  -2.6448e-14   4.0431e-15  -3.0491e-14      -19.069      -13.136            0       -58.73       3.0799      -7.6911   7.6789e-11      -58.244      -7.1083   7.6743e-11      -57.151            0            0            0       26.963            0           27       -3.002   6.5264e-11      -2.6589  -5.1714e-12     0.046878  -5.9464e-13      0.14932      -11.589            0       83.158      0.65018    -0.022248            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -8           -8            0     -0.42189     0.021355     0.011693    0.0096626   5.0935e-13     -0.09815    -0.023939    -0.074211    1.863e-13  -1.9931e-14   2.3868e-15  -2.2318e-14      -19.756      -12.832            0       -52.21       2.6428      -6.0821   6.3032e-11      -51.868      -5.6068   6.2324e-11      -50.992            0            0            0       26.965            0           27      -2.8977   3.6426e-11      -2.1896  -3.8971e-12     0.049899  -4.0231e-13      0.14872      -10.338            0       71.354      0.65097    -0.021052            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -7           -7            0     -0.36874     0.018236     0.010862    0.0073741   6.2035e-13    -0.079092    -0.018002    -0.061091   2.9556e-13  -2.1939e-14   2.1632e-15  -2.4102e-14      -20.221      -12.279            0      -45.632       2.2567      -4.6554   7.6768e-11      -45.403       -4.273   7.5735e-11      -44.724            0            0            0       26.967            0           27      -2.8312    5.779e-11      -1.7644  -4.2897e-12      0.05285  -6.8431e-13      0.14789      -9.0714            0       60.931      0.65161    -0.019488            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -6           -6            0     -0.31514     0.015589     0.010206    0.0053829   3.4941e-13    -0.062006    -0.012934    -0.049072   1.4736e-13  -1.1741e-14   9.9532e-16  -1.2737e-14      -20.216      -11.349            0      -38.999       1.9291       -3.414    4.324e-11      -38.855      -3.1102   4.0951e-11       -38.35            0            0            0       26.967            0           27      -2.8318   2.8813e-11      -1.3833  -2.2958e-12      0.05571  -4.2041e-13      0.14676      -7.7887            0       52.085      0.65201    -0.017557            0            0            0            0            0            0            0            0            0            0         0.09            0  
