VTAIL_CENTERSECTION_45_DEG
T6/1-TriUniform-ThickSurf-beta(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -10            0          -10     0.039577     0.089791     0.013177     0.076615      0.31271      0.33699     0.013069      0.32393      0.16145   -0.0071874   -0.0079746   0.00078716      0.44077     0.087687       5.0266       3.5354       8.0208       11.875       27.933       3.5354       8.0448       29.299       4.1719            0            0            0        10.89            0           27       66.213       16.188       5.4403     -0.72067      -0.3889       2.9053      0.22036       9.2494            0       216.56    0.0010333    -0.015392            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -9            0           -9     0.035999     0.074909      0.01269     0.062218      0.28612      0.27562     0.012528      0.26309      0.14682   -0.0062413   -0.0069174   0.00067606      0.48058     0.091183       5.2705       3.2157       6.6914       9.6752       25.559       3.2157       6.5473       26.564       3.7242            0            0            0       11.695            0           27       64.332       14.721       4.4494      -0.6258     -0.33618       2.8851      0.22364       8.3554            0       180.67    0.0010527    -0.012102            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -8            0           -8     0.032793     0.061556     0.012278     0.049279      0.25808      0.22035      0.01209      0.20826      0.13172   -0.0053804   -0.0059552   0.00057487      0.53273     0.096471       5.5222       2.9293       5.4987       7.6852       23.054       2.9293       5.2017       23.768       3.3226            0            0            0       12.695            0           27       61.955       13.207       3.5572     -0.53948     -0.27892       2.8245      0.22714       7.3709            0       148.46    0.0011029   -0.0091467            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -7            0           -7     0.029959     0.049706     0.011891     0.037815      0.22873      0.17125     0.011683      0.15957      0.11619     -0.00457   -0.0050527   0.00048267      0.60273      0.10433       5.7774       2.6762       4.4401       5.9121       20.432       2.6762         4.01       20.917       2.9676            0            0            0       13.938            0           27       58.921        11.65       2.7646     -0.45823     -0.21793       2.7129      0.23082       6.4806            0       119.88    0.0011996   -0.0065289            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -6            0           -6     0.027501     0.039368     0.011523     0.027845      0.19823      0.12842     0.011292      0.11713      0.10029   -0.0038026   -0.0042011   0.00039846      0.69856      0.11584       6.0302       2.4566       3.5166       4.3621       17.708       2.4566       2.9738       18.018       2.6593            0            0            0       15.462            0           27       55.063       10.056       2.0732     -0.38128     -0.15464       2.5396      0.23461       5.5219            0       94.948    0.0013728   -0.0042527            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -5            0           -5     0.025418     0.030565     0.011182     0.019383      0.16673     0.091984     0.010932     0.081052     0.084069   -0.0030809   -0.0034021   0.00032121       0.8316      0.13258       6.2724       2.2705       2.7303       3.0411       14.894       2.2705       2.0946       15.078        2.398            0            0            0       17.264            0           27       50.253       8.4294        1.485     -0.30891    -0.091322       2.2945      0.23836       4.5821            0       73.718    0.0016847   -0.0023212            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -4            0           -4     0.023712     0.023294     0.010853     0.012441       0.1344     0.061984     0.010571     0.051414     0.067579   -0.0023947   -0.0026445   0.00024982       1.0179      0.15675        6.494       2.1182       2.0808       1.9536       12.005       2.1182       1.3735       12.103       2.1839            0            0            0       19.261            0           27        44.49        6.776       1.0006     -0.24011    -0.031089       1.9711      0.24191       3.7069            0       56.182    0.0022842  -0.00073718            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -3            0           -3     0.022385     0.017593     0.010562    0.0070319      0.10139     0.038531     0.010243     0.028288     0.050873   -0.0017492   -0.0019323   0.00018318       1.2723      0.19036       6.6838       1.9996       1.5716       1.1036       9.0568       1.9996      0.81172       9.1015       2.0172            0            0            0       21.228            0           27       38.166       5.1009      0.62202     -0.17538     0.022211       1.5681      0.24504        2.796            0       42.432    0.0036015   0.00049718            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -2            0           -2     0.021436      0.01349     0.010329     0.003162     0.067875     0.021707    0.0099771      0.01173     0.034006   -0.0011404   -0.0012605   0.00012011        1.589      0.23264       6.8301       1.9148       1.2051      0.49435       6.0631       1.9148      0.40987       6.0791       1.8981            0            0            0       22.851            0           27       32.184       3.4097      0.35043     -0.11435     0.064383       1.0927       0.2475       1.9052            0       32.537    0.0073447    0.0013801            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -1            0           -1     0.020866     0.011017      0.01018   0.00083767     0.034022     0.011583    0.0098031    0.0017795      0.01703  -0.00056217  -0.00062163   5.9454e-05       1.8939      0.27358       6.9227       1.8639      0.98416      0.12789       3.0391       1.8639      0.16855        3.043       1.8265            0            0            0       23.876            0           27       27.834       1.7076      0.18698    -0.056368     0.091553      0.56158      0.24909       1.0504            0       26.572     0.026271    0.0019104            0            0            0            0            0            0            0            0            0            0         0.09            0  
