VTAIL_CENTERSECTION_45_DEG_S_h_proj
T6/1-TriUniform-ThickSurf-beta(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -10            0          -10     0.029486      0.07084     0.010231     0.060609      0.24932      0.28381      0.01106      0.27275     0.096571   -0.0039668   -0.0043983   0.00043152      0.41623     0.071474       5.8236       3.6489       8.7665       13.056       30.854       3.6489       8.8207       32.386       4.3034            0            0            0       10.375            0           27       67.401       18.882       6.3314     -0.77561     -0.45011       3.2472      0.22931       10.709            0        236.7   0.00050693    -0.013272            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -9            0           -9     0.026764     0.059044    0.0098256     0.049219       0.2281      0.23214     0.010568      0.22158     0.087817    -0.003436    -0.003805     0.000369      0.45329     0.074158       6.1125       3.3121       7.3068       10.638       28.227       3.3121       7.1774       29.359       3.8344            0            0            0       11.147            0           27       65.616       17.171       5.1788     -0.67182     -0.39195       3.2316      0.23269       9.6721            0       197.28   0.00051432     -0.01049            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -8            0           -8     0.024325     0.048468    0.0094869     0.038981      0.20572      0.18563     0.010174      0.17545     0.078781   -0.0029562   -0.0032686   0.00031241      0.50188     0.078275       6.4117       3.0102        5.998       8.4493       25.459       3.0102        5.701       26.266       3.4138            0            0            0       12.111            0           27       63.349       15.404       4.1411     -0.57802      -0.3285       3.1711      0.23631       8.5364            0       161.95   0.00053641   -0.0079907            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -7            0           -7     0.022169     0.039087    0.0091754     0.029912      0.18231      0.14431    0.0098182       0.1345     0.069492   -0.0025082   -0.0027694    0.0002612      0.56718      0.08445       6.7162       2.7435       4.8371       6.4996       22.562       2.7435       4.3937       23.112       3.0418            0            0            0        13.32            0           27       60.439       13.587       3.2194     -0.49042     -0.26058       3.0534      0.24014       7.5029            0        130.6   0.00058066   -0.0057769            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -6            0           -6     0.020299     0.030902    0.0088786     0.022024      0.15799      0.10828     0.009477       0.0988     0.059981   -0.0020847   -0.0022994   0.00021477      0.65687     0.093587       7.0188        2.512       3.8242       4.7954       19.551        2.512       3.2571       19.907       2.7189            0            0            0       14.824            0           27         56.7       11.728       2.4155     -0.40761     -0.18975       2.8656      0.24409       6.3946            0       103.25   0.00066115   -0.0038518            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -5            0           -5     0.018714     0.023935    0.0086058     0.015329      0.13288     0.077615    0.0091654      0.06845     0.050278   -0.0016871   -0.0018596   0.00017249      0.78188      0.10696       7.3099       2.3159        2.962       3.3429       16.444       2.3159       2.2928       16.657       2.4452            0            0            0       16.631            0           27       51.979       9.8307       1.7315     -0.32987     -0.11853       2.5958      0.24803       5.3065            0       79.973   0.00080738   -0.0022182            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -4            0           -4     0.017417     0.018179    0.0083409    0.0098379       0.1071     0.052372    0.0088531     0.043519     0.040415     -0.00131   -0.0014438   0.00013373      0.95807      0.12644       7.5774       2.1553       2.2496       2.1472       13.254       2.1553       1.5021       13.371       2.2209            0            0            0       18.679            0           27       46.227       7.9023       1.1683     -0.25615     -0.05044       2.2353      0.25177       4.2885            0        60.74    0.0010896   -0.0008785            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -3            0           -3     0.016406     0.013663    0.0081051    0.0055583     0.080795     0.032633    0.0085665     0.024067     0.030424  -0.00095569   -0.0010535   9.7791e-05       1.2008       0.1538       7.8072       2.0303       1.6909       1.2128       9.9984       2.0303      0.88603       10.054       2.0463            0            0            0       20.747            0           27       39.788       5.9488        0.728     -0.18686     0.010088       1.7821      0.25508       3.2315            0       45.653    0.0017113    0.0001655            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -2            0           -2     0.015685     0.010413    0.0079159    0.0024968     0.054087     0.018473    0.0083338     0.010139     0.020337  -0.00062242  -0.00068642   6.3997e-05       1.5063      0.18864       7.9848        1.941       1.2886      0.54291       6.6933        1.941       0.4454        6.715       1.9215            0            0            0       22.494            0           27        33.58       3.9764      0.41211      -0.1217     0.058164       1.2439      0.25771       2.1964            0       34.792    0.0034818   0.00091228            0            0            0            0            0            0            0            0            0            0         0.09            0  
         -1            0           -1     0.015251    0.0084527    0.0077945   0.00065812      0.02711    0.0099504    0.0081809    0.0017695     0.010184  -0.00030658  -0.00033822   3.1639e-05       1.8043      0.22282       8.0974       1.8874        1.046      0.14002       3.3549       1.8874       0.1808       3.3612       1.8466            0            0            0       23.616            0           27       28.996       1.9913      0.22198    -0.059945     0.089224      0.64002       0.2594          1.2            0       28.243      0.01249    0.0013608            0            0            0            0            0            0            0            0            0            0         0.09            0  
