xflr5 v6.33

Plane name :        EMERGENTIA_Sw1_e_no_dihedral
Polar name :        T1-25.0 m/s-VLM1-proj_area_xyc_0.000
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.588369   0.008697   0.017050   0.025747  -0.000000   0.000000   0.052862   0.000000  -0.000000   25.0000     0.0176
   -9.500     0.000  -0.543344   0.007421   0.019399   0.026820  -0.000000   0.000000   0.042107   0.000000  -0.000000   25.0000     0.0152
   -9.000     0.000  -0.498238   0.006243   0.021409   0.027652  -0.000000   0.000000   0.031230   0.000000  -0.000000   25.0000     0.0122
   -8.500     0.000  -0.453058   0.005165   0.024640   0.029806  -0.000000   0.000000   0.020334   0.000000   0.000000   25.0000     0.0087
   -8.000     0.000  -0.407810   0.004188   0.028880   0.033068  -0.000000   0.000000   0.009412   0.000000  -0.000000   25.0000     0.0044
   -7.500     0.000  -0.362500   0.003311   0.085621   0.088932  -0.000000   0.000000   0.000151   0.000000  -0.000000   25.0000    -0.0010
   -7.000     0.000  -0.317134   0.002537   0.161908   0.164445  -0.000000   0.000000  -0.008671   0.000000  -0.000000   25.0000    -0.0079
   -6.500     0.000  -0.271719   0.001866   0.146589   0.148455  -0.000000   0.000000  -0.020579   0.000000  -0.000000   25.0000    -0.0171
   -6.000     0.000  -0.226261   0.001298   0.132704   0.134002  -0.000000   0.000000  -0.032418   0.000000   0.000000   25.0000    -0.0300
   -5.500     0.000  -0.180765   0.000835   0.115959   0.116793   0.000000   0.000000  -0.044315   0.000000  -0.000000   25.0000    -0.0494
   -5.000     0.000  -0.135238   0.000476   0.108585   0.109061   0.000000   0.000000  -0.055948   0.000000  -0.000000   25.0000    -0.0819
   -4.500     0.000  -0.089686   0.000223   0.104820   0.105042   0.000000   0.000000  -0.067500   0.000000  -0.000000   25.0000    -0.1474
   -4.000     0.000  -0.044115   0.000075   0.097964   0.098039   0.000000   0.000000  -0.079111  -0.000000   0.000000   25.0000    -0.3482
   -3.500     0.000   0.001468   0.000033   0.019475   0.019507   0.000000   0.000000  -0.091834  -0.000000  -0.000000   25.0000    11.9253
   -3.000     0.000   0.047057   0.000097   0.020362   0.020459   0.000000   0.000000  -0.103167  -0.000000  -0.000000   25.0000     0.4174
   -2.500     0.000   0.092646   0.000267   0.020947   0.021214   0.000000   0.000000  -0.114519   0.000000  -0.000000   25.0000     0.2351
   -2.000     0.000   0.138228   0.000543   0.021413   0.021956   0.000000   0.000000  -0.125884  -0.000000  -0.000000   25.0000     0.1730
   -1.500     0.000   0.183798   0.000925   0.021297   0.022223   0.000000   0.000000  -0.137260  -0.000000  -0.000000   25.0000     0.1417
   -1.000     0.000   0.229349   0.001414   0.021141   0.022555   0.000000   0.000000  -0.148638  -0.000000  -0.000000   25.0000     0.1229
   -0.500     0.000   0.274875   0.002008   0.021047   0.023055   0.000000   0.000000  -0.160013  -0.000000  -0.000000   25.0000     0.1103
    0.000     0.000   0.320370   0.002708   0.020979   0.023687   0.000000  -0.000000  -0.171382   0.000000  -0.000000   25.0000     0.1013
    0.500     0.000   0.365827   0.003513   0.020542   0.024055   0.000000   0.000000  -0.182742   0.000000  -0.000000   25.0000     0.0945
    1.000     0.000   0.411240   0.004423   0.020119   0.024542   0.000000   0.000000  -0.194088   0.000000   0.000000   25.0000     0.0892
    1.500     0.000   0.456603   0.005437   0.019753   0.025191   0.000000   0.000000  -0.205418  -0.000000   0.000000   25.0000     0.0850
    2.000     0.000   0.501910   0.006555   0.019446   0.026000   0.000000   0.000000  -0.216727  -0.000000   0.000000   25.0000     0.0815
    2.500     0.000   0.547155   0.007776   0.018961   0.026737   0.000000   0.000000  -0.228010   0.000000   0.000000   25.0000     0.0787
    3.000     0.000   0.592331   0.009098   0.018568   0.027666   0.000000  -0.000000  -0.239267  -0.000000   0.000000   25.0000     0.0762
    3.500     0.000   0.637433   0.010523   0.018139   0.028662   0.000000  -0.000000  -0.250493   0.000000  -0.000000   25.0000     0.0741
    4.000     0.000   0.682454   0.012047   0.017693   0.029740   0.000000  -0.000000  -0.261684   0.000000   0.000000   25.0000     0.0723
    4.500     0.000   0.727388   0.013671   0.017130   0.030801   0.000000   0.000000  -0.272834  -0.000000  -0.000000   25.0000     0.0708
    5.000     0.000   0.772230   0.015394   0.016659   0.032053   0.000000   0.000000  -0.283945  -0.000000  -0.000000   25.0000     0.0694
    5.500     0.000   0.816972   0.017214   0.016945   0.034159   0.000000   0.000000  -0.295030   0.000000  -0.000000   25.0000     0.0681
    6.000     0.000   0.861610   0.019129   0.017764   0.036893  -0.000000  -0.000000  -0.306083   0.000000   0.000000   25.0000     0.0670
    6.500     0.000   0.906137   0.021140   0.018927   0.040067  -0.000000   0.000000  -0.317101  -0.000000  -0.000000   25.0000     0.0660
    7.000     0.000   0.950547   0.023243   0.020376   0.043620  -0.000000  -0.000000  -0.328080  -0.000000  -0.000000   25.0000     0.0651
    7.500     0.000   0.994835   0.025439   0.021946   0.047385  -0.000000  -0.000000  -0.339012   0.000000   0.000000   25.0000     0.0643
    8.000     0.000   1.038995   0.027725   0.023832   0.051557  -0.000000   0.000000  -0.349903   0.000000   0.000000   25.0000     0.0636
    8.500     0.000   1.083021   0.030100   0.025746   0.055846  -0.000000  -0.000000  -0.360741   0.000000  -0.000000   25.0000     0.0629
    9.000     0.000   1.126907   0.032562   0.027974   0.060536  -0.000000   0.000000  -0.371533   0.000000   0.000000   25.0000     0.0623
    9.500     0.000   1.170647   0.035110   0.030518   0.065628  -0.000000  -0.000000  -0.382280   0.000000  -0.000000   25.0000     0.0617
   10.000     0.000   1.214237   0.037741   0.033758   0.071499  -0.000000   0.000000  -0.392995   0.000000  -0.000000   25.0000     0.0612
   10.500     0.000   1.257670   0.040454   0.037090   0.077544  -0.000000  -0.000000  -0.403654   0.000000  -0.000000   25.0000     0.0607
   11.000     0.000   1.300940   0.043247   0.040904   0.084150  -0.000000   0.000000  -0.414272   0.000000   0.000000   25.0000     0.0602
   11.500     0.000   1.344044   0.046118   0.046128   0.092246  -0.000000  -0.000000  -0.424897   0.000000   0.000000   25.0000     0.0598
   12.000     0.000   1.386974   0.049065   0.051992   0.101057  -0.000000  -0.000000  -0.435495  -0.000000  -0.000000   25.0000     0.0594
   12.500     0.000   1.429726   0.052085   0.060242   0.112327  -0.000000  -0.000000  -0.446162  -0.000000  -0.000000   25.0000     0.0591


