xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST
Polar name :        T1-30.0 m/s-LLT_vtail_dihedral
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.870645   0.032783   0.018265   0.051048   0.000000   0.000000  -0.643296   0.000000   0.000000   30.0000     0.0748
   -9.500     0.000  -0.837571   0.030480   0.017315   0.047795   0.000000   0.000000  -0.613654   0.000000   0.000000   30.0000     0.0754
   -9.000     0.000  -0.804208   0.028071   0.016431   0.044503   0.000000   0.000000  -0.584334   0.000000  -0.000000   30.0000     0.0760
   -8.500     0.000  -0.767721   0.025568   0.015614   0.041182   0.000000   0.000000  -0.553598   0.000000   0.000000   30.0000     0.0764
   -8.000     0.000  -0.728929   0.023051   0.014822   0.037873   0.000000   0.000000  -0.521992   0.000000  -0.000000   30.0000     0.0768
   -7.500     0.000  -0.688630   0.020572   0.014063   0.034635   0.000000   0.000000  -0.489967   0.000000   0.000000   30.0000     0.0771
   -7.000     0.000  -0.645932   0.018107   0.013376   0.031483   0.000000   0.000000  -0.457053   0.000000   0.000000   30.0000     0.0772
   -6.500     0.000  -0.602892   0.015778   0.012707   0.028484   0.000000   0.000000  -0.424273   0.000000  -0.000000   30.0000     0.0773
   -6.000     0.000  -0.558342   0.013554   0.012045   0.025599   0.000000   0.000000  -0.391007   0.000000  -0.000000   30.0000     0.0773
   -5.500     0.000  -0.512001   0.011419   0.011391   0.022811   0.000000   0.000000  -0.357199   0.000000  -0.000000   30.0000     0.0772
   -5.000     0.000  -0.463078   0.009377   0.010735   0.020112   0.000000   0.000000  -0.322481   0.000000  -0.000000   30.0000     0.0768
   -4.500     0.000  -0.415514   0.007559   0.010007   0.017566   0.000000   0.000000  -0.288718   0.000000  -0.000000   30.0000     0.0764
   -4.000     0.000  -0.367836   0.005938   0.009303   0.015241   0.000000   0.000000  -0.255062   0.000000   0.000000   30.0000     0.0758
   -3.500     0.000  -0.319155   0.004483   0.008835   0.013318   0.000000   0.000000  -0.220853   0.000000   0.000000   30.0000     0.0752
   -3.000     0.000  -0.270162   0.003227   0.008567   0.011794   0.000000   0.000000  -0.186447   0.000000  -0.000000   30.0000     0.0744
   -2.500     0.000  -0.222221   0.002194   0.008323   0.010517   0.000000   0.000000  -0.152731   0.000000   0.000000   30.0000     0.0737
   -2.000     0.000  -0.175944   0.001384   0.008192   0.009576   0.000000   0.000000  -0.119867   0.000000   0.000000   30.0000     0.0730
   -1.500     0.000  -0.130794   0.000770   0.008083   0.008853   0.000000   0.000000  -0.087743   0.000000   0.000000   30.0000     0.0726
   -1.000     0.000  -0.086444   0.000341   0.008028   0.008370   0.000000   0.000000  -0.056101   0.000000   0.000000   30.0000     0.0771
   -0.500     0.000  -0.042771   0.000087   0.008027   0.008114   0.000000   0.000000  -0.024962   0.000000   0.000000   30.0000     0.0894
    0.000     0.000   0.000718  -0.000000   0.008055   0.008055   0.000000  -0.000000   0.005824   0.000000  -0.000000   30.0000     0.1118
    0.500     0.000   0.044209   0.000079   0.008026   0.008106   0.000000  -0.000000   0.036224   0.000000   0.000000   30.0000     0.0885
    1.000     0.000   0.087895   0.000327   0.008029   0.008356   0.000000  -0.000000   0.066382   0.000000   0.000000   30.0000     0.0767
    1.500     0.000   0.132242   0.000749   0.008086   0.008835   0.000000  -0.000000   0.096425   0.000000   0.000000   30.0000     0.0726
    2.000     0.000   0.177487   0.001355   0.008196   0.009552   0.000000  -0.000000   0.126424   0.000000   0.000000   30.0000     0.0730
    2.500     0.000   0.223781   0.002159   0.008330   0.010489   0.000000  -0.000000   0.156454   0.000000  -0.000000   30.0000     0.0737
    3.000     0.000   0.271709   0.003182   0.008586   0.011768   0.000000  -0.000000   0.186712   0.000000   0.000000   30.0000     0.0744
    3.500     0.000   0.320546   0.004429   0.008883   0.013311   0.000000  -0.000000   0.216902   0.000000   0.000000   30.0000     0.0752
    4.000     0.000   0.369002   0.005870   0.009391   0.015261   0.000000  -0.000000   0.246299   0.000000   0.000000   30.0000     0.0758
    4.500     0.000   0.416532   0.007476   0.010101   0.017577   0.000000  -0.000000   0.274798   0.000000  -0.000000   30.0000     0.0763
    5.000     0.000   0.464349   0.009287   0.010813   0.020101   0.000000  -0.000000   0.303021   0.000000  -0.000000   30.0000     0.0768
    5.500     0.000   0.513433   0.011339   0.011450   0.022788   0.000000   0.000000   0.331433  -0.000000  -0.000000   30.0000     0.0772
    6.000     0.000   0.559583   0.013458   0.012087   0.025545   0.000000  -0.000000   0.358283   0.000000  -0.000000   30.0000     0.0773
    6.500     0.000   0.603456   0.015649   0.012735   0.028383   0.000000  -0.000000   0.383850   0.000000  -0.000000   30.0000     0.0773
    7.000     0.000   0.647153   0.018003   0.013397   0.031400   0.000000  -0.000000   0.408997   0.000000  -0.000000   30.0000     0.0772
    7.500     0.000   0.689740   0.020460   0.014088   0.034548   0.000000  -0.000000   0.433363   0.000000   0.000000   30.0000     0.0771
    8.000     0.000   0.730143   0.022941   0.014845   0.037786   0.000000  -0.000000   0.456598   0.000000   0.000000   30.0000     0.0768
