xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST_NO_CENTER_SECTION
Polar name :        T1-30.0 m/s-Panel_vtail_dihedral_no_center
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -15.000     0.000  -0.993000   0.056456   0.028289   0.084745  -0.000000  -0.000000  -0.802808  -0.000000  -0.000000   30.0000     0.0382
  -14.500     0.000  -0.965525   0.053524   0.026656   0.080180   0.000000   0.000000  -0.777030   0.000000   0.000000   30.0000     0.0398
  -14.000     0.000  -0.931947   0.049875   0.025046   0.074921   0.000000   0.000000  -0.749324   0.000000   0.000000   30.0000     0.0415
  -13.500     0.000  -0.898850   0.046469   0.023647   0.070116   0.000000  -0.000000  -0.720448  -0.000000  -0.000000   30.0000     0.0431
  -13.000     0.000  -0.864345   0.043017   0.022382   0.065399   0.000000  -0.000000  -0.690619  -0.000000  -0.000000   30.0000     0.0446
  -12.500     0.000  -0.833416   0.040195   0.021255   0.061450   0.000000   0.000000  -0.664039   0.000000   0.000000   30.0000     0.0464
  -12.000     0.000  -0.800240   0.037221   0.020380   0.057600  -0.000000  -0.000000  -0.635250  -0.000000  -0.000000   30.0000     0.0480
  -11.500     0.000  -0.763070   0.033740   0.019544   0.053284  -0.000000  -0.000000  -0.605723  -0.000000  -0.000000   30.0000     0.0494
  -11.000     0.000  -0.729433   0.030885   0.018850   0.049735   0.000000   0.000000  -0.577394   0.000000   0.000000   30.0000     0.0510
  -10.500     0.000  -0.686472   0.027311   0.018107   0.045417   0.000000   0.000000  -0.546707   0.000000   0.000000   30.0000     0.0519
  -10.000     0.000  -0.654628   0.024730   0.017577   0.042307  -0.000000  -0.000000  -0.519205  -0.000000  -0.000000   30.0000     0.0538
   -9.500     0.000  -0.620943   0.022305   0.017030   0.039335   0.000000   0.000000  -0.491122   0.000000   0.000000   30.0000     0.0553
   -9.000     0.000  -0.582574   0.020346   0.016432   0.036778   0.000000   0.000000  -0.461899   0.000000   0.000000   30.0000     0.0562
   -8.500     0.000  -0.555502   0.017872   0.015890   0.033762   0.000000  -0.000000  -0.436166  -0.000000  -0.000000   30.0000     0.0586
   -8.000     0.000  -0.522427   0.015841   0.015261   0.031102   0.000000   0.000000  -0.408598   0.000000   0.000000   30.0000     0.0602
   -7.500     0.000  -0.489003   0.013914   0.014633   0.028547  -0.000000  -0.000000  -0.380935  -0.000000  -0.000000   30.0000     0.0619
   -7.000     0.000  -0.455351   0.012100   0.014007   0.026107   0.000000  -0.000000  -0.353640  -0.000000  -0.000000   30.0000     0.0635
   -6.500     0.000  -0.421637   0.010412   0.013250   0.023662  -0.000000  -0.000000  -0.326106  -0.000000  -0.000000   30.0000     0.0652
   -6.000     0.000  -0.387576   0.008826   0.012385   0.021210  -0.000000  -0.000000  -0.298846  -0.000000  -0.000000   30.0000     0.0667
   -5.500     0.000  -0.352878   0.007311   0.011610   0.018921  -0.000000  -0.000000  -0.271421  -0.000000  -0.000000   30.0000     0.0680
   -5.000     0.000  -0.322233   0.006381   0.011102   0.017483   0.000000   0.000000  -0.244996   0.000000   0.000000   30.0000     0.0705
   -4.500     0.000  -0.286038   0.004849   0.010919   0.015768   0.000000   0.000000  -0.218147   0.000000   0.000000   30.0000     0.0712
   -4.000     0.000  -0.252492   0.003799   0.010768   0.014567   0.000000   0.000000  -0.193830   0.000000   0.000000   30.0000     0.0728
   -3.500     0.000  -0.219174   0.002885   0.010646   0.013531  -0.000000  -0.000000  -0.167659  -0.000000  -0.000000   30.0000     0.0744
   -3.000     0.000  -0.186015   0.002102   0.010615   0.012716  -0.000036  -0.001987  -0.153030   0.002112   0.002112   30.0000     0.0769
