xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST_NO_CENTER_SECTION
Polar name :        T1-30.0 m/s-VLM1_vtail_dihedral_no_center
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.667734   0.024507   0.017875   0.042382   0.000000   0.000000  -0.607160   0.000000   0.000000   30.0000     0.0602
   -9.500     0.000  -0.632024   0.022042   0.017243   0.039284   0.000000   0.000000  -0.569707   0.000000   0.000000   30.0000     0.0614
   -9.000     0.000  -0.596398   0.019703   0.016614   0.036317  -0.000000  -0.000000  -0.532780  -0.000000  -0.000000   30.0000     0.0626
   -8.500     0.000  -0.560884   0.017493   0.015966   0.033459   0.000000   0.000000  -0.496444   0.000000   0.000000   30.0000     0.0638
   -8.000     0.000  -0.525511   0.015416   0.015287   0.030703  -0.000000  -0.000000  -0.460744  -0.000000  -0.000000   30.0000     0.0650
   -7.500     0.000  -0.490316   0.013471   0.014596   0.028067   0.000000   0.000000  -0.425710   0.000000   0.000000   30.0000     0.0662
   -7.000     0.000  -0.455339   0.011662   0.013927   0.025589  -0.000000  -0.000000  -0.391362  -0.000000  -0.000000   30.0000     0.0673
   -6.500     0.000  -0.420626   0.009989   0.013234   0.023223   0.000000   0.000000  -0.357770   0.000000   0.000000   30.0000     0.0685
   -6.000     0.000  -0.386228   0.008453   0.012404   0.020857  -0.000000  -0.000000  -0.324971  -0.000000  -0.000000   30.0000     0.0696
   -5.500     0.000  -0.352197   0.007053   0.011649   0.018702   0.000000  -0.000000  -0.292930   0.000000   0.000000   30.0000     0.0707
   -5.000     0.000  -0.318582   0.005790   0.011049   0.016839  -0.000000  -0.000000  -0.261661   0.000000   0.000000   30.0000     0.0718
   -4.500     0.000  -0.285424   0.004662   0.010803   0.015466  -0.000000  -0.000000  -0.231191  -0.000000  -0.000000   30.0000     0.0729
   -4.000     0.000  -0.252748   0.003667   0.010643   0.014309  -0.000000   0.000000  -0.201611   0.000000   0.000000   30.0000     0.0740
   -3.500     0.000  -0.220549   0.002800   0.010522   0.013322  -0.000000  -0.000000  -0.172912  -0.000000  -0.000000   30.0000     0.0751
   -3.000     0.000  -0.188790   0.002057   0.010463   0.012520  -0.000000  -0.000000  -0.145045   0.000000   0.000000   30.0000     0.0762
   -2.500     0.000  -0.157392   0.001434   0.010446   0.011880  -0.000000  -0.000000  -0.117971  -0.000000  -0.000000   30.0000     0.0774
   -2.000     0.000  -0.126231   0.000925   0.010440   0.011365  -0.000000  -0.000000  -0.091615  -0.000000  -0.000000   30.0000     0.0787
   -1.500     0.000  -0.095149   0.000528   0.010458   0.010986  -0.000000  -0.000000  -0.065875  -0.000000  -0.000000   30.0000     0.0800
   -1.000     0.000  -0.063953   0.000240   0.010530   0.010770  -0.000000  -0.000000  -0.040656  -0.000000  -0.000000   30.0000     0.0812
   -0.500     0.000  -0.032417   0.000062   0.010603   0.010665  -0.000000  -0.000000  -0.015892   0.000000  -0.000000   30.0000     0.0821
    0.000     0.000  -0.000277   0.000000   0.010682   0.010682  -0.000000  -0.000000   0.008500  -0.000000  -0.000000   30.0000    -0.1089
    0.500     0.000   0.032697   0.000065   0.010602   0.010666  -0.000000  -0.000000   0.032395  -0.000000  -0.000000   30.0000     0.0893
    1.000     0.000   0.066317   0.000268   0.010521   0.010789  -0.000000  -0.000000   0.055789  -0.000000  -0.000000   30.0000     0.0902
    1.500     0.000   0.100329   0.000617   0.010438   0.011055  -0.000000  -0.000000   0.078518  -0.000000  -0.000000   30.0000     0.0916
    2.000     0.000   0.134529   0.001115   0.010424   0.011540  -0.000000  -0.000000   0.100501   0.000000  -0.000000   30.0000     0.0931
    2.500     0.000   0.168748   0.001763   0.010435   0.012198   0.000000   0.000000   0.121619  -0.000000  -0.000000   30.0000     0.0945
    3.000     0.000   0.202847   0.002559   0.010454   0.013013  -0.000000  -0.000000   0.141768  -0.000000  -0.000000   30.0000     0.0960
    3.500     0.000   0.236719   0.003500   0.010568   0.014068   0.000000   0.000000   0.160926  -0.000000  -0.000000   30.0000     0.0974
    4.000     0.000   0.270287   0.004583   0.010743   0.015326  -0.000000  -0.000000   0.179049  -0.000000  -0.000000   30.0000     0.0988
    4.500     0.000   0.303506   0.005804   0.010959   0.016763  -0.000000  -0.000000   0.196076  -0.000000  -0.000000   30.0000     0.1002
    5.000     0.000   0.336356   0.007161   0.011529   0.018689   0.000000   0.000000   0.212151   0.000000   0.000000   30.0000     0.1016
    5.500     0.000   0.368835   0.008649   0.012348   0.020997  -0.000000  -0.000000   0.227300  -0.000000  -0.000000   30.0000     0.1030
    6.000     0.000   0.400957   0.010268   0.013238   0.023506  -0.000000  -0.000000   0.241364  -0.000000  -0.000000   30.0000     0.1044
    6.500     0.000   0.432738   0.012016   0.013968   0.025984  -0.000000  -0.000000   0.254190  -0.000000  -0.000000   30.0000     0.1058
    7.000     0.000   0.464198   0.013891   0.014625   0.028516   0.000000   0.000000   0.265765  -0.000000  -0.000000   30.0000     0.1073
    7.500     0.000   0.495354   0.015892   0.015283   0.031175  -0.000000  -0.000000   0.276135  -0.000000  -0.000000   30.0000     0.1088
    8.000     0.000   0.526221   0.018020   0.015927   0.033947   0.000000  -0.000000   0.285273  -0.000000  -0.000000   30.0000     0.1103
    8.500     0.000   0.556808   0.020274   0.016526   0.036800  -0.000000  -0.000000   0.293132  -0.000000  -0.000000   30.0000     0.1118
    9.000     0.000   0.587121   0.022652   0.017109   0.039761  -0.000000  -0.000000   0.299724  -0.000000  -0.000000   30.0000     0.1134
    9.500     0.000   0.617163   0.025155   0.017688   0.042843  -0.000000  -0.000000   0.305049  -0.000000  -0.000000   30.0000     0.1150
   10.000     0.000   0.646933   0.027781   0.018290   0.046071  -0.000000  -0.000000   0.309126  -0.000000  -0.000000   30.0000     0.1166
   10.500     0.000   0.676427   0.030530   0.018967   0.049497  -0.000000  -0.000000   0.311999  -0.000000  -0.000000   30.0000     0.1182
   11.000     0.000   0.705641   0.033400   0.019723   0.053123   0.000000   0.000000   0.313674  -0.000000  -0.000000   30.0000     0.1199
   11.500     0.000   0.734568   0.036390   0.020535   0.056925   0.000000   0.000000   0.314123  -0.000000  -0.000000   30.0000     0.1216
   12.000     0.000   0.763199   0.039499   0.021685   0.061183   0.000000   0.000000   0.313556  -0.000000  -0.000000   30.0000     0.1233
