xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST_PROJECTED_NO_CENTER_SECTION
Polar name :        T1-30.0 m/s-VLM1_vtail_projected_no_center
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -12.000     0.000  -0.990107   0.040278   0.026093   0.066370   0.000000   0.000000  -0.643702   0.000000   0.000000   30.0000     0.0820
  -11.500     0.000  -0.947227   0.037018   0.023504   0.060522   0.000000   0.000000  -0.620251  -0.000000  -0.000000   30.0000     0.0821
  -11.000     0.000  -0.904401   0.033890   0.021414   0.055304   0.000000   0.000000  -0.596479   0.000000   0.000000   30.0000     0.0823
  -10.500     0.000  -0.861642   0.030894   0.019824   0.050718   0.000000   0.000000  -0.572395   0.000000   0.000000   30.0000     0.0824
  -10.000     0.000  -0.818962   0.028031   0.018383   0.046413   0.000000   0.000000  -0.547889   0.000000  -0.000000   30.0000     0.0826
   -9.500     0.000  -0.776373   0.025303   0.017238   0.042541   0.000000   0.000000  -0.523028   0.000000  -0.000000   30.0000     0.0828
   -9.000     0.000  -0.733890   0.022711   0.016354   0.039065   0.000000   0.000000  -0.497814   0.000000  -0.000000   30.0000     0.0829
   -8.500     0.000  -0.691523   0.020256   0.015554   0.035810   0.000000   0.000000  -0.472215   0.000000   0.000000   30.0000     0.0831
   -8.000     0.000  -0.649286   0.017939   0.014903   0.032842   0.000000   0.000000  -0.446270   0.000000   0.000000   30.0000     0.0832
   -7.500     0.000  -0.607192   0.015762   0.014286   0.030047   0.000000   0.000000  -0.419974   0.000000  -0.000000   30.0000     0.0834
   -7.000     0.000  -0.565252   0.013724   0.013650   0.027374   0.000000   0.000000  -0.393339   0.000000  -0.000000   30.0000     0.0835
   -6.500     0.000  -0.523480   0.011826   0.012972   0.024798   0.000000   0.000000  -0.366390   0.000000   0.000000   30.0000     0.0836
   -6.000     0.000  -0.481886   0.010069   0.012278   0.022347   0.000000   0.000000  -0.339161   0.000000   0.000000   30.0000     0.0838
   -5.500     0.000  -0.440482   0.008454   0.011590   0.020044   0.000000   0.000000  -0.311684  -0.000000  -0.000000   30.0000     0.0839
   -5.000     0.000  -0.399281   0.006980   0.010722   0.017702   0.000000   0.000000  -0.283954   0.000000   0.000000   30.0000     0.0841
   -4.500     0.000  -0.358292   0.005647   0.009879   0.015527   0.000000   0.000000  -0.256038   0.000000   0.000000   30.0000     0.0842
   -4.000     0.000  -0.317526   0.004457   0.009273   0.013730   0.000000   0.000000  -0.227989   0.000000   0.000000   30.0000     0.0843
   -3.500     0.000  -0.276992   0.003408   0.009087   0.012496   0.000000   0.000000  -0.199845   0.000000  -0.000000   30.0000     0.0845
   -3.000     0.000  -0.236699   0.002501   0.008941   0.011442   0.000000   0.000000  -0.171574   0.000000   0.000000   30.0000     0.0846
   -2.500     0.000  -0.196654   0.001735   0.008861   0.010595   0.000000   0.000000  -0.143201  -0.000000   0.000000   30.0000     0.0847
   -2.000     0.000  -0.156863   0.001109   0.008844   0.009953   0.000000   0.000000  -0.114747   0.000000   0.000000   30.0000     0.0848
   -1.500     0.000  -0.117331   0.000623   0.008842   0.009465   0.000000   0.000000  -0.086231   0.000000   0.000000   30.0000     0.0849
   -1.000     0.000  -0.078060   0.000277   0.008899   0.009176   0.000000   0.000000  -0.057677   0.000000  -0.000000   30.0000     0.0848
   -0.500     0.000  -0.039048   0.000070   0.008977   0.009047   0.000000   0.000000  -0.029101  -0.000000   0.000000   30.0000     0.0843
    0.000     0.000  -0.000282   0.000000   0.009059   0.009059  -0.000000  -0.000000  -0.000521  -0.000000  -0.000000   30.0000    -0.1039
    0.500     0.000   0.038283   0.000068   0.008979   0.009046   0.000000  -0.000000   0.028058  -0.000000   0.000000   30.0000     0.0875
    1.000     0.000   0.076695   0.000273   0.008900   0.009173   0.000000  -0.000000   0.056632   0.000000   0.000000   30.0000     0.0871
    1.500     0.000   0.114967   0.000617   0.008842   0.009459   0.000000  -0.000000   0.085185   0.000000   0.000000   30.0000     0.0871
    2.000     0.000   0.153101   0.001101   0.008843   0.009944   0.000000  -0.000000   0.113701   0.000000   0.000000   30.0000     0.0873
    2.500     0.000   0.191093   0.001724   0.008860   0.010584   0.000000  -0.000000   0.142154  -0.000000   0.000000   30.0000     0.0875
    3.000     0.000   0.228938   0.002489   0.008939   0.011427   0.000000  -0.000000   0.170528  -0.000000  -0.000000   30.0000     0.0877
    3.500     0.000   0.266629   0.003394   0.009097   0.012491   0.000000  -0.000000   0.198801   0.000000   0.000000   30.0000     0.0880
    4.000     0.000   0.304158   0.004440   0.009306   0.013746   0.000000  -0.000000   0.226949   0.000000   0.000000   30.0000     0.0882
    4.500     0.000   0.341515   0.005629   0.009928   0.015557   0.000000  -0.000000   0.255002   0.000000   0.000000   30.0000     0.0885
    5.000     0.000   0.378690   0.006959   0.010780   0.017739   0.000000  -0.000000   0.282922   0.000000   0.000000   30.0000     0.0888
    5.500     0.000   0.415672   0.008430   0.011639   0.020069   0.000000  -0.000000   0.310654   0.000000   0.000000   30.0000     0.0891
    6.000     0.000   0.452451   0.010044   0.012313   0.022357   0.000000  -0.000000   0.338133   0.000000  -0.000000   30.0000     0.0894
    6.500     0.000   0.489013   0.011798   0.012994   0.024792   0.000000  -0.000000   0.365364   0.000000   0.000000   30.0000     0.0896
    7.000     0.000   0.525347   0.013694   0.013658   0.027352   0.000000   0.000000   0.392315   0.000000  -0.000000   30.0000     0.0899
    7.500     0.000   0.561441   0.015730   0.014279   0.030009   0.000000  -0.000000   0.418952   0.000000   0.000000   30.0000     0.0902
    8.000     0.000   0.597282   0.017906   0.014892   0.032798   0.000000  -0.000000   0.445253   0.000000  -0.000000   30.0000     0.0905
    8.500     0.000   0.632858   0.020220   0.015546   0.035766   0.000000   0.000000   0.471205  -0.000000  -0.000000   30.0000     0.0908
    9.000     0.000   0.668158   0.022673   0.016330   0.039003   0.000000  -0.000000   0.496807   0.000000   0.000000   30.0000     0.0911
    9.500     0.000   0.703168   0.025263   0.017195   0.042457   0.000000  -0.000000   0.522022   0.000000   0.000000   30.0000     0.0914
   10.000     0.000   0.737876   0.027988   0.018324   0.046312   0.000000  -0.000000   0.546886   0.000000   0.000000   30.0000     0.0917
   10.500     0.000   0.772270   0.030849   0.019782   0.050631   0.000000  -0.000000   0.571405   0.000000   0.000000   30.0000     0.0920
   11.000     0.000   0.806339   0.033843   0.021387   0.055230   0.000000  -0.000000   0.595503   0.000000  -0.000000   30.0000     0.0924
   11.500     0.000   0.840071   0.036970   0.023467   0.060437   0.000000  -0.000000   0.619280   0.000000   0.000000   30.0000     0.0927
   12.000     0.000   0.873452   0.040227   0.026040   0.066268   0.000000  -0.000000   0.642733   0.000000   0.000000   30.0000     0.0930
   12.500     0.000   0.906473   0.043613   0.049633   0.093247   0.000000  -0.000000   0.673535  -0.000000   0.000000   30.0000     0.0933
   13.000     0.000   0.939122   0.047127   0.171946   0.219073   0.000000  -0.000000   0.743386  -0.000000   0.000000   30.0000     0.0936
   13.500     0.000   0.971386   0.050767   0.274920   0.325687   0.000000  -0.000000   0.809418  -0.000000   0.000000   30.0000     0.0939
   14.000     0.000   1.003256   0.054530   0.313276   0.367807  -0.000000   0.000000   0.849491  -0.000000  -0.000000   30.0000     0.0943
   14.500     0.000   1.034719   0.058415   0.363590   0.422005   0.000000  -0.000000   0.895695  -0.000000   0.000000   30.0000     0.0946


