xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST
Polar name :        T1-30.0 m/s-VLM2_vtail_dihedral
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.729968   0.023909   0.016372   0.040281   0.000000   0.000000  -0.563922   0.000000   0.000000   30.0000     0.0741
   -9.500     0.000  -0.694189   0.021631   0.015671   0.037302   0.000000   0.000000  -0.533368   0.000000   0.000000   30.0000     0.0741
   -9.000     0.000  -0.658299   0.019460   0.015013   0.034473   0.000000   0.000000  -0.502981   0.000000   0.000000   30.0000     0.0740
   -8.500     0.000  -0.622303   0.017396   0.014392   0.031788   0.000000   0.000000  -0.472778   0.000000   0.000000   30.0000     0.0740
   -8.000     0.000  -0.586207   0.015441   0.013834   0.029275   0.000000   0.000000  -0.442752   0.000000   0.000000   30.0000     0.0740
   -7.500     0.000  -0.550016   0.013598   0.013303   0.026901   0.000000   0.000000  -0.412917   0.000000   0.000000   30.0000     0.0739
   -7.000     0.000  -0.513736   0.011867   0.012778   0.024645   0.000000   0.000000  -0.383301   0.000000   0.000000   30.0000     0.0739
   -6.500     0.000  -0.477372   0.010249   0.012271   0.022520   0.000000   0.000000  -0.353886   0.000000   0.000000   30.0000     0.0739
   -6.000     0.000  -0.440932   0.008746   0.011758   0.020504   0.000000   0.000000  -0.324708   0.000000   0.000000   30.0000     0.0739
   -5.500     0.000  -0.404419   0.007359   0.011219   0.018579   0.000000   0.000000  -0.295744   0.000000   0.000000   30.0000     0.0739
   -5.000     0.000  -0.367841   0.006090   0.010678   0.016768   0.000000   0.000000  -0.266967   0.000000   0.000000   30.0000     0.0738
   -4.500     0.000  -0.331203   0.004938   0.010227   0.015165   0.000000   0.000000  -0.238379   0.000000   0.000000   30.0000     0.0738
   -4.000     0.000  -0.294511   0.003905   0.009932   0.013837   0.000000   0.000000  -0.210031   0.000000   0.000000   30.0000     0.0738
   -3.500     0.000  -0.257771   0.002992   0.009709   0.012701   0.000000   0.000000  -0.181959   0.000000   0.000000   30.0000     0.0738
   -3.000     0.000  -0.220989   0.002199   0.009508   0.011708   0.000000   0.000000  -0.154159   0.000000   0.000000   30.0000     0.0738
   -2.500     0.000  -0.184170   0.001528   0.009360   0.010888   0.000000   0.000000  -0.126638   0.000000   0.000000   30.0000     0.0739
   -2.000     0.000  -0.147322   0.000978   0.009235   0.010213   0.000000   0.000000  -0.099414   0.000000   0.000000   30.0000     0.0739
   -1.500     0.000  -0.110449   0.000550   0.009134   0.009684   0.000000   0.000000  -0.072481   0.000000   0.000000   30.0000     0.0740
   -1.000     0.000  -0.073558   0.000244   0.009093   0.009336   0.000000   0.000000  -0.045841   0.000000   0.000000   30.0000     0.0742
   -0.500     0.000  -0.036655   0.000061   0.009079   0.009139   0.000000   0.000000  -0.019516   0.000000   0.000000   30.0000     0.0747
    0.000     0.000   0.000254   0.000000   0.009094   0.009094  -0.000000  -0.000000   0.006492   0.000000   0.000000   30.0000    -0.0807
    0.500     0.000   0.037164   0.000062   0.009079   0.009141  -0.000000  -0.000000   0.032107   0.000000  -0.000000   30.0000     0.0726
    1.000     0.000   0.074067   0.000247   0.009093   0.009340  -0.000000  -0.000000   0.057390   0.000000  -0.000000   30.0000     0.0731
    1.500     0.000   0.110958   0.000554   0.009136   0.009690  -0.000000  -0.000000   0.082327   0.000000  -0.000000   30.0000     0.0733
    2.000     0.000   0.147832   0.000984   0.009237   0.010221  -0.000000  -0.000000   0.106930   0.000000  -0.000000   30.0000     0.0734
    2.500     0.000   0.184682   0.001536   0.009362   0.010898  -0.000000  -0.000000   0.131182   0.000000  -0.000000   30.0000     0.0734
    3.000     0.000   0.221501   0.002209   0.009511   0.011720  -0.000000  -0.000000   0.155064   0.000000  -0.000000   30.0000     0.0735
    3.500     0.000   0.258285   0.003003   0.009713   0.012716  -0.000000  -0.000000   0.178583   0.000000  -0.000000   30.0000     0.0735
    4.000     0.000   0.295027   0.003918   0.009937   0.013855  -0.000000  -0.000000   0.201728   0.000000  -0.000000   30.0000     0.0736
    4.500     0.000   0.331721   0.004952   0.010240   0.015193  -0.000000  -0.000000   0.224494   0.000000  -0.000000   30.0000     0.0736
    5.000     0.000   0.368361   0.006106   0.010701   0.016807  -0.000000  -0.000000   0.246910   0.000000  -0.000000   30.0000     0.0736
    5.500     0.000   0.404942   0.007378   0.011252   0.018629  -0.000000  -0.000000   0.269004   0.000000  -0.000000   30.0000     0.0737
    6.000     0.000   0.441457   0.008766   0.011795   0.020561  -0.000000  -0.000000   0.290746   0.000000  -0.000000   30.0000     0.0737
    6.500     0.000   0.477900   0.010271   0.012305   0.022577  -0.000000  -0.000000   0.312081   0.000000  -0.000000   30.0000     0.0737
    7.000     0.000   0.514267   0.011891   0.012802   0.024693  -0.000000  -0.000000   0.332987   0.000000  -0.000000   30.0000     0.0738
    7.500     0.000   0.550550   0.013625   0.013315   0.026940  -0.000000  -0.000000   0.353486   0.000000  -0.000000   30.0000     0.0738
    8.000     0.000   0.586744   0.015471   0.013860   0.029331  -0.000000  -0.000000   0.373556   0.000000  -0.000000   30.0000     0.0738
    8.500     0.000   0.622845   0.017428   0.014434   0.031861  -0.000000  -0.000000   0.393204   0.000000  -0.000000   30.0000     0.0739
    9.000     0.000   0.658844   0.019494   0.015040   0.034534  -0.000000  -0.000000   0.412429   0.000000  -0.000000   30.0000     0.0739
    9.500     0.000   0.694739   0.021668   0.015693   0.037361  -0.000000  -0.000000   0.431220   0.000000  -0.000000   30.0000     0.0739
   10.000     0.000   0.730521   0.023949   0.016394   0.040343  -0.000000  -0.000000   0.449583   0.000000  -0.000000   30.0000     0.0740
   10.500     0.000   0.766187   0.026334   0.017167   0.043501  -0.000000  -0.000000   0.467526   0.000000  -0.000000   30.0000     0.0740
   11.000     0.000   0.801731   0.028822   0.018019   0.046841  -0.000000  -0.000000   0.485050   0.000000  -0.000000   30.0000     0.0741
   11.500     0.000   0.837147   0.031411   0.019033   0.050444  -0.000000  -0.000000   0.502218   0.000000  -0.000000   30.0000     0.0741
   12.000     0.000   0.872429   0.034098   0.020084   0.054182  -0.000000  -0.000000   0.518938   0.000000  -0.000000   30.0000     0.0742
   12.500     0.000   0.907574   0.036883   0.021515   0.058398  -0.000000  -0.000000   0.535336   0.000000  -0.000000   30.0000     0.0742
   13.000     0.000   0.942574   0.039761   0.022997   0.062758  -0.000000  -0.000000   0.551369   0.000000  -0.000000   30.0000     0.0743
   13.500     0.000   0.977426   0.042733   0.024499   0.067232  -0.000000  -0.000000   0.566961   0.000000  -0.000000   30.0000     0.0744
   14.000     0.000   1.012123   0.045794   0.026512   0.072307  -0.000000  -0.000000   0.582264   0.000000  -0.000000   30.0000     0.0744
