xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST_PROJECTED
Polar name :        T1-30.0 m/s-VLM2_vtail_projected
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.844903   0.025240   0.017129   0.042369  -0.000000   0.000000  -0.578820   0.000000   0.000000   30.0000     0.0763
   -9.500     0.000  -0.803451   0.022835   0.016018   0.038854  -0.000000   0.000000  -0.550828   0.000000   0.000000   30.0000     0.0762
   -9.000     0.000  -0.761876   0.020543   0.015104   0.035647  -0.000000   0.000000  -0.522703   0.000000   0.000000   30.0000     0.0762
   -8.500     0.000  -0.720184   0.018364   0.014285   0.032649  -0.000000   0.000000  -0.494438   0.000000   0.000000   30.0000     0.0762
   -8.000     0.000  -0.678381   0.016300   0.013565   0.029865  -0.000000   0.000000  -0.466042   0.000000   0.000000   30.0000     0.0761
   -7.500     0.000  -0.636474   0.014354   0.012900   0.027255  -0.000000   0.000000  -0.437518   0.000000   0.000000   30.0000     0.0761
   -7.000     0.000  -0.594469   0.012526   0.012296   0.024823  -0.000000   0.000000  -0.408873   0.000000   0.000000   30.0000     0.0761
   -6.500     0.000  -0.552373   0.010819   0.011724   0.022543  -0.000000   0.000000  -0.380114   0.000000   0.000000   30.0000     0.0761
   -6.000     0.000  -0.510191   0.009232   0.011189   0.020422  -0.000000   0.000000  -0.351248   0.000000   0.000000   30.0000     0.0760
   -5.500     0.000  -0.467930   0.007768   0.010658   0.018426  -0.000000   0.000000  -0.322282   0.000000   0.000000   30.0000     0.0760
   -5.000     0.000  -0.425597   0.006428   0.010098   0.016526  -0.000000   0.000000  -0.293222   0.000000   0.000000   30.0000     0.0760
   -4.500     0.000  -0.383198   0.005212   0.009503   0.014716  -0.000000   0.000000  -0.264076   0.000000   0.000000   30.0000     0.0760
   -4.000     0.000  -0.340739   0.004122   0.009006   0.013128  -0.000000   0.000000  -0.234862   0.000000   0.000000   30.0000     0.0760
   -3.500     0.000  -0.298228   0.003158   0.008752   0.011910  -0.000000   0.000000  -0.205593   0.000000   0.000000   30.0000     0.0760
   -3.000     0.000  -0.255670   0.002322   0.008533   0.010854  -0.000000   0.000000  -0.176266   0.000000   0.000000   30.0000     0.0760
   -2.500     0.000  -0.213073   0.001613   0.008342   0.009955  -0.000000   0.000000  -0.146890   0.000000   0.000000   30.0000     0.0760
   -2.000     0.000  -0.170442   0.001032   0.008209   0.009241  -0.000000   0.000000  -0.117472   0.000000   0.000000   30.0000     0.0761
   -1.500     0.000  -0.127785   0.000580   0.008091   0.008671  -0.000000   0.000000  -0.088021   0.000000   0.000000   30.0000     0.0762
   -1.000     0.000  -0.085108   0.000257   0.008024   0.008281  -0.000000   0.000000  -0.058545   0.000000   0.000000   30.0000     0.0763
   -0.500     0.000  -0.042418   0.000064   0.008002   0.008066  -0.000000   0.000000  -0.029052   0.000000   0.000000   30.0000     0.0769
    0.000     0.000   0.000278   0.000000   0.008018   0.008018   0.000000  -0.000000   0.000449   0.000000   0.000000   30.0000    -0.0886
    0.500     0.000   0.042975   0.000066   0.008002   0.008067  -0.000000  -0.000000   0.029950   0.000000   0.000000   30.0000     0.0747
    1.000     0.000   0.085665   0.000261   0.008025   0.008285  -0.000000  -0.000000   0.059442   0.000000   0.000000   30.0000     0.0753
    1.500     0.000   0.128342   0.000585   0.008093   0.008677  -0.000000  -0.000000   0.088918   0.000000   0.000000   30.0000     0.0755
    2.000     0.000   0.170999   0.001038   0.008211   0.009249  -0.000000  -0.000000   0.118368   0.000000   0.000000   30.0000     0.0756
    2.500     0.000   0.213629   0.001620   0.008344   0.009964  -0.000000  -0.000000   0.147785   0.000000   0.000000   30.0000     0.0756
    3.000     0.000   0.256226   0.002331   0.008536   0.010867  -0.000000  -0.000000   0.177161   0.000000   0.000000   30.0000     0.0757
    3.500     0.000   0.298783   0.003169   0.008759   0.011928  -0.000000  -0.000000   0.206487   0.000000   0.000000   30.0000     0.0757
    4.000     0.000   0.341294   0.004134   0.009024   0.013158  -0.000000  -0.000000   0.235754   0.000000   0.000000   30.0000     0.0757
    4.500     0.000   0.383752   0.005226   0.009531   0.014757  -0.000000  -0.000000   0.264968   0.000000   0.000000   30.0000     0.0758
    5.000     0.000   0.426150   0.006443   0.010131   0.016574  -0.000000  -0.000000   0.294112   0.000000   0.000000   30.0000     0.0758
    5.500     0.000   0.468483   0.007785   0.010686   0.018471  -0.000000  -0.000000   0.323170   0.000000   0.000000   30.0000     0.0758
    6.000     0.000   0.510743   0.009251   0.011208   0.020458  -0.000000  -0.000000   0.352133   0.000000   0.000000   30.0000     0.0759
    6.500     0.000   0.552924   0.010838   0.011731   0.022569  -0.000000  -0.000000   0.380996   0.000000   0.000000   30.0000     0.0759
    7.000     0.000   0.595019   0.012548   0.012313   0.024860  -0.000000  -0.000000   0.409754   0.000000   0.000000   30.0000     0.0759
    7.500     0.000   0.637023   0.014377   0.012924   0.027301  -0.000000  -0.000000   0.438396   0.000000   0.000000   30.0000     0.0760
    8.000     0.000   0.678929   0.016324   0.013577   0.029902  -0.000000  -0.000000   0.466917   0.000000   0.000000   30.0000     0.0760
    8.500     0.000   0.720731   0.018389   0.014299   0.032688  -0.000000  -0.000000   0.495310   0.000000   0.000000   30.0000     0.0760
    9.000     0.000   0.762422   0.020569   0.015116   0.035685  -0.000000  -0.000000   0.523571   0.000000   0.000000   30.0000     0.0761
    9.500     0.000   0.803995   0.022864   0.016034   0.038897  -0.000000  -0.000000   0.551694   0.000000   0.000000   30.0000     0.0761
   10.000     0.000   0.845446   0.025270   0.017142   0.042412  -0.000000  -0.000000   0.579683   0.000000   0.000000   30.0000     0.0762
   10.500     0.000   0.886768   0.027786   0.018359   0.046145  -0.000000  -0.000000   0.607519   0.000000   0.000000   30.0000     0.0762
   11.000     0.000   0.927955   0.030411   0.019885   0.050296  -0.000000  -0.000000   0.635227   0.000000   0.000000   30.0000     0.0762
   11.500     0.000   0.969000   0.033142   0.021519   0.054661  -0.000000  -0.000000   0.662775   0.000000   0.000000   30.0000     0.0763
   12.000     0.000   1.009898   0.035977   0.023665   0.059642  -0.000000  -0.000000   0.690210   0.000000   0.000000   30.0000     0.0763
   12.500     0.000   1.050643   0.038915   0.038929   0.077843  -0.000000  -0.000000   0.719199   0.000000   0.000000   30.0000     0.0764


