xflr5 v6.47

Plane name :        VTOL_SINGLE_TWIN_VERTICAL_EQUIVALENT_VTAIL2_NACA_LAST
Polar name :        T5-a0.0°-30.0m/s-Panel_Twin_Vertical_equiv2

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000   -18.000   0.033474   0.040567   0.025728   0.066295   0.385666   0.086441   0.169239   0.034922   0.038333   30.0000    -0.4964
    0.000   -17.500   0.032274   0.038365   0.018111   0.056477   0.375241   0.084309   0.152893   0.036975   0.037270   30.0000    -0.4861
    0.000   -17.000   0.031104   0.036225   0.015821   0.052046   0.364790   0.082154   0.142928   0.036682   0.036208   30.0000    -0.4753
    0.000   -16.500   0.029964   0.034145   0.015329   0.049473   0.354316   0.079978   0.134990   0.035627   0.035145   30.0000    -0.4640
    0.000   -16.000   0.028856   0.032125   0.014909   0.047034   0.343817   0.077782   0.127330   0.034541   0.034083   30.0000    -0.4521
    0.000   -15.500   0.027778   0.030167   0.014542   0.044708   0.333297   0.075564   0.119915   0.033457   0.033020   30.0000    -0.4396
    0.000   -15.000   0.026732   0.028269   0.014202   0.042471   0.322754   0.073328   0.112728   0.032380   0.031958   30.0000    -0.4264
    0.000   -14.500   0.025718   0.026433   0.013885   0.040318   0.312190   0.071071   0.105773   0.031303   0.030895   30.0000    -0.4126
    0.000   -14.000   0.024735   0.024658   0.013620   0.038278   0.301606   0.068797   0.099071   0.030219   0.029832   30.0000    -0.3982
    0.000   -13.500   0.023785   0.022944   0.013372   0.036316   0.291003   0.066504   0.092596   0.029141   0.028769   30.0000    -0.3830
    0.000   -13.000   0.022868   0.021292   0.013151   0.034443   0.280385   0.064194   0.086357   0.028058   0.027706   30.0000    -0.3672
    0.000   -12.500   0.021982   0.019701   0.012947   0.032648   0.269741   0.061866   0.080339   0.026979   0.026642   30.0000    -0.3506
    0.000   -12.000   0.021130   0.018172   0.012763   0.030935   0.259084   0.059522   0.074556   0.025902   0.025579   30.0000    -0.3333
    0.000   -11.500   0.020310   0.016704   0.012594   0.029298   0.248411   0.057163   0.069003   0.024821   0.024515   30.0000    -0.3153
    0.000   -11.000   0.019524   0.015298   0.012433   0.027731   0.237722   0.054788   0.063674   0.023740   0.023451   30.0000    -0.2966
    0.000   -10.500   0.018772   0.013954   0.012280   0.026234   0.227018   0.052399   0.058569   0.022659   0.022387   30.0000    -0.2772
    0.000   -10.000   0.018053   0.012672   0.012128   0.024800   0.216300   0.049996   0.053685   0.021577   0.021323   30.0000    -0.2571
    0.000    -9.500   0.017368   0.011452   0.011986   0.023438   0.205569   0.047580   0.049033   0.020495   0.020258   30.0000    -0.2364
    0.000    -9.000   0.016717   0.010294   0.011852   0.022147   0.194824   0.045151   0.044611   0.019412   0.019194   30.0000    -0.2152
    0.000    -8.500   0.016100   0.009199   0.011715   0.020914   0.184068   0.042710   0.040410   0.018327   0.018129   30.0000    -0.1934
    0.000    -8.000   0.015517   0.008165   0.011574   0.019740   0.173301   0.040258   0.036431   0.017242   0.017064   30.0000    -0.1713
    0.000    -7.500   0.014969   0.007194   0.011440   0.018634   0.162523   0.037795   0.032691   0.016160   0.015999   30.0000    -0.1489
    0.000    -7.000   0.014455   0.006285   0.011309   0.017594   0.151734   0.035322   0.029183   0.015082   0.014933   30.0000    -0.1264
    0.000    -6.500   0.013976   0.005439   0.011196   0.016634   0.140937   0.032840   0.025925   0.014008   0.013868   30.0000    -0.1039
    0.000    -6.000   0.013532   0.004655   0.011115   0.015769   0.130131   0.030348   0.022929   0.012940   0.012802   30.0000    -0.0816
    0.000    -5.500   0.013123   0.003933   0.011060   0.014993   0.119317   0.027849   0.020187   0.011863   0.011737   30.0000    -0.0598
    0.000    -5.000   0.012749   0.003274   0.011011   0.014286   0.108496   0.025343   0.017683   0.010784   0.010671   30.0000    -0.0385
    0.000    -4.500   0.012410   0.002678   0.010965   0.013643   0.097668   0.022829   0.015414   0.009705   0.009605   30.0000    -0.0182
    0.000    -4.000   0.012106   0.002144   0.010924   0.013068   0.086835   0.020310   0.013385   0.008628   0.008539   30.0000     0.0009
    0.000    -3.500   0.011838   0.001673   0.010892   0.012565   0.075996   0.017785   0.011596   0.007550   0.007472   30.0000     0.0187
    0.000    -3.000   0.011605   0.001265   0.010863   0.012128   0.065152   0.015255   0.010045   0.006471   0.006406   30.0000     0.0347
    0.000    -2.500   0.011407   0.000919   0.010838   0.011757   0.054305   0.012722   0.008731   0.005393   0.005340   30.0000     0.0489
    0.000    -2.000   0.011245   0.000636   0.010820   0.011456   0.043454   0.010184   0.007659   0.004317   0.004273   30.0000     0.0608
    0.000    -1.500   0.011118   0.000416   0.010809   0.011225   0.032601   0.007645   0.006830   0.003241   0.003207   30.0000     0.0703
    0.000    -1.000   0.011026   0.000259   0.010806   0.011065   0.021746   0.005103   0.006242   0.002164   0.002140   30.0000     0.0772
    0.000    -0.500   0.010971   0.000164   0.010808   0.010972   0.010889   0.002559   0.005893   0.001087   0.001074   30.0000     0.0815
    0.000     0.000   0.010951   0.000133   0.010812   0.010945   0.000032   0.000016   0.005779   0.000007   0.000007   30.0000     0.0829
    0.000     0.500   0.010966   0.000164   0.010808   0.010971  -0.010826  -0.002528   0.005890  -0.001072  -0.001059   30.0000     0.0815
