xflr5 v6.47

Plane name :        VTOL_SINGLE_TWIN_VERTICAL_EQUIVALENT_VTAIL2_NACA_LAST
Polar name :        T5-a0.0°-30.0m/s-VLM2_Twin_Vertical_equiv2

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000   -17.000   0.040337   0.038085   0.020137   0.058222   0.387563   0.094405   0.147761   0.034099   0.035145   30.0000    -0.3890
    0.000   -16.500   0.038026   0.035887   0.016399   0.052286   0.376261   0.091968   0.136519   0.034463   0.034121   30.0000    -0.3897
    0.000   -16.000   0.035779   0.033753   0.015774   0.049528   0.364950   0.089502   0.128634   0.033478   0.033096   30.0000    -0.3904
    0.000   -15.500   0.033597   0.031684   0.015292   0.046976   0.353630   0.087007   0.121066   0.032451   0.032070   30.0000    -0.3911
    0.000   -15.000   0.031480   0.029680   0.014839   0.044519   0.342303   0.084484   0.113713   0.031420   0.031043   30.0000    -0.3918
    0.000   -14.500   0.029429   0.027740   0.014423   0.042163   0.330967   0.081935   0.106580   0.030383   0.030016   30.0000    -0.3924
    0.000   -14.000   0.027443   0.025866   0.014057   0.039923   0.319624   0.079358   0.099685   0.029356   0.028988   30.0000    -0.3931
    0.000   -13.500   0.025523   0.024056   0.013731   0.037787   0.308273   0.076757   0.093025   0.028320   0.027959   30.0000    -0.3937
    0.000   -13.000   0.023670   0.022312   0.013438   0.035750   0.296915   0.074130   0.086592   0.027285   0.026930   30.0000    -0.3944
    0.000   -12.500   0.021884   0.020632   0.013177   0.033809   0.285551   0.071480   0.080383   0.026242   0.025899   30.0000    -0.3950
    0.000   -12.000   0.020165   0.019018   0.012933   0.031951   0.274179   0.068806   0.074394   0.025199   0.024868   30.0000    -0.3957
    0.000   -11.500   0.018513   0.017470   0.012717   0.030186   0.262802   0.066110   0.068642   0.024156   0.023837   30.0000    -0.3963
    0.000   -11.000   0.016930   0.015986   0.012519   0.028506   0.251418   0.063393   0.063116   0.023110   0.022805   30.0000    -0.3970
    0.000   -10.500   0.015415   0.014569   0.012334   0.026903   0.240029   0.060655   0.057814   0.022064   0.021772   30.0000    -0.3977
    0.000   -10.000   0.013968   0.013216   0.012160   0.025376   0.228634   0.057897   0.052736   0.021018   0.020739   30.0000    -0.3984
    0.000    -9.500   0.012590   0.011929   0.011991   0.023921   0.217235   0.055120   0.047887   0.019972   0.019705   30.0000    -0.3992
    0.000    -9.000   0.011281   0.010708   0.011838   0.022546   0.205830   0.052325   0.043273   0.018923   0.018671   30.0000    -0.4000
    0.000    -8.500   0.010041   0.009553   0.011688   0.021240   0.194420   0.049514   0.038888   0.017874   0.017636   30.0000    -0.4008
    0.000    -8.000   0.008871   0.008463   0.011540   0.020003   0.183006   0.046686   0.034731   0.016822   0.016601   30.0000    -0.4018
    0.000    -7.500   0.007771   0.007439   0.011391   0.018831   0.171588   0.043843   0.030813   0.015770   0.015566   30.0000    -0.4029
    0.000    -7.000   0.006740   0.006481   0.011239   0.017720   0.160167   0.040985   0.027129   0.014719   0.014530   30.0000    -0.4041
    0.000    -6.500   0.005780   0.005589   0.011100   0.016689   0.148741   0.038114   0.023696   0.013670   0.013493   30.0000    -0.4056
    0.000    -6.000   0.004890   0.004763   0.010984   0.015747   0.137312   0.035231   0.020522   0.012621   0.012457   30.0000    -0.4074
    0.000    -5.500   0.004071   0.004002   0.010918   0.014920   0.125880   0.032336   0.017632   0.011572   0.011420   30.0000    -0.4097
    0.000    -5.000   0.003322   0.003308   0.010862   0.014170   0.114446   0.029430   0.014994   0.010521   0.010382   30.0000    -0.4126
    0.000    -4.500   0.002645   0.002680   0.010808   0.013488   0.103008   0.026515   0.012602   0.009470   0.009345   30.0000    -0.4166
    0.000    -4.000   0.002038   0.002117   0.010759   0.012876   0.091569   0.023591   0.010458   0.008419   0.008307   30.0000    -0.4224
    0.000    -3.500   0.001502   0.001621   0.010720   0.012341   0.080127   0.020659   0.008568   0.007367   0.007269   30.0000    -0.4312
    0.000    -3.000   0.001038   0.001191   0.010686   0.011877   0.068684   0.017720   0.006929   0.006315   0.006231   30.0000    -0.4461
    0.000    -2.500   0.000645   0.000827   0.010655   0.011482   0.057239   0.014776   0.005540   0.005262   0.005193   30.0000    -0.4754
    0.000    -2.000   0.000323   0.000529   0.010629   0.011159   0.045793   0.011826   0.004403   0.004210   0.004154   30.0000    -0.5522
    0.000    -1.500   0.000073   0.000298   0.010618   0.010916   0.034345   0.008873   0.003527   0.003158   0.003116   30.0000    -1.0811
    0.000    -1.000  -0.000106   0.000132   0.010612   0.010745   0.022897   0.005917   0.002904   0.002105   0.002077   30.0000     0.0699
    0.000    -0.500  -0.000213   0.000033   0.010617   0.010650   0.011449   0.002959   0.002536   0.001053   0.001039   30.0000    -0.1657
    0.000     0.000  -0.000249   0.000000   0.010624   0.010624   0.000000   0.000000   0.002422   0.000000   0.000000   30.0000    -0.1992
    0.000     0.500  -0.000213   0.000033   0.010617   0.010650  -0.011449  -0.002959   0.002536  -0.001053  -0.001039   30.0000    -0.1657
    0.000     1.000  -0.000106   0.000132   0.010612   0.010745  -0.022897  -0.005917   0.002904  -0.002105  -0.002077   30.0000     0.0699
    0.000     1.500   0.000073   0.000298   0.010618   0.010916  -0.034345  -0.008873   0.003527  -0.003158  -0.003116   30.0000    -1.0814
    0.000     2.000   0.000323   0.000529   0.010629   0.011159  -0.045793  -0.011826   0.004403  -0.004210  -0.004154   30.0000    -0.5522
    0.000     2.500   0.000645   0.000827   0.010655   0.011482  -0.057239  -0.014776   0.005539  -0.005262  -0.005193   30.0000    -0.4754
    0.000     3.000   0.001038   0.001191   0.010686   0.011877  -0.068684  -0.017720   0.006929  -0.006315  -0.006231   30.0000    -0.4461
    0.000     3.500   0.001502   0.001621   0.010720   0.012341  -0.080127  -0.020659   0.008568  -0.007367  -0.007269   30.0000    -0.4312
    0.000     4.000   0.002038   0.002117   0.010759   0.012876  -0.091569  -0.023591   0.010457  -0.008419  -0.008307   30.0000    -0.4224
    0.000     4.500   0.002645   0.002680   0.010808   0.013488  -0.103008  -0.026515   0.012602  -0.009470  -0.009345   30.0000    -0.4166
    0.000     5.000   0.003322   0.003308   0.010862   0.014170  -0.114446  -0.029430   0.014994  -0.010521  -0.010382   30.0000    -0.4126
    0.000     5.500   0.004071   0.004002   0.010918   0.014920  -0.125880  -0.032336   0.017632  -0.011572  -0.011420   30.0000    -0.4097
    0.000     6.000   0.004890   0.004763   0.010984   0.015747  -0.137312  -0.035231   0.020522  -0.012621  -0.012457   30.0000    -0.4074
    0.000     6.500   0.005780   0.005589   0.011100   0.016689  -0.148741  -0.038114   0.023696  -0.013670  -0.013493   30.0000    -0.4056
    0.000     7.000   0.006740   0.006481   0.011239   0.017720  -0.160167  -0.040985   0.027129  -0.014719  -0.014530   30.0000    -0.4041
    0.000     7.500   0.007771   0.007439   0.011391   0.018831  -0.171588  -0.043843   0.030813  -0.015770  -0.015566   30.0000    -0.4029
    0.000     8.000   0.008871   0.008463   0.011540   0.020003  -0.183006  -0.046686   0.034731  -0.016822  -0.016601   30.0000    -0.4018
    0.000     8.500   0.010041   0.009553   0.011688   0.021240  -0.194420  -0.049514   0.038888  -0.017874  -0.017636   30.0000    -0.4008
    0.000     9.000   0.011281   0.010708   0.011838   0.022546  -0.205830  -0.052326   0.043273  -0.018923  -0.018671   30.0000    -0.4000
    0.000     9.500   0.012590   0.011929   0.011991   0.023921  -0.217234  -0.055120   0.047887  -0.019972  -0.019705   30.0000    -0.3992
    0.000    10.000   0.013968   0.013216   0.012160   0.025376  -0.228634  -0.057897   0.052736  -0.021018  -0.020739   30.0000    -0.3984
    0.000    10.500   0.015414   0.014569   0.012334   0.026903  -0.240029  -0.060655   0.057814  -0.022064  -0.021772   30.0000    -0.3977
    0.000    11.000   0.016930   0.015986   0.012519   0.028506  -0.251418  -0.063393   0.063116  -0.023110  -0.022805   30.0000    -0.3970
    0.000    11.500   0.018513   0.017470   0.012717   0.030186  -0.262802  -0.066110   0.068642  -0.024156  -0.023837   30.0000    -0.3963
    0.000    12.000   0.020165   0.019018   0.012933   0.031951  -0.274179  -0.068806   0.074394  -0.025199  -0.024868   30.0000    -0.3957
    0.000    12.500   0.021884   0.020632   0.013177   0.033809  -0.285551  -0.071480   0.080383  -0.026242  -0.025899   30.0000    -0.3950
    0.000    13.000   0.023670   0.022312   0.013438   0.035750  -0.296915  -0.074130   0.086592  -0.027285  -0.026930   30.0000    -0.3944
    0.000    13.500   0.025523   0.024056   0.013731   0.037787  -0.308273  -0.076757   0.093025  -0.028320  -0.027959   30.0000    -0.3937
    0.000    14.000   0.027443   0.025866   0.014057   0.039923  -0.319624  -0.079359   0.099685  -0.029356  -0.028988   30.0000    -0.3931
    0.000    14.500   0.029429   0.027740   0.014423   0.042163  -0.330967  -0.081935   0.106581  -0.030383  -0.030016   30.0000    -0.3924
    0.000    15.000   0.031480   0.029680   0.014839   0.044519  -0.342303  -0.084485   0.113714  -0.031420  -0.031043   30.0000    -0.3918
    0.000    15.500   0.033597   0.031684   0.015292   0.046976  -0.353630  -0.087007   0.121066  -0.032451  -0.032070   30.0000    -0.3911
    0.000    16.000   0.035779   0.033753   0.015774   0.049528  -0.364950  -0.089502   0.128634  -0.033478  -0.033096   30.0000    -0.3904
    0.000    16.500   0.038026   0.035887   0.016399   0.052286  -0.376261  -0.091968   0.136519  -0.034463  -0.034121   30.0000    -0.3897
    0.000    17.000   0.040337   0.038085   0.020137   0.058222  -0.387563  -0.094405   0.147761  -0.034099  -0.035145   30.0000    -0.3890


