xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST
Polar name :        T5-a0.0°-30.0m/s-VLM2_vtail_dihedral_beta

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.000254   0.000000   0.009094   0.009094   0.000000   0.000000   0.006492   0.000000   0.000000   30.0000    -0.0807
    0.000     0.500   0.000277   0.000022   0.009086   0.009107  -0.007844  -0.004614   0.006709  -0.000818  -0.000804   30.0000    -0.1969
    0.000     1.000   0.000347   0.000087   0.009077   0.009164  -0.015687  -0.009226   0.007389  -0.001636  -0.001609   30.0000    -0.4521
    0.000     1.500   0.000463   0.000195   0.009071   0.009266  -0.023526  -0.013833   0.008533  -0.002453  -0.002412   30.0000    -0.7066
    0.000     2.000   0.000626   0.000347   0.009075   0.009423  -0.031359  -0.018433   0.010146  -0.003270  -0.003215   30.0000    -0.9040
    0.000     2.500   0.000835   0.000543   0.009082   0.009625  -0.039185  -0.023022   0.012218  -0.004085  -0.004017   30.0000    -1.0447
    0.000     3.000   0.001090   0.000781   0.009092   0.009873  -0.047001  -0.027599   0.014750  -0.004899  -0.004818   30.0000    -1.1432
    0.000     3.500   0.001390   0.001063   0.009113   0.010176  -0.054807  -0.032162   0.017746  -0.005712  -0.005617   30.0000    -1.2128
    0.000     4.000   0.001737   0.001388   0.009144   0.010532  -0.062599  -0.036707   0.021204  -0.006523  -0.006414   30.0000    -1.2630
    0.000     4.500   0.002129   0.001756   0.009179   0.010934  -0.070376  -0.041233   0.025114  -0.007332  -0.007209   30.0000    -1.2999
    0.000     5.000   0.002567   0.002166   0.009218   0.011384  -0.078137  -0.045736   0.029474  -0.008138  -0.008002   30.0000    -1.3275
    0.000     5.500   0.003050   0.002619   0.009258   0.011878  -0.085879  -0.050216   0.034278  -0.008943  -0.008792   30.0000    -1.3487
    0.000     6.000   0.003577   0.003115   0.009300   0.012415  -0.093600  -0.054668   0.039522  -0.009744  -0.009579   30.0000    -1.3651
    0.000     6.500   0.004149   0.003653   0.009344   0.012997  -0.101299  -0.059091   0.045202  -0.010543  -0.010364   30.0000    -1.3779
    0.000     7.000   0.004765   0.004233   0.009397   0.013630  -0.108974  -0.063483   0.051319  -0.011338  -0.011145   30.0000    -1.3881
    0.000     7.500   0.005425   0.004855   0.009457   0.014312  -0.116623  -0.067841   0.057865  -0.012130  -0.011922   30.0000    -1.3963
    0.000     8.000   0.006128   0.005519   0.009521   0.015039  -0.124245  -0.072163   0.064834  -0.012918  -0.012696   30.0000    -1.4029
    0.000     8.500   0.006873   0.006224   0.009584   0.015808  -0.131837  -0.076446   0.072215  -0.013702  -0.013465   30.0000    -1.4082
    0.000     9.000   0.007662   0.006970   0.009650   0.016620  -0.139397  -0.080689   0.080004  -0.014482  -0.014230   30.0000    -1.4124
    0.000     9.500   0.008492   0.007757   0.009716   0.017473  -0.146925  -0.084889   0.088195  -0.015258  -0.014991   30.0000    -1.4159
    0.000    10.000   0.009363   0.008585   0.009786   0.018371  -0.154417  -0.089045   0.096781  -0.016028  -0.015747   30.0000    -1.4186
    0.000    10.500   0.010276   0.009453   0.009895   0.019348  -0.161873  -0.093153   0.105785  -0.016794  -0.016498   30.0000    -1.4208
    0.000    11.000   0.011228   0.010361   0.010040   0.020402  -0.169291  -0.097213   0.115201  -0.017558  -0.017243   30.0000    -1.4225
    0.000    11.500   0.012220   0.011309   0.010202   0.021511  -0.176669  -0.101221   0.125000  -0.018319  -0.017983   30.0000    -1.4237
    0.000    12.000   0.013252   0.012296   0.010370   0.022666  -0.184004  -0.105176   0.135168  -0.019073  -0.018718   30.0000    -1.4247
    0.000    12.500   0.014321   0.013323   0.010544   0.023866  -0.191296  -0.109076   0.145693  -0.019824  -0.019446   30.0000    -1.4253
    0.000    13.000   0.015429   0.014387   0.010727   0.025115  -0.198543  -0.112919   0.156572  -0.020573  -0.020168   30.0000    -1.4256
    0.000    13.500   0.016573   0.015491   0.010908   0.026398  -0.205743  -0.116703   0.167782  -0.021315  -0.020884   30.0000    -1.4257
    0.000    14.000   0.017754   0.016631   0.011078   0.027710  -0.212894  -0.120426   0.179309  -0.022048  -0.021593   30.0000    -1.4255
    0.000    14.500   0.018970   0.017810   0.011244   0.029054  -0.219995  -0.124087   0.191144  -0.022774  -0.022295   30.0000    -1.4252
    0.000    15.000   0.020221   0.019025   0.011409   0.030434  -0.227044  -0.127684   0.203286  -0.023493  -0.022991   30.0000    -1.4247
    0.000    15.500   0.021506   0.020277   0.011574   0.031851  -0.234040  -0.131214   0.215720  -0.024208  -0.023679   30.0000    -1.4240
    0.000    16.000   0.022824   0.021565   0.011736   0.033302  -0.240980  -0.134677   0.228432  -0.024916  -0.024359   30.0000    -1.4232
    0.000    16.500   0.024175   0.022889   0.011904   0.034793  -0.247864  -0.138071   0.241418  -0.025615  -0.025032   30.0000    -1.4222
    0.000    17.000   0.025557   0.024248   0.012073   0.036321  -0.254689  -0.141394   0.254665  -0.026307  -0.025697   30.0000    -1.4211
    0.000    17.500   0.026969   0.025642   0.012243   0.037885  -0.261455  -0.144645   0.268163  -0.026990  -0.026354   30.0000    -1.4199
    0.000    18.000   0.028411   0.027070   0.012412   0.039483  -0.268159  -0.147822   0.281897  -0.027665  -0.027003   30.0000    -1.4186
    0.000    18.500   0.029882   0.028532   0.012580   0.041113  -0.274800  -0.150925   0.295853  -0.028331  -0.027643   30.0000    -1.4172
    0.000    19.000   0.031381   0.030028   0.012754   0.042782  -0.281377  -0.153951   0.310024  -0.028989  -0.028275   30.0000    -1.4157
    0.000    19.500   0.032907   0.031556   0.012932   0.044488  -0.287889  -0.156899   0.324396  -0.029639  -0.028898   30.0000    -1.4141
    0.000    20.000   0.034458   0.033116   0.013111   0.046226  -0.294332  -0.159769   0.338959  -0.030280  -0.029512   30.0000    -1.4124
    0.000    20.500   0.036034   0.034708   0.013298   0.048006  -0.300707  -0.162558   0.353707  -0.030916  -0.030117   30.0000    -1.4106
    0.000    21.000   0.037634   0.036331   0.013487   0.049818  -0.307012  -0.165267   0.368618  -0.031542  -0.030712   30.0000    -1.4087
    0.000    21.500   0.039257   0.037985   0.013686   0.051671  -0.313246  -0.167894   0.383689  -0.032161  -0.031298   30.0000    -1.4068
    0.000    22.000   0.040901   0.039669   0.013891   0.053560  -0.319406  -0.170438   0.398901  -0.032771  -0.031875   30.0000    -1.4048
    0.000    22.500   0.042566   0.041383   0.014108   0.055490  -0.325492  -0.172898   0.414244  -0.033371  -0.032441   30.0000    -1.4027
    0.000    23.000   0.044251   0.043125   0.014333   0.057458  -0.331503  -0.175274   0.429705  -0.033962  -0.032998   30.0000    -1.4006
    0.000    23.500   0.045953   0.044896   0.014562   0.059459  -0.337437  -0.177564   0.445268  -0.034545  -0.033545   30.0000    -1.3983
    0.000    24.000   0.047673   0.046695   0.014796   0.061491  -0.343293  -0.179768   0.460918  -0.035120  -0.034081   30.0000    -1.3961
    0.000    24.500   0.049409   0.048521   0.015037   0.063558  -0.349069  -0.181885   0.476647  -0.035688  -0.034607   30.0000    -1.3937
