xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST_PROJECTED
Polar name :        T5-a0.0°-30.0m/s-VLM2_vtail_projected_beta

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.000278   0.000000   0.008018   0.008018  -0.000000   0.000000   0.000449   0.000000   0.000000   30.0000    -0.0886
    0.000     0.500   0.000278   0.000000   0.008018   0.008018   0.000000   0.000000   0.000449  -0.000009   0.000000   30.0000    -0.0886
    0.000     1.000   0.000278   0.000000   0.008018   0.008018   0.000000   0.000001   0.000449  -0.000018   0.000000   30.0000    -0.0886
    0.000     1.500   0.000278   0.000000   0.008018   0.008018   0.000000   0.000001   0.000448  -0.000028   0.000000   30.0000    -0.0885
    0.000     2.000   0.000278   0.000000   0.008018   0.008018   0.000000   0.000002   0.000448  -0.000037   0.000000   30.0000    -0.0885
    0.000     2.500   0.000278   0.000000   0.008018   0.008018   0.000000   0.000002   0.000447  -0.000046   0.000000   30.0000    -0.0885
    0.000     3.000   0.000278   0.000000   0.008018   0.008018   0.000000   0.000003   0.000447  -0.000055   0.000000   30.0000    -0.0885
    0.000     3.500   0.000277   0.000000   0.008018   0.008018   0.000000   0.000003   0.000446  -0.000064   0.000000   30.0000    -0.0885
    0.000     4.000   0.000277   0.000000   0.008018   0.008018   0.000000   0.000003   0.000446  -0.000073   0.000000   30.0000    -0.0885
    0.000     4.500   0.000277   0.000000   0.008018   0.008018   0.000000   0.000004   0.000445  -0.000082   0.000000   30.0000    -0.0885
    0.000     5.000   0.000276   0.000000   0.008018   0.008018   0.000000   0.000004   0.000444  -0.000092   0.000000   30.0000    -0.0885
    0.000     5.500   0.000276   0.000000   0.008018   0.008018   0.000000   0.000005   0.000443  -0.000101   0.000000   30.0000    -0.0884
    0.000     6.000   0.000275   0.000000   0.008018   0.008018   0.000000   0.000005   0.000442  -0.000110   0.000000   30.0000    -0.0884
    0.000     6.500   0.000275   0.000000   0.008018   0.008018   0.000000   0.000006   0.000440  -0.000119   0.000000   30.0000    -0.0884
    0.000     7.000   0.000274   0.000000   0.008018   0.008018   0.000000   0.000006   0.000439  -0.000128   0.000000   30.0000    -0.0884
