VTAIL_CENTERSECTION_55_DEG_case2b
T6/1-TriUniform-ThickSurf-alpha(0.00,1.00)-x0_057m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20          -20            0      -1.1473      0.11159     0.036651     0.074942   1.4785e-12     -0.40777     -0.24651     -0.16126    6.047e-13  -1.5992e-13   1.4678e-14   -1.746e-13      -10.281      -11.012            0      -79.585       7.7409      -22.335   1.0256e-10      -76.563      -20.485   1.0122e-10      -73.217            0            0            0       26.873            0           27      -5.5555   3.5955e-11      -5.1405  -9.5087e-12     0.010834  -1.9298e-13      0.10945      -12.344            0          209       1.1821     -0.01243            0            0            0            0            0            0            0            0            0            0        0.057            0  
        -19          -19            0       -1.095      0.10157     0.033634     0.067936    3.042e-13     -0.35922     -0.21338     -0.14584   5.8024e-14  -2.9718e-14   9.3693e-16  -3.0655e-14       -10.78      -11.281            0      -75.954       7.0456      -20.272   2.1101e-11       -73.35       -18.62   1.9363e-11       -70.29            0            0            0       26.885            0           27      -5.2997   3.4501e-12      -4.5284   -1.767e-12     0.013393  -2.9294e-14      0.11028      -11.847            0       190.23       1.1878    -0.014665            0            0            0            0            0            0            0            0            0            0        0.057            0  
        -18          -18            0      -1.0426     0.092703     0.031353      0.06135  -3.3268e-13     -0.31802     -0.18718     -0.13083  -2.6299e-13   3.4473e-14  -3.0396e-15   3.7512e-14      -11.247      -11.484            0      -72.323       6.4305      -18.302  -2.3077e-11      -70.098      -16.832  -2.4416e-11      -67.308            0            0            0       26.894            0           27      -5.0811  -1.5637e-11       -4.009   2.0497e-12     0.015999   5.6904e-14      0.11095      -11.338            0       173.62       1.1925    -0.016681            0            0            0            0            0            0            0            0            0            0        0.057            0  
        -17          -17            0     -0.98911     0.084244     0.029259     0.054985   4.6198e-13     -0.28038     -0.16375     -0.11664    2.582e-13  -4.3388e-14   3.3939e-15  -4.6782e-14      -11.741      -11.677            0      -68.612       5.8437      -16.413   3.2046e-11      -66.729      -15.113   3.3148e-11      -64.203            0            0            0       26.903            0           27      -4.8682   1.5352e-11      -3.5346  -2.5798e-12     0.018574   -6.935e-14      0.11153      -10.812            0       157.78       1.1975    -0.018372            0            0            0            0            0            0            0            0            0            0        0.057            0  
        -16          -16            0     -0.93485     0.076073     0.027153      0.04892   2.2397e-13     -0.24482     -0.14166     -0.10316  -1.1829e-13  -1.8122e-14   4.7659e-16  -1.8598e-14      -12.289      -11.882            0      -64.848       5.2769      -14.612   1.5536e-11      -63.271       -13.47   1.1921e-11          -61            0            0            0       26.911            0           27      -4.6522  -7.0337e-12      -3.0863  -1.0775e-12     0.021136  -1.9427e-15        0.112      -10.272            0       142.48       1.2024    -0.019759            0            0            0            0            0            0            0            0            0            0        0.057            0  
        -15          -15            0     -0.87983     0.068351     0.025189     0.043162   2.1744e-12     -0.21222     -0.12179    -0.090433   1.1174e-12  -2.0405e-13   1.6493e-14  -2.2054e-13      -12.872      -12.074            0      -61.031       4.7413      -12.904   1.5084e-10      -59.727      -11.906   1.4688e-10      -57.699            0            0            0       26.919            0           27      -4.4422   6.6442e-11      -2.6754  -1.2132e-11     0.023681  -4.3001e-13      0.11234      -9.7161            0       128.02       1.2071    -0.020835            0            0            0            0            0            0            0            0            0            0        0.057            0  
        -14          -14            0     -0.82407     0.061193     0.023471     0.037722   6.4255e-13     -0.18305     -0.10457     -0.07848   1.4578e-13  -6.3257e-14   3.5641e-15  -6.6821e-14      -13.467      -12.225            0      -57.163       4.2448       -11.29   4.4572e-11      -56.098      -10.424   4.0354e-11      -54.304            0            0            0       26.926            0           27      -4.2468   8.6681e-12      -2.3076  -3.7612e-12     0.026201  -1.0387e-13      0.11257      -9.1461            0       114.61       1.2116    -0.021591            0            0            0            0            0            0            0            0            0            0        0.057            0  
        -13          -13            0     -0.76756     0.054521     0.021913     0.032608   1.3502e-12     -0.15663    -0.089301    -0.067329   5.5248e-13  -1.2832e-13   7.4255e-15  -1.3574e-13      -14.078      -12.334            0      -53.243        3.782      -9.7731   9.3659e-11      -52.387      -9.0268   9.3327e-11      -50.815            0            0            0       26.932            0           27       -4.063    3.285e-11      -1.9745  -7.6296e-12     0.028691  -2.6608e-13      0.11268      -8.5618            0       102.11        1.216    -0.022022            0            0            0            0            0            0            0            0            0            0        0.057            0  
        -12          -12            0     -0.71032     0.048285     0.020455      0.02783   3.2048e-13     -0.13253     -0.07552    -0.057005  -3.4272e-14  -3.7066e-14   9.9716e-16  -3.8063e-14      -14.711      -12.398            0      -49.272       3.3494       -8.356   2.2231e-11      -48.597      -7.7181   1.8759e-11      -47.235            0            0            0       26.938            0           27      -3.8888  -2.0378e-12      -1.6707  -2.2039e-12     0.031143  -2.8892e-14      0.11265      -7.9635            0       90.433       1.2202    -0.022121            0            0            0            0            0            0            0            0            0            0        0.057            0  
        -11          -11            0     -0.65235     0.042577     0.019181     0.023396  -9.7092e-13     -0.11102    -0.063486    -0.047536  -7.2368e-13   8.2609e-14  -5.5143e-15   8.8123e-14      -15.321      -12.375            0      -45.251       2.9535      -7.0413   -6.735e-11       -44.73      -6.5006  -7.0501e-11      -43.565            0            0            0       26.943            0           27      -3.7343   -4.303e-11      -1.3996   4.9118e-12     0.033549   3.2626e-13      0.11248      -7.3513            0       79.744       1.2242    -0.021885            0            0            0            0            0            0            0            0            0            0        0.057            0  
