VTAIL_CENTERSECTION_45_DEG_nominal
T6/1-TriUniform-ThickSurf-alpha(0.00,1.00)-x0_065


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20          -20            0      -1.3249      0.12516     0.046167     0.078993  -2.4158e-13     -0.54428     -0.30933     -0.23495  -7.6519e-14   2.6616e-14   6.1074e-16   2.6005e-14      -10.586      -12.185            0      -118.21       11.167      -33.808  -2.1554e-11      -113.49      -31.075  -2.1916e-11      -109.06            0            0            0        26.88            0           27      -5.3965  -7.6536e-12      -8.7766   2.6622e-12     0.010814   2.5993e-14      0.13163      -20.846            0        301.5       1.1247    -0.014328            0            0            0            0            0            0            0            0            0            0        0.065            0  
        -19          -19            0      -1.2638      0.11267     0.041009     0.071661  -3.7587e-13     -0.47083     -0.25874     -0.21208  -3.0028e-13   3.2006e-14  -6.9753e-15   3.8981e-14      -11.217      -12.609            0      -112.76       10.053      -30.664  -3.3536e-11      -108.69      -28.223  -3.4392e-11      -104.65            0            0            0       26.893            0           27      -5.0947  -3.0034e-11      -7.5922   3.2013e-12     0.013806   1.0524e-13      0.13259      -19.955            0       271.42       1.1279    -0.017448            0            0            0            0            0            0            0            0            0            0        0.065            0  
        -18          -18            0      -1.2026      0.10154     0.036804     0.064739   7.0999e-13     -0.40822     -0.21815     -0.19007   4.1712e-13  -6.9107e-14   1.3243e-14  -8.2349e-14      -11.843      -12.987            0       -107.3       9.0597      -27.663   6.3346e-11      -103.83      -25.492   6.9884e-11      -100.15            0            0            0       26.904            0           27      -4.8265   4.1721e-11      -6.5827  -6.9122e-12     0.016839  -1.8531e-13      0.13337      -19.048            0       244.61       1.1306    -0.020251            0            0            0            0            0            0            0            0            0            0        0.065            0  
        -17          -17            0      -1.1403     0.091365     0.033302     0.058063   9.4811e-13     -0.35411      -0.1849     -0.16921   4.3165e-13  -6.9879e-14   1.5757e-14  -8.5636e-14      -12.481      -13.327            0      -101.74       8.1517      -24.791   8.4592e-11      -98.807      -22.872   8.6222e-11      -95.481            0            0            0       26.914            0           27       -4.581   4.3174e-11      -5.7101  -6.9894e-12     0.019853  -2.0978e-13      0.13406       -18.12            0       220.09       1.1333    -0.022638            0            0            0            0            0            0            0            0            0            0        0.065            0  
        -16          -16            0      -1.0773     0.081799     0.030099       0.0517   3.3673e-13     -0.30536     -0.15593     -0.14943   3.0619e-13  -3.1544e-14   6.7305e-15  -3.8274e-14       -13.17      -13.669            0      -96.116       7.2982      -22.059   3.0043e-11      -93.664      -20.373   3.5409e-11      -90.679            0            0            0       26.922            0           27      -4.3422   3.0626e-11       -4.924  -3.1551e-12     0.022861  -1.4342e-13      0.13463      -17.174            0       197.05        1.136    -0.024628            0            0            0            0            0            0            0            0            0            0        0.065            0  
        -15          -15            0      -1.0135     0.072947     0.027287      0.04566   4.0392e-13     -0.26172     -0.13093     -0.13078   3.8067e-13  -3.8352e-14   6.4713e-15  -4.4823e-14      -13.894      -13.988            0       -90.43       6.5084       -19.47   3.6038e-11      -88.403      -17.998   4.0695e-11      -85.744            0            0            0        26.93            0           27      -4.1166   3.8075e-11      -4.2202   -3.836e-12     0.025857  -1.9218e-13      0.13507      -16.209            0       175.73       1.1386    -0.026208            0            0            0            0            0            0            0            0            0            0        0.065            0  
        -14          -14            0     -0.94911        0.065     0.025048     0.039952   1.5285e-13     -0.22395     -0.11067     -0.11329   1.8661e-13   -1.508e-14     2.01e-15   -1.709e-14      -14.602      -14.225            0       -84.68       5.7993      -17.027   1.3638e-11      -83.027      -15.751   2.0979e-11      -80.679            0            0            0       26.937            0           27      -3.9178   1.8665e-11      -3.6113  -1.5083e-12     0.028837  -5.9577e-14      0.13538      -15.226            0       156.58       1.1411     -0.02737            0            0            0            0            0            0            0            0            0            0        0.065            0  
        -13          -13            0     -0.88396     0.057373     0.022789     0.034584  -6.0723e-13     -0.18898    -0.092005    -0.096972  -2.5442e-13   4.5129e-14  -5.6982e-15   5.0827e-14      -15.407      -14.486            0      -78.868       5.1188      -14.735  -5.4177e-11      -77.541      -13.638  -5.3829e-11      -75.488            0            0            0       26.943            0           27      -3.7135  -2.5448e-11      -3.0473   4.5138e-12     0.031795   1.8781e-13      0.13557      -14.225            0       138.21       1.1435    -0.028106            0            0            0            0            0            0            0            0            0            0        0.065            0  
        -12          -12            0     -0.81813     0.050595     0.021029     0.029566  -5.5815e-13     -0.15881    -0.076946    -0.081868  -3.2922e-13    5.624e-14  -6.0595e-15     6.23e-14       -16.17      -14.626            0      -72.994       4.5142      -12.596  -4.9799e-11      -71.948      -11.661  -4.9234e-11      -70.173            0            0            0       26.949            0           27      -3.5388  -3.2929e-11      -2.5609   5.6253e-12     0.034725   2.5112e-13      0.13562      -13.207            0       121.88       1.1457     -0.02841            0            0            0            0            0            0            0            0            0            0        0.065            0  
        -11          -11            0     -0.75162     0.044165     0.019257     0.024908   1.0213e-12     -0.13112    -0.063121    -0.068001   6.5782e-13  -8.1586e-14    9.697e-15  -9.1283e-14      -17.018      -14.754            0       -67.06       3.9404      -10.614    9.112e-11      -66.252      -9.8246   9.1749e-11      -64.739            0            0            0       26.954            0           27      -3.3628   6.5797e-11      -2.1144  -8.1604e-12     0.037621  -5.0656e-13      0.13552      -12.172            0       106.39       1.1478    -0.028277            0            0            0            0            0            0            0            0            0            0        0.065            0  
