VTAIL_CENTERSECTION_50_DEG_case2a
T6/1-TriUniform-ThickSurf-alpha(0.00,1.00)-x0_068m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20          -20            0      -1.2616      0.11443      0.04424     0.070192  -1.7893e-12     -0.58205      -0.2915     -0.29056  -1.0603e-12   1.7446e-13  -3.2281e-14   2.0674e-13      -11.025      -12.384            0      -112.52       10.206      -32.602  -1.5958e-10      -107.88      -29.957  -1.6642e-10      -103.46            0            0            0        26.89            0           27      -5.1827  -1.0598e-10       -9.351   1.7437e-11    0.0035213   3.7486e-13      0.15126      -22.339            0       275.56       1.1481   -0.0044425            0            0            0            0            0            0            0            0            0            0        0.068            0  
        -19          -19            0      -1.2037      0.10325     0.039591     0.063662   -9.096e-13     -0.50906     -0.24523     -0.26383  -6.1848e-13   8.5299e-14  -1.1911e-14    9.721e-14      -11.657      -12.789            0      -107.35        9.209      -29.582  -8.1126e-11      -103.35      -27.218    -8.15e-11      -99.316            0            0            0       26.901            0           27       -4.903  -6.1815e-11      -8.1783   8.5253e-12    0.0067998   1.9933e-13      0.15246      -21.404            0       248.64       1.1522   -0.0081847            0            0            0            0            0            0            0            0            0            0        0.068            0  
        -18          -18            0      -1.1456     0.093192     0.035686     0.057506   4.6377e-13     -0.44528     -0.20723     -0.23804   1.1697e-13  -2.5915e-14   1.0917e-14  -3.6832e-14      -12.293      -13.157            0      -102.17       8.3116      -26.696   4.1363e-11      -98.758      -24.593   3.3078e-11      -95.085            0            0            0       26.911            0           27      -4.6506    1.169e-11      -7.1536  -2.5901e-12     0.010131  -1.1345e-13      0.15348       -20.45            0       224.41       1.1555    -0.011606            0            0            0            0            0            0            0            0            0            0        0.068            0  
        -17          -17            0      -1.0865     0.084001     0.032437     0.051564  -3.9064e-13     -0.38949     -0.17602     -0.21347  -3.8563e-13   2.4105e-14  -6.6995e-15   3.0805e-14      -12.934      -13.481            0      -96.899       7.4919      -23.933   -3.484e-11       -94.01      -22.073    -3.95e-11       -90.69            0            0            0        26.92            0           27      -4.4211  -3.8542e-11      -6.2573   2.4092e-12     0.013447   1.1534e-13       0.1544      -19.471            0       202.28        1.159    -0.014609            0            0            0            0            0            0            0            0            0            0        0.068            0  
        -16          -16            0      -1.0266     0.075701       0.0298     0.045901  -1.9187e-12     -0.34032     -0.15026     -0.19006  -1.0925e-12    1.571e-13  -1.9242e-14   1.7634e-13      -13.561       -13.74            0      -91.558       6.7516      -21.302  -1.7112e-10       -89.14      -19.666  -1.7366e-10      -86.161            0            0            0       26.927            0           27      -4.2174  -1.0919e-10      -5.4674   1.5702e-11     0.016764   5.0502e-13      0.15519      -18.469            0       182.29       1.1624    -0.017209            0            0            0            0            0            0            0            0            0            0        0.068            0  
        -15          -15            0     -0.96592        0.068     0.027477     0.040523   7.4329e-14     -0.29588     -0.12801     -0.16787    2.913e-13  -1.9451e-14   3.4317e-15  -2.2883e-14      -14.205      -13.961            0      -86.149       6.0648      -18.806   6.6292e-12      -84.149      -17.377   1.1924e-11      -81.496            0            0            0       26.933            0           27      -4.0269   2.9114e-11      -4.7535  -1.9441e-12     0.020075  -1.1035e-13      0.15584      -17.444            0       163.75       1.1657    -0.019391            0            0            0            0            0            0            0            0            0            0        0.068            0  
        -14          -14            0     -0.90462     0.060609     0.025163     0.035446  -7.9141e-13     -0.25444     -0.10751     -0.14693  -5.8266e-13   6.0592e-14  -7.3458e-15   6.7938e-14      -14.925      -14.196            0      -80.681       5.4056      -16.451  -7.0585e-11       -79.05      -15.212  -7.1419e-11      -76.708            0            0            0        26.94            0           27      -3.8331  -5.8234e-11      -4.0877   6.0559e-12     0.023376   2.8439e-13      0.15637        -16.4            0       145.95       1.1689    -0.021146            0            0            0            0            0            0            0            0            0            0        0.068            0  
        -13          -13            0     -0.84257     0.053883     0.023214     0.030669  -1.1297e-12     -0.21749    -0.090217     -0.12727  -6.6669e-13   9.0785e-14  -1.0519e-14    1.013e-13      -15.637      -14.353            0      -75.147       4.8058      -14.239  -1.0076e-10      -73.836      -13.172  -9.9406e-11       -71.79            0            0            0       26.945            0           27      -3.6592  -6.6633e-11      -3.4941   9.0737e-12     0.026659   4.0108e-13      0.15676      -15.333            0       129.76        1.172    -0.022462            0            0            0            0            0            0            0            0            0            0        0.068            0  
        -12          -12            0     -0.77981     0.047652     0.021447     0.026206  -9.4706e-13     -0.18409    -0.075149     -0.10894  -2.9617e-13   6.5063e-14  -6.2562e-15    7.132e-14      -16.365      -14.451            0       -69.55         4.25      -12.174  -8.4467e-11      -68.516      -11.263  -7.8345e-11      -66.749            0            0            0        26.95            0           27      -3.4968  -2.9601e-11      -2.9575   6.5028e-12      0.02992    2.459e-13      0.15701      -14.245            0       114.75       1.1749    -0.023332            0            0            0            0            0            0            0            0            0            0        0.068            0  
        -11          -11            0     -0.71637     0.041866     0.019803     0.022063  -5.5451e-13     -0.15371    -0.061738     -0.09197  -1.5104e-13   3.6711e-14  -1.9727e-15   3.8683e-14      -17.111      -14.483            0      -63.892       3.7339       -10.26  -4.9456e-11      -63.094       -9.489  -4.9432e-11      -61.589            0            0            0       26.954            0           27      -3.3446  -1.5096e-11      -2.4694   3.6691e-12      0.03315   1.1009e-13      0.15711      -13.136            0       100.82       1.1777    -0.023747            0            0            0            0            0            0            0            0            0            0        0.068            0  
