VTAIL_CENTERSECTION_55_DEG_case1
T6/1-TriUniform-ThickSurf-alpha(0.00,1.00)X0_06m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20          -20            0      -1.1666      0.10816     0.038988     0.069177   1.3954e-12     -0.47261     -0.25853     -0.21408   4.3411e-13  -1.1145e-13   1.5844e-14   -1.273e-13      -10.786       -11.65            0      -89.585       8.3059      -25.648   1.0715e-10      -85.999      -23.536   9.8828e-11      -82.239            0            0            0       26.885            0           27      -5.2971   3.1862e-11      -6.5587  -8.1805e-12    0.0050882  -1.7792e-13       0.1331       -16.37            0       224.26       1.1789    -0.005936            0            0            0            0            0            0            0            0            0            0         0.06            0  
        -19          -19            0      -1.1133     0.098164     0.035455     0.062708   4.6915e-13     -0.41496     -0.22119     -0.19377    5.184e-14  -2.2389e-14   6.6562e-15  -2.9045e-14      -11.341      -11.967            0       -85.49       7.5379       -23.28   3.6026e-11        -82.4      -21.393   2.9677e-11      -78.963            0            0            0       26.896            0           27      -5.0389   3.8049e-12      -5.7587  -1.6433e-12    0.0080321  -7.9419e-14      0.13418      -15.707            0       203.52       1.1843   -0.0089422            0            0            0            0            0            0            0            0            0            0         0.06            0  
        -18          -18            0      -1.0599     0.089434     0.032808     0.056626  -8.0027e-13     -0.36622     -0.19211     -0.17411  -5.6384e-13    7.238e-14  -9.7848e-15   8.2165e-14      -11.851      -12.201            0      -81.391       6.8676      -21.016  -6.1452e-11      -78.751      -19.338  -6.2261e-11      -75.621            0            0            0       26.904            0           27      -4.8231  -4.1384e-11      -5.0823   5.3125e-12      0.01103   1.6204e-13      0.13509      -15.027            0       185.43       1.1888    -0.011691            0            0            0            0            0            0            0            0            0            0         0.06            0  
        -17          -17            0      -1.0054     0.081297     0.030546     0.050751   7.3857e-13     -0.32274      -0.1673     -0.15544    3.205e-13  -4.9071e-14   6.0503e-15  -5.5121e-14      -12.367      -12.401            0      -77.207       6.2428      -18.846   5.6715e-11      -74.972      -17.362   5.7438e-11      -72.142            0            0            0       26.912            0           27      -4.6228   2.3524e-11      -4.4788  -3.6016e-12     0.014005  -1.0449e-13       0.1359      -14.326            0       168.56       1.1935    -0.014081            0            0            0            0            0            0            0            0            0            0         0.06            0  
        -16          -16            0     -0.95019      0.07352     0.028368     0.045152  -9.4884e-13     -0.28224     -0.14455     -0.13769  -7.6973e-13   8.2371e-14  -1.0104e-14   9.2474e-14      -12.924      -12.598            0      -72.964       5.6456      -16.779  -7.2861e-11      -71.093      -15.474  -7.5751e-11      -68.551            0            0            0        26.92            0           27      -4.4244  -5.6496e-11      -3.9168   6.0458e-12     0.016975   2.3659e-13      0.13659      -13.606            0       152.43       1.1981     -0.01613            0            0            0            0            0            0            0            0            0            0         0.06            0  
        -15          -15            0      -0.8942     0.066105     0.026266     0.039839   1.9454e-13     -0.24457     -0.12368      -0.1209   3.4102e-14  -1.0311e-14   1.7695e-15  -1.2081e-14      -13.527      -12.791            0      -68.665       5.0762      -14.817   1.4939e-11      -67.117      -13.676   1.1754e-11      -64.851            0            0            0       26.927            0           27       -4.228    2.503e-12      -3.3941  -7.5682e-13     0.019936  -3.3622e-14      0.13715      -12.867            0       137.06       1.2026    -0.017826            0            0            0            0            0            0            0            0            0            0         0.06            0  
        -14          -14            0     -0.83747     0.059182     0.024362     0.034819  -2.7941e-13      -0.2104     -0.10529      -0.1051  -4.7919e-13   2.4038e-14  -4.4681e-15   2.8506e-14      -14.151       -12.95            0      -64.309       4.5445      -12.963  -2.1456e-11      -63.046      -11.973  -2.2576e-11      -61.044            0            0            0       26.933            0           27      -4.0422  -3.5171e-11      -2.9198   1.7643e-12     0.022879    1.438e-13      0.13758      -12.109            0        122.7       1.2069    -0.019161            0            0            0            0            0            0            0            0            0            0         0.06            0  
        -13          -13            0     -0.78002     0.052826     0.022725     0.030101  -1.0168e-12     -0.17986    -0.089526    -0.090331  -7.4725e-13   8.8778e-14  -7.7525e-15   9.6531e-14      -14.766      -13.041            0      -59.897       4.0565      -11.222   -7.808e-11      -58.882      -10.369  -7.8692e-11      -57.131            0            0            0       26.938            0           27      -3.8744  -5.4846e-11       -2.496   6.5161e-12       0.0258   3.0988e-13      0.13789      -11.333            0       109.52       1.2111    -0.020124            0            0            0            0            0            0            0            0            0            0         0.06            0  
        -12          -12            0     -0.72185     0.046847     0.021154     0.025693   1.1111e-12     -0.15176    -0.075141     -0.07662   5.0528e-13  -8.0633e-14   6.3907e-15  -8.7023e-14      -15.409      -13.091            0       -55.43       3.5974      -9.5947   8.5322e-11      -54.629      -8.8654   8.3364e-11      -53.115            0            0            0       26.943            0           27      -3.7132   3.7086e-11      -2.1061  -5.9182e-12     0.028691  -2.7877e-13      0.13806      -10.538            0       97.129       1.2152     -0.02071            0            0            0            0            0            0            0            0            0            0         0.06            0  
        -11          -11            0     -0.66297     0.041404     0.019801     0.021604   1.3323e-12     -0.12669    -0.062691    -0.064001   5.7794e-13  -1.1046e-13   5.8506e-15  -1.1631e-13      -16.012      -13.037            0      -50.909       3.1794      -8.0854    1.023e-10       -50.29      -7.4672   9.9642e-11      -48.999            0            0            0       26.947            0           27      -3.5737   4.2419e-11      -1.7582  -8.1072e-12     0.031543   -3.416e-13      0.13808      -9.7268            0       85.844        1.219    -0.020912            0            0            0            0            0            0            0            0            0            0         0.06            0  
