VTAIL_CENTERSECTION_40_DEG_case1
T6/1-TriUniform-ThickSurf-alpha(0.00,1.00)-x0_07m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20          -20            0      -1.4014      0.13561     0.051404     0.084209  -5.1726e-13     -0.60106     -0.34694     -0.25412  -2.3647e-13   3.1976e-14  -1.9834e-14   5.1811e-14      -10.334      -12.234            0      -132.94       12.865      -37.963  -4.9068e-11      -127.66      -34.939  -4.7883e-11      -122.96            0            0            0       26.874            0           27      -5.5271   -2.683e-11      -10.304   3.6279e-12     0.015177   1.2303e-13      0.12655      -23.101            0       347.34       1.1026     -0.02127            0            0            0            0            0            0            0            0            0            0         0.07            0  
        -19          -19            0      -1.3363      0.12066      0.04427     0.076392    9.976e-14     -0.51153     -0.28147     -0.23006   -6.269e-14  -2.0608e-15  -2.6084e-15   5.4757e-16      -11.075      -12.802            0      -126.76       11.446      -34.418   9.4634e-12      -122.22      -31.717   8.2822e-12      -117.93            0            0            0       26.891            0           27      -5.1596  -7.1126e-12      -8.7695  -2.3381e-13     0.018123    3.145e-14      0.12738      -22.089            0       309.05       1.1051    -0.024218            0            0            0            0            0            0            0            0            0            0         0.07            0  
        -18          -18            0      -1.2711      0.10826     0.039257     0.069004  -2.2372e-12     -0.44143     -0.23451     -0.20692  -1.2643e-12   1.9048e-13  -4.7665e-14   2.3814e-13      -11.741      -13.238            0      -120.58        10.27      -31.037  -2.1222e-10       -116.7      -28.636  -2.1703e-10      -112.81            0            0            0       26.903            0           27       -4.868  -1.4344e-10      -7.5678   2.1611e-11     0.021103   6.7681e-13      0.12806      -21.064            0       277.29        1.107    -0.026825            0            0            0            0            0            0            0            0            0            0         0.07            0  
        -17          -17            0      -1.2049     0.097142     0.035255     0.061886  -1.0286e-12     -0.38227     -0.19731     -0.18496  -5.4728e-13   8.5725e-14   -1.946e-14   1.0518e-13      -12.404      -13.616            0       -114.3        9.215      -27.804  -9.7576e-11      -111.02      -25.682  -1.0282e-10      -107.51            0            0            0       26.913            0           27      -4.6092  -6.2092e-11      -6.5534    9.726e-12     0.024062   2.9284e-13      0.12863      -20.018            0       248.81       1.1091    -0.028993            0            0            0            0            0            0            0            0            0            0         0.07            0  
        -16          -16            0       -1.138     0.086943     0.031838     0.055105  -1.1774e-12     -0.33054     -0.16642     -0.16411  -7.1319e-13   9.0936e-14   -2.548e-14   1.1642e-13      -13.089      -13.963            0      -107.95       8.2476      -24.731  -1.1169e-10      -105.21      -22.867  -1.1293e-10      -102.06            0            0            0       26.922            0           27      -4.3688  -8.0917e-11      -5.6666   1.0317e-11     0.027012   4.3187e-13      0.12909      -18.954            0       222.68       1.1111     -0.03074            0            0            0            0            0            0            0            0            0            0         0.07            0  
        -15          -15            0      -1.0704     0.077201     0.028531      0.04867   1.9013e-13     -0.28297     -0.13855     -0.14442   4.0475e-14   -1.333e-14   5.3191e-15  -1.8649e-14      -13.865      -14.345            0      -101.54       7.3234      -21.821   1.8036e-11      -99.277      -20.195    1.099e-11      -96.472            0            0            0        26.93            0           27      -4.1251   4.5921e-12      -4.8511  -1.5124e-12     0.029948  -7.4452e-14      0.12942      -17.872            0       197.73        1.113    -0.032057            0            0            0            0            0            0            0            0            0            0         0.07            0  
        -14          -14            0      -1.0021     0.068084     0.025494      0.04259   1.5524e-13     -0.24001     -0.11409     -0.12592   1.7895e-13  -2.0743e-14   3.3705e-15  -2.4113e-14      -14.719      -14.735            0      -95.065       6.4585      -19.078   1.4726e-11      -93.219      -17.669   1.7523e-11      -90.744            0            0            0       26.938            0           27      -3.8866   2.0303e-11      -4.1146  -2.3534e-12     0.032866  -1.2377e-13      0.12963      -16.774            0       174.38       1.1148    -0.032936            0            0            0            0            0            0            0            0            0            0         0.07            0  
        -13          -13            0      -0.9332     0.060126     0.023252     0.036874  -7.1784e-13     -0.20385     -0.09524     -0.10861  -3.6398e-13   5.4501e-14  -8.6697e-15    6.317e-14      -15.521      -14.993            0      -88.525       5.7037      -16.506  -6.8096e-11      -87.043      -15.295   -6.795e-11      -84.881            0            0            0       26.944            0           27      -3.6865  -4.1296e-11      -3.4948   6.1835e-12     0.035759   2.9487e-13      0.12971      -15.658            0          154       1.1165    -0.033371            0            0            0            0            0            0            0            0            0            0         0.07            0  
        -12          -12            0      -0.8636     0.052591     0.021058     0.031533   3.7774e-13     -0.17087    -0.078331    -0.092536    2.408e-13  -2.7806e-14   4.6891e-15  -3.2495e-14      -16.421       -15.26            0      -81.923       4.9889      -14.107   3.5833e-11      -80.754      -13.076   3.7874e-11      -78.887            0            0            0        26.95            0           27      -3.4849   2.7321e-11      -2.9293  -3.1547e-12     0.038623   -2.086e-13      0.12965      -14.527            0        134.7       1.1181    -0.033355            0            0            0            0            0            0            0            0            0            0         0.07            0  
        -11          -11            0     -0.79335     0.045879     0.019303     0.026576  -6.4056e-13     -0.14222    -0.064511    -0.077714  -2.7994e-13    4.682e-14  -6.5074e-15   5.3327e-14      -17.292      -15.402            0      -75.259       4.3522      -11.885  -6.0765e-11      -74.357      -11.016  -5.6931e-11      -72.766            0            0            0       26.955            0           27      -3.3097  -3.1761e-11      -2.4382    5.312e-12     0.041453   2.9085e-13      0.12946      -13.379            0       117.51       1.1196    -0.032887            0            0            0            0            0            0            0            0            0            0         0.07            0  
