VTAIL_CENTERSECTION_35_DEG_case2b
T6/1-TriUniform-ThickSurf-beta(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -10            0          -10     0.027435     0.061488     0.011451     0.050036      0.20906      0.34616      0.01165      0.33451      0.11998   -0.0068129   -0.0051736   -0.0016393      0.44619     0.073906       6.0373       3.2263       7.2308        10.31       24.585       3.2263        6.973       25.824       3.6934            0            0            0       11.002            0           27       65.954       21.139       7.3049      -1.2003     -0.77171       5.0409      0.23163       11.975            0       195.23   0.00056183    -0.021172            0            0            0            0            0            0            0            0            0            0        0.083            0  
         -9            0           -9     0.024731     0.051762     0.011119     0.040643      0.19133      0.28326     0.011302      0.27196      0.10925   -0.0060242   -0.0045264   -0.0014978      0.47778     0.075137       6.3588       2.9083       6.0871       8.4028         22.5       2.9083       5.6807       23.415       3.2786            0            0            0        11.64            0           27       64.462       19.248       5.9777      -1.0614     -0.68541       5.0549      0.24293       10.812            0       164.35   0.00056204    -0.016951            0            0            0            0            0            0            0            0            0            0        0.083            0  
         -8            0           -8     0.022307     0.042999     0.010803     0.032196      0.17261      0.22647     0.010974       0.2155      0.09812   -0.0052631   -0.0039136   -0.0013494      0.51878     0.077482       6.6955       2.6232       5.0566       6.6762       20.299       2.6232       4.5191       20.951       2.9064            0            0            0       12.433            0           27       62.581       17.288       4.7792     -0.92728      -0.5897       5.0009      0.25536       9.5388            0       136.53   0.00057723    -0.013154            0            0            0            0            0            0            0            0            0            0        0.083            0  
         -7            0           -7     0.020164     0.035207     0.010499     0.024708      0.15301      0.17593     0.010654      0.16528      0.08664   -0.0045259   -0.0033312   -0.0011948      0.57272     0.081327       7.0422       2.3713       4.1403       5.1368       17.993       2.3713       3.4899       18.439       2.5772            0            0            0       13.419            0           27       60.199       15.265       3.7127     -0.79741     -0.48545       4.8575      0.26881       8.3778            0       111.79   0.00061458   -0.0097888            0            0            0            0            0            0            0            0            0            0        0.083            0  
         -6            0           -6     0.018304     0.028412     0.010218     0.018194      0.13262      0.13181     0.010361      0.12145     0.074849   -0.0038162   -0.0027816   -0.0010346      0.64425     0.087162       7.3914       2.1525       3.3412       3.7905       15.596       2.1525       2.5948       15.884       2.2914            0            0            0       14.623            0           27       57.209       13.187       2.7816     -0.67236     -0.37478       4.6003      0.28302       7.1345            0       90.211   0.00068777     -0.00686            0            0            0            0            0            0            0            0            0            0        0.083            0  
         -5            0           -5     0.016728     0.022604    0.0099415     0.012662      0.11156     0.094205     0.010063     0.084142     0.062788   -0.0031271   -0.0022576  -0.00086957      0.74006     0.095718       7.7317       1.9672       2.6582       2.6425       13.119       1.9672       1.8351       13.293        2.049            0            0            0       16.062            0           27       53.496       11.062        1.988     -0.55096     -0.26143       4.2053      0.29752       5.9133            0        71.77   0.00082538   -0.0043732            0            0            0            0            0            0            0            0            0            0        0.083            0  
         -4            0           -4     0.015437     0.017809    0.0096854    0.0081239     0.089933     0.063246    0.0097787     0.053468     0.050502   -0.0024616    -0.001761  -0.00070055      0.86682       0.1077       8.0484       1.8154       2.0943       1.6972       10.576       1.8154       1.2119       10.671       1.8505            0            0            0       17.685            0           27       49.081       8.8978       1.3347      -0.4337     -0.15111        3.653      0.31159       4.7682            0       56.547    0.0010956   -0.0023327            0            0            0            0            0            0            0            0            0            0        0.083            0  
         -3            0           -3     0.014433      0.01405     0.009464    0.0045861      0.06785     0.039045    0.0095296     0.029516     0.038036   -0.0018198   -0.0012916  -0.00052827       1.0272      0.12341       8.3239       1.6973       1.6523      0.95822       7.9791       1.6973      0.72625       8.0247       1.6959            0            0            0       19.347            0           27        44.23       6.7014      0.82398     -0.32063    -0.051405       2.9352      0.32428       3.5806            0       44.611    0.0016964  -0.00074191            0            0            0            0            0            0            0            0            0            0        0.083            0  
         -2            0           -2     0.013714     0.011347    0.0092928    0.0020547     0.045425     0.021689    0.0093321     0.012357     0.025433   -0.0011993  -0.00084577  -0.00035355       1.2086      0.14154       8.5391       1.6128       1.3344      0.42832       5.3419       1.6128      0.37884         5.36       1.5853            0            0            0       20.802            0           27       39.605       4.4809       0.4577     -0.21131     0.028899       2.0616      0.33448        2.417            0        36.03    0.0034188   0.00039634            0            0            0            0            0            0            0            0            0            0        0.083            0  
         -1            0           -1     0.013283    0.0097125    0.0091783   0.00053421      0.02277      0.01124    0.0091996    0.0020409     0.012739  -0.00059443  -0.00041724  -0.00017719       1.3677      0.15763       8.6765       1.5621       1.1422      0.10957       2.6777       1.5621      0.17018        2.683        1.519            0            0            0       21.795            0           27       36.174       2.2445      0.23721     -0.10473     0.081311        1.065      0.34114       1.2946            0       30.839     0.012336    0.0010801            0            0            0            0            0            0            0            0            0            0        0.083            0  
          0            0            0      0.01314    0.0091619    0.0091348   2.7086e-05  -7.5826e-14    0.0077412    0.0091423   -0.0014011  -2.2943e-13   3.3804e-15   2.4036e-16     3.14e-15       1.4341      0.16439       8.7239       1.5452       1.0774    0.0031853   -8.917e-12       1.5452       0.1006  -7.7407e-12       1.4968            0            0            0       22.148            0           27       34.887  -4.0423e-11      0.16336   5.9558e-13     0.099556   -1.781e-11      0.34345      0.16852            0        29.09      0.23806    0.0013081            0            0            0            0            0            0            0            0            0            0        0.083            0  
          1            0            1     0.013283    0.0097125    0.0091783   0.00053421     -0.02277      0.01124    0.0091996    0.0020409    -0.012739   0.00059443   0.00041724   0.00017719       1.3677      0.15763       8.6765       1.5621       1.1422      0.10957      -2.6777       1.5621      0.17018       -2.683        1.519            0            0            0       21.795            0           27       36.174      -2.2445      0.23721      0.10473     0.081311       -1.065      0.34114       1.2946            0       30.839     0.012336    0.0010801            0            0            0            0            0            0            0            0            0            0        0.083            0  
          2            0            2     0.013714     0.011347    0.0092928    0.0020547    -0.045425     0.021689    0.0093321     0.012357    -0.025433    0.0011993   0.00084577   0.00035355       1.2086      0.14154       8.5391       1.6128       1.3344      0.42832      -5.3419       1.6128      0.37884        -5.36       1.5853            0            0            0       20.802            0           27       39.605      -4.4809       0.4577      0.21131     0.028899      -2.0616      0.33448        2.417            0        36.03    0.0034188   0.00039634            0            0            0            0            0            0            0            0            0            0        0.083            0  
          3            0            3     0.014433      0.01405     0.009464    0.0045861     -0.06785     0.039045    0.0095296     0.029516    -0.038036    0.0018198    0.0012916   0.00052827       1.0272      0.12341       8.3239       1.6973       1.6523      0.95822      -7.9791       1.6973      0.72625      -8.0247       1.6959            0            0            0       19.347            0           27        44.23      -6.7014      0.82398      0.32063    -0.051405      -2.9352      0.32428       3.5806            0       44.611    0.0016964  -0.00074191            0            0            0            0            0            0            0            0            0            0        0.083            0  
          4            0            4     0.015437     0.017809    0.0096854    0.0081239    -0.089933     0.063246    0.0097787     0.053468    -0.050502    0.0024616     0.001761   0.00070055      0.86682       0.1077       8.0484       1.8154       2.0943       1.6972      -10.576       1.8154       1.2119      -10.671       1.8505            0            0            0       17.685            0           27       49.081      -8.8978       1.3347       0.4337     -0.15111       -3.653      0.31159       4.7682            0       56.547    0.0010956   -0.0023327            0            0            0            0            0            0            0            0            0            0        0.083            0  
          5            0            5     0.016728     0.022604    0.0099415     0.012662     -0.11156     0.094205     0.010063     0.084142    -0.062788    0.0031271    0.0022576   0.00086957      0.74006     0.095718       7.7317       1.9672       2.6582       2.6425      -13.119       1.9672       1.8351      -13.293        2.049            0            0            0       16.062            0           27       53.496      -11.062        1.988      0.55096     -0.26143      -4.2053      0.29752       5.9133            0        71.77   0.00082538   -0.0043732            0            0            0            0            0            0            0            0            0            0        0.083            0  
          6            0            6     0.018304     0.028412     0.010218     0.018194     -0.13262      0.13181     0.010361      0.12145    -0.074849    0.0038162    0.0027816    0.0010346      0.64425     0.087162       7.3914       2.1525       3.3412       3.7905      -15.596       2.1525       2.5948      -15.884       2.2914            0            0            0       14.623            0           27       57.209      -13.187       2.7816      0.67236     -0.37478      -4.6003      0.28302       7.1345            0       90.211   0.00068777     -0.00686            0            0            0            0            0            0            0            0            0            0        0.083            0  
          7            0            7     0.020164     0.035207     0.010499     0.024708     -0.15301      0.17593     0.010654      0.16528     -0.08664    0.0045259    0.0033312    0.0011948      0.57272     0.081327       7.0422       2.3713       4.1403       5.1368      -17.993       2.3713       3.4899      -18.439       2.5772            0            0            0       13.419            0           27       60.199      -15.265       3.7127      0.79741     -0.48545      -4.8575      0.26881       8.3778            0       111.79   0.00061458   -0.0097888            0            0            0            0            0            0            0            0            0            0        0.083            0  
          8            0            8     0.022307     0.042999     0.010803     0.032196     -0.17261      0.22647     0.010974       0.2155     -0.09812    0.0052631    0.0039136    0.0013494      0.51878     0.077482       6.6955       2.6232       5.0566       6.6762      -20.299       2.6232       4.5191      -20.951       2.9064            0            0            0       12.433            0           27       62.581      -17.288       4.7792      0.92728      -0.5897      -5.0009      0.25536       9.5388            0       136.53   0.00057723    -0.013154            0            0            0            0            0            0            0            0            0            0        0.083            0  
          9            0            9     0.024731     0.051762     0.011119     0.040643     -0.19133      0.28326     0.011302      0.27196     -0.10925    0.0060242    0.0045264    0.0014978      0.47778     0.075137       6.3588       2.9083       6.0871       8.4028        -22.5       2.9083       5.6807      -23.415       3.2786            0            0            0        11.64            0           27       64.462      -19.248       5.9777       1.0614     -0.68541      -5.0549      0.24293       10.812            0       164.35   0.00056204    -0.016951            0            0            0            0            0            0            0            0            0            0        0.083            0  
         10            0           10     0.027435     0.061488     0.011451     0.050036     -0.20906      0.34616      0.01165      0.33451     -0.11998    0.0068129    0.0051736    0.0016393      0.44619     0.073906       6.0373       3.2263       7.2308        10.31      -24.585       3.2263        6.973      -25.824       3.6934            0            0            0       11.002            0           27       65.954      -21.139       7.3049       1.2003     -0.77171      -5.0409      0.23163       11.975            0       195.23   0.00056183    -0.021172            0            0            0            0            0            0            0            0            0            0        0.083            0  
