VTAIL_CENTERSECTION_45_DEG_nominal
T6/1-TriUniform-ThickSurf-beta(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -10            0          -10     0.039404     0.089814     0.013175     0.076639      0.31265      0.33101     0.013034      0.31798       0.1613    -0.012257   -0.0079956   -0.0042615      0.43873     0.087091       5.0377       3.5157       8.0133       11.862       27.895       3.5157       8.0377       29.264       4.0464            0            0            0       10.848            0           27       66.311       16.133       5.3377       -1.226     -0.39645         2.91      0.21306        9.204            0       216.36    0.0010253    -0.015622            0            0            0            0            0            0            0            0            0            0        0.065            0  
         -9            0           -9     0.035847     0.074927     0.012689     0.062238      0.28607      0.27034     0.012497      0.25784      0.14667    -0.010807   -0.0069362   -0.0038711      0.47843     0.090583       5.2817       3.1983       6.6851       9.6647       25.524       3.1983       6.5414       26.532       3.6209            0            0            0       11.653            0           27       64.432        14.67       4.3592       -1.081     -0.34321       2.8895      0.21707        8.315            0        180.5    0.0010449    -0.012303            0            0            0            0            0            0            0            0            0            0        0.065            0  
         -8            0           -8      0.03266     0.061571     0.012277     0.049294      0.25804      0.21569     0.012061      0.20363      0.13158   -0.0094415   -0.0059718   -0.0034697      0.53044     0.095862       5.5334        2.914       5.4935       7.6768       23.022        2.914        5.197       23.739       3.2393            0            0            0       12.652            0           27       62.057       13.161       3.4781     -0.94436     -0.28539       2.8285      0.22137       7.3356            0       148.32    0.0010951   -0.0093207            0            0            0            0            0            0            0            0            0            0        0.065            0  
         -7            0           -7     0.029844     0.049717      0.01189     0.037827      0.22869      0.16715     0.011656      0.15549      0.11606   -0.0081252   -0.0050668   -0.0030584      0.60028       0.1037       5.7886       2.6627       4.4358       5.9056       20.404       2.6627       4.0063       20.891        2.902            0            0            0       13.896            0           27       59.025       11.609       2.6953     -0.81269      -0.2238       2.7163      0.22591         6.45            0       119.77    0.0011916    -0.006679            0            0            0            0            0            0            0            0            0            0        0.065            0  
         -6            0           -6     0.027401     0.039376     0.011522     0.027853       0.1982       0.1248     0.011267      0.11354      0.10018   -0.0068509   -0.0042128   -0.0026382      0.69588      0.11519       6.0411       2.4447       3.5131       4.3574       17.683       2.4447       2.9711       17.995       2.6092            0            0            0       15.422            0           27       55.167        10.02       2.0125     -0.68524     -0.15992       2.5423      0.23057        5.496            0       94.855    0.0013642   -0.0043818            0            0            0            0            0            0            0            0            0            0        0.065            0  
         -5            0           -5     0.025332     0.030571     0.011182     0.019389       0.1667     0.088768     0.010908      0.07786      0.08397   -0.0056219   -0.0034115   -0.0022103      0.82862      0.13188        6.283       2.2601       2.7275       3.0377       14.873       2.2601       2.0927       15.059        2.361            0            0            0       17.227            0           27       50.354       8.3988       1.4314     -0.56231    -0.096024       2.2966      0.23521       4.5606            0       73.644     0.001675   -0.0024324            0            0            0            0            0            0            0            0            0            0        0.065            0  
         -4            0           -4     0.023637     0.023297     0.010852     0.012445      0.13437     0.059101     0.010548     0.048553     0.067498   -0.0044278   -0.0026517   -0.0017761       1.0146      0.15599       6.5043       2.1089       2.0786       1.9515       11.989       2.1089       1.3724       12.088       2.1577            0            0            0        19.23            0           27       44.585       6.7512      0.95301     -0.44287    -0.035267       1.9724      0.23959       3.6895            0       56.122     0.002272   -0.0008336            0            0            0            0            0            0            0            0            0            0        0.065            0  
         -3            0           -3     0.022318     0.017595      0.01056    0.0070344      0.10137     0.035906     0.010221     0.025686     0.050811   -0.0032742   -0.0019375   -0.0013366       1.2685       0.1895       6.6938       1.9913       1.5698       1.1025       9.0444       1.9913       0.8112       9.0899       1.9994            0            0            0       21.203            0           27       38.251       5.0822        0.579     -0.32749     0.018475       1.5689      0.24345       2.7825            0       42.385    0.0035836   0.00041232            0            0            0            0            0            0            0            0            0            0        0.065            0  
         -2            0           -2     0.021376     0.013491     0.010327    0.0031634     0.067863     0.019268    0.0099559    0.0093123     0.033964   -0.0021572   -0.0012639  -0.00089326       1.5845      0.23166       6.8397       1.9072       1.2037      0.49385       6.0548       1.9072      0.40976       6.0713       1.8863            0            0            0       22.833            0           27       32.257       3.3971      0.31071     -0.21576     0.060983       1.0931       0.2465       1.8955            0       32.499      0.00731    0.0013036            0            0            0            0            0            0            0            0            0            0        0.065            0  
         -1            0           -1      0.02081     0.011017     0.010178   0.00083849     0.034016    0.0092551    0.0097825  -0.00052738     0.017009   -0.0010706  -0.00062328  -0.00044729       1.8889      0.27249       6.9321       1.8567      0.98295       0.1278        3.035       1.8567      0.16869       3.0391       1.8184            0            0            0       23.862            0           27       27.897       1.7013      0.14924     -0.10708     0.088362      0.56172      0.24846       1.0441            0        26.54     0.026138    0.0018388            0            0            0            0            0            0            0            0            0            0        0.065            0  
          0            0            0     0.020622     0.010184     0.010121   6.3128e-05  -4.6324e-13    0.0059012    0.0097111   -0.0038099  -2.0498e-13   2.4702e-14    3.038e-16   2.4399e-14       2.0248      0.29077       6.9637       1.8399      0.90865    0.0056323  -4.1331e-11       1.8399     0.088293  -3.9422e-11       1.7957            0            0            0       24.209            0           27       26.283  -2.0503e-11     0.095158   2.4708e-12     0.097826   -6.811e-12      0.24914      0.18836            0       24.534      0.34092    0.0020173            0            0            0            0            0            0            0            0            0            0        0.065            0  
          1            0            1      0.02081     0.011017     0.010178   0.00083849    -0.034016    0.0092551    0.0097825  -0.00052738    -0.017009    0.0010706   0.00062328   0.00044729       1.8889      0.27249       6.9321       1.8567      0.98295       0.1278       -3.035       1.8567      0.16869      -3.0391       1.8184            0            0            0       23.862            0           27       27.897      -1.7013      0.14924      0.10708     0.088362     -0.56172      0.24846       1.0441            0        26.54     0.026138    0.0018388            0            0            0            0            0            0            0            0            0            0        0.065            0  
          2            0            2     0.021376     0.013491     0.010327    0.0031634    -0.067863     0.019268    0.0099559    0.0093123    -0.033964    0.0021572    0.0012639   0.00089326       1.5845      0.23166       6.8397       1.9072       1.2037      0.49385      -6.0548       1.9072      0.40976      -6.0713       1.8863            0            0            0       22.833            0           27       32.257      -3.3971      0.31071      0.21576     0.060983      -1.0931       0.2465       1.8955            0       32.499      0.00731    0.0013036            0            0            0            0            0            0            0            0            0            0        0.065            0  
          3            0            3     0.022318     0.017595      0.01056    0.0070344     -0.10137     0.035906     0.010221     0.025686    -0.050811    0.0032742    0.0019375    0.0013366       1.2685       0.1895       6.6938       1.9913       1.5698       1.1025      -9.0444       1.9913       0.8112      -9.0899       1.9994            0            0            0       21.203            0           27       38.251      -5.0822        0.579      0.32749     0.018475      -1.5689      0.24345       2.7825            0       42.385    0.0035836   0.00041232            0            0            0            0            0            0            0            0            0            0        0.065            0  
          4            0            4     0.023637     0.023297     0.010852     0.012445     -0.13437     0.059101     0.010548     0.048553    -0.067498    0.0044278    0.0026517    0.0017761       1.0146      0.15599       6.5043       2.1089       2.0786       1.9515      -11.989       2.1089       1.3724      -12.088       2.1577            0            0            0        19.23            0           27       44.585      -6.7512      0.95301      0.44287    -0.035267      -1.9724      0.23959       3.6895            0       56.122     0.002272   -0.0008336            0            0            0            0            0            0            0            0            0            0        0.065            0  
          5            0            5     0.025332     0.030571     0.011182     0.019389      -0.1667     0.088768     0.010908      0.07786     -0.08397    0.0056219    0.0034115    0.0022103      0.82862      0.13188        6.283       2.2601       2.7275       3.0377      -14.873       2.2601       2.0927      -15.059        2.361            0            0            0       17.227            0           27       50.354      -8.3988       1.4314      0.56231    -0.096024      -2.2966      0.23521       4.5606            0       73.644     0.001675   -0.0024324            0            0            0            0            0            0            0            0            0            0        0.065            0  
          6            0            6     0.027401     0.039376     0.011522     0.027853      -0.1982       0.1248     0.011267      0.11354     -0.10018    0.0068509    0.0042128    0.0026382      0.69588      0.11519       6.0411       2.4447       3.5131       4.3574      -17.683       2.4447       2.9711      -17.995       2.6092            0            0            0       15.422            0           27       55.167       -10.02       2.0125      0.68524     -0.15992      -2.5423      0.23057        5.496            0       94.855    0.0013642   -0.0043818            0            0            0            0            0            0            0            0            0            0        0.065            0  
          7            0            7     0.029844     0.049717      0.01189     0.037827     -0.22869      0.16715     0.011656      0.15549     -0.11606    0.0081252    0.0050668    0.0030584      0.60028       0.1037       5.7886       2.6627       4.4358       5.9056      -20.404       2.6627       4.0063      -20.891        2.902            0            0            0       13.896            0           27       59.025      -11.609       2.6953      0.81269      -0.2238      -2.7163      0.22591         6.45            0       119.77    0.0011916    -0.006679            0            0            0            0            0            0            0            0            0            0        0.065            0  
          8            0            8      0.03266     0.061571     0.012277     0.049294     -0.25804      0.21569     0.012061      0.20363     -0.13158    0.0094415    0.0059718    0.0034697      0.53044     0.095862       5.5334        2.914       5.4935       7.6768      -23.022        2.914        5.197      -23.739       3.2393            0            0            0       12.652            0           27       62.057      -13.161       3.4781      0.94436     -0.28539      -2.8285      0.22137       7.3356            0       148.32    0.0010951   -0.0093207            0            0            0            0            0            0            0            0            0            0        0.065            0  
