VTAIL_CENTERSECTION_50_DEG_case2a
T6/1-TriUniform-ThickSurf-beta(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -10            0          -10      0.04416      0.11643     0.015072      0.10136      0.41774      0.42543     0.018256      0.40717      0.21084    -0.013675   -0.0091597   -0.0045156      0.37928     0.079702       4.7587       3.9385       10.384       15.749       37.257       3.9385       10.614       39.127       4.6148            0            0            0       9.5749            0           27       69.229       21.073       6.8348      -1.3668     -0.39464       2.9106      0.23723       11.834            0       280.37   0.00097408    -0.017427            0            0            0            0            0            0            0            0            0            0        0.068            0  
         -9            0           -9     0.040108     0.096654     0.014358     0.082296      0.38206      0.34748      0.01727      0.33021      0.19158    -0.011971   -0.0078598   -0.0041114      0.41497     0.083106       4.9932       3.5772       8.6204       12.828       34.075       3.5772       8.6313       35.459       4.1165            0            0            0       10.349            0           27       67.463       19.147       5.5824      -1.1965     -0.34228        2.894      0.23795        10.69            0       232.75   0.00098969    -0.013728            0            0            0            0            0            0            0            0            0            0        0.068            0  
         -8            0           -8     0.036479     0.078924     0.013756     0.065168      0.34448      0.27736     0.016455      0.26091      0.17174     -0.01039   -0.0066976   -0.0036926       0.4622     0.088277       5.2358       3.2535       7.0391       10.187       30.724       3.2535       6.8507       31.714       3.6697            0            0            0       11.328            0           27       65.194       17.165        4.456      -1.0385     -0.28527        2.837      0.23868       9.4432            0       190.06    0.0010338    -0.010406            0            0            0            0            0            0            0            0            0            0        0.068            0  
         -7            0           -7     0.033272     0.063251     0.013252     0.049999      0.30521      0.21523     0.015804      0.19942      0.15139   -0.0089126    -0.005652   -0.0032606      0.52603      0.09595       5.4823       2.9675       5.6413       7.8352       27.221       2.9675       5.2747       27.901       3.2747            0            0            0        12.57            0           27       62.254       15.131       3.4577     -0.89078     -0.22437        2.729      0.23942       8.3007            0       152.31     0.001121   -0.0074653            0            0            0            0            0            0            0            0            0            0        0.068            0  
         -6            0           -6      0.03049      0.04959      0.01278      0.03681      0.26443      0.16107       0.0152      0.14587       0.1306    -0.007495    -0.004678    -0.002817      0.61483      0.10736        5.727       2.7193       4.4229       5.7799       23.584       2.7193       3.9052       24.027       2.9318            0            0            0       14.141            0           27       58.416       13.053       2.5877      -0.7491       -0.161       2.5586      0.24015       7.0811            0       119.42    0.0012786   -0.0049089            0            0            0            0            0            0            0            0            0            0        0.068            0  
         -5            0           -5     0.028133     0.037961     0.012341     0.025619      0.22236      0.11501     0.014638      0.10037      0.10942   -0.0061321   -0.0037688   -0.0023632      0.74111      0.12431        5.962       2.5092       3.3857       4.0287       19.832       2.5092       2.7437       20.101       2.6413            0            0            0       16.076            0           27       53.457       10.937       1.8477     -0.61288    -0.097405       2.3153      0.24085       5.8817            0       91.413    0.0015642   -0.0027403            0            0            0            0            0            0            0            0            0            0        0.068            0  
         -4            0           -4     0.026204     0.028368     0.011926     0.016442       0.1792     0.077119       0.0141     0.063019     0.087926   -0.0048195   -0.0029185   -0.0019009       0.9237      0.14953       6.1776       2.3371       2.5301       2.5876       15.983       2.3371       1.7916       16.132       2.4033            0            0            0        18.32            0           27       47.271       8.7879        1.239     -0.48169    -0.036724       1.9918       0.2415       4.7537            0       68.313    0.0021144  -0.00096231            0            0            0            0            0            0            0            0            0            0        0.068            0  
         -3            0           -3     0.024702     0.020836     0.011546    0.0092907      0.13517     0.047472     0.013588     0.033884     0.066171   -0.0035538   -0.0021221   -0.0014318       1.1855      0.18633       6.3626       2.2032       1.8584       1.4616       12.056       2.2032       1.0499       12.129       2.2181            0            0            0       20.638            0           27       40.148       6.6135      0.76267     -0.35519     0.017121       1.5867      0.24207       3.5853            0       50.176    0.0033253   0.00042293            0            0            0            0            0            0            0            0            0            0        0.068            0  
         -2            0           -2     0.023629     0.015411     0.011236    0.0041755     0.090479     0.026196     0.013165     0.013031     0.044222    -0.002336   -0.0013786  -0.00095742       1.5332      0.23569       6.5054       2.1074       1.3745      0.65444       8.0697       2.1074      0.51958       8.1006       2.0856            0            0            0       22.615            0           27       33.113       4.4198      0.42086     -0.23347     0.059826       1.1068      0.24251       2.4391            0       37.112    0.0067701    0.0014136            0            0            0            0            0            0            0            0            0            0        0.068            0  
         -1            0           -1     0.022985     0.012137     0.011033    0.0011036      0.04535     0.013383     0.012881   0.00050157     0.022143   -0.0011576  -0.00067799  -0.00047958       1.8938      0.28712       6.5959         2.05       1.0825      0.16904       4.0447         2.05      0.20114       4.0546       2.0061            0            0            0       23.876            0           27       27.836       2.2131        0.215     -0.11569     0.087385      0.56923      0.24279       1.3327            0       29.227     0.024238    0.0020086            0            0            0            0            0            0            0            0            0            0        0.068            0  
