VTAIL_CENTERSECTION_55_DEG_case1
T6/1-TriUniform-ThickSurf-beta(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -10            0          -10     0.052328      0.13545     0.016376      0.11907      0.48548      0.41088     0.019066      0.39181      0.24489     -0.01867    -0.011695   -0.0069748      0.38633     0.088375       4.3715       4.0182       10.401       15.858        37.28       4.0182       10.716       39.122       4.6805            0            0            0       9.7301            0           27       68.877       17.975        5.702      -1.3703     -0.25626       2.1139      0.22847        10.12            0       280.82    0.0013779    -0.013409            0            0            0            0            0            0            0            0            0            0         0.06            0  
         -9            0           -9     0.047693      0.11223     0.015571     0.096663      0.44395      0.33521     0.017982      0.31723      0.22236     -0.01635    -0.010017    -0.006333      0.42494     0.092801        4.579       3.6623       8.6184       12.915       34.091       3.6623       8.7118       35.452       4.1909            0            0            0        10.56            0           27       66.977       16.321        4.652         -1.2     -0.21753       2.0935      0.22698       9.1448            0        232.7      0.00141    -0.010375            0            0            0            0            0            0            0            0            0            0         0.06            0  
         -8            0           -8     0.043542     0.091422     0.014884     0.076538      0.40023      0.26722     0.017074      0.25015      0.19922    -0.014191   -0.0085165    -0.005674      0.47627     0.099382       4.7923       3.3436       7.0202       10.254       30.734       3.3436       6.9124       31.706        3.752            0            0            0        11.61            0           27       64.533       14.622       3.7084      -1.0415     -0.17572       2.0437      0.22532       8.0813            0       189.55    0.0014842   -0.0076512            0            0            0            0            0            0            0            0            0            0         0.06            0  
         -7            0           -7     0.039876     0.073038     0.014318      0.05872      0.35456      0.20703      0.01636      0.19067      0.17552    -0.012175   -0.0071752   -0.0049996      0.54596      0.10902       5.0078        3.062       5.6085       7.8859       27.226        3.062       5.3202       27.892       3.3641            0            0            0       12.938            0           27       61.367       12.883       2.8731      -0.8936     -0.13144       1.9572      0.22352       7.1081            0       151.43    0.0016225   -0.0052412            0            0            0            0            0            0            0            0            0            0         0.06            0  
         -6            0           -6     0.036696     0.057031       0.0138     0.043231      0.30716      0.15463     0.015716      0.13892      0.15134    -0.010247   -0.0059353   -0.0043114      0.64344      0.12326       5.2202       2.8179       4.3794        5.817       23.586       2.8179       3.9368       24.018       3.0275            0            0            0        14.61            0           27       57.241       11.108       2.1459     -0.75208    -0.085774       1.8266      0.22164       6.0681            0       118.24    0.0018664   -0.0031476            0            0            0            0            0            0            0            0            0            0         0.06            0  
         -5            0           -5     0.034004     0.043407     0.013314     0.030092      0.25826      0.11008     0.015112     0.094968      0.12675   -0.0083891   -0.0047777   -0.0036113      0.78338      0.14446        5.423       2.6111       3.3332       4.0547       19.832       2.6111       2.7639       20.093       2.7423            0            0            0        16.65            0           27       51.926       9.3033       1.5276     -0.61574    -0.040357       1.6455      0.21974       5.0458            0       89.996    0.0023023   -0.0013723            0            0            0            0            0            0            0            0            0            0         0.06            0  
         -4            0           -4       0.0318     0.032182     0.012863     0.019319      0.20812     0.073451     0.014546     0.058905      0.10182   -0.0066006   -0.0036994   -0.0029013      0.98813      0.17621       5.6078       2.4419       2.4712       2.6047       15.982       2.4419       1.8026       16.125       2.5088            0            0            0       18.978            0           27       45.342       7.4732       1.0193     -0.48447    0.0026019       1.4096      0.21793        4.086            0       66.723    0.0031363   8.2739e-05            0            0            0            0            0            0            0            0            0            0         0.06            0  
         -3            0           -3     0.030085     0.023369     0.012443     0.010926      0.15697     0.044791        0.014     0.030791     0.076606   -0.0048714   -0.0026883   -0.0021831       1.2874       0.2233       5.7654       2.3102       1.7945       1.4718       12.054       2.3102       1.0539       12.123        2.327            0            0            0       21.323            0           27       37.839       5.6227      0.62159     -0.35755     0.040419       1.1187      0.21632       3.0908            0       48.451    0.0049637     0.001216            0            0            0            0            0            0            0            0            0            0         0.06            0  
         -2            0           -2     0.028859     0.017024     0.012102    0.0049225      0.10507     0.024221     0.013547     0.010674     0.051186   -0.0032048    -0.001746   -0.0014588       1.6952      0.28798       5.8865       2.2161       1.3073      0.65998       8.0684       2.2161      0.51852       8.0965        2.197            0            0            0       23.255            0           27       30.537       3.7569      0.33614     -0.23522     0.070214      0.77804      0.21505       2.1148            0       35.297     0.010138    0.0020263            0            0            0            0            0            0            0            0            0            0         0.06            0  
         -1            0           -1     0.028124     0.013193     0.011876    0.0013176     0.052662     0.011831     0.013241   -0.0014102     0.025628   -0.0015886  -0.00085823  -0.00073042       2.1317      0.35748        5.963       2.1596       1.0131      0.17178       4.0439       2.1596      0.19709       4.0525        2.119            0            0            0       24.444            0           27       25.132        1.881      0.16419      -0.1166      0.08935      0.39938      0.21422       1.1743            0       27.354     0.035968    0.0025129            0            0            0            0            0            0            0            0            0            0         0.06            0  
          0            0            0     0.027879     0.011904     0.011788   0.00011548   3.4262e-14    0.0076783     0.013119   -0.0054406  -9.7786e-14  -9.4864e-15    6.235e-17  -9.5488e-15        2.342      0.39104       5.9891       2.1408      0.91408    0.0088675    2.631e-12       2.1408     0.089909   3.3711e-12        2.093            0            0            0       24.831            0           27       23.122  -7.1772e-12      0.10656  -6.9628e-13     0.095955  -9.0485e-13      0.21394       0.2289            0        24.68      0.40328    0.0026751            0            0            0            0            0            0            0            0            0            0         0.06            0  
          1            0            1     0.028124     0.013193     0.011876    0.0013176    -0.052662     0.011831     0.013241   -0.0014102    -0.025628    0.0015886   0.00085823   0.00073042       2.1317      0.35748        5.963       2.1596       1.0131      0.17178      -4.0439       2.1596      0.19709      -4.0525        2.119            0            0            0       24.444            0           27       25.132       -1.881      0.16419       0.1166      0.08935     -0.39938      0.21422       1.1743            0       27.354     0.035968    0.0025129            0            0            0            0            0            0            0            0            0            0         0.06            0  
          2            0            2     0.028859     0.017024     0.012102    0.0049225     -0.10507     0.024221     0.013547     0.010674    -0.051186    0.0032048     0.001746    0.0014588       1.6952      0.28798       5.8865       2.2161       1.3073      0.65998      -8.0684       2.2161      0.51852      -8.0965        2.197            0            0            0       23.255            0           27       30.537      -3.7569      0.33614      0.23522     0.070214     -0.77804      0.21505       2.1148            0       35.297     0.010138    0.0020263            0            0            0            0            0            0            0            0            0            0         0.06            0  
          3            0            3     0.030085     0.023369     0.012443     0.010926     -0.15697     0.044791        0.014     0.030791    -0.076606    0.0048714    0.0026883    0.0021831       1.2874       0.2233       5.7654       2.3102       1.7945       1.4718      -12.054       2.3102       1.0539      -12.123        2.327            0            0            0       21.323            0           27       37.839      -5.6227      0.62159      0.35755     0.040419      -1.1187      0.21632       3.0908            0       48.451    0.0049637     0.001216            0            0            0            0            0            0            0            0            0            0         0.06            0  
          4            0            4       0.0318     0.032182     0.012863     0.019319     -0.20812     0.073451     0.014546     0.058905     -0.10182    0.0066006    0.0036994    0.0029013      0.98813      0.17621       5.6078       2.4419       2.4712       2.6047      -15.982       2.4419       1.8026      -16.125       2.5088            0            0            0       18.978            0           27       45.342      -7.4732       1.0193      0.48447    0.0026019      -1.4096      0.21793        4.086            0       66.723    0.0031363   8.2739e-05            0            0            0            0            0            0            0            0            0            0         0.06            0  
          5            0            5     0.034004     0.043407     0.013314     0.030092     -0.25826      0.11008     0.015112     0.094968     -0.12675    0.0083891    0.0047777    0.0036113      0.78338      0.14446        5.423       2.6111       3.3332       4.0547      -19.832       2.6111       2.7639      -20.093       2.7423            0            0            0        16.65            0           27       51.926      -9.3033       1.5276      0.61574    -0.040357      -1.6455      0.21974       5.0458            0       89.996    0.0023023   -0.0013723            0            0            0            0            0            0            0            0            0            0         0.06            0  
          6            0            6     0.036696     0.057031       0.0138     0.043231     -0.30716      0.15463     0.015716      0.13892     -0.15134     0.010247    0.0059353    0.0043114      0.64344      0.12326       5.2202       2.8179       4.3794        5.817      -23.586       2.8179       3.9368      -24.018       3.0275            0            0            0        14.61            0           27       57.241      -11.108       2.1459      0.75208    -0.085774      -1.8266      0.22164       6.0681            0       118.24    0.0018664   -0.0031476            0            0            0            0            0            0            0            0            0            0         0.06            0  
          7            0            7     0.039876     0.073038     0.014318      0.05872     -0.35456      0.20703      0.01636      0.19067     -0.17552     0.012175    0.0071752    0.0049996      0.54596      0.10902       5.0078        3.062       5.6085       7.8859      -27.226        3.062       5.3202      -27.892       3.3641            0            0            0       12.938            0           27       61.367      -12.883       2.8731       0.8936     -0.13144      -1.9572      0.22352       7.1081            0       151.43    0.0016225   -0.0052412            0            0            0            0            0            0            0            0            0            0         0.06            0  
          8            0            8     0.043542     0.091422     0.014884     0.076538     -0.40023      0.26722     0.017074      0.25015     -0.19922     0.014191    0.0085165     0.005674      0.47627     0.099382       4.7923       3.3436       7.0202       10.254      -30.734       3.3436       6.9124      -31.706        3.752            0            0            0        11.61            0           27       64.533      -14.622       3.7084       1.0415     -0.17572      -2.0437      0.22532       8.0813            0       189.55    0.0014842   -0.0076512            0            0            0            0            0            0            0            0            0            0         0.06            0  
          9            0            9     0.047693      0.11223     0.015571     0.096663     -0.44395      0.33521     0.017982      0.31723     -0.22236      0.01635     0.010017     0.006333      0.42494     0.092801        4.579       3.6623       8.6184       12.915      -34.091       3.6623       8.7118      -35.452       4.1909            0            0            0        10.56            0           27       66.977      -16.321        4.652          1.2     -0.21753      -2.0935      0.22698       9.1448            0        232.7      0.00141    -0.010375            0            0            0            0            0            0            0            0            0            0         0.06            0  
         10            0           10     0.052328      0.13545     0.016376      0.11907     -0.48548      0.41088     0.019066      0.39181     -0.24489      0.01867     0.011695    0.0069748      0.38633     0.088375       4.3715       4.0182       10.401       15.858       -37.28       4.0182       10.716      -39.122       4.6805            0            0            0       9.7301            0           27       68.877      -17.975        5.702       1.3703     -0.25626      -2.1139      0.22847        10.12            0       280.82    0.0013779    -0.013409            0            0            0            0            0            0            0            0            0            0         0.06            0  
