xflr5 v6.47

Plane name :        EMERGENTIA_Sw1_e_no_dihedral
Polar name :        T1-25.0 m/s-VLM2-0.0kg-x0.056m-TG
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.587947   0.008702   0.016361   0.025062   0.000000  -0.000000  -0.117032   0.000000  -0.000000   25.0000     0.0168
   -9.500     0.000  -0.542791   0.007421   0.019070   0.026492  -0.000000   0.000000  -0.115328   0.000000   0.000000   25.0000     0.0144
   -9.000     0.000  -0.497556   0.006240   0.021246   0.027486   0.000000  -0.000000  -0.113592   0.000000  -0.000000   25.0000     0.0116
   -8.500     0.000  -0.452254   0.005159   0.024510   0.029669  -0.000000   0.000000  -0.111866   0.000000  -0.000000   25.0000     0.0081
   -8.000     0.000  -0.406898   0.004179   0.028709   0.032888   0.000000  -0.000000  -0.110134   0.000000  -0.000000   25.0000     0.0039
   -7.500     0.000  -0.361500   0.003300   0.113823   0.117123   0.000000   0.000000  -0.111862   0.000000   0.000000   25.0000    -0.0013
   -7.000     0.000  -0.316073   0.002524   0.160663   0.163187   0.000000  -0.000000  -0.111442  -0.000000  -0.000000   25.0000    -0.0082
   -6.500     0.000  -0.270630   0.001851   0.145808   0.147659   0.000000  -0.000000  -0.108460  -0.000000  -0.000000   25.0000    -0.0173
   -6.000     0.000  -0.225183   0.001281   0.132383   0.133664   0.000000  -0.000000  -0.105590   0.000000   0.000000   25.0000    -0.0302
   -5.500     0.000  -0.179744   0.000816   0.115570   0.116386   0.000000  -0.000000  -0.102683  -0.000000  -0.000000   25.0000    -0.0495
   -5.000     0.000  -0.134327   0.000456   0.108661   0.109117   0.000000  -0.000000  -0.100131  -0.000000  -0.000000   25.0000    -0.0821
   -4.500     0.000  -0.088944   0.000201   0.104907   0.105108  -0.000000   0.000000  -0.097684   0.000000   0.000000   25.0000    -0.1478
   -4.000     0.000  -0.043607   0.000051   0.097901   0.097952   0.000000  -0.000000  -0.095165  -0.000000  -0.000000   25.0000    -0.3504
   -3.500     0.000   0.001670   0.000007   0.019481   0.019488  -0.000000  -0.000000  -0.091223   0.000000  -0.000000   25.0000    10.4229
   -3.000     0.000   0.046877   0.000069   0.020364   0.020433  -0.000000   0.000000  -0.089125  -0.000000  -0.000000   25.0000     0.4170
   -2.500     0.000   0.091999   0.000237   0.020946   0.021183  -0.000000   0.000000  -0.087012  -0.000000   0.000000   25.0000     0.2357
   -2.000     0.000   0.137024   0.000511   0.021412   0.021923   0.000000  -0.000000  -0.084890   0.000000  -0.000000   25.0000     0.1739
   -1.500     0.000   0.181941   0.000891   0.021295   0.022186  -0.000000   0.000000  -0.082760   0.000000  -0.000000   25.0000     0.1427
   -1.000     0.000   0.226736   0.001377   0.021138   0.022516   0.000000  -0.000000  -0.080631  -0.000000   0.000000   25.0000     0.1240
   -0.500     0.000   0.271397   0.001970   0.021045   0.023015   0.000000  -0.000000  -0.078506   0.000000   0.000000   25.0000     0.1115
    0.000     0.000   0.315912   0.002668   0.020976   0.023644   0.000000  -0.000000  -0.076388   0.000000   0.000000   25.0000     0.1026
    0.500     0.000   0.360268   0.003471   0.020539   0.024010  -0.000000   0.000000  -0.074278   0.000000  -0.000000   25.0000     0.0959
    1.000     0.000   0.404453   0.004380   0.020128   0.024508  -0.000000  -0.000000  -0.072181   0.000000  -0.000000   25.0000     0.0907
    1.500     0.000   0.448455   0.005393   0.019752   0.025145   0.000000  -0.000000  -0.070098  -0.000000   0.000000   25.0000     0.0866
    2.000     0.000   0.492262   0.006510   0.019444   0.025954  -0.000000  -0.000000  -0.068030  -0.000000   0.000000   25.0000     0.0832
    2.500     0.000   0.535861   0.007731   0.018961   0.026692  -0.000000  -0.000000  -0.065983  -0.000000  -0.000000   25.0000     0.0804
    3.000     0.000   0.579240   0.009055   0.018571   0.027626  -0.000000   0.000000  -0.063956   0.000000  -0.000000   25.0000     0.0781
    3.500     0.000   0.622388   0.010482   0.018145   0.028626   0.000000   0.000000  -0.061952   0.000000  -0.000000   25.0000     0.0761
    4.000     0.000   0.665292   0.012010   0.017700   0.029709  -0.000000  -0.000000  -0.059973  -0.000000  -0.000000   25.0000     0.0744
    4.500     0.000   0.707940   0.013638   0.017144   0.030783   0.000000   0.000000  -0.058024   0.000000  -0.000000   25.0000     0.0729
    5.000     0.000   0.750320   0.015367   0.016664   0.032031   0.000000   0.000000  -0.056104  -0.000000  -0.000000   25.0000     0.0716
    5.500     0.000   0.792421   0.017195   0.016932   0.034127  -0.000000  -0.000000  -0.054190  -0.000000   0.000000   25.0000     0.0704
    6.000     0.000   0.834231   0.019120   0.017728   0.036848  -0.000000   0.000000  -0.052287   0.000000   0.000000   25.0000     0.0694
    6.500     0.000   0.875738   0.021142   0.018869   0.040012   0.000000   0.000000  -0.050399   0.000000  -0.000000   25.0000     0.0685
    7.000     0.000   0.916930   0.023260   0.020277   0.043537   0.000000   0.000000  -0.048528  -0.000000  -0.000000   25.0000     0.0677
    7.500     0.000   0.957796   0.025473   0.021816   0.047289  -0.000000   0.000000  -0.046680   0.000000  -0.000000   25.0000     0.0670
    8.000     0.000   0.998325   0.027779   0.023641   0.051420  -0.000000   0.000000  -0.044847   0.000000  -0.000000   25.0000     0.0663
    8.500     0.000   1.038504   0.030176   0.025527   0.055703   0.000000   0.000000  -0.043042  -0.000000  -0.000000   25.0000     0.0657
    9.000     0.000   1.078324   0.032664   0.027560   0.060224   0.000000   0.000000  -0.041261   0.000000   0.000000   25.0000     0.0652
    9.500     0.000   1.117772   0.035241   0.030122   0.065364   0.000000   0.000000  -0.039484  -0.000000  -0.000000   25.0000     0.0647
   10.000     0.000   1.156837   0.037906   0.033167   0.071073   0.000000   0.000000  -0.037711   0.000000  -0.000000   25.0000     0.0643
   10.500     0.000   1.195509   0.040657   0.036099   0.076756   0.000000   0.000000  -0.035976   0.000000  -0.000000   25.0000     0.0639
   11.000     0.000   1.233776   0.043492   0.039659   0.083151  -0.000000  -0.000000  -0.034237   0.000000   0.000000   25.0000     0.0635
   11.500     0.000   1.271628   0.046409   0.044476   0.090885  -0.000000  -0.000000  -0.032448   0.000000   0.000000   25.0000     0.0632
   12.000     0.000   1.309054   0.049407   0.050226   0.099633   0.000000   0.000000  -0.030627  -0.000000   0.000000   25.0000     0.0629
   12.500     0.000   1.346043   0.052485   0.055973   0.108458   0.000000   0.000000  -0.028830  -0.000000  -0.000000   25.0000     0.0626


