xflr5 v6.47

Plane name :        VTOL_SINGLE_W1_BELL_LAST
Polar name :        T1-30.0 m/s-VLM1_wing_dihedral
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.586681   0.008686   0.045732   0.054418   0.000000   0.000000  -0.516784   0.000000   0.000000   30.0000     0.0188
   -9.500     0.000  -0.541665   0.007407   0.041353   0.048760   0.000000   0.000000  -0.483582   0.000000   0.000000   30.0000     0.0160
   -9.000     0.000  -0.496570   0.006227   0.038714   0.044941   0.000000   0.000000  -0.450450   0.000000   0.000000   30.0000     0.0126
   -8.500     0.000  -0.451400   0.005147   0.036743   0.041890   0.000000   0.000000  -0.417287   0.000000   0.000000   30.0000     0.0086
   -8.000     0.000  -0.406163   0.004168   0.034958   0.039126   0.000000   0.000000  -0.384159   0.000000   0.000000   30.0000     0.0037
   -7.500     0.000  -0.360863   0.003291   0.032886   0.036177   0.000000   0.000000  -0.351142   0.000000   0.000000   30.0000    -0.0025
   -7.000     0.000  -0.315508   0.002516   0.030957   0.033473   0.000000   0.000000  -0.318110   0.000000   0.000000   30.0000    -0.0104
   -6.500     0.000  -0.270102   0.001845   0.028445   0.030291   0.000000   0.000000  -0.285272   0.000000   0.000000   30.0000    -0.0210
   -6.000     0.000  -0.224654   0.001278   0.024812   0.026091   0.000000   0.000000  -0.252739   0.000000   0.000000   30.0000    -0.0359
   -5.500     0.000  -0.179168   0.000816   0.016574   0.017391   0.000000   0.000000  -0.220812   0.000000   0.000000   30.0000    -0.0583
   -5.000     0.000  -0.133651   0.000459   0.012693   0.013153   0.000000   0.000000  -0.187915   0.000000   0.000000   30.0000    -0.0960
   -4.500     0.000  -0.088110   0.000208   0.013232   0.013440   0.000000   0.000000  -0.155070   0.000000   0.000000   30.0000    -0.1727
   -4.000     0.000  -0.042550   0.000063   0.013881   0.013944   0.000000   0.000000  -0.122298   0.000000   0.000000   30.0000    -0.4136
   -3.500     0.000   0.003023   0.000025   0.014581   0.014606   0.000000   0.000000  -0.089612   0.000000   0.000000   30.0000     6.6097
   -3.000     0.000   0.048601   0.000092   0.015260   0.015352  -0.000000  -0.000000  -0.057034   0.000000   0.000000   30.0000     0.4601
   -2.500     0.000   0.094180   0.000267   0.015765   0.016032  -0.000000  -0.000000  -0.024603   0.000000  -0.000000   30.0000     0.2627
   -2.000     0.000   0.139752   0.000548   0.015860   0.016408  -0.000000  -0.000000   0.007657   0.000000  -0.000000   30.0000     0.1940
   -1.500     0.000   0.185311   0.000937   0.015842   0.016778  -0.000000  -0.000000   0.039771  -0.000000  -0.000000   30.0000     0.1591
   -1.000     0.000   0.230851   0.001431   0.015797   0.017228  -0.000000  -0.000000   0.071724  -0.000000  -0.000000   30.0000     0.1380
   -0.500     0.000   0.276366   0.002032   0.015773   0.017805  -0.000000  -0.000000   0.103512  -0.000000  -0.000000   30.0000     0.1239
    0.000     0.000   0.321849   0.002739   0.015675   0.018414  -0.000000  -0.000000   0.135118  -0.000000  -0.000000   30.0000     0.1137
    0.500     0.000   0.367295   0.003552   0.015535   0.019087  -0.000000  -0.000000   0.166544  -0.000000  -0.000000   30.0000     0.1061
    1.000     0.000   0.412697   0.004471   0.015322   0.019792  -0.000000  -0.000000   0.197769  -0.000000  -0.000000   30.0000     0.1001
    1.500     0.000   0.458048   0.005494   0.015122   0.020616  -0.000000  -0.000000   0.228790  -0.000000  -0.000000   30.0000     0.0954
    2.000     0.000   0.503343   0.006621   0.014958   0.021579  -0.000000  -0.000000   0.259614  -0.000000  -0.000000   30.0000     0.0915
    2.500     0.000   0.548576   0.007851   0.014696   0.022547  -0.000000  -0.000000   0.290211  -0.000000  -0.000000   30.0000     0.0882
    3.000     0.000   0.593739   0.009185   0.014350   0.023535  -0.000000  -0.000000   0.320554  -0.000000  -0.000000   30.0000     0.0855
    3.500     0.000   0.638828   0.010620   0.014089   0.024709  -0.000000  -0.000000   0.350676  -0.000000  -0.000000   30.0000     0.0831
    4.000     0.000   0.683836   0.012156   0.013724   0.025880  -0.000000  -0.000000   0.380541  -0.000000  -0.000000   30.0000     0.0811
    4.500     0.000   0.728757   0.013792   0.013456   0.027248  -0.000000  -0.000000   0.410155  -0.000000  -0.000000   30.0000     0.0793
    5.000     0.000   0.773585   0.015527   0.013549   0.029076  -0.000000  -0.000000   0.439564  -0.000000  -0.000000   30.0000     0.0777
    5.500     0.000   0.818314   0.017360   0.014131   0.031491  -0.000000  -0.000000   0.468810   0.000000  -0.000000   30.0000     0.0763
    6.000     0.000   0.862937   0.019289   0.015020   0.034309  -0.000000  -0.000000   0.497869   0.000000  -0.000000   30.0000     0.0750
    6.500     0.000   0.907450   0.021313   0.016113   0.037427  -0.000000  -0.000000   0.526713   0.000000  -0.000000   30.0000     0.0739
    7.000     0.000   0.951845   0.023432   0.017280   0.040711  -0.000000  -0.000000   0.555299   0.000000  -0.000000   30.0000     0.0729
    7.500     0.000   0.996118   0.025642   0.018587   0.044229  -0.000000  -0.000000   0.583629   0.000000  -0.000000   30.0000     0.0720
    8.000     0.000   1.040262   0.027944   0.020088   0.048032  -0.000000  -0.000000   0.611720   0.000000  -0.000000   30.0000     0.0711
    8.500     0.000   1.084272   0.030335   0.021777   0.052112  -0.000000  -0.000000   0.639552   0.000000  -0.000000   30.0000     0.0704
    9.000     0.000   1.128142   0.032813   0.023967   0.056780  -0.000000  -0.000000   0.667198   0.000000  -0.000000   30.0000     0.0696
    9.500     0.000   1.171865   0.035377   0.026369   0.061746  -0.000000  -0.000000   0.694601   0.000000  -0.000000   30.0000     0.0690
   10.000     0.000   1.215438   0.038026   0.029318   0.067344  -0.000000  -0.000000   0.721809   0.000000  -0.000000   30.0000     0.0684
   10.500     0.000   1.258853   0.040756   0.032800   0.073556  -0.000000  -0.000000   0.748831   0.000000  -0.000000   30.0000     0.0678
   11.000     0.000   1.302106   0.043567   0.036948   0.080515  -0.000000  -0.000000   0.775712   0.000000  -0.000000   30.0000     0.0673
   11.500     0.000   1.345191   0.046457   0.042077   0.088533  -0.000000  -0.000000   0.802537   0.000000  -0.000000   30.0000     0.0669
   12.000     0.000   1.388102   0.049422   0.048484   0.097906  -0.000000  -0.000000   0.829392   0.000000  -0.000000   30.0000     0.0664
   12.500     0.000   1.430835   0.052462   0.055858   0.108320  -0.000000  -0.000000   0.856263   0.000000  -0.000000   30.0000     0.0660


