xflr5 v6.47

Plane name :        VTOL_SINGLE_W1_BELL_LAST_PROJECTED
Polar name :        T1-30.0 m/s-VLM1_wing_projected
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.588376   0.008702   0.045866   0.054568  -0.000000   0.000000  -0.508147   0.000000  -0.000000   30.0000     0.0189
   -9.500     0.000  -0.543277   0.007422   0.041381   0.048803  -0.000000   0.000000  -0.476467   0.000000  -0.000000   30.0000     0.0160
   -9.000     0.000  -0.498098   0.006241   0.038714   0.044955  -0.000000   0.000000  -0.444887   0.000000  -0.000000   30.0000     0.0127
   -8.500     0.000  -0.452845   0.005160   0.036731   0.041891  -0.000000   0.000000  -0.413273   0.000000  -0.000000   30.0000     0.0087
   -8.000     0.000  -0.407523   0.004180   0.034944   0.039123  -0.000000   0.000000  -0.381574   0.000000   0.000000   30.0000     0.0038
   -7.500     0.000  -0.362140   0.003301   0.032876   0.036177  -0.000000   0.000000  -0.349751   0.000000  -0.000000   30.0000    -0.0023
   -7.000     0.000  -0.316701   0.002525   0.030950   0.033476  -0.000000   0.000000  -0.317859   0.000000  -0.000000   30.0000    -0.0102
   -6.500     0.000  -0.271212   0.001853   0.028444   0.030297  -0.000000   0.000000  -0.285844   0.000000   0.000000   30.0000    -0.0207
   -6.000     0.000  -0.225679   0.001285   0.024819   0.026104  -0.000000   0.000000  -0.253685   0.000000  -0.000000   30.0000    -0.0355
   -5.500     0.000  -0.180110   0.000822   0.017550   0.018371  -0.000000   0.000000  -0.221255   0.000000  -0.000000   30.0000    -0.0578
   -5.000     0.000  -0.134509   0.000463   0.012663   0.013126  -0.000000   0.000000  -0.188995  -0.000000  -0.000000   30.0000    -0.0951
   -4.500     0.000  -0.088883   0.000211   0.013200   0.013411  -0.000000   0.000000  -0.157020  -0.000000  -0.000000   30.0000    -0.1708
   -4.000     0.000  -0.043239   0.000064   0.013847   0.013911  -0.000000   0.000000  -0.124994  -0.000000  -0.000000   30.0000    -0.4063
   -3.500     0.000   0.002417   0.000024   0.014547   0.014571  -0.000000   0.000000  -0.092921  -0.000000  -0.000000   30.0000     8.2531
   -3.000     0.000   0.048080   0.000091   0.015226   0.015317   0.000000   0.000000  -0.060808   0.000000  -0.000000   30.0000     0.4645
   -2.500     0.000   0.093742   0.000264   0.015735   0.015998   0.000000  -0.000000  -0.028660   0.000000   0.000000   30.0000     0.2637
   -2.000     0.000   0.139398   0.000544   0.015831   0.016375   0.000000  -0.000000   0.003514   0.000000   0.000000   30.0000     0.1944
   -1.500     0.000   0.185041   0.000930   0.015815   0.016745   0.000000  -0.000000   0.035693   0.000000   0.000000   30.0000     0.1593
   -1.000     0.000   0.230665   0.001423   0.015770   0.017193   0.000000  -0.000000   0.067864   0.000000   0.000000   30.0000     0.1381
   -0.500     0.000   0.276264   0.002023   0.015745   0.017768   0.000000  -0.000000   0.100016   0.000000   0.000000   30.0000     0.1239
    0.000     0.000   0.321831   0.002728   0.015647   0.018376   0.000000  -0.000000   0.132140   0.000000   0.000000   30.0000     0.1137
    0.500     0.000   0.367361   0.003540   0.015508   0.019047   0.000000  -0.000000   0.164225  -0.000000   0.000000   30.0000     0.1061
    1.000     0.000   0.412846   0.004456   0.015294   0.019750   0.000000  -0.000000   0.196260  -0.000000   0.000000   30.0000     0.1001
    1.500     0.000   0.458281   0.005477   0.015095   0.020572   0.000000  -0.000000   0.228235  -0.000000   0.000000   30.0000     0.0953
    2.000     0.000   0.503660   0.006602   0.014931   0.021534   0.000000  -0.000000   0.260142  -0.000000   0.000000   30.0000     0.0914
    2.500     0.000   0.548976   0.007831   0.014668   0.022499  -0.000000  -0.000000   0.291967  -0.000000   0.000000   30.0000     0.0882
    3.000     0.000   0.594223   0.009162   0.014323   0.023486  -0.000000  -0.000000   0.323699  -0.000000  -0.000000   30.0000     0.0854
    3.500     0.000   0.639395   0.010596   0.014062   0.024658  -0.000000  -0.000000   0.355336  -0.000000   0.000000   30.0000     0.0830
    4.000     0.000   0.684487   0.012130   0.013696   0.025826  -0.000000  -0.000000   0.386858  -0.000000   0.000000   30.0000     0.0810
    4.500     0.000   0.729491   0.013764   0.013429   0.027193  -0.000000  -0.000000   0.418266  -0.000000   0.000000   30.0000     0.0792
    5.000     0.000   0.774402   0.015497   0.013528   0.029024  -0.000000  -0.000000   0.449568   0.000000   0.000000   30.0000     0.0776
