xflr5 v6.47

Plane name :        VTOL_SINGLE_W1_BELL_LAST
Polar name :        T1-30.0 m/s-VLM2-0.0kg-x0.2m
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.586393   0.008694   0.045695   0.054389   0.000000   0.000000  -0.516375   0.000000   0.000000   30.0000     0.0189
   -9.000     0.000  -0.496341   0.006233   0.038695   0.044928   0.000000   0.000000  -0.450085   0.000000   0.000000   30.0000     0.0127
   -8.000     0.000  -0.405992   0.004170   0.034944   0.039114   0.000000   0.000000  -0.383841   0.000000   0.000000   30.0000     0.0037
   -7.000     0.000  -0.315394   0.002515   0.030945   0.033460   0.000000   0.000000  -0.317839   0.000000   0.000000   30.0000    -0.0103
   -6.000     0.000  -0.224596   0.001272   0.024806   0.026078   0.000000   0.000000  -0.252513   0.000000   0.000000   30.0000    -0.0357
   -5.000     0.000  -0.133648   0.000448   0.012693   0.013142   0.000000   0.000000  -0.187735   0.000000   0.000000   30.0000    -0.0957
   -4.000     0.000  -0.042600   0.000047   0.013880   0.013927   0.000000   0.000000  -0.122164   0.000000   0.000000   30.0000    -0.4121
   -3.000     0.000   0.048498   0.000071   0.015259   0.015330  -0.000000  -0.000000  -0.056945   0.000000   0.000000   30.0000     0.4601
   -2.000     0.000   0.139597   0.000521   0.015858   0.016379  -0.000000  -0.000000   0.007701   0.000000  -0.000000   30.0000     0.1939
   -1.000     0.000   0.230646   0.001398   0.015796   0.017193  -0.000000  -0.000000   0.071725  -0.000000  -0.000000   30.0000     0.1379
    0.000     0.000   0.321595   0.002700   0.015674   0.018374  -0.000000  -0.000000   0.135075  -0.000000  -0.000000   30.0000     0.1136
    1.000     0.000   0.412395   0.004425   0.015322   0.019746  -0.000000  -0.000000   0.197683  -0.000000  -0.000000   30.0000     0.1001
    2.000     0.000   0.502995   0.006568   0.014959   0.021527  -0.000000  -0.000000   0.259487  -0.000000  -0.000000   30.0000     0.0914
    3.000     0.000   0.593346   0.009126   0.014352   0.023478  -0.000000  -0.000000   0.320386  -0.000000  -0.000000   30.0000     0.0854
    4.000     0.000   0.683399   0.012091   0.013725   0.025817  -0.000000  -0.000000   0.380333  -0.000000  -0.000000   30.0000     0.0810
    5.000     0.000   0.773105   0.015457   0.013554   0.029010  -0.000000  -0.000000   0.439318  -0.000000  -0.000000   30.0000     0.0776
    6.000     0.000   0.862416   0.019213   0.015025   0.034238  -0.000000  -0.000000   0.497585   0.000000  -0.000000   30.0000     0.0750
    7.000     0.000   0.951285   0.023350   0.017285   0.040635  -0.000000  -0.000000   0.554978   0.000000  -0.000000   30.0000     0.0728
    8.000     0.000   1.039663   0.027857   0.020095   0.047952  -0.000000  -0.000000   0.611364   0.000000  -0.000000   30.0000     0.0711
    9.000     0.000   1.127505   0.032722   0.023980   0.056701  -0.000000  -0.000000   0.666808   0.000000  -0.000000   30.0000     0.0696
   10.000     0.000   1.214765   0.037930   0.029336   0.067266  -0.000000  -0.000000   0.721387   0.000000  -0.000000   30.0000     0.0684
   11.000     0.000   1.301399   0.043468   0.036981   0.080449  -0.000000  -0.000000   0.775261   0.000000  -0.000000   30.0000     0.0673
   12.000     0.000   1.387361   0.049320   0.048545   0.097865  -0.000000  -0.000000   0.828918   0.000000  -0.000000   30.0000     0.0664


