xflr5 v6.47

Plane name :        VTOL_SINGLE_W1_BELL_LAST_PROJECTED
Polar name :        T5-a0.0°-30.0m/s-Panel_wing_projected_beta

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.350953   0.003186   0.016315   0.019501  -0.000000   0.000000   0.161780  -0.000000  -0.000000   30.0000     0.0953
    0.000     0.500   0.350924   0.003186   0.016315   0.019500   0.000023   0.000231   0.161748   0.000037   0.000047   30.0000     0.0954
    0.000     1.000   0.350837   0.003185   0.016315   0.019500   0.000046   0.000461   0.161651   0.000073   0.000094   30.0000     0.0954
    0.000     1.500   0.350692   0.003184   0.016315   0.019499   0.000069   0.000692   0.161491   0.000110   0.000141   30.0000     0.0954
    0.000     2.000   0.350490   0.003182   0.016316   0.019498   0.000091   0.000922   0.161267   0.000146   0.000188   30.0000     0.0954
    0.000     2.500   0.350230   0.003180   0.016317   0.019497   0.000114   0.001151   0.160978   0.000183   0.000235   30.0000     0.0954
    0.000     3.000   0.349912   0.003178   0.016317   0.019495   0.000137   0.001380   0.160627   0.000219   0.000282   30.0000     0.0955
    0.000     3.500   0.349537   0.003175   0.016318   0.019493   0.000160   0.001607   0.160212   0.000255   0.000328   30.0000     0.0955
    0.000     4.000   0.349104   0.003172   0.016319   0.019491   0.000182   0.001834   0.159734   0.000291   0.000375   30.0000     0.0956
    0.000     4.500   0.348614   0.003168   0.016321   0.019489   0.000205   0.002060   0.159193   0.000327   0.000422   30.0000     0.0957
    0.000     5.000   0.348067   0.003164   0.016322   0.019486   0.000227   0.002284   0.158590   0.000363   0.000468   30.0000     0.0957
    0.000     5.500   0.347463   0.003159   0.016324   0.019483   0.000250   0.002507   0.157925   0.000399   0.000514   30.0000     0.0958
    0.000     6.000   0.346803   0.003154   0.016325   0.019479   0.000272   0.002729   0.157199   0.000435   0.000560   30.0000     0.0959
    0.000     6.500   0.346086   0.003148   0.016327   0.019475   0.000294   0.002948   0.156411   0.000470   0.000606   30.0000     0.0960
    0.000     7.000   0.345312   0.003142   0.016328   0.019470   0.000317   0.003166   0.155564   0.000505   0.000652   30.0000     0.0961
    0.000     7.500   0.344483   0.003136   0.016330   0.019466   0.000339   0.003382   0.154657   0.000541   0.000697   30.0000     0.0962
    0.000     8.000   0.343598   0.003129   0.016332   0.019461   0.000361   0.003596   0.153691   0.000575   0.000742   30.0000     0.0964
    0.000     8.500   0.342658   0.003121   0.016334   0.019455   0.000383   0.003808   0.152667   0.000610   0.000787   30.0000     0.0965
    0.000     9.000   0.341662   0.003114   0.016336   0.019450   0.000404   0.004017   0.151586   0.000644   0.000832   30.0000     0.0966
    0.000     9.500   0.340612   0.003105   0.016339   0.019445   0.000426   0.004224   0.150447   0.000679   0.000877   30.0000     0.0968
    0.000    10.000   0.339507   0.003097   0.016342   0.019439   0.000448   0.004428   0.149253   0.000713   0.000921   30.0000     0.0969
    0.000    10.500   0.338348   0.003088   0.016346   0.019433   0.000469   0.004630   0.148004   0.000746   0.000965   30.0000     0.0971
