xflr5 v6.47

Plane name :        VTOL_SINGLE_W1_BELL_LAST_PROJECTED
Polar name :        T5-a0.0°-30.0m/s-VLM2_wing_projected_beta

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.321500   0.002689   0.015647   0.018336  -0.000000  -0.000000   0.132100  -0.000000   0.000000   30.0000     0.1136
    0.000     0.500   0.321473   0.002689   0.015647   0.018336   0.000022   0.000283   0.132064  -0.000009   0.000001   30.0000     0.1137
    0.000     1.000   0.321395   0.002688   0.015648   0.018336   0.000044   0.000566   0.131955  -0.000017   0.000003   30.0000     0.1137
    0.000     1.500   0.321263   0.002687   0.015648   0.018335   0.000066   0.000848   0.131774  -0.000026   0.000004   30.0000     0.1137
    0.000     2.000   0.321079   0.002685   0.015649   0.018334   0.000088   0.001130   0.131520  -0.000034   0.000006   30.0000     0.1138
    0.000     2.500   0.320843   0.002684   0.015649   0.018333   0.000110   0.001411   0.131194  -0.000043   0.000007   30.0000     0.1139
    0.000     3.000   0.320554   0.002681   0.015650   0.018331   0.000132   0.001691   0.130797  -0.000052   0.000008   30.0000     0.1140
    0.000     3.500   0.320213   0.002679   0.015651   0.018330   0.000153   0.001970   0.130328  -0.000060   0.000010   30.0000     0.1141
    0.000     4.000   0.319820   0.002676   0.015652   0.018328   0.000175   0.002248   0.129787  -0.000069   0.000011   30.0000     0.1142
    0.000     4.500   0.319374   0.002672   0.015653   0.018325   0.000197   0.002525   0.129176  -0.000078   0.000012   30.0000     0.1144
    0.000     5.000   0.318877   0.002668   0.015655   0.018323   0.000219   0.002800   0.128495  -0.000086   0.000014   30.0000     0.1145
    0.000     5.500   0.318328   0.002664   0.015656   0.018320   0.000240   0.003074   0.127743  -0.000095   0.000015   30.0000     0.1147
    0.000     6.000   0.317728   0.002659   0.015658   0.018317   0.000262   0.003345   0.126923  -0.000103   0.000017   30.0000     0.1149
