xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST_PROJECTED_NO_CENTER_SECTION
Polar name :        T1-30.0 m/s-Panel_vtail_projected_no_center
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -12.500     0.000  -1.018937   0.043124   0.028282   0.071406   0.000000  -0.000000  -0.747934  -0.000000  -0.000000   30.0000     0.0790
  -12.000     0.000  -0.978158   0.039879   0.025058   0.064937   0.000000  -0.000000  -0.718241  -0.000000  -0.000000   30.0000     0.0795
  -11.500     0.000  -0.937136   0.036725   0.022818   0.059544  -0.000000   0.000000  -0.688771   0.000000   0.000000   30.0000     0.0801
  -11.000     0.000  -0.896018   0.033685   0.021007   0.054692  -0.000000  -0.000000  -0.659340  -0.000000  -0.000000   30.0000     0.0806
  -10.500     0.000  -0.854834   0.030762   0.019533   0.050295  -0.000000   0.000000  -0.629915   0.000000   0.000000   30.0000     0.0811
  -10.000     0.000  -0.813563   0.027957   0.018229   0.046186  -0.000000   0.000000  -0.600426   0.000000   0.000000   30.0000     0.0816
   -9.500     0.000  -0.772430   0.025293   0.017202   0.042496  -0.000000  -0.000000  -0.570983  -0.000000  -0.000000   30.0000     0.0821
   -9.000     0.000  -0.731192   0.022746   0.016368   0.039114  -0.000000  -0.000000  -0.541460  -0.000000  -0.000000   30.0000     0.0825
   -8.500     0.000  -0.689980   0.020330   0.015623   0.035952  -0.000000  -0.000000  -0.511875  -0.000000  -0.000000   30.0000     0.0830
   -8.000     0.000  -0.648760   0.018041   0.015004   0.033045  -0.000000  -0.000000  -0.482222  -0.000000  -0.000000   30.0000     0.0834
   -7.500     0.000  -0.607563   0.015883   0.014404   0.030287  -0.000000   0.000000  -0.452485   0.000000   0.000000   30.0000     0.0838
   -7.000     0.000  -0.566400   0.013858   0.013784   0.027642  -0.000000  -0.000000  -0.422660  -0.000000  -0.000000   30.0000     0.0842
   -6.500     0.000  -0.525284   0.011967   0.013111   0.025078  -0.000000   0.000000  -0.392750   0.000000   0.000000   30.0000     0.0846
