xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST_PROJECTED
Polar name :        T1-30.0 m/s-LLT_vtail_projected
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.884753   0.029505   0.018277   0.047782   0.000000   0.000000  -0.602762   0.000000   0.000000   30.0000     0.0749
   -9.500     0.000  -0.851839   0.027449   0.017289   0.044737   0.000000   0.000000  -0.578219   0.000000  -0.000000   30.0000     0.0755
   -9.000     0.000  -0.819156   0.025379   0.016361   0.041740   0.000000   0.000000  -0.553783  -0.000000  -0.000000   30.0000     0.0762
   -8.500     0.000  -0.785688   0.023304   0.015491   0.038795   0.000000   0.000000  -0.529021   0.000000  -0.000000   30.0000     0.0768
   -8.000     0.000  -0.749530   0.021201   0.014698   0.035900   0.000000   0.000000  -0.502944   0.000000  -0.000000   30.0000     0.0774
   -7.500     0.000  -0.711747   0.019106   0.013936   0.033042   0.000000   0.000000  -0.476166   0.000000   0.000000   30.0000     0.0779
   -7.000     0.000  -0.671143   0.016992   0.013230   0.030222   0.000000   0.000000  -0.448183   0.000000  -0.000000   30.0000     0.0783
   -6.500     0.000  -0.629247   0.014936   0.012562   0.027498   0.000000   0.000000  -0.419641   0.000000   0.000000   30.0000     0.0785
   -6.000     0.000  -0.583953   0.012861   0.011905   0.024765   0.000000   0.000000  -0.389499   0.000000  -0.000000   30.0000     0.0786
   -5.500     0.000  -0.537185   0.010891   0.011262   0.022153   0.000000  -0.000000  -0.358617   0.000000  -0.000000   30.0000     0.0786
   -5.000     0.000  -0.486483   0.008961   0.010627   0.019588   0.000000   0.000000  -0.325920   0.000000  -0.000000   30.0000     0.0783
   -4.500     0.000  -0.435351   0.007194   0.009979   0.017173   0.000000   0.000000  -0.292982   0.000000  -0.000000   30.0000     0.0778
   -4.000     0.000  -0.383694   0.005608   0.009357   0.014965   0.000000   0.000000  -0.259705   0.000000  -0.000000   30.0000     0.0772
   -3.500     0.000  -0.331342   0.004207   0.008877   0.013084   0.000000   0.000000  -0.225899   0.000000  -0.000000   30.0000     0.0764
   -3.000     0.000  -0.279454   0.003011   0.008594   0.011605   0.000000   0.000000  -0.191997   0.000000   0.000000   30.0000     0.0755
   -2.500     0.000  -0.228858   0.002035   0.008338   0.010373   0.000000   0.000000  -0.158499   0.000000   0.000000   30.0000     0.0745
   -2.000     0.000  -0.180703   0.001278   0.008159   0.009437   0.000000   0.000000  -0.125923   0.000000   0.000000   30.0000     0.0737
   -1.500     0.000  -0.134189   0.000711   0.008018   0.008729   0.000000   0.000000  -0.093953   0.000000   0.000000   30.0000     0.0734
   -1.000     0.000  -0.088673   0.000316   0.007932   0.008247   0.000000   0.000000  -0.062286   0.000000   0.000000   30.0000     0.0757
   -0.500     0.000  -0.043851   0.000080   0.007907   0.007987   0.000000   0.000000  -0.030841   0.000000   0.000000   30.0000     0.0860
    0.000     0.000   0.000742  -0.000000   0.007924   0.007924   0.000000  -0.000000   0.000526   0.000000   0.000000   30.0000     0.1137
    0.500     0.000   0.045338   0.000072   0.007906   0.007979   0.000000  -0.000000   0.031896   0.000000   0.000000   30.0000     0.0850
    1.000     0.000   0.090177   0.000299   0.007933   0.008232   0.000000  -0.000000   0.063350   0.000000   0.000000   30.0000     0.0755
    1.500     0.000   0.135643   0.000688   0.008022   0.008710   0.000000  -0.000000   0.094970   0.000000   0.000000   30.0000     0.0734
    2.000     0.000   0.182276   0.001246   0.008165   0.009411   0.000000  -0.000000   0.127005   0.000000   0.000000   30.0000     0.0738
    2.500     0.000   0.230489   0.001997   0.008346   0.010343   0.000000  -0.000000   0.159595   0.000000   0.000000   30.0000     0.0745
    3.000     0.000   0.281023   0.002962   0.008618   0.011580   0.000000  -0.000000   0.193053  -0.000000   0.000000   30.0000     0.0755
    3.500     0.000   0.332770   0.004148   0.008927   0.013075   0.000000  -0.000000   0.226864  -0.000000  -0.000000   30.0000     0.0764
    4.000     0.000   0.384764   0.005542   0.009438   0.014980   0.000000  -0.000000   0.260440  -0.000000   0.000000   30.0000     0.0772
    4.500     0.000   0.436367   0.007113   0.010056   0.017169   0.000000  -0.000000   0.293713  -0.000000  -0.000000   30.0000     0.0778
    5.000     0.000   0.487794   0.008875   0.010689   0.019563   0.000000  -0.000000   0.326800  -0.000000  -0.000000   30.0000     0.0783
    5.500     0.000   0.539038   0.010824   0.011301   0.022125   0.000000  -0.000000   0.359747   0.000000  -0.000000   30.0000     0.0786
    6.000     0.000   0.584796   0.012730   0.011932   0.024662   0.000000  -0.000000   0.390196   0.000000  -0.000000   30.0000     0.0786
    6.500     0.000   0.629052   0.014741   0.012583   0.027324   0.000000  -0.000000   0.419864   0.000000  -0.000000   30.0000     0.0784
    7.000     0.000   0.672386   0.016862   0.013253   0.030115   0.000000  -0.000000   0.449065   0.000000  -0.000000   30.0000     0.0782
    7.500     0.000   0.712694   0.018988   0.013957   0.032945   0.000000  -0.000000   0.476860   0.000000   0.000000   30.0000     0.0779
    8.000     0.000   0.750566   0.021068   0.014720   0.035788   0.000000  -0.000000   0.503701   0.000000  -0.000000   30.0000     0.0774
    8.500     0.000   0.786690   0.023162   0.015513   0.038676   0.000000  -0.000000   0.529763   0.000000  -0.000000   30.0000     0.0768
    9.000     0.000   0.820145   0.025211   0.016390   0.041601   0.000000  -0.000000   0.554544  -0.000000  -0.000000   30.0000     0.0762
    9.500     0.000   0.852778   0.027280   0.017314   0.044594   0.000000  -0.000000   0.578942   0.000000  -0.000000   30.0000     0.0755
   10.000     0.000   0.885142   0.029415   0.018293   0.047708   0.000000  -0.000000   0.603085   0.000000  -0.000000   30.0000     0.0749
   10.500     0.000   0.915017   0.031468   0.019540   0.051008   0.000000  -0.000000   0.625894   0.000000  -0.000000   30.0000     0.0742
   11.000     0.000   0.946136   0.033660   0.020720   0.054379   0.000000  -0.000000   0.649224   0.000000  -0.000000   30.0000     0.0736
   11.500     0.000   0.976238   0.035873   0.021959   0.057831   0.000000  -0.000000   0.671851   0.000000  -0.000000   30.0000     0.0730
   12.000     0.000   1.003534   0.037918   0.023511   0.061428   0.000000  -0.000000   0.692970   0.000000  -0.000000   30.0000     0.0724
   12.500     0.000   1.029590   0.039968   0.025237   0.065205   0.000000  -0.000000   0.713289   0.000000  -0.000000   30.0000     0.0718
   13.000     0.000   1.054440   0.041968   0.027023   0.068991   0.000000   0.000000   0.732879  -0.000000   0.000000   30.0000     0.0711
   13.500     0.000   1.075859   0.043768   0.029017   0.072785   0.000000  -0.000000   0.750434   0.000000  -0.000000   30.0000     0.0704


