xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST_PROJECTED_NO_CENTER_SECTION
Polar name :        T1-30.0 m/s-LLTvtail_projeted_no_center
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -13.500     0.000  -1.042416   0.046796   0.031104   0.077900   0.000000   0.000000  -0.727178   0.000000  -0.000000   30.0000     0.0760
  -13.000     0.000  -1.026064   0.045205   0.028983   0.074188   0.000000   0.000000  -0.712043   0.000000   0.000000   30.0000     0.0768
  -12.500     0.000  -1.005386   0.043353   0.027040   0.070393   0.000000   0.000000  -0.694355   0.000000  -0.000000   30.0000     0.0776
  -12.000     0.000  -0.983709   0.041437   0.025472   0.066909   0.000000   0.000000  -0.675925   0.000000   0.000000   30.0000     0.0784
  -11.500     0.000  -0.959261   0.039365   0.024048   0.063412   0.000000   0.000000  -0.656045   0.000000   0.000000   30.0000     0.0792
  -11.000     0.000  -0.933439   0.037231   0.022580   0.059811   0.000000   0.000000  -0.635475   0.000000   0.000000   30.0000     0.0799
  -10.500     0.000  -0.906360   0.035057   0.021291   0.056348   0.000000   0.000000  -0.614220   0.000000   0.000000   30.0000     0.0807
  -10.000     0.000  -0.878121   0.032863   0.020159   0.053022   0.000000  -0.000000  -0.592305  -0.000000  -0.000000   30.0000     0.0814
   -9.500     0.000  -0.847306   0.030580   0.019100   0.049680   0.000000   0.000000  -0.569074   0.000000   0.000000   30.0000     0.0820
   -9.000     0.000  -0.815612   0.028284   0.018120   0.046403   0.000000   0.000000  -0.545494   0.000000   0.000000   30.0000     0.0827
   -8.500     0.000  -0.781463   0.025943   0.017201   0.043144   0.000000   0.000000  -0.520735   0.000000   0.000000   30.0000     0.0833
   -8.000     0.000  -0.742384   0.023426   0.016350   0.039776   0.000000   0.000000  -0.493724   0.000000   0.000000   30.0000     0.0836
   -7.500     0.000  -0.700152   0.020846   0.015489   0.036335   0.000000   0.000000  -0.465420   0.000000   0.000000   30.0000     0.0838
   -7.000     0.000  -0.651624   0.018093   0.014757   0.032850   0.000000   0.000000  -0.434309   0.000000   0.000000   30.0000     0.0836
   -6.500     0.000  -0.602952   0.015511   0.014030   0.029541   0.000000   0.000000  -0.403111   0.000000   0.000000   30.0000     0.0833
   -6.000     0.000  -0.554784   0.013155   0.013285   0.026440   0.000000   0.000000  -0.372091   0.000000  -0.000000   30.0000     0.0831
   -5.500     0.000  -0.506965   0.011011   0.012511   0.023521   0.000000   0.000000  -0.341205   0.000000  -0.000000   30.0000     0.0827
   -5.000     0.000  -0.459708   0.009079   0.011694   0.020774   0.000000   0.000000  -0.310533   0.000000  -0.000000   30.0000     0.0824
   -4.500     0.000  -0.415993   0.007452   0.010715   0.018167   0.000000   0.000000  -0.281343   0.000000  -0.000000   30.0000     0.0823
   -4.000     0.000  -0.372121   0.005971   0.009774   0.015746   0.000000   0.000000  -0.252012   0.000000   0.000000   30.0000     0.0823
   -3.500     0.000  -0.326247   0.004599   0.009209   0.013808   0.000000   0.000000  -0.221383   0.000000   0.000000   30.0000     0.0821
   -3.000     0.000  -0.279653   0.003389   0.009005   0.012394   0.000000   0.000000  -0.189997   0.000000   0.000000   30.0000     0.0820
   -2.500     0.000  -0.232271   0.002346   0.008851   0.011197   0.000000   0.000000  -0.158245   0.000000   0.000000   30.0000     0.0818
   -2.000     0.000  -0.184603   0.001490   0.008819   0.010309   0.000000   0.000000  -0.126214   0.000000   0.000000   30.0000     0.0813
   -1.500     0.000  -0.137196   0.000830   0.008810   0.009639   0.000000   0.000000  -0.094244   0.000000   0.000000   30.0000     0.0811
   -1.000     0.000  -0.090830   0.000369   0.008861   0.009230   0.000000   0.000000  -0.062551   0.000000   0.000000   30.0000     0.0869
   -0.500     0.000  -0.045062   0.000094   0.008953   0.009047   0.000000   0.000000  -0.031025   0.000000   0.000000   30.0000     0.1011
    0.000     0.000   0.000761  -0.000000   0.009041   0.009041   0.000000  -0.000000   0.000531   0.000000  -0.000000   30.0000     0.1207
    0.500     0.000   0.046583   0.000087   0.008950   0.009037   0.000000  -0.000000   0.032088   0.000000   0.000000   30.0000     0.1004
    1.000     0.000   0.092358   0.000354   0.008858   0.009212   0.000000  -0.000000   0.063619   0.000000   0.000000   30.0000     0.0865
    1.500     0.000   0.138668   0.000808   0.008810   0.009618   0.000000  -0.000000   0.095254   0.000000   0.000000   30.0000     0.0810
