xflr5 v6.47

Plane name :        VTOL_SINGLE_W1_BELL_LAST
Polar name :        T1-30.0 m/s-LLT_wing_dihedral
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.220881   0.001495   0.026027   0.027522   0.000000  -0.000000  -0.284016   0.000000  -0.000000   30.0000    -0.0812
   -9.500     0.000  -0.198552   0.001209   0.024601   0.025810   0.000000  -0.000000  -0.266021   0.000000  -0.000000   30.0000    -0.0936
   -9.000     0.000  -0.177389   0.000971   0.023205   0.024175   0.000000  -0.000000  -0.248517  -0.000000  -0.000000   30.0000    -0.1076
   -8.500     0.000  -0.159159   0.000803   0.021746   0.022549   0.000000   0.000000  -0.232569  -0.000000  -0.000000   30.0000    -0.1210
   -8.000     0.000  -0.151570   0.000901   0.020052   0.020953   0.000000  -0.000000  -0.222578   0.000000  -0.000000   30.0000    -0.1219
   -7.500     0.000  -0.150420   0.000826   0.018137   0.018963   0.000000  -0.000000  -0.216251   0.000000  -0.000000   30.0000    -0.1146
   -6.000     0.000  -0.188520   0.001070   0.013470   0.014540   0.000000  -0.000000  -0.212716   0.000000  -0.000000   30.0000    -0.0443
   -5.500     0.000  -0.179515   0.000901   0.012595   0.013496   0.000000   0.000000  -0.197960   0.000000  -0.000000   30.0000    -0.0390
   -5.000     0.000  -0.153126   0.000640   0.012362   0.013002   0.000000   0.000000  -0.174019   0.000000   0.000000   30.0000    -0.0495
   -4.500     0.000  -0.108651   0.000327   0.012840   0.013167   0.000000   0.000000  -0.140924   0.000000   0.000000   30.0000    -0.0909
   -4.000     0.000  -0.062324   0.000109   0.013448   0.013557   0.000000   0.000000  -0.106937   0.000000   0.000000   30.0000    -0.2243
   -3.500     0.000  -0.012972   0.000008   0.014200   0.014208   0.000000   0.000000  -0.071449   0.000000   0.000000   30.0000    -0.6268
   -3.000     0.000   0.037236   0.000040   0.014969   0.015009   0.000000  -0.000000  -0.035632   0.000000   0.000000   30.0000     0.3426
   -2.500     0.000   0.085979   0.000199   0.015541   0.015740   0.000000  -0.000000  -0.000943   0.000000   0.000000   30.0000     0.2406
   -2.000     0.000   0.131063   0.000465   0.015708   0.016172   0.000000  -0.000000   0.031595   0.000000   0.000000   30.0000     0.1628
   -1.500     0.000   0.175344   0.000839   0.015718   0.016557   0.000000  -0.000000   0.063564   0.000000   0.000000   30.0000     0.1314
   -1.000     0.000   0.219953   0.001319   0.015665   0.016983   0.000000  -0.000000   0.095471   0.000000  -0.000000   30.0000     0.1137
   -0.500     0.000   0.264713   0.001898   0.015616   0.017513   0.000000  -0.000000   0.127186   0.000000   0.000000   30.0000     0.1022
    0.000     0.000   0.308564   0.002573   0.015550   0.018123   0.000000  -0.000000   0.158241   0.000000   0.000000   30.0000     0.0942
    0.500     0.000   0.350870   0.003329   0.015454   0.018783   0.000000  -0.000000   0.188521   0.000000   0.000000   30.0000     0.0881
    1.000     0.000   0.391797   0.004158   0.015262   0.019420   0.000000  -0.000000   0.218039   0.000000  -0.000000   30.0000     0.0833
    1.500     0.000   0.433339   0.005091   0.015053   0.020143   0.000000  -0.000000   0.247711   0.000000   0.000000   30.0000     0.0794
    2.000     0.000   0.476610   0.006148   0.014909   0.021057   0.000000  -0.000000   0.278045   0.000000  -0.000000   30.0000     0.0763
    2.500     0.000   0.517367   0.007264   0.014746   0.022010   0.000000  -0.000000   0.307116   0.000000  -0.000000   30.0000     0.0736
    3.000     0.000   0.555573   0.008397   0.014467   0.022864   0.000000  -0.000000   0.334960   0.000000   0.000000   30.0000     0.0710
    3.500     0.000   0.593678   0.009598   0.014191   0.023789   0.000000  -0.000000   0.362592   0.000000   0.000000   30.0000     0.0688
    4.000     0.000   0.630968   0.010862   0.013972   0.024834   0.000000  -0.000000   0.389715   0.000000   0.000000   30.0000     0.0668
    4.500     0.000   0.665121   0.012119   0.013742   0.025860   0.000000  -0.000000   0.415301   0.000000   0.000000   30.0000     0.0648
    5.000     0.000   0.695307   0.013283   0.013454   0.026737   0.000000  -0.000000   0.438930   0.000000   0.000000   30.0000     0.0628
    5.500     0.000   0.723692   0.014439   0.013261   0.027700   0.000000   0.000000   0.461610  -0.000000  -0.000000   30.0000     0.0608
    6.000     0.000   0.750642   0.015599   0.013175   0.028773   0.000000  -0.000000   0.483388  -0.000000  -0.000000   30.0000     0.0590
    6.500     0.000   0.775107   0.016661   0.013255   0.029917   0.000000  -0.000000   0.503745   0.000000   0.000000   30.0000     0.0571
    7.000     0.000   0.798636   0.017739   0.013511   0.031251   0.000000  -0.000000   0.523324  -0.000000  -0.000000   30.0000     0.0554
    7.500     0.000   0.822572   0.018831   0.013918   0.032748   0.000000  -0.000000   0.542684   0.000000  -0.000000   30.0000     0.0539
    8.000     0.000   0.848064   0.020030   0.014438   0.034469   0.000000  -0.000000   0.562299   0.000000   0.000000   30.0000     0.0526
    8.500     0.000   0.874848   0.021307   0.015086   0.036393   0.000000  -0.000000   0.582037  -0.000000  -0.000000   30.0000     0.0516
    9.000     0.000   0.903021   0.022669   0.015856   0.038525   0.000000  -0.000000   0.601903   0.000000   0.000000   30.0000     0.0508
    9.500     0.000   0.934184   0.024217   0.016731   0.040947   0.000000  -0.000000   0.622530   0.000000   0.000000   30.0000     0.0502
   10.000     0.000   0.968685   0.025940   0.017675   0.043615   0.000000  -0.000000   0.644223   0.000000   0.000000   30.0000     0.0499
   10.500     0.000   1.003043   0.027765   0.018827   0.046592   0.000000  -0.000000   0.665222   0.000000   0.000000   30.0000     0.0498
   11.000     0.000   1.039403   0.029728   0.020157   0.049885   0.000000  -0.000000   0.686523   0.000000   0.000000   30.0000     0.0497
   11.500     0.000   1.076710   0.031828   0.021625   0.053453   0.000000  -0.000000   0.707754   0.000000   0.000000   30.0000     0.0498
   12.000     0.000   1.110680   0.033853   0.023378   0.057231   0.000000  -0.000000   0.726880   0.000000   0.000000   30.0000     0.0499
