xflr5 v6.47

Plane name :        VTOL_SINGLE_W1_BELL_LAST_PROJECTED
Polar name :        T1-30.0 m/s-LLT_wing_projected
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.220920   0.001492   0.026030   0.027523   0.000000  -0.000000  -0.282319  -0.000000  -0.000000   30.0000    -0.0812
   -9.500     0.000  -0.198585   0.001207   0.024603   0.025810   0.000000  -0.000000  -0.265004   0.000000  -0.000000   30.0000    -0.0936
   -9.000     0.000  -0.177415   0.000969   0.023207   0.024176   0.000000  -0.000000  -0.248086   0.000000  -0.000000   30.0000    -0.1076
   -8.500     0.000  -0.159174   0.000802   0.021748   0.022550   0.000000   0.000000  -0.232552   0.000000  -0.000000   30.0000    -0.1210
   -8.000     0.000  -0.151587   0.000900   0.020054   0.020954   0.000000  -0.000000  -0.222594   0.000000  -0.000000   30.0000    -0.1219
   -7.500     0.000  -0.150423   0.000825   0.018139   0.018964   0.000000  -0.000000  -0.216145  -0.000000  -0.000000   30.0000    -0.1146
   -6.000     0.000  -0.188544   0.001068   0.013471   0.014539   0.000000   0.000000  -0.211851   0.000000  -0.000000   30.0000    -0.0443
   -5.500     0.000  -0.179539   0.000899   0.012596   0.013495   0.000000  -0.000000  -0.197480   0.000000  -0.000000   30.0000    -0.0390
   -5.000     0.000  -0.153177   0.000639   0.012362   0.013001   0.000000   0.000000  -0.174232   0.000000   0.000000   30.0000    -0.0495
   -4.500     0.000  -0.108688   0.000327   0.012840   0.013167   0.000000   0.000000  -0.142013   0.000000   0.000000   30.0000    -0.0908
   -4.000     0.000  -0.062346   0.000109   0.013448   0.013557   0.000000   0.000000  -0.108828   0.000000   0.000000   30.0000    -0.2240
   -3.500     0.000  -0.012974   0.000008   0.014201   0.014209   0.000000  -0.000000  -0.074068   0.000000   0.000000   30.0000    -0.6271
   -3.000     0.000   0.037254   0.000040   0.014970   0.015010   0.000000  -0.000000  -0.038867   0.000000   0.000000   30.0000     0.3427
   -2.500     0.000   0.086013   0.000198   0.015542   0.015740   0.000000  -0.000000  -0.004597   0.000000   0.000000   30.0000     0.2405
   -2.000     0.000   0.131111   0.000464   0.015709   0.016173   0.000000  -0.000000   0.027717   0.000000   0.000000   30.0000     0.1627
   -1.500     0.000   0.175407   0.000838   0.015719   0.016557   0.000000  -0.000000   0.059600   0.000000   0.000000   30.0000     0.1314
   -1.000     0.000   0.220031   0.001317   0.015665   0.016982   0.000000  -0.000000   0.091555   0.000000   0.000000   30.0000     0.1137
   -0.500     0.000   0.264804   0.001895   0.015616   0.017511   0.000000  -0.000000   0.123445   0.000000   0.000000   30.0000     0.1022
    0.000     0.000   0.308665   0.002569   0.015550   0.018119   0.000000  -0.000000   0.154798   0.000000   0.000000   30.0000     0.0941
    0.500     0.000   0.350985   0.003324   0.015455   0.018778   0.000000  -0.000000   0.185486   0.000000  -0.000000   30.0000     0.0881
    1.000     0.000   0.391923   0.004151   0.015263   0.019413   0.000000  -0.000000   0.215536   0.000000   0.000000   30.0000     0.0833
    1.500     0.000   0.433479   0.005082   0.015053   0.020135   0.000000  -0.000000   0.245855   0.000000  -0.000000   30.0000     0.0794
    2.000     0.000   0.476769   0.006137   0.014909   0.021047   0.000000  -0.000000   0.276944   0.000000   0.000000   30.0000     0.0763
    2.500     0.000   0.517530   0.007252   0.014746   0.021998   0.000000  -0.000000   0.306857   0.000000   0.000000   30.0000     0.0736
    3.000     0.000   0.555735   0.008382   0.014467   0.022849   0.000000  -0.000000   0.335654   0.000000  -0.000000   30.0000     0.0710
    3.500     0.000   0.593861   0.009582   0.014190   0.023772   0.000000  -0.000000   0.364357   0.000000   0.000000   30.0000     0.0688
    4.000     0.000   0.631145   0.010843   0.013972   0.024815   0.000000  -0.000000   0.392625   0.000000   0.000000   30.0000     0.0668
    4.500     0.000   0.665295   0.012097   0.013741   0.025838   0.000000  -0.000000   0.419430   0.000000   0.000000   30.0000     0.0648
    5.000     0.000   0.695474   0.013259   0.013454   0.026712   0.000000  -0.000000   0.444349   0.000000   0.000000   30.0000     0.0628
    5.500     0.000   0.723865   0.014413   0.013261   0.027674   0.000000   0.000000   0.468378  -0.000000  -0.000000   30.0000     0.0608
    6.000     0.000   0.750798   0.015570   0.013175   0.028745   0.000000   0.000000   0.491539  -0.000000  -0.000000   30.0000     0.0590
    6.500     0.000   0.775261   0.016630   0.013256   0.029887   0.000000  -0.000000   0.513314   0.000000  -0.000000   30.0000     0.0571
    7.000     0.000   0.798790   0.017706   0.013513   0.031219   0.000000  -0.000000   0.534338   0.000000  -0.000000   30.0000     0.0554
    7.500     0.000   0.822737   0.018796   0.013920   0.032716   0.000000  -0.000000   0.555192   0.000000  -0.000000   30.0000     0.0539
    8.000     0.000   0.848238   0.019993   0.014442   0.034435   0.000000  -0.000000   0.576364   0.000000   0.000000   30.0000     0.0526
    8.500     0.000   0.875036   0.021267   0.015091   0.036358   0.000000  -0.000000   0.597730   0.000000   0.000000   30.0000     0.0516
    9.000     0.000   0.903226   0.022628   0.015861   0.038489   0.000000  -0.000000   0.619302   0.000000   0.000000   30.0000     0.0508
    9.500     0.000   0.934417   0.024173   0.016737   0.040909   0.000000  -0.000000   0.641755   0.000000   0.000000   30.0000     0.0502
   10.000     0.000   0.968939   0.025893   0.017682   0.043575   0.000000  -0.000000   0.665409   0.000000   0.000000   30.0000     0.0499
   10.500     0.000   1.003302   0.027715   0.018836   0.046551   0.000000  -0.000000   0.688415   0.000000   0.000000   30.0000     0.0497
   11.000     0.000   1.039695   0.029676   0.020167   0.049843   0.000000  -0.000000   0.711830   0.000000  -0.000000   30.0000     0.0497
   11.500     0.000   1.077029   0.031765   0.021638   0.053404   0.000000  -0.000000   0.735277   0.000000   0.000000   30.0000     0.0498
   12.000     0.000   1.110960   0.033792   0.023393   0.057184   0.000000  -0.000000   0.756549   0.000000  -0.000000   30.0000     0.0499
   12.500     0.000   1.144337   0.035849   0.025296   0.061145   0.000000  -0.000000   0.777233  -0.000000  -0.000000   30.0000     0.0499
   13.000     0.000   1.177025   0.037936   0.027308   0.065243   0.000000  -0.000000   0.797336  -0.000000  -0.000000   30.0000     0.0499
   13.500     0.000   1.207136   0.039944   0.029520   0.069464   0.000000  -0.000000   0.815826   0.000000   0.000000   30.0000     0.0499
   14.000     0.000   1.236371   0.041940   0.031786   0.073726   0.000000  -0.000000   0.833735   0.000000  -0.000000   30.0000     0.0498
   14.500     0.000   1.262921   0.043852   0.034197   0.078048   0.000000  -0.000000   0.850042   0.000000  -0.000000   30.0000     0.0497
   15.000     0.000   1.288058   0.045706   0.036696   0.082403   0.000000  -0.000000   0.865450  -0.000000  -0.000000   30.0000     0.0496
   15.500     0.000   1.310974   0.047488   0.039325   0.086814   0.000000  -0.000000   0.879545   0.000000  -0.000000   30.0000     0.0494
   16.000     0.000   1.333092   0.049213   0.042055   0.091267   0.000000  -0.000000   0.893023   0.000000  -0.000000   30.0000     0.0492
   16.500     0.000   1.353747   0.050895   0.044961   0.095856   0.000000  -0.000000   0.905442  -0.000000  -0.000000   30.0000     0.0490
   17.000     0.000   1.373245   0.052534   0.047992   0.100525   0.000000  -0.000000   0.917007   0.000000  -0.000000   30.0000     0.0488
   17.500     0.000   1.391193   0.054037   0.051209   0.105246   0.000000  -0.000000   0.927464   0.000000  -0.000000   30.0000     0.0486
   18.000     0.000   1.408586   0.055525   0.054562   0.110087   0.000000  -0.000000   0.937376   0.000000  -0.000000   30.0000     0.0484
   18.500     0.000   1.425435   0.056990   0.058083   0.115073   0.000000  -0.000000   0.946671   0.000000   0.000000   30.0000     0.0482
   19.000     0.000   1.444905   0.058583   0.061846   0.120430   0.000000  -0.000000   0.956851   0.000000   0.000000   30.0000     0.0482
   19.500     0.000   1.468510   0.060527   0.066143   0.126670   0.000000  -0.000000   0.968711   0.000000   0.000000   30.0000     0.0483
   20.000     0.000   1.483028   0.061962   0.070615   0.132577   0.000000  -0.000000   0.975723   0.000000  -0.000000   30.0000     0.0482
   20.500     0.000   1.493219   0.063075   0.075195   0.138270   0.000000  -0.000000   0.980314   0.000000   0.000000   30.0000     0.0480
   21.000     0.000   1.499163   0.063876   0.080061   0.143937   0.000000   0.000000   0.982315   0.000000   0.000000   30.0000     0.0478
   21.500     0.000   1.503934   0.064610   0.085198   0.149808   0.000000  -0.000000   0.983328   0.000000   0.000000   30.0000     0.0477
   22.000     0.000   1.506468   0.065171   0.090703   0.155874   0.000000  -0.000000   0.982689   0.000000   0.000000   30.0000     0.0475
   22.500     0.000   1.509040   0.065673   0.096151   0.161825   0.000000  -0.000000   0.981941   0.000000   0.000000   30.0000     0.0474
   23.000     0.000   1.507837   0.065920   0.102221   0.168140   0.000000  -0.000000   0.978481   0.000000  -0.000000   30.0000     0.0473
   23.500     0.000   1.507496   0.066211   0.108135   0.174346   0.000000  -0.000000   0.975389   0.000000   0.000000   30.0000     0.0473
   24.000     0.000   1.503289   0.066177   0.114801   0.180977   0.000000  -0.000000   0.969408   0.000000   0.000000   30.0000     0.0473
   24.500     0.000   1.500855   0.066307   0.121156   0.187463   0.000000   0.000000   0.964409   0.000000  -0.000000   30.0000     0.0473
   25.000     0.000   1.497367   0.066270   0.127749   0.194018   0.000000  -0.000000   0.958386   0.000000   0.000000   30.0000     0.0474
   25.500     0.000   1.493651   0.066257   0.134415   0.200672   0.000000  -0.000000   0.951979   0.000000   0.000000   30.0000     0.0475
   26.000     0.000   1.490392   0.066232   0.141031   0.207263   0.000000  -0.000000   0.945571   0.000000   0.000000   30.0000     0.0477
   26.500     0.000   1.485719   0.066160   0.147927   0.214087   0.000000  -0.000000   0.938002   0.000000   0.000000   30.0000     0.0479
   27.000     0.000   1.484589   0.066332   0.154175   0.220508   0.000000  -0.000000   0.932568   0.000000  -0.000000   30.0000     0.0481
   27.500     0.000   1.479232   0.066122   0.161234   0.227355   0.000000  -0.000000   0.924034   0.000000  -0.000000   30.0000     0.0484
   28.000     0.000   1.479375   0.066212   0.167269   0.233481   0.000000  -0.000000   0.918978  -0.000000  -0.000000   30.0000     0.0486
   28.500     0.000   1.474000   0.066166   0.174418   0.240584   0.000000  -0.000000   0.909986  -0.000000  -0.000000   30.0000     0.0489
   29.000     0.000   1.472184   0.066298   0.180890   0.247188   0.000000  -0.000000   0.903162  -0.000000  -0.000000   30.0000     0.0493
   29.500     0.000   1.468410   0.066269   0.187741   0.254010   0.000000  -0.000000   0.894829  -0.000000  -0.000000   30.0000     0.0497


