xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST
Polar name :        T1-30.0 m/s-Panel_vtail_dihedral
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -8.000     0.000  -0.609286   0.018572   0.014311   0.032883   0.000232   0.000262  -0.452762   0.000065   0.000064   30.0000     0.0726
   -7.500     0.000  -0.570074   0.016179   0.013707   0.029886   0.000218   0.000236  -0.422841   0.000059   0.000058   30.0000     0.0728
   -7.000     0.000  -0.530901   0.013961   0.013129   0.027090   0.000203   0.000211  -0.393034   0.000053   0.000052   30.0000     0.0729
   -6.500     0.000  -0.491774   0.011918   0.012578   0.024496   0.000189   0.000188  -0.363322   0.000048   0.000047   30.0000     0.0730
   -6.000     0.000  -0.452701   0.010047   0.012025   0.022072   0.000174   0.000166  -0.333738   0.000043   0.000043   30.0000     0.0732
   -5.500     0.000  -0.413690   0.008344   0.011465   0.019809   0.000160   0.000145  -0.304263   0.000039   0.000039   30.0000     0.0733
   -5.000     0.000  -0.374747   0.006809   0.010888   0.017697   0.000145   0.000126  -0.274866   0.000035   0.000035   30.0000     0.0734
   -4.500     0.000  -0.335880   0.005439   0.010411   0.015849   0.000131   0.000107  -0.245544   0.000031   0.000031   30.0000     0.0735
   -4.000     0.000  -0.297097   0.004230   0.010097   0.014326   0.000116   0.000090  -0.216357   0.000028   0.000028   30.0000     0.0736
   -3.500     0.000  -0.258403   0.003179   0.009853   0.013033   0.000102   0.000075  -0.187340   0.000025   0.000024   30.0000     0.0737
   -3.000     0.000  -0.219808   0.002285   0.009643   0.011928   0.000087   0.000061  -0.158489   0.000022   0.000021   30.0000     0.0738
   -2.500     0.000  -0.181317   0.001544   0.009498   0.011042   0.000073   0.000048  -0.129811   0.000019   0.000019   30.0000     0.0739
   -2.000     0.000  -0.142937   0.000953   0.009372   0.010325   0.000059   0.000036  -0.101323   0.000016   0.000016   30.0000     0.0739
   -1.500     0.000  -0.104675   0.000508   0.009273   0.009781   0.000044   0.000026  -0.073021   0.000013   0.000013   30.0000     0.0740
   -1.000     0.000  -0.066538   0.000206   0.009242   0.009448   0.000030   0.000017  -0.044904   0.000011   0.000011   30.0000     0.0739
   -0.500     0.000  -0.028533   0.000044   0.009239   0.009282   0.000016   0.000009  -0.016998   0.000008   0.000008   30.0000     0.0734
