xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST_PROJECTED
Polar name :        T1-30.0 m/s-Panel_vtail_projected
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.872904   0.027946   0.017740   0.045687   0.000000   0.000107  -0.624516  -0.000033  -0.000036   30.0000     0.0762
   -9.500     0.000  -0.830119   0.025284   0.016616   0.041900   0.000000   0.000103  -0.594298  -0.000029  -0.000032   30.0000     0.0763
   -9.000     0.000  -0.787203   0.022746   0.015608   0.038354   0.000000   0.000098  -0.563929  -0.000027  -0.000029   30.0000     0.0764
   -8.500     0.000  -0.744162   0.020334   0.014743   0.035077   0.000000   0.000093  -0.533418  -0.000025  -0.000026   30.0000     0.0765
   -8.000     0.000  -0.701002   0.018050   0.013974   0.032024   0.000000   0.000088  -0.502768  -0.000022  -0.000023   30.0000     0.0765
   -7.500     0.000  -0.657731   0.015896   0.013280   0.029176   0.000000   0.000083  -0.471984  -0.000020  -0.000021   30.0000     0.0766
   -7.000     0.000  -0.614354   0.013872   0.012638   0.026510   0.000000   0.000078  -0.441074  -0.000017  -0.000018   30.0000     0.0767
   -6.500     0.000  -0.570880   0.011982   0.012044   0.024026   0.000000   0.000073  -0.410044  -0.000015  -0.000016   30.0000     0.0768
   -6.000     0.000  -0.527314   0.010225   0.011490   0.021716   0.000000   0.000068  -0.378902  -0.000013  -0.000014   30.0000     0.0768
   -5.500     0.000  -0.483664   0.008604   0.010937   0.019541   0.000000   0.000063  -0.347656  -0.000011  -0.000011   30.0000     0.0769
   -5.000     0.000  -0.439936   0.007120   0.010394   0.017514   0.000000   0.000057  -0.316314  -0.000009  -0.000009   30.0000     0.0769
   -4.500     0.000  -0.396138   0.005774   0.009770   0.015545   0.000000   0.000052  -0.284881  -0.000007  -0.000008   30.0000     0.0770
   -4.000     0.000  -0.352276   0.004567   0.009246   0.013813   0.000000   0.000046  -0.253377  -0.000005  -0.000006   30.0000     0.0770
   -3.500     0.000  -0.308358   0.003500   0.008939   0.012439   0.000000   0.000041  -0.221815  -0.000004  -0.000004   30.0000     0.0771
   -3.000     0.000  -0.264389   0.002573   0.008710   0.011283   0.000000   0.000035  -0.190197  -0.000003  -0.000003   30.0000     0.0771
   -2.500     0.000  -0.220379   0.001788   0.008503   0.010291   0.000000   0.000029  -0.158528  -0.000001  -0.000001   30.0000     0.0771
   -2.000     0.000  -0.176332   0.001145   0.008365   0.009510   0.000000   0.000024  -0.126819  -0.000000  -0.000000   30.0000     0.0772
   -1.500     0.000  -0.132258   0.000644   0.008241   0.008885   0.000000   0.000018  -0.095077   0.000001   0.000001   30.0000     0.0772
   -1.000     0.000  -0.088162   0.000286   0.008168   0.008454   0.000000   0.000012  -0.063312   0.000002   0.000002   30.0000     0.0772
   -0.500     0.000  -0.044052   0.000071   0.008144   0.008215   0.000000   0.000005  -0.031533   0.000003   0.000003   30.0000     0.0773
    0.000     0.000   0.000066   0.000000   0.008160   0.008160  -0.000000  -0.000001   0.000251   0.000004   0.000004   30.0000    -0.0096
