xflr5 v6.47

Plane name :        VTOL_SINGLE_W1_BELL_LAST
Polar name :        T1-30.0 m/s-Panel_wing_dihedral
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.620728   0.009755   0.048998   0.058753  -0.000000  -0.000000  -0.524894  -0.000000  -0.000000   30.0000     0.0232
   -9.500     0.000  -0.572432   0.008305   0.043692   0.051997  -0.000000  -0.000000  -0.489186  -0.000000  -0.000000   30.0000     0.0219
   -9.000     0.000  -0.524040   0.006968   0.040707   0.047675   0.000000   0.000000  -0.454240   0.000000   0.000000   30.0000     0.0202
   -8.500     0.000  -0.475569   0.005745   0.038557   0.044302  -0.000000  -0.000000  -0.419096  -0.000000  -0.000000   30.0000     0.0181
   -8.000     0.000  -0.427028   0.004637   0.036630   0.041267   0.000000  -0.000000  -0.383986  -0.000000  -0.000000   30.0000     0.0153
   -7.500     0.000  -0.378451   0.003645   0.034431   0.038076   0.000000   0.000000  -0.348369   0.000000   0.000000   30.0000     0.0116
   -7.000     0.000  -0.329817   0.002771   0.032365   0.035136  -0.000000  -0.000000  -0.313344  -0.000000  -0.000000   30.0000     0.0066
   -6.500     0.000  -0.280780   0.002016   0.029689   0.031705   0.000000  -0.000000  -0.278294  -0.000000  -0.000000   30.0000    -0.0004
   -6.000     0.000  -0.232522   0.001379   0.025834   0.027213  -0.000000  -0.000000  -0.243905   0.000000   0.000000   30.0000    -0.0102
   -5.500     0.000  -0.183860   0.000862   0.016205   0.017067  -0.000000  -0.000000  -0.209413  -0.000000  -0.000000   30.0000    -0.0257
   -5.000     0.000  -0.135246   0.000466   0.013297   0.013763  -0.000000  -0.000000  -0.174605  -0.000000  -0.000000   30.0000    -0.0528
   -4.500     0.000  -0.086647   0.000192   0.013882   0.014074   0.000000   0.000000  -0.140130   0.000000   0.000000   30.0000    -0.1108
   -4.000     0.000  -0.038097   0.000038   0.014592   0.014630  -0.000000   0.000000  -0.105673   0.000000   0.000000   30.0000    -0.3179
   -3.500     0.000   0.010393   0.000007   0.015346   0.015354   0.000000   0.000000  -0.071251   0.000000   0.000000   30.0000     1.4107
   -3.000     0.000   0.058814   0.000099   0.016058   0.016157  -0.000000  -0.000000  -0.036862   0.000000   0.000000   30.0000     0.2934
   -2.500     0.000   0.107128   0.000312   0.016515   0.016827  -0.000000   0.000000  -0.002605   0.000000   0.000000   30.0000     0.1856
   -2.000     0.000   0.155347   0.000648   0.016557   0.017205   0.000000   0.000000   0.031566  -0.000000   0.000000   30.0000     0.1452
   -1.500     0.000   0.203454   0.001106   0.016536   0.017641  -0.000000   0.000000   0.065650  -0.000000  -0.000000   30.0000     0.1241
   -1.000     0.000   0.251427   0.001686   0.016487   0.018172  -0.000000   0.000000   0.099624  -0.000000  -0.000000   30.0000     0.1113
   -0.500     0.000   0.299260   0.002388   0.016465   0.018853  -0.000000  -0.000000   0.133477  -0.000000  -0.000000   30.0000     0.1027
    0.000     0.000   0.346936   0.003212   0.016342   0.019553   0.000000   0.000000   0.167211  -0.000000  -0.000000   30.0000     0.0967
    0.500     0.000   0.394435   0.004156   0.016148   0.020304   0.000000   0.000000   0.200812  -0.000000  -0.000000   30.0000     0.0922
    1.000     0.000   0.441749   0.005221   0.015919   0.021140  -0.000000  -0.000000   0.234328  -0.000000  -0.000000   30.0000     0.0887
    1.500     0.000   0.488868   0.006406   0.015740   0.022146   0.000000  -0.000000   0.267658   0.000000   0.000000   30.0000     0.0860
    2.000     0.000   0.535780   0.007711   0.015530   0.023241   0.000000   0.000000   0.300889  -0.000000  -0.000000   30.0000     0.0839
    2.500     0.000   0.582463   0.009134   0.015162   0.024296   0.000000   0.000000   0.333903  -0.000000  -0.000000   30.0000     0.0821
    3.000     0.000   0.628878   0.010672   0.014864   0.025536  -0.000000  -0.000000   0.366735  -0.000000  -0.000000   30.0000     0.0807
    3.500     0.000   0.675096   0.012331   0.014516   0.026848  -0.000000  -0.000000   0.399279   0.000000   0.000000   30.0000     0.0795
    4.000     0.000   0.721017   0.014103   0.014166   0.028269   0.000000  -0.000000   0.431785   0.000000   0.000000   30.0000     0.0785
    4.500     0.000   0.766672   0.015991   0.014073   0.030064  -0.000000  -0.000000   0.464269   0.000000   0.000000   30.0000     0.0776
    5.000     0.000   0.812049   0.017992   0.014519   0.032511  -0.000000   0.000000   0.496860  -0.000000  -0.000000   30.0000     0.0769
    5.500     0.000   0.857105   0.020104   0.015374   0.035478   0.000000   0.000000   0.529144  -0.000000  -0.000000   30.0000     0.0762
    6.000     0.000   0.901834   0.022325   0.016484   0.038809   0.000000   0.000000   0.561147  -0.000000  -0.000000   30.0000     0.0757
    6.500     0.000   0.946309   0.024675   0.017736   0.042411   0.000000   0.000000   0.593269  -0.000000  -0.000000   30.0000     0.0752
    7.000     0.000   0.990351   0.027111   0.019073   0.046184  -0.000000  -0.000000   0.624940   0.000000   0.000000   30.0000     0.0747
    7.500     0.000   1.034068   0.029657   0.020669   0.050326  -0.000000  -0.000000   0.656794   0.000000   0.000000   30.0000     0.0743
    8.000     0.000   1.077419   0.032308   0.022449   0.054757  -0.000000   0.000000   0.688543  -0.000000  -0.000000   30.0000     0.0740
    8.500     0.000   1.120435   0.035073   0.024721   0.059793  -0.000000  -0.000000   0.720308   0.000000   0.000000   30.0000     0.0737
    9.000     0.000   1.163022   0.037928   0.027318   0.065246  -0.000000  -0.000000   0.752060   0.000000   0.000000   30.0000     0.0734
    9.500     0.000   1.205207   0.040882   0.030486   0.071368   0.000000   0.000000   0.783882  -0.000000  -0.000000   30.0000     0.0731
   10.000     0.000   1.246976   0.043933   0.034244   0.078177   0.000000   0.000000   0.815757  -0.000000  -0.000000   30.0000     0.0729
   10.500     0.000   1.288312   0.047077   0.038785   0.085862  -0.000000  -0.000000   0.847777   0.000000   0.000000   30.0000     0.0726
