xflr5 v6.47

Plane name :        VTOL_SINGLE_W1_BELL_LAST_PROJECTED
Polar name :        T1-30.0 m/s-Panel-0.0kg-x0.2m-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.624262   0.009785   0.049417   0.059201  -0.000000   0.000000  -0.521891   0.000000   0.000000   30.0000     0.0296
   -9.500     0.000  -0.575796   0.008333   0.043875   0.052208  -0.000000   0.000000  -0.487117   0.000000   0.000000   30.0000     0.0280
   -9.000     0.000  -0.527242   0.006994   0.040809   0.047803   0.000000   0.000000  -0.452976   0.000000   0.000000   30.0000     0.0261
   -8.500     0.000  -0.478613   0.005769   0.038624   0.044393  -0.000000   0.000000  -0.418999   0.000000   0.000000   30.0000     0.0236
   -8.000     0.000  -0.429923   0.004660   0.036736   0.041395  -0.000000   0.000000  -0.385025   0.000000   0.000000   30.0000     0.0206
   -7.500     0.000  -0.380890   0.003655   0.034486   0.038141  -0.000000   0.000000  -0.350753   0.000000   0.000000   30.0000     0.0166
   -7.000     0.000  -0.332412   0.002790   0.032427   0.035217  -0.000000   0.000000  -0.316786   0.000000   0.000000   30.0000     0.0115
   -6.500     0.000  -0.283635   0.002032   0.029761   0.031793  -0.000000   0.000000  -0.282460   0.000000   0.000000   30.0000     0.0044
   -6.000     0.000  -0.234846   0.001394   0.025919   0.027313   0.000000  -0.000000  -0.247969  -0.000000   0.000000   30.0000    -0.0057
   -5.500     0.000  -0.186057   0.000874   0.017246   0.018121  -0.000000   0.000000  -0.212748   0.000000  -0.000000   30.0000    -0.0212
   -5.000     0.000  -0.137289   0.000476   0.013255   0.013730  -0.000000   0.000000  -0.178368   0.000000   0.000000   30.0000    -0.0479
   -4.500     0.000  -0.088556   0.000198   0.013836   0.014033  -0.000000   0.000000  -0.144612   0.000000   0.000000   30.0000    -0.1041
   -4.000     0.000  -0.039852   0.000041   0.014541   0.014582   0.000000  -0.000000  -0.110782  -0.000000  -0.000000   30.0000    -0.2984
   -3.500     0.000   0.008749   0.000007   0.015295   0.015302  -0.000000   0.000000  -0.076903   0.000000   0.000000   30.0000     1.6650
   -3.000     0.000   0.057284   0.000094   0.016010   0.016104  -0.000000   0.000000  -0.042946  -0.000000  -0.000000   30.0000     0.3013
   -2.500     0.000   0.105734   0.000304   0.016484   0.016788  -0.000000   0.000000  -0.008914   0.000000   0.000000   30.0000     0.1887
   -2.000     0.000   0.154085   0.000636   0.016531   0.017167  -0.000000  -0.000000   0.025189  -0.000000  -0.000000   30.0000     0.1470
   -1.500     0.000   0.202315   0.001090   0.016509   0.017599  -0.000000  -0.000000   0.059312   0.000000   0.000000   30.0000     0.1253
   -1.000     0.000   0.250417   0.001667   0.016457   0.018123  -0.000000   0.000000   0.093462  -0.000000  -0.000000   30.0000     0.1121
   -0.500     0.000   0.298375   0.002365   0.016438   0.018804   0.000000  -0.000000   0.127618   0.000000   0.000000   30.0000     0.1031
    0.000     0.000   0.346174   0.003186   0.016315   0.019501  -0.000000   0.000000   0.161780  -0.000000  -0.000000   30.0000     0.0967
    0.500     0.000   0.393797   0.004127   0.016123   0.020251  -0.000000   0.000000   0.195933  -0.000000  -0.000000   30.0000     0.0918
    1.000     0.000   0.441236   0.005190   0.015893   0.021083  -0.000000  -0.000000   0.230083   0.000000   0.000000   30.0000     0.0880
    1.500     0.000   0.488477   0.006373   0.015715   0.022088  -0.000000  -0.000000   0.264198   0.000000   0.000000   30.0000     0.0850
    2.000     0.000   0.535514   0.007677   0.015507   0.023184   0.000000   0.000000   0.298345   0.000000   0.000000   30.0000     0.0825
    2.500     0.000   0.582317   0.009099   0.015138   0.024237   0.000000   0.000000   0.332384   0.000000   0.000000   30.0000     0.0804
