xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST
Polar name :        T1-30.0 m/s-VLM1_vtail_dihedral
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.731142   0.024040   0.016510   0.040551   0.000000   0.000000  -0.564166   0.000000   0.000000   30.0000     0.0740
   -9.500     0.000  -0.695270   0.021744   0.015785   0.037529   0.000000   0.000000  -0.533608   0.000000   0.000000   30.0000     0.0740
   -9.000     0.000  -0.659290   0.019555   0.015112   0.034667   0.000000   0.000000  -0.503212   0.000000   0.000000   30.0000     0.0740
   -8.500     0.000  -0.623208   0.017476   0.014477   0.031954   0.000000   0.000000  -0.472998   0.000000   0.000000   30.0000     0.0739
   -8.000     0.000  -0.587028   0.015509   0.013897   0.029406   0.000000   0.000000  -0.442967   0.000000   0.000000   30.0000     0.0739
   -7.500     0.000  -0.550758   0.013653   0.013357   0.027010   0.000000   0.000000  -0.413121   0.000000   0.000000   30.0000     0.0739
   -7.000     0.000  -0.514402   0.011912   0.012825   0.024736   0.000000   0.000000  -0.383493   0.000000   0.000000   30.0000     0.0738
   -6.500     0.000  -0.477966   0.010285   0.012309   0.022593   0.000000   0.000000  -0.354068   0.000000   0.000000   30.0000     0.0738
   -6.000     0.000  -0.441456   0.008774   0.011792   0.020566   0.000000   0.000000  -0.324875   0.000000   0.000000   30.0000     0.0738
   -5.500     0.000  -0.404879   0.007381   0.011248   0.018629   0.000000   0.000000  -0.295901   0.000000   0.000000   30.0000     0.0738
   -5.000     0.000  -0.368239   0.006106   0.010696   0.016802   0.000000   0.000000  -0.267115   0.000000   0.000000   30.0000     0.0738
   -4.500     0.000  -0.331543   0.004950   0.010237   0.015186   0.000000   0.000000  -0.238515   0.000000   0.000000   30.0000     0.0738
   -4.000     0.000  -0.294797   0.003913   0.009938   0.013852   0.000000   0.000000  -0.210151   0.000000   0.000000   30.0000     0.0738
   -3.500     0.000  -0.258006   0.002998   0.009714   0.012712   0.000000   0.000000  -0.182063   0.000000   0.000000   30.0000     0.0738
   -3.000     0.000  -0.221177   0.002203   0.009511   0.011714   0.000000   0.000000  -0.154248   0.000000   0.000000   30.0000     0.0738
   -2.500     0.000  -0.184316   0.001530   0.009362   0.010892   0.000000   0.000000  -0.126710   0.000000   0.000000   30.0000     0.0738
   -2.000     0.000  -0.147429   0.000979   0.009236   0.010215   0.000000   0.000000  -0.099470   0.000000   0.000000   30.0000     0.0739
   -1.500     0.000  -0.110521   0.000550   0.009135   0.009685   0.000000   0.000000  -0.072522   0.000000   0.000000   30.0000     0.0740
   -1.000     0.000  -0.073598   0.000244   0.009093   0.009337   0.000000   0.000000  -0.045865   0.000000   0.000000   30.0000     0.0741
   -0.500     0.000  -0.036668   0.000061   0.009079   0.009139   0.000000   0.000000  -0.019524   0.000000   0.000000   30.0000     0.0747
    0.000     0.000   0.000265   0.000000   0.009094   0.009094  -0.000000  -0.000000   0.006500   0.000000  -0.000000   30.0000    -0.0748
    0.500     0.000   0.037194   0.000062   0.009079   0.009141  -0.000000  -0.000000   0.032131   0.000000  -0.000000   30.0000     0.0726
    1.000     0.000   0.074114   0.000247   0.009093   0.009340  -0.000000  -0.000000   0.057430   0.000000  -0.000000   30.0000     0.0731
    1.500     0.000   0.111017   0.000554   0.009136   0.009689  -0.000000  -0.000000   0.082383   0.000000  -0.000000   30.0000     0.0733
    2.000     0.000   0.147899   0.000983   0.009236   0.010219  -0.000000  -0.000000   0.107001   0.000000  -0.000000   30.0000     0.0734
    2.500     0.000   0.184753   0.001533   0.009361   0.010895  -0.000000  -0.000000   0.131269   0.000000  -0.000000   30.0000     0.0734
    3.000     0.000   0.221573   0.002205   0.009510   0.011715  -0.000000  -0.000000   0.155166   0.000000  -0.000000   30.0000     0.0735
    3.500     0.000   0.258354   0.002997   0.009710   0.012707  -0.000000  -0.000000   0.178699   0.000000  -0.000000   30.0000     0.0735
    4.000     0.000   0.295089   0.003909   0.009933   0.013842  -0.000000  -0.000000   0.201858   0.000000  -0.000000   30.0000     0.0736
    4.500     0.000   0.331772   0.004940   0.010236   0.015176  -0.000000  -0.000000   0.224638   0.000000  -0.000000   30.0000     0.0736
