xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST_PROJECTED
Polar name :        T1-30.0 m/s-VLM1_vtail_projected
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.844816   0.025244   0.017127   0.042371   0.000000   0.000000  -0.578755   0.000000   0.000000   30.0000     0.0763
   -9.500     0.000  -0.803369   0.022839   0.016017   0.038856   0.000000   0.000000  -0.550767   0.000000   0.000000   30.0000     0.0762
   -9.000     0.000  -0.761798   0.020546   0.015103   0.035649   0.000000   0.000000  -0.522645   0.000000   0.000000   30.0000     0.0762
   -8.500     0.000  -0.720111   0.018367   0.014284   0.032651   0.000000   0.000000  -0.494383   0.000000   0.000000   30.0000     0.0762
   -8.000     0.000  -0.678313   0.016303   0.013564   0.029867   0.000000   0.000000  -0.465991   0.000000   0.000000   30.0000     0.0761
   -7.500     0.000  -0.636411   0.014356   0.012900   0.027256   0.000000   0.000000  -0.437470   0.000000   0.000000   30.0000     0.0761
   -7.000     0.000  -0.594411   0.012529   0.012295   0.024824   0.000000   0.000000  -0.408829   0.000000   0.000000   30.0000     0.0761
   -6.500     0.000  -0.552319   0.010821   0.011723   0.022544   0.000000   0.000000  -0.380073   0.000000   0.000000   30.0000     0.0761
   -6.000     0.000  -0.510142   0.009234   0.011189   0.020423   0.000000   0.000000  -0.351211   0.000000   0.000000   30.0000     0.0760
   -5.500     0.000  -0.467885   0.007770   0.010657   0.018427   0.000000   0.000000  -0.322248   0.000000   0.000000   30.0000     0.0760
   -5.000     0.000  -0.425557   0.006429   0.010097   0.016526   0.000000   0.000000  -0.293191   0.000000   0.000000   30.0000     0.0760
   -4.500     0.000  -0.383162   0.005213   0.009503   0.014716   0.000000   0.000000  -0.264049   0.000000   0.000000   30.0000     0.0760
   -4.000     0.000  -0.340708   0.004123   0.009006   0.013128   0.000000   0.000000  -0.234838   0.000000   0.000000   30.0000     0.0760
   -3.500     0.000  -0.298202   0.003159   0.008752   0.011911   0.000000   0.000000  -0.205573   0.000000   0.000000   30.0000     0.0760
   -3.000     0.000  -0.255649   0.002322   0.008533   0.010855   0.000000   0.000000  -0.176250   0.000000   0.000000   30.0000     0.0760
   -2.500     0.000  -0.213056   0.001613   0.008342   0.009955   0.000000   0.000000  -0.146876   0.000000   0.000000   30.0000     0.0760
   -2.000     0.000  -0.170430   0.001032   0.008209   0.009241   0.000000   0.000000  -0.117462   0.000000   0.000000   30.0000     0.0761
   -1.500     0.000  -0.127777   0.000580   0.008091   0.008671   0.000000   0.000000  -0.088015   0.000000   0.000000   30.0000     0.0762
   -1.000     0.000  -0.085105   0.000257   0.008024   0.008281   0.000000   0.000000  -0.058542   0.000000   0.000000   30.0000     0.0764
   -0.500     0.000  -0.042419   0.000064   0.008002   0.008066   0.000000   0.000000  -0.029053   0.000000   0.000000   30.0000     0.0769
    0.000     0.000   0.000273   0.000000   0.008018   0.008018   0.000000  -0.000000   0.000444   0.000000   0.000000   30.0000    -0.0915
    0.500     0.000   0.042965   0.000066   0.008002   0.008067   0.000000  -0.000000   0.029942   0.000000   0.000000   30.0000     0.0747
    1.000     0.000   0.085651   0.000261   0.008024   0.008285   0.000000  -0.000000   0.059431   0.000000   0.000000   30.0000     0.0753
    1.500     0.000   0.128323   0.000585   0.008092   0.008677   0.000000  -0.000000   0.088903   0.000000   0.000000   30.0000     0.0755
    2.000     0.000   0.170975   0.001039   0.008211   0.009249   0.000000  -0.000000   0.118350   0.000000   0.000000   30.0000     0.0756
    2.500     0.000   0.213601   0.001621   0.008344   0.009964   0.000000  -0.000000   0.147763   0.000000   0.000000   30.0000     0.0756
    3.000     0.000   0.256194   0.002331   0.008536   0.010867   0.000000  -0.000000   0.177136   0.000000   0.000000   30.0000     0.0757
    3.500     0.000   0.298747   0.003170   0.008759   0.011929   0.000000  -0.000000   0.206458   0.000000   0.000000   30.0000     0.0757
    4.000     0.000   0.341253   0.004135   0.009023   0.013159   0.000000  -0.000000   0.235722   0.000000   0.000000   30.0000     0.0757
    4.500     0.000   0.383707   0.005227   0.009530   0.014757   0.000000  -0.000000   0.264932   0.000000   0.000000   30.0000     0.0758
    5.000     0.000   0.426101   0.006445   0.010130   0.016575   0.000000  -0.000000   0.294073   0.000000   0.000000   30.0000     0.0758
    5.500     0.000   0.468429   0.007787   0.010685   0.018472   0.000000  -0.000000   0.323128   0.000000   0.000000   30.0000     0.0758
    6.000     0.000   0.510684   0.009252   0.011207   0.020460   0.000000  -0.000000   0.352087   0.000000   0.000000   30.0000     0.0759
    6.500     0.000   0.552861   0.010841   0.011730   0.022571   0.000000  -0.000000   0.380946   0.000000   0.000000   30.0000     0.0759
    7.000     0.000   0.594952   0.012550   0.012312   0.024862   0.000000  -0.000000   0.409701   0.000000   0.000000   30.0000     0.0759
    7.500     0.000   0.636952   0.014380   0.012923   0.027303   0.000000  -0.000000   0.438340   0.000000   0.000000   30.0000     0.0760
    8.000     0.000   0.678854   0.016328   0.013576   0.029904   0.000000  -0.000000   0.466857   0.000000   0.000000   30.0000     0.0760
    8.500     0.000   0.720651   0.018393   0.014297   0.032690   0.000000  -0.000000   0.495247   0.000000   0.000000   30.0000     0.0760
    9.000     0.000   0.762337   0.020574   0.015114   0.035688   0.000000  -0.000000   0.523505   0.000000   0.000000   30.0000     0.0761
    9.500     0.000   0.803907   0.022868   0.016032   0.038900   0.000000  -0.000000   0.551624   0.000000   0.000000   30.0000     0.0761
   10.000     0.000   0.845353   0.025275   0.017140   0.042415   0.000000  -0.000000   0.579609   0.000000   0.000000   30.0000     0.0762
   10.500     0.000   0.886671   0.027792   0.018356   0.046148   0.000000  -0.000000   0.607443   0.000000   0.000000   30.0000     0.0762
   11.000     0.000   0.927853   0.030417   0.019882   0.050299   0.000000  -0.000000   0.635147   0.000000   0.000000   30.0000     0.0762
   11.500     0.000   0.968894   0.033149   0.021515   0.054664   0.000000  -0.000000   0.662691   0.000000   0.000000   30.0000     0.0763
   12.000     0.000   1.009788   0.035985   0.023659   0.059644   0.000000  -0.000000   0.690123   0.000000   0.000000   30.0000     0.0763
   12.500     0.000   1.050529   0.038923   0.038921   0.077844   0.000000  -0.000000   0.719109   0.000000   0.000000   30.0000     0.0764


