xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST_NO_CENTER_SECTION
Polar name :        T1-30.0 m/s-VLM2-0.0kg-x0.08m-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.669219   0.023210   0.017429   0.040639   0.000000   0.000000  -0.156564  -0.000000  -0.000000   30.0000     0.0572
   -9.500     0.000  -0.637001   0.021064   0.016906   0.037970   0.000000   0.000000  -0.140962   0.000000   0.000000   30.0000     0.0584
   -9.000     0.000  -0.604597   0.019008   0.016365   0.035373   0.000000   0.000000  -0.126095  -0.000000  -0.000000   30.0000     0.0596
   -8.500     0.000  -0.572016   0.017045   0.015807   0.032853   0.000000   0.000000  -0.111970   0.000000   0.000000   30.0000     0.0608
   -8.000     0.000  -0.539268   0.015178   0.015207   0.030385   0.000000  -0.000000  -0.098624  -0.000000  -0.000000   30.0000     0.0620
   -7.500     0.000  -0.506362   0.013408   0.014600   0.028008  -0.000000   0.000000  -0.086030  -0.000000  -0.000000   30.0000     0.0632
   -7.000     0.000  -0.473307   0.011738   0.013997   0.025735  -0.000000  -0.000000  -0.074198   0.000000   0.000000   30.0000     0.0644
   -6.500     0.000  -0.440112   0.010170   0.013363   0.023533   0.000000   0.000000  -0.063167  -0.000000  -0.000000   30.0000     0.0656
   -6.000     0.000  -0.406787   0.008707   0.012577   0.021284   0.000000   0.000000  -0.052968  -0.000000  -0.000000   30.0000     0.0669
   -5.500     0.000  -0.373342   0.007350   0.011811   0.019162  -0.000000  -0.000000  -0.043508   0.000000   0.000000   30.0000     0.0681
   -5.000     0.000  -0.339786   0.006102   0.011168   0.017270  -0.000000   0.000000  -0.034751   0.000000   0.000000   30.0000     0.0693
   -4.500     0.000  -0.306128   0.004965   0.010850   0.015815   0.000000   0.000000  -0.026661   0.000000  -0.000000   30.0000     0.0705
   -4.000     0.000  -0.272380   0.003940   0.010678   0.014618   0.000000   0.000000  -0.019364  -0.000000  -0.000000   30.0000     0.0717
   -3.500     0.000  -0.238549   0.003030   0.010543   0.013572  -0.000000  -0.000000  -0.012892   0.000000   0.000000   30.0000     0.0729
   -3.000     0.000  -0.204647   0.002235   0.010462   0.012698  -0.000000  -0.000000  -0.007238   0.000000   0.000000   30.0000     0.0741
   -2.500     0.000  -0.170683   0.001559   0.010443   0.012002  -0.000000  -0.000000  -0.002424   0.000000   0.000000   30.0000     0.0752
   -2.000     0.000  -0.136667   0.001002   0.010434   0.011436  -0.000000  -0.000000   0.001530   0.000000   0.000000   30.0000     0.0764
   -1.500     0.000  -0.102610   0.000567   0.010449   0.011015  -0.000000  -0.000000   0.004632   0.000000   0.000000   30.0000     0.0775
   -1.000     0.000  -0.068522   0.000253   0.010526   0.010779  -0.000000  -0.000000   0.006881   0.000000  -0.000000   30.0000     0.0785
   -0.500     0.000  -0.034412   0.000064   0.010602   0.010666   0.000000   0.000000   0.008238   0.000000  -0.000000   30.0000     0.0789
    0.000     0.000  -0.000291   0.000000   0.010682   0.010682  -0.000000  -0.000000   0.008704   0.000000   0.000000   30.0000    -0.1030
    0.500     0.000   0.033830   0.000062   0.010603   0.010665  -0.000000  -0.000000   0.008124   0.000000   0.000000   30.0000     0.0846
    1.000     0.000   0.067942   0.000252   0.010526   0.010778  -0.000000  -0.000000   0.006641   0.000000   0.000000   30.0000     0.0850
    1.500     0.000   0.102033   0.000571   0.010448   0.011018   0.000000  -0.000000   0.004250  -0.000000  -0.000000   30.0000     0.0860
    2.000     0.000   0.136094   0.001018   0.010433   0.011451  -0.000000  -0.000000   0.000985   0.000000   0.000000   30.0000     0.0872
    2.500     0.000   0.170114   0.001597   0.010442   0.012038  -0.000000  -0.000000  -0.003163   0.000000   0.000000   30.0000     0.0884
    3.000     0.000   0.204083   0.002306   0.010461   0.012767  -0.000000  -0.000000  -0.008208   0.000000   0.000000   30.0000     0.0896
    3.500     0.000   0.237990   0.003146   0.010551   0.013697   0.000000   0.000000  -0.014129  -0.000000  -0.000000   30.0000     0.0908
