xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST_PROJECTED_NO_CENTER_SECTION
Polar name :        T1-30.0 m/s-VLM2_vtail_projected_no_center-x0.08m
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.815694   0.026885   0.017883   0.044768  -0.000000   0.000000   0.001557   0.000000   0.000000   30.0000     0.0799
   -9.500     0.000  -0.775346   0.024315   0.016882   0.041197  -0.000000  -0.000000   0.001534  -0.000000  -0.000000   30.0000     0.0800
   -9.000     0.000  -0.734888   0.021868   0.016067   0.037935  -0.000000   0.000000   0.001492   0.000000   0.000000   30.0000     0.0801
   -8.500     0.000  -0.694328   0.019543   0.015338   0.034881  -0.000000   0.000000   0.001439   0.000000  -0.000000   30.0000     0.0802
   -8.000     0.000  -0.653680   0.017343   0.014733   0.032076  -0.000000  -0.000000   0.001373  -0.000000   0.000000   30.0000     0.0803
   -7.500     0.000  -0.612953   0.015269   0.014146   0.029415  -0.000000   0.000000   0.001301   0.000000  -0.000000   30.0000     0.0803
   -7.000     0.000  -0.572160   0.013323   0.013536   0.026859  -0.000000   0.000000   0.001225   0.000000  -0.000000   30.0000     0.0804
   -6.500     0.000  -0.531310   0.011505   0.012877   0.024382  -0.000000   0.000000   0.001148   0.000000   0.000000   30.0000     0.0805
   -6.000     0.000  -0.490417   0.009817   0.012206   0.022023  -0.000000  -0.000000   0.001067  -0.000000  -0.000000   30.0000     0.0806
   -5.500     0.000  -0.449489   0.008260   0.011543   0.019803  -0.000000  -0.000000   0.000980  -0.000000  -0.000000   30.0000     0.0807
   -5.000     0.000  -0.408540   0.006835   0.010683   0.017518  -0.000000  -0.000000   0.000898  -0.000000  -0.000000   30.0000     0.0808
   -4.500     0.000  -0.367580   0.005543   0.009859   0.015402  -0.000000  -0.000000   0.000808  -0.000000  -0.000000   30.0000     0.0809
   -4.000     0.000  -0.326620   0.004384   0.009273   0.013657  -0.000000  -0.000000   0.000704  -0.000000   0.000000   30.0000     0.0810
   -3.500     0.000  -0.285671   0.003360   0.009089   0.012449  -0.000000  -0.000000   0.000583  -0.000000  -0.000000   30.0000     0.0810
   -3.000     0.000  -0.244746   0.002471   0.008942   0.011414  -0.000000   0.000000   0.000458  -0.000000  -0.000000   30.0000     0.0811
   -2.500     0.000  -0.203854   0.001718   0.008863   0.010581  -0.000000  -0.000000   0.000332  -0.000000   0.000000   30.0000     0.0812
   -2.000     0.000  -0.163007   0.001101   0.008845   0.009946  -0.000000  -0.000000   0.000203  -0.000000   0.000000   30.0000     0.0812
