xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST_NO_CENTER_SECTION
Polar name :        T5-a0.0°-30.0m/s-LLT_vtail_dihedral_no_center
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -14.000     0.000  -1.042104   0.054722   0.031425   0.086148   0.000000   0.000000  -0.846842   0.000000   0.000000   30.0000     0.0758
  -13.500     0.000  -1.026739   0.052983   0.029321   0.082304   0.000000  -0.000000  -0.826057   0.000000  -0.000000   30.0000     0.0766
  -13.000     0.000  -1.007424   0.050949   0.027331   0.078280   0.000000   0.000000  -0.802693   0.000000   0.000000   30.0000     0.0774
  -12.500     0.000  -0.986290   0.048774   0.025704   0.074478   0.000000   0.000000  -0.777968   0.000000  -0.000000   30.0000     0.0782
  -12.000     0.000  -0.962951   0.046442   0.024315   0.070757   0.000000   0.000000  -0.751888  -0.000000  -0.000000   30.0000     0.0790
  -11.500     0.000  -0.938025   0.044023   0.022892   0.066915   0.000000   0.000000  -0.725124   0.000000  -0.000000   30.0000     0.0797
  -11.000     0.000  -0.911837   0.041556   0.021549   0.063105   0.000000   0.000000  -0.697814  -0.000000  -0.000000   30.0000     0.0804
  -10.500     0.000  -0.884377   0.039054   0.020445   0.059498   0.000000   0.000000  -0.669796   0.000000  -0.000000   30.0000     0.0811
  -10.000     0.000  -0.855137   0.036476   0.019381   0.055857   0.000000   0.000000  -0.641078   0.000000  -0.000000   30.0000     0.0818
   -9.500     0.000  -0.824531   0.033869   0.018416   0.052285   0.000000   0.000000  -0.611840   0.000000  -0.000000   30.0000     0.0824
   -9.000     0.000  -0.793180   0.031307   0.017490   0.048797   0.000000   0.000000  -0.582455   0.000000   0.000000   30.0000     0.0830
   -8.500     0.000  -0.756339   0.028475   0.016656   0.045130   0.000000   0.000000  -0.550553   0.000000   0.000000   30.0000     0.0834
   -8.000     0.000  -0.716946   0.025597   0.015815   0.041412   0.000000   0.000000  -0.517848   0.000000   0.000000   30.0000     0.0837
   -7.500     0.000  -0.672437   0.022543   0.015056   0.037599   0.000000   0.000000  -0.483049   0.000000   0.000000   30.0000     0.0836
   -7.000     0.000  -0.625548   0.019526   0.014369   0.033896   0.000000   0.000000  -0.447463   0.000000   0.000000   30.0000     0.0833
   -6.500     0.000  -0.578952   0.016753   0.013671   0.030424   0.000000   0.000000  -0.412352  -0.000000  -0.000000   30.0000     0.0831
   -6.000     0.000  -0.532956   0.014220   0.012938   0.027158   0.000000   0.000000  -0.377978   0.000000   0.000000   30.0000     0.0828
   -5.500     0.000  -0.487148   0.011907   0.012174   0.024081   0.000000   0.000000  -0.344126   0.000000  -0.000000   30.0000     0.0825
   -5.000     0.000  -0.442682   0.009855   0.011360   0.021215   0.000000   0.000000  -0.311265   0.000000  -0.000000   30.0000     0.0823
   -4.500     0.000  -0.401032   0.008096   0.010397   0.018493   0.000000   0.000000  -0.280127   0.000000   0.000000   30.0000     0.0822
   -4.000     0.000  -0.358174   0.006465   0.009545   0.016010   0.000000   0.000000  -0.248580   0.000000   0.000000   30.0000     0.0821
   -3.500     0.000  -0.313747   0.004968   0.009159   0.014126   0.000000   0.000000  -0.215884   0.000000  -0.000000   30.0000     0.0819
   -3.000     0.000  -0.268695   0.003654   0.008974   0.012628   0.000000   0.000000  -0.182940   0.000000   0.000000   30.0000     0.0818
   -2.500     0.000  -0.223181   0.002528   0.008842   0.011370   0.000000   0.000000  -0.150149   0.000000   0.000000   30.0000     0.0816
   -2.000     0.000  -0.177267   0.001603   0.008818   0.010421   0.000000   0.000000  -0.117404   0.000000   0.000000   30.0000     0.0811
   -1.500     0.000  -0.131827   0.000892   0.008813   0.009705   0.000000   0.000000  -0.085217   0.000000  -0.000000   30.0000     0.0809
   -1.000     0.000  -0.087370   0.000397   0.008869   0.009267   0.000000   0.000000  -0.053640   0.000000   0.000000   30.0000     0.0876
   -0.500     0.000  -0.043346   0.000101   0.008957   0.009058   0.000000   0.000000  -0.022581   0.000000   0.000000   30.0000     0.1017
    0.000     0.000   0.000712  -0.000000   0.009041   0.009041   0.000000  -0.000000   0.008086   0.000000  -0.000000   30.0000     0.1203
    0.500     0.000   0.044768   0.000095   0.008954   0.009049   0.000000  -0.000000   0.038176   0.000000   0.000000   30.0000     0.1010
    1.000     0.000   0.088798   0.000384   0.008866   0.009251   0.000000  -0.000000   0.067835   0.000000   0.000000   30.0000     0.0871
    1.500     0.000   0.133237   0.000874   0.008812   0.009686   0.000000  -0.000000   0.097178   0.000000  -0.000000   30.0000     0.0809
    2.000     0.000   0.178709   0.001578   0.008819   0.010397   0.000000  -0.000000   0.126418   0.000000   0.000000   30.0000     0.0811
    2.500     0.000   0.224578   0.002498   0.008843   0.011341   0.000000  -0.000000   0.155358   0.000000   0.000000   30.0000     0.0816
    3.000     0.000   0.270151   0.003615   0.008980   0.012595   0.000000  -0.000000   0.183705   0.000000   0.000000   30.0000     0.0818
    3.500     0.000   0.315053   0.004922   0.009171   0.014093   0.000000  -0.000000   0.211335   0.000000   0.000000   30.0000     0.0819
    4.000     0.000   0.359451   0.006409   0.009581   0.015990   0.000000  -0.000000   0.238223  -0.000000   0.000000   30.0000     0.0821
    4.500     0.000   0.402283   0.008029   0.010440   0.018469   0.000000  -0.000000   0.263841   0.000000   0.000000   30.0000     0.0822
    5.000     0.000   0.443919   0.009780   0.011405   0.021185   0.000000  -0.000000   0.288552  -0.000000  -0.000000   30.0000     0.0823
    5.500     0.000   0.488580   0.011832   0.012209   0.024041   0.000000  -0.000000   0.314009   0.000000   0.000000   30.0000     0.0825
    6.000     0.000   0.534444   0.014140   0.012968   0.027108   0.000000  -0.000000   0.339443   0.000000   0.000000   30.0000     0.0828
    6.500     0.000   0.580488   0.016669   0.013698   0.030366   0.000000   0.000000   0.364468   0.000000  -0.000000   30.0000     0.0831
    7.000     0.000   0.627081   0.019442   0.014391   0.033833   0.000000  -0.000000   0.389250   0.000000   0.000000   30.0000     0.0834
    7.500     0.000   0.674026   0.022448   0.015078   0.037527   0.000000  -0.000000   0.413710   0.000000   0.000000   30.0000     0.0836
    8.000     0.000   0.718692   0.025545   0.015830   0.041375   0.000000  -0.000000   0.436808   0.000000   0.000000   30.0000     0.0837
    8.500     0.000   0.759069   0.028486   0.016656   0.045142   0.000000  -0.000000   0.458017  -0.000000  -0.000000   30.0000     0.0835
    9.000     0.000   0.796599   0.031379   0.017479   0.048858   0.000000  -0.000000   0.477786   0.000000  -0.000000   30.0000     0.0831
    9.500     0.000   0.827591   0.033890   0.018417   0.052307   0.000000  -0.000000   0.494681   0.000000   0.000000   30.0000     0.0825
   10.000     0.000   0.856828   0.036386   0.019401   0.055787   0.000000  -0.000000   0.510588   0.000000  -0.000000   30.0000     0.0818
   10.500     0.000   0.885156   0.038875   0.020479   0.059353   0.000000   0.000000   0.525948   0.000000  -0.000000   30.0000     0.0811
   11.000     0.000   0.912590   0.041376   0.021581   0.062958   0.000000  -0.000000   0.540589   0.000000  -0.000000   30.0000     0.0804
   11.500     0.000   0.938677   0.043844   0.022931   0.066775   0.000000  -0.000000   0.554433   0.000000  -0.000000   30.0000     0.0797
   12.000     0.000   0.963610   0.046257   0.024355   0.070612   0.000000  -0.000000   0.567596   0.000000   0.000000   30.0000     0.0790
   12.500     0.000   0.986823   0.048601   0.025738   0.074339   0.000000  -0.000000   0.579779   0.000000  -0.000000   30.0000     0.0782
   13.000     0.000   1.008036   0.050777   0.027373   0.078150   0.000000  -0.000000   0.590973   0.000000  -0.000000   30.0000     0.0774
   13.500     0.000   1.027251   0.052852   0.029351   0.082203   0.000000   0.000000   0.601098   0.000000  -0.000000   30.0000     0.0767
   14.000     0.000   1.042539   0.054615   0.031456   0.086071   0.000000  -0.000000   0.609330   0.000000  -0.000000   30.0000     0.0758


