xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST
Polar name :        T5-a0.0°-30.0m/s-Panel_vtail_dihedral_beta

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.009342   0.000019   0.009257   0.009276   0.000005   0.000000   0.010577   0.000000   0.000000   30.0000     0.0793
    0.000     0.500   0.009361   0.000041   0.009247   0.009288  -0.007853  -0.004787   0.010809  -0.000837  -0.000823   30.0000     0.0750
    0.000     1.000   0.009422   0.000107   0.009237   0.009344  -0.015710  -0.009571   0.011536  -0.001674  -0.001646   30.0000     0.0621
    0.000     1.500   0.009525   0.000217   0.009232   0.009449  -0.023562  -0.014351   0.012759  -0.002509  -0.002469   30.0000     0.0412
    0.000     2.000   0.009671   0.000370   0.009237   0.009608  -0.031409  -0.019124   0.014482  -0.003345  -0.003291   30.0000     0.0126
    0.000     2.500   0.009859   0.000568   0.009243   0.009811  -0.039248  -0.023887   0.016696  -0.004179  -0.004112   30.0000    -0.0228
    0.000     3.000   0.010090   0.000809   0.009251   0.010060  -0.047077  -0.028638   0.019402  -0.005013  -0.004932   30.0000    -0.0643
    0.000     3.500   0.010362   0.001094   0.009271   0.010365  -0.054895  -0.033376   0.022604  -0.005845  -0.005751   30.0000    -0.1108
    0.000     4.000   0.010677   0.001423   0.009301   0.010725  -0.062699  -0.038097   0.026300  -0.006676  -0.006568   30.0000    -0.1614
    0.000     4.500   0.011033   0.001796   0.009336   0.011132  -0.070487  -0.042799   0.030483  -0.007505  -0.007384   30.0000    -0.2152
    0.000     5.000   0.011430   0.002211   0.009373   0.011585  -0.078259  -0.047480   0.035147  -0.008333  -0.008198   30.0000    -0.2713
    0.000     5.500   0.011868   0.002671   0.009412   0.012083  -0.086010  -0.052138   0.040289  -0.009159  -0.009010   30.0000    -0.3287
    0.000     6.000   0.012347   0.003173   0.009454   0.012627  -0.093741  -0.056770   0.045904  -0.009983  -0.009820   30.0000    -0.3867
    0.000     6.500   0.012866   0.003719   0.009498   0.013217  -0.101448  -0.061374   0.051990  -0.010805  -0.010627   30.0000    -0.4447
    0.000     7.000   0.013425   0.004308   0.009549   0.013856  -0.109131  -0.065948   0.058545  -0.011623  -0.011432   30.0000    -0.5021
    0.000     7.500   0.014023   0.004939   0.009607   0.014546  -0.116786  -0.070489   0.065566  -0.012439  -0.012234   30.0000    -0.5585
    0.000     8.000   0.014661   0.005614   0.009669   0.015283  -0.124412  -0.074996   0.073044  -0.013252  -0.013033   30.0000    -0.6135
    0.000     8.500   0.015337   0.006331   0.009732   0.016062  -0.132007  -0.079467   0.080970  -0.014062  -0.013828   30.0000    -0.6667
    0.000     9.000   0.016051   0.007090   0.009796   0.016886  -0.139570  -0.083898   0.089341  -0.014870  -0.014620   30.0000    -0.7181
    0.000     9.500   0.016803   0.007891   0.009862   0.017753  -0.147098  -0.088289   0.098150  -0.015673  -0.015409   30.0000    -0.7675
    0.000    10.000   0.017592   0.008734   0.009931   0.018666  -0.154589  -0.092636   0.107392  -0.016473  -0.016193   30.0000    -0.8147
    0.000    10.500   0.018417   0.009620   0.010029   0.019648  -0.162042  -0.096939   0.117079  -0.017265  -0.016974   30.0000    -0.8598
    0.000    11.000   0.019278   0.010546   0.010166   0.020712  -0.169454  -0.101194   0.127221  -0.018058  -0.017751   30.0000    -0.9027
    0.000    11.500   0.020174   0.011514   0.010324   0.021838  -0.176824  -0.105401   0.137788  -0.018849  -0.018523   30.0000    -0.9434
    0.000    12.000   0.021105   0.012523   0.010491   0.023014  -0.184150  -0.109556   0.148765  -0.019637  -0.019290   30.0000    -0.9821
    0.000    12.500   0.022069   0.013573   0.010660   0.024233  -0.191430  -0.113658   0.160138  -0.020421  -0.020053   30.0000    -1.0187
    0.000    13.000   0.023066   0.014663   0.010838   0.025501  -0.198662  -0.117706   0.171906  -0.021204  -0.020811   30.0000    -1.0533
    0.000    13.500   0.024095   0.015793   0.011020   0.026813  -0.205844  -0.121697   0.184052  -0.021985  -0.021563   30.0000    -1.0861
    0.000    14.000   0.025156   0.016964   0.011193   0.028157  -0.212974  -0.125629   0.196559  -0.022756  -0.022311   30.0000    -1.1170
    0.000    14.500   0.026247   0.018174   0.011359   0.029533  -0.220051  -0.129501   0.209415  -0.023522  -0.023053   30.0000    -1.1463
    0.000    15.000   0.027368   0.019423   0.011524   0.030948  -0.227073  -0.133312   0.222619  -0.024282  -0.023789   30.0000    -1.1739
    0.000    15.500   0.028518   0.020712   0.011688   0.032400  -0.234038  -0.137058   0.236160  -0.025039  -0.024519   30.0000    -1.2000
    0.000    16.000   0.029696   0.022039   0.011850   0.033888  -0.240943  -0.140740   0.250026  -0.025791  -0.025244   30.0000    -1.2246
    0.000    16.500   0.030901   0.023404   0.012013   0.035417  -0.247788  -0.144355   0.264210  -0.026535  -0.025962   30.0000    -1.2479
    0.000    17.000   0.032132   0.024808   0.012179   0.036987  -0.254570  -0.147901   0.278703  -0.027274  -0.026674   30.0000    -1.2699
    0.000    17.500   0.033388   0.026249   0.012347   0.038596  -0.261288  -0.151378   0.293494  -0.028005  -0.027379   30.0000    -1.2907
    0.000    18.000   0.034668   0.027727   0.012517   0.040243  -0.267940  -0.154784   0.308572  -0.028730  -0.028078   30.0000    -1.3104
    0.000    18.500   0.035971   0.029242   0.012683   0.041925  -0.274523  -0.158116   0.323921  -0.029448  -0.028770   30.0000    -1.3290
    0.000    19.000   0.037297   0.030794   0.012850   0.043644  -0.281037  -0.161376   0.339532  -0.030159  -0.029455   30.0000    -1.3466
    0.000    19.500   0.038643   0.032381   0.013021   0.045403  -0.287479  -0.164559   0.355397  -0.030862  -0.030132   30.0000    -1.3633
    0.000    20.000   0.040009   0.034005   0.013193   0.047198  -0.293848  -0.167667   0.371502  -0.031560  -0.030803   30.0000    -1.3791
    0.000    20.500   0.041394   0.035664   0.013371   0.049034  -0.300142  -0.170697   0.387841  -0.032251  -0.031466   30.0000    -1.3942
    0.000    21.000   0.042797   0.037357   0.013556   0.050913  -0.306359  -0.173648   0.404403  -0.032937  -0.032121   30.0000    -1.4084
    0.000    21.500   0.044216   0.039085   0.013744   0.052829  -0.312497  -0.176520   0.421171  -0.033615  -0.032769   30.0000    -1.4220
    0.000    22.000   0.045651   0.040847   0.013941   0.054787  -0.318556  -0.179310   0.438141  -0.034287  -0.033408   30.0000    -1.4349
    0.000    22.500   0.047100   0.042642   0.014145   0.056787  -0.324532  -0.182020   0.455296  -0.034952  -0.034040   30.0000    -1.4472
    0.000    23.000   0.048561   0.044471   0.014358   0.058829  -0.330425  -0.184646   0.472626  -0.035607  -0.034664   30.0000    -1.4589
    0.000    23.500   0.050034   0.046332   0.014580   0.060911  -0.336232  -0.187189   0.490116  -0.036256  -0.035279   30.0000    -1.4701
    0.000    24.000   0.051518   0.048225   0.014803   0.063028  -0.341952  -0.189648   0.507751  -0.036899  -0.035886   30.0000    -1.4808
    0.000    24.500   0.053011   0.050149   0.015033   0.065182  -0.347583  -0.192022   0.525522  -0.037537  -0.036484   30.0000    -1.4910
    0.000    25.000   0.054512   0.052105   0.015274   0.067379  -0.353125  -0.194311   0.543421  -0.038165  -0.037073   30.0000    -1.5008
    0.000    25.500   0.056019   0.054092   0.015520   0.069612  -0.358574  -0.196514   0.561429  -0.038786  -0.037654   30.0000    -1.5102
    0.000    26.000   0.057532   0.056108   0.015762   0.071870  -0.363929  -0.198630   0.579523  -0.039396  -0.038226   30.0000    -1.5192
    0.000    26.500   0.059048   0.058154   0.016007   0.074162  -0.369189  -0.200658   0.597695  -0.039999  -0.038788   30.0000    -1.5278
    0.000    27.000   0.060567   0.060229   0.016259   0.076489  -0.374353  -0.202600   0.615940  -0.040595  -0.039342   30.0000    -1.5362
    0.000    27.500   0.062088   0.062333   0.016517   0.078850  -0.379418  -0.204453   0.634244  -0.041182  -0.039886   30.0000    -1.5442
    0.000    28.000   0.063608   0.064465   0.016797   0.081262  -0.384382  -0.206218   0.652607  -0.041762  -0.040421   30.0000    -1.5520
    0.000    28.500   0.065126   0.066624   0.017092   0.083717  -0.389246  -0.207895   0.671015  -0.042336  -0.040946   30.0000    -1.5595
    0.000    29.000   0.066641   0.068811   0.017396   0.086207  -0.394005  -0.209484   0.689446  -0.042905  -0.041462   30.0000    -1.5668
    0.000    29.500   0.068152   0.071024   0.017700   0.088724  -0.398661  -0.210983   0.707879  -0.043465  -0.041968   30.0000    -1.5739
    0.000    30.000   0.069658   0.073262   0.018007   0.091269  -0.403209  -0.212394   0.726298  -0.044013  -0.042465   30.0000    -1.5807


