xflr5 v6.47

Plane name :        VTOL_SINGLE_VTAIL_NACA_LAST_PROJECTED
Polar name :        T5-a0.0°-30.0m/s-Panel_vtail_projected_beta

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.000068   0.000000   0.008160   0.008160  -0.000000  -0.000001   0.000253  -0.000000  -0.000000   30.0000    -0.0084
    0.000     0.500   0.000068   0.000000   0.008160   0.008160  -0.000000  -0.000001   0.000253   0.000007   0.000017   30.0000    -0.0087
    0.000     1.000   0.000068   0.000000   0.008160   0.008160  -0.000000  -0.000001   0.000253   0.000017   0.000035   30.0000    -0.0090
    0.000     1.500   0.000068   0.000000   0.008160   0.008160  -0.000000  -0.000001   0.000253   0.000025   0.000053   30.0000    -0.0094
    0.000     2.000   0.000068   0.000000   0.008160   0.008160  -0.000000  -0.000001   0.000253   0.000032   0.000070   30.0000    -0.0098
    0.000     2.500   0.000068   0.000000   0.008160   0.008160  -0.000000  -0.000001   0.000253   0.000040   0.000087   30.0000    -0.0103
    0.000     3.000   0.000068   0.000000   0.008160   0.008160  -0.000000  -0.000000   0.000253   0.000049   0.000105   30.0000    -0.0109
    0.000     3.500   0.000068   0.000000   0.008160   0.008160  -0.000000  -0.000000   0.000253   0.000057   0.000122   30.0000    -0.0115
    0.000     4.000   0.000068   0.000000   0.008160   0.008160  -0.000000  -0.000000   0.000252   0.000064   0.000138   30.0000    -0.0122
    0.000     4.500   0.000068   0.000000   0.008160   0.008160  -0.000000  -0.000000   0.000252   0.000072   0.000156   30.0000    -0.0130
    0.000     5.000   0.000067   0.000000   0.008160   0.008160  -0.000000  -0.000000   0.000252   0.000080   0.000173   30.0000    -0.0138
    0.000     5.500   0.000067   0.000000   0.008160   0.008160  -0.000000  -0.000000   0.000252   0.000088   0.000191   30.0000    -0.0147
    0.000     6.000   0.000067   0.000000   0.008160   0.008160  -0.000000   0.000000   0.000251   0.000096   0.000208   30.0000    -0.0156
    0.000     6.500   0.000067   0.000000   0.008160   0.008160  -0.000000   0.000000   0.000251   0.000104   0.000225   30.0000    -0.0167
    0.000     7.000   0.000067   0.000000   0.008160   0.008160  -0.000000   0.000000   0.000251   0.000112   0.000242   30.0000    -0.0177
    0.000     7.500   0.000067   0.000000   0.008160   0.008160  -0.000000   0.000000   0.000250   0.000119   0.000259   30.0000    -0.0189
    0.000     8.000   0.000067   0.000000   0.008160   0.008160  -0.000000   0.000000   0.000250   0.000126   0.000275   30.0000    -0.0201
    0.000     8.500   0.000066   0.000000   0.008160   0.008160  -0.000000   0.000001   0.000249   0.000134   0.000292   30.0000    -0.0214
    0.000     9.000   0.000066   0.000000   0.008160   0.008160  -0.000000   0.000001   0.000249   0.000141   0.000308   30.0000    -0.0227
    0.000     9.500   0.000066   0.000000   0.008160   0.008160  -0.000000   0.000001   0.000248   0.000149   0.000325   30.0000    -0.0241
    0.000    10.000   0.000066   0.000000   0.008160   0.008160  -0.000000   0.000001   0.000248   0.000156   0.000342   30.0000    -0.0256
    0.000    10.500   0.000066   0.000000   0.008160   0.008160  -0.000000   0.000001   0.000247   0.000163   0.000358   30.0000    -0.0272
    0.000    11.000   0.000065   0.000000   0.008160   0.008160  -0.000000   0.000001   0.000246   0.000170   0.000374   30.0000    -0.0288
    0.000    11.500   0.000065   0.000000   0.008160   0.008160  -0.000000   0.000001   0.000246   0.000177   0.000390   30.0000    -0.0305
    0.000    12.000   0.000065   0.000000   0.008160   0.008160  -0.000000   0.000001   0.000245   0.000184   0.000406   30.0000    -0.0322
    0.000    12.500   0.000065   0.000000   0.008160   0.008160  -0.000000   0.000001   0.000244   0.000190   0.000422   30.0000    -0.0340
    0.000    13.000   0.000064   0.000000   0.008160   0.008160  -0.000000   0.000001   0.000244   0.000197   0.000438   30.0000    -0.0359
    0.000    13.500   0.000064   0.000000   0.008160   0.008160  -0.000000   0.000001   0.000243   0.000204   0.000453   30.0000    -0.0379
    0.000    14.000   0.000064   0.000000   0.008160   0.008160  -0.000000   0.000002   0.000242   0.000210   0.000469   30.0000    -0.0399
    0.000    14.500   0.000064   0.000000   0.008160   0.008160  -0.000000   0.000002   0.000241   0.000216   0.000484   30.0000    -0.0420
    0.000    15.000   0.000063   0.000000   0.008160   0.008160  -0.000000   0.000002   0.000240   0.000223   0.000499   30.0000    -0.0441
    0.000    15.500   0.000063   0.000000   0.008160   0.008160  -0.000000   0.000002   0.000239   0.000229   0.000514   30.0000    -0.0464
    0.000    16.000   0.000063   0.000000   0.008160   0.008160  -0.000000   0.000002   0.000238   0.000234   0.000529   30.0000    -0.0487
    0.000    16.500   0.000062   0.000000   0.008160   0.008160  -0.000000   0.000002   0.000237   0.000240   0.000544   30.0000    -0.0510
    0.000    17.000   0.000062   0.000000   0.008160   0.008160  -0.000000   0.000002   0.000236   0.000246   0.000558   30.0000    -0.0535
    0.000    17.500   0.000062   0.000000   0.008160   0.008160  -0.000000   0.000002   0.000235   0.000251   0.000573   30.0000    -0.0560
    0.000    18.000   0.000061   0.000000   0.008160   0.008160  -0.000000   0.000002   0.000234   0.000257   0.000587   30.0000    -0.0586
    0.000    18.500   0.000061   0.000000   0.008160   0.008160  -0.000000   0.000002   0.000233   0.000262   0.000601   30.0000    -0.0613
    0.000    19.000   0.000060   0.000000   0.008160   0.008160  -0.000000   0.000002   0.000232   0.000267   0.000615   30.0000    -0.0640
    0.000    19.500   0.000060   0.000000   0.008160   0.008160  -0.000000   0.000002   0.000231   0.000271   0.000628   30.0000    -0.0668
    0.000    20.000   0.000060   0.000000   0.008160   0.008160  -0.000000   0.000002   0.000230   0.000276   0.000642   30.0000    -0.0697
    0.000    20.500   0.000059   0.000000   0.008160   0.008160  -0.000000   0.000002   0.000229   0.000280   0.000655   30.0000    -0.0727
    0.000    21.000   0.000059   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000227   0.000285   0.000668   30.0000    -0.0757
    0.000    21.500   0.000058   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000226   0.000289   0.000681   30.0000    -0.0789
    0.000    22.000   0.000058   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000225   0.000293   0.000694   30.0000    -0.0820
    0.000    22.500   0.000058   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000224   0.000297   0.000707   30.0000    -0.0853
    0.000    23.000   0.000057   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000222   0.000300   0.000718   30.0000    -0.0887
    0.000    23.500   0.000057   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000221   0.000304   0.000731   30.0000    -0.0921
    0.000    24.000   0.000056   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000219   0.000308   0.000743   30.0000    -0.0956
    0.000    24.500   0.000056   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000218   0.000311   0.000754   30.0000    -0.0993
    0.000    25.000   0.000055   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000217   0.000312   0.000764   30.0000    -0.1030
    0.000    25.500   0.000055   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000215   0.000316   0.000777   30.0000    -0.1067
    0.000    26.000   0.000054   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000214   0.000317   0.000786   30.0000    -0.1106
    0.000    26.500   0.000054   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000212   0.000319   0.000797   30.0000    -0.1146
    0.000    27.000   0.000053   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000211   0.000323   0.000809   30.0000    -0.1186
    0.000    27.500   0.000053   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000209   0.000325   0.000819   30.0000    -0.1227
    0.000    28.000   0.000052   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000208   0.000325   0.000827   30.0000    -0.1270
    0.000    28.500   0.000052   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000206   0.000328   0.000838   30.0000    -0.1313
    0.000    29.000   0.000051   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000205   0.000327   0.000846   30.0000    -0.1357
    0.000    29.500   0.000051   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000203   0.000329   0.000856   30.0000    -0.1402
    0.000    30.000   0.000050   0.000000   0.008160   0.008160  -0.000000   0.000003   0.000201   0.000329   0.000864   30.0000    -0.1449


