xflr5 v6.47

Plane name :        VTOL_SINGLE_W1_BELL_LAST
Polar name :        T5-a0.0°-30.0m/s-Panel_wing_dihedral_beta

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.351722   0.003212   0.016342   0.019553   0.000000   0.000000   0.167211  -0.000000  -0.000000   30.0000     0.0954
    0.000     0.500   0.351694   0.003212   0.016342   0.019553  -0.000094  -0.000373   0.167244  -0.000003   0.000009   30.0000     0.0953
    0.000     1.000   0.351609   0.003211   0.016342   0.019553  -0.000187  -0.000746   0.167342  -0.000006   0.000018   30.0000     0.0952
    0.000     1.500   0.351469   0.003210   0.016342   0.019552  -0.000281  -0.001118   0.167505  -0.000009   0.000027   30.0000     0.0950
    0.000     2.000   0.351273   0.003209   0.016342   0.019551  -0.000374  -0.001490   0.167734  -0.000012   0.000036   30.0000     0.0948
    0.000     2.500   0.351020   0.003208   0.016342   0.019550  -0.000467  -0.001861   0.168028  -0.000015   0.000045   30.0000     0.0945
    0.000     3.000   0.350712   0.003206   0.016342   0.019548  -0.000561  -0.002230   0.168386  -0.000018   0.000054   30.0000     0.0941
    0.000     3.500   0.350348   0.003204   0.016342   0.019546  -0.000654  -0.002599   0.168809  -0.000021   0.000063   30.0000     0.0937
    0.000     4.000   0.349928   0.003202   0.016342   0.019545  -0.000747  -0.002966   0.169295  -0.000024   0.000072   30.0000     0.0932
    0.000     4.500   0.349452   0.003200   0.016343   0.019543  -0.000840  -0.003331   0.169845  -0.000028   0.000081   30.0000     0.0926
    0.000     5.000   0.348921   0.003197   0.016344   0.019540  -0.000933  -0.003694   0.170458  -0.000031   0.000090   30.0000     0.0919
    0.000     5.500   0.348335   0.003194   0.016344   0.019538  -0.001026  -0.004055   0.171133  -0.000034   0.000100   30.0000     0.0912
    0.000     6.000   0.347694   0.003190   0.016345   0.019536  -0.001119  -0.004414   0.171870  -0.000037   0.000109   30.0000     0.0904
    0.000     6.500   0.346998   0.003187   0.016347   0.019533  -0.001211  -0.004771   0.172667  -0.000040   0.000118   30.0000     0.0896
    0.000     7.000   0.346247   0.003183   0.016348   0.019531  -0.001304  -0.005124   0.173525  -0.000044   0.000127   30.0000     0.0886
    0.000     7.500   0.345442   0.003178   0.016351   0.019529  -0.001396  -0.005475   0.174441  -0.000047   0.000136   30.0000     0.0876
    0.000     8.000   0.344582   0.003174   0.016353   0.019527  -0.001488  -0.005823   0.175416  -0.000051   0.000145   30.0000     0.0866
    0.000     8.500   0.343669   0.003169   0.016355   0.019524  -0.001579  -0.006167   0.176448  -0.000054   0.000154   30.0000     0.0854
    0.000     9.000   0.342702   0.003164   0.016357   0.019521  -0.001671  -0.006507   0.177536  -0.000057   0.000163   30.0000     0.0842
    0.000     9.500   0.341681   0.003158   0.016359   0.019517  -0.001762  -0.006844   0.178680  -0.000060   0.000172   30.0000     0.0829
    0.000    10.000   0.340608   0.003153   0.016360   0.019513  -0.001853  -0.007177   0.179877  -0.000063   0.000181   30.0000     0.0816
    0.000    10.500   0.339482   0.003147   0.016362   0.019509  -0.001944  -0.007506   0.181126  -0.000066   0.000190   30.0000     0.0802
    0.000    11.000   0.338304   0.003140   0.016364   0.019504  -0.002034  -0.007831   0.182428  -0.000069   0.000199   30.0000     0.0787
    0.000    11.500   0.337074   0.003134   0.016365   0.019499  -0.002124  -0.008151   0.183779  -0.000072   0.000207   30.0000     0.0771
    0.000    12.000   0.335792   0.003127   0.016366   0.019493  -0.002214  -0.008467   0.185178  -0.000075   0.000216   30.0000     0.0755
    0.000    12.500   0.334459   0.003120   0.016367   0.019487  -0.002304  -0.008777   0.186625  -0.000078   0.000225   30.0000     0.0738
    0.000    13.000   0.333076   0.003113   0.016369   0.019481  -0.002393  -0.009083   0.188118  -0.000081   0.000234   30.0000     0.0720
    0.000    13.500   0.331642   0.003105   0.016370   0.019475  -0.002482  -0.009384   0.189655  -0.000083   0.000243   30.0000     0.0702
    0.000    14.000   0.330158   0.003097   0.016371   0.019469  -0.002570  -0.009679   0.191235  -0.000086   0.000252   30.0000     0.0683
    0.000    14.500   0.328625   0.003089   0.016373   0.019462  -0.002658  -0.009969   0.192855  -0.000088   0.000261   30.0000     0.0663
