xflr5 v6.47

Plane name :        VTOL_SINGLE_W1_BELL_LAST
Polar name :        T5-a0.0°-30.0m/s-VLM2_wing_dihedral_beta

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.321595   0.002700   0.015674   0.018374  -0.000000   0.000000   0.135075  -0.000000   0.000000   30.0000     0.1136
    0.000     0.500   0.321570   0.002700   0.015675   0.018374  -0.000091  -0.000291   0.135101  -0.000058  -0.000046   30.0000     0.1136
    0.000     1.000   0.321493   0.002700   0.015675   0.018375  -0.000182  -0.000582   0.135176  -0.000116  -0.000093   30.0000     0.1135
    0.000     1.500   0.321365   0.002700   0.015675   0.018375  -0.000274  -0.000872   0.135301  -0.000175  -0.000139   30.0000     0.1134
    0.000     2.000   0.321186   0.002700   0.015676   0.018376  -0.000365  -0.001162   0.135476  -0.000233  -0.000186   30.0000     0.1132
    0.000     2.500   0.320956   0.002699   0.015677   0.018376  -0.000456  -0.001452   0.135702  -0.000291  -0.000232   30.0000     0.1129
    0.000     3.000   0.320675   0.002699   0.015678   0.018377  -0.000547  -0.001740   0.135976  -0.000349  -0.000278   30.0000     0.1125
    0.000     3.500   0.320343   0.002699   0.015679   0.018378  -0.000638  -0.002027   0.136300  -0.000407  -0.000325   30.0000     0.1121
    0.000     4.000   0.319960   0.002699   0.015681   0.018380  -0.000728  -0.002314   0.136673  -0.000465  -0.000371   30.0000     0.1117
    0.000     4.500   0.319526   0.002699   0.015683   0.018382  -0.000819  -0.002598   0.137094  -0.000522  -0.000416   30.0000     0.1112
    0.000     5.000   0.319042   0.002699   0.015685   0.018384  -0.000909  -0.002882   0.137563  -0.000580  -0.000462   30.0000     0.1106
    0.000     5.500   0.318508   0.002699   0.015687   0.018386  -0.000999  -0.003163   0.138080  -0.000637  -0.000508   30.0000     0.1099
    0.000     6.000   0.317923   0.002698   0.015689   0.018387  -0.001089  -0.003443   0.138644  -0.000695  -0.000553   30.0000     0.1092
    0.000     6.500   0.317288   0.002698   0.015690   0.018388  -0.001179  -0.003721   0.139254  -0.000751  -0.000598   30.0000     0.1085
    0.000     7.000   0.316604   0.002698   0.015692   0.018390  -0.001269  -0.003996   0.139910  -0.000808  -0.000643   30.0000     0.1077
    0.000     7.500   0.315870   0.002698   0.015693   0.018390  -0.001358  -0.004269   0.140610  -0.000864  -0.000688   30.0000     0.1068
    0.000     8.000   0.315086   0.002697   0.015693   0.018391  -0.001447  -0.004540   0.141355  -0.000920  -0.000733   30.0000     0.1058
    0.000     8.500   0.314254   0.002697   0.015694   0.018391  -0.001535  -0.004808   0.142143  -0.000976  -0.000777   30.0000     0.1048
    0.000     9.000   0.313372   0.002697   0.015694   0.018391  -0.001624  -0.005073   0.142974  -0.001032  -0.000821   30.0000     0.1037
    0.000     9.500   0.312442   0.002696   0.015695   0.018391  -0.001712  -0.005335   0.143847  -0.001087  -0.000865   30.0000     0.1026
    0.000    10.000   0.311463   0.002696   0.015695   0.018391  -0.001799  -0.005594   0.144760  -0.001142  -0.000908   30.0000     0.1014
    0.000    10.500   0.310437   0.002695   0.015696   0.018392  -0.001886  -0.005850   0.145714  -0.001196  -0.000951   30.0000     0.1002
    0.000    11.000   0.309363   0.002695   0.015696   0.018391  -0.001973  -0.006102   0.146705  -0.001250  -0.000994   30.0000     0.0988
    0.000    11.500   0.308241   0.002694   0.015697   0.018391  -0.002059  -0.006351   0.147735  -0.001303  -0.001036   30.0000     0.0975
    0.000    12.000   0.307073   0.002694   0.015697   0.018391  -0.002145  -0.006596   0.148801  -0.001356  -0.001078   30.0000     0.0960
    0.000    12.500   0.305857   0.002693   0.015697   0.018390  -0.002231  -0.006837   0.149903  -0.001409  -0.001120   30.0000     0.0945
    0.000    13.000   0.304596   0.002693   0.015697   0.018389  -0.002316  -0.007074   0.151038  -0.001461  -0.001161   30.0000     0.0929
    0.000    13.500   0.303289   0.002692   0.015697   0.018389  -0.002400  -0.007307   0.152207  -0.001513  -0.001202   30.0000     0.0913
    0.000    14.000   0.301936   0.002691   0.015697   0.018388  -0.002484  -0.007536   0.153407  -0.001564  -0.001242   30.0000     0.0896
    0.000    14.500   0.300538   0.002690   0.015697   0.018388  -0.002567  -0.007760   0.154638  -0.001615  -0.001282   30.0000     0.0879
    0.000    15.000   0.299096   0.002690   0.015698   0.018388  -0.002650  -0.007980   0.155897  -0.001665  -0.001321   30.0000     0.0860
    0.000    15.500   0.297610   0.002689   0.015699   0.018388  -0.002733  -0.008195   0.157185  -0.001715  -0.001360   30.0000     0.0842
    0.000    16.000   0.296080   0.002688   0.015701   0.018389  -0.002814  -0.008406   0.158498  -0.001764  -0.001399   30.0000     0.0822
    0.000    16.500   0.294506   0.002687   0.015703   0.018390  -0.002895  -0.008612   0.159836  -0.001813  -0.001437   30.0000     0.0802
    0.000    17.000   0.292890   0.002686   0.015704   0.018390  -0.002976  -0.008812   0.161198  -0.001861  -0.001474   30.0000     0.0781
    0.000    17.500   0.291232   0.002685   0.015707   0.018391  -0.003056  -0.009008   0.162581  -0.001908  -0.001511   30.0000     0.0760
    0.000    18.000   0.289533   0.002684   0.015709   0.018393  -0.003135  -0.009199   0.163984  -0.001956  -0.001548   30.0000     0.0738
    0.000    18.500   0.287792   0.002683   0.015712   0.018394  -0.003213  -0.009384   0.165406  -0.002002  -0.001584   30.0000     0.0715
