xflr5 v6.47

Plane name :        VTOL_SINGLE_TWIN_VERTICAL_EQUIVALENT_VTAIL_NACA_LAST
Polar name :        T5-a0.0°-30.0m/s-Panel_TG_Twin_Vertical_equiv1

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000   -18.000   0.106081   0.145623   0.029908   0.175531   1.028750   0.583949   0.190305   0.623841   0.617140   30.0000    -0.1153
    0.000   -17.500   0.104812   0.137614   0.029294   0.166908   1.001915   0.568660   0.181916   0.607503   0.601059   30.0000    -0.1066
    0.000   -17.000   0.103553   0.129842   0.028732   0.158575   0.974925   0.553292   0.173763   0.591078   0.584891   30.0000    -0.0979
    0.000   -16.500   0.102305   0.122308   0.028203   0.150511   0.947787   0.537849   0.165839   0.574573   0.568637   30.0000    -0.0893
    0.000   -16.000   0.101071   0.115009   0.027707   0.142716   0.920506   0.522331   0.158151   0.557981   0.552301   30.0000    -0.0807
    0.000   -15.500   0.099852   0.107946   0.027253   0.135198   0.893087   0.506743   0.150711   0.541309   0.535884   30.0000    -0.0722
    0.000   -15.000   0.098652   0.101116   0.026821   0.127936   0.865535   0.491084   0.143510   0.524564   0.519388   30.0000    -0.0636
    0.000   -14.500   0.097472   0.094518   0.026402   0.120921   0.837855   0.475359   0.136542   0.507746   0.502816   30.0000    -0.0552
    0.000   -14.000   0.096314   0.088153   0.025994   0.114147   0.810053   0.459569   0.129798   0.490855   0.486170   30.0000    -0.0468
    0.000   -13.500   0.095180   0.082019   0.025591   0.107610   0.782133   0.443715   0.123279   0.473893   0.469453   30.0000    -0.0385
    0.000   -13.000   0.094072   0.076115   0.025177   0.101292   0.754100   0.427801   0.116973   0.456855   0.452666   30.0000    -0.0302
    0.000   -12.500   0.092991   0.070440   0.024787   0.095227   0.725960   0.411829   0.110915   0.439763   0.435812   30.0000    -0.0221
    0.000   -12.000   0.091938   0.064994   0.024412   0.089405   0.697716   0.395800   0.105100   0.422615   0.418894   30.0000    -0.0141
    0.000   -11.500   0.090917   0.059775   0.024048   0.083823   0.669373   0.379718   0.099516   0.405416   0.401914   30.0000    -0.0062
    0.000   -11.000   0.089927   0.054784   0.023701   0.078485   0.640936   0.363583   0.094167   0.388174   0.384873   30.0000     0.0016
    0.000   -10.500   0.088972   0.050018   0.023395   0.073413   0.612409   0.347399   0.089069   0.370898   0.367776   30.0000     0.0092
    0.000   -10.000   0.088051   0.045479   0.023134   0.068613   0.583797   0.331167   0.084238   0.353594   0.350624   30.0000     0.0166
    0.000    -9.500   0.087166   0.041165   0.022864   0.064029   0.555104   0.314891   0.079629   0.336247   0.333420   30.0000     0.0238
    0.000    -9.000   0.086319   0.037075   0.022607   0.059682   0.526335   0.298571   0.075253   0.318852   0.316165   30.0000     0.0308
    0.000    -8.500   0.085510   0.033209   0.022365   0.055574   0.497494   0.282211   0.071118   0.301411   0.298864   30.0000     0.0376
    0.000    -8.000   0.084741   0.029567   0.022141   0.051708   0.468584   0.265812   0.067223   0.283925   0.281518   30.0000     0.0441
    0.000    -7.500   0.084013   0.026147   0.021955   0.048103   0.439610   0.249377   0.063583   0.266388   0.264129   30.0000     0.0504
    0.000    -7.000   0.083327   0.022951   0.021834   0.044784   0.410577   0.232908   0.060208   0.248798   0.246701   30.0000     0.0563
