xflr5 v6.47

Plane name :        VTOL_SINGLE_TWIN_VERTICAL_EQUIVALENT_VTAIL_NACA_LAST
Polar name :        T5-a0.0°-30.0m/s-VLM2_Twin_Vertical_equiv1

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000   -20.000   0.123556   0.190394   0.033839   0.224233   1.242311   0.621514   0.185882   0.675879   0.667188   30.0000     0.1193
    0.000   -19.500   0.117717   0.180878   0.032923   0.213801   1.212033   0.608495   0.177727   0.660419   0.652058   30.0000     0.1199
    0.000   -19.000   0.112001   0.171614   0.032097   0.203711   1.181690   0.595298   0.169755   0.644848   0.636812   30.0000     0.1204
    0.000   -18.500   0.106408   0.162603   0.031352   0.193954   1.151285   0.581927   0.161943   0.629168   0.621454   30.0000     0.1210
    0.000   -18.000   0.100941   0.153842   0.030657   0.184499   1.120821   0.568383   0.154291   0.613403   0.605987   30.0000     0.1215
    0.000   -17.500   0.095602   0.145332   0.030022   0.175353   1.090299   0.554671   0.146810   0.597541   0.590412   30.0000     0.1220
    0.000   -17.000   0.090394   0.137070   0.029407   0.166478   1.059722   0.540793   0.139476   0.581583   0.574733   30.0000     0.1225
    0.000   -16.500   0.085316   0.129057   0.028815   0.157873   1.029091   0.526753   0.132302   0.565534   0.558952   30.0000     0.1230
    0.000   -16.000   0.080372   0.121292   0.028261   0.149553   0.998409   0.512555   0.125303   0.549385   0.543072   30.0000     0.1234
    0.000   -15.500   0.075562   0.113773   0.027744   0.141517   0.967678   0.498201   0.118470   0.533140   0.527096   30.0000     0.1239
    0.000   -15.000   0.070889   0.106501   0.027260   0.133761   0.936901   0.483696   0.111807   0.516805   0.511026   30.0000     0.1244
    0.000   -14.500   0.066355   0.099473   0.026780   0.126253   0.906077   0.469043   0.105307   0.500384   0.494866   30.0000     0.1248
    0.000   -14.000   0.061959   0.092690   0.026329   0.119018   0.875211   0.454246   0.098993   0.483885   0.478618   30.0000     0.1252
    0.000   -13.500   0.057705   0.086150   0.025887   0.112038   0.844303   0.439309   0.092856   0.467311   0.462285   30.0000     0.1256
    0.000   -13.000   0.053593   0.079854   0.025469   0.105323   0.813355   0.424237   0.086902   0.450652   0.445871   30.0000     0.1261
    0.000   -12.500   0.049625   0.073801   0.025060   0.098861   0.782370   0.409033   0.081131   0.433912   0.429376   30.0000     0.1265
    0.000   -12.000   0.045802   0.067989   0.024651   0.092640   0.751348   0.393702   0.075543   0.417100   0.412806   30.0000     0.1269
    0.000   -11.500   0.042125   0.062419   0.024235   0.086653   0.720292   0.378248   0.070135   0.400213   0.396162   30.0000     0.1272
    0.000   -11.000   0.038596   0.057089   0.023825   0.080914   0.689202   0.362675   0.064927   0.383265   0.379448   30.0000     0.1276
    0.000   -10.500   0.035216   0.052000   0.023420   0.075421   0.658082   0.346989   0.059925   0.366254   0.362666   30.0000     0.1280
    0.000   -10.000   0.031985   0.047151   0.023018   0.070169   0.626932   0.331193   0.055123   0.349191   0.345819   30.0000     0.1284
    0.000    -9.500   0.028905   0.042541   0.022643   0.065184   0.595754   0.315293   0.050541   0.332082   0.328911   30.0000     0.1287
    0.000    -9.000   0.025977   0.038170   0.022304   0.060474   0.564550   0.299293   0.046192   0.314930   0.311944   30.0000     0.1291
    0.000    -8.500   0.023202   0.034038   0.022052   0.056090   0.533321   0.283197   0.042106   0.297750   0.294922   30.0000     0.1295
    0.000    -8.000   0.020581   0.030144   0.021870   0.052014   0.502068   0.267012   0.038276   0.280505   0.277847   30.0000     0.1299
    0.000    -7.500   0.018114   0.026487   0.021717   0.048205   0.470793   0.250742   0.034679   0.263204   0.260723   30.0000     0.1303
    0.000    -7.000   0.015803   0.023068   0.021570   0.044638   0.439498   0.234391   0.031299   0.245857   0.243552   30.0000     0.1307
    0.000    -6.500   0.013648   0.019886   0.021423   0.041309   0.408184   0.217966   0.028139   0.228469   0.226337   30.0000     0.1312
    0.000    -6.000   0.011650   0.016941   0.021284   0.038225   0.376852   0.201470   0.025206   0.211043   0.209083   30.0000     0.1318
    0.000    -5.500   0.009809   0.014233   0.021164   0.035397   0.345504   0.184910   0.022506   0.193583   0.191791   30.0000     0.1324
    0.000    -5.000   0.008126   0.011761   0.021062   0.032823   0.314141   0.168291   0.020041   0.176089   0.174464   30.0000     0.1332
    0.000    -4.500   0.006602   0.009525   0.020968   0.030493   0.282765   0.151617   0.017806   0.158565   0.157107   30.0000     0.1341
