xflr5 v6.33

Plane name :        EMERGENTIA_Sw2_e_dihedral
Polar name :        T1-25_0 m_s-LLT-proj_area_x0_045m
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -17.500     0.000  -1.231025   0.071439   0.035243   0.106682  -0.000000  -0.000000  -0.288610  -0.000000  -0.000000   25.0000     0.0400
  -17.000     0.000  -1.198130   0.067725   0.032052   0.099777  -0.000000  -0.000000  -0.274919  -0.000000  -0.000000   25.0000     0.0400
  -16.500     0.000  -1.165045   0.064085   0.029880   0.093965  -0.000000  -0.000000  -0.260892  -0.000000  -0.000000   25.0000     0.0400
  -16.000     0.000  -1.131773   0.060521   0.028006   0.088527  -0.000000  -0.000000  -0.247013  -0.000000  -0.000000   25.0000     0.0399
  -15.500     0.000  -1.098320   0.057035   0.026368   0.083403  -0.000000  -0.000000  -0.233349  -0.000000  -0.000000   25.0000     0.0399
  -15.000     0.000  -1.064691   0.053632   0.024875   0.078507  -0.000000  -0.000000  -0.219974  -0.000000  -0.000000   25.0000     0.0398
  -14.500     0.000  -1.030890   0.050313   0.023498   0.073810  -0.000000  -0.000000  -0.206903  -0.000000  -0.000000   25.0000     0.0398
  -14.000     0.000  -0.996922   0.047080   0.022189   0.069269  -0.000000  -0.000000  -0.194182  -0.000000  -0.000000   25.0000     0.0398
  -13.500     0.000  -0.962792   0.043938   0.020983   0.064921  -0.000000  -0.000000  -0.181792  -0.000000  -0.000000   25.0000     0.0397
  -13.000     0.000  -0.928505   0.040887   0.019838   0.060725  -0.000000  -0.000000  -0.169762  -0.000000  -0.000000   25.0000     0.0397
  -12.500     0.000  -0.894067   0.037930   0.018749   0.056680  -0.000000  -0.000000  -0.158090  -0.000000  -0.000000   25.0000     0.0397
  -12.000     0.000  -0.859483   0.035071   0.017722   0.052792  -0.000000  -0.000000  -0.146784  -0.000000  -0.000000   25.0000     0.0396
  -11.500     0.000  -0.824757   0.032310   0.016771   0.049081  -0.000000  -0.000000  -0.135835  -0.000000  -0.000000   25.0000     0.0396
  -11.000     0.000  -0.789895   0.029650   0.015870   0.045520  -0.000000  -0.000000  -0.125255  -0.000000  -0.000000   25.0000     0.0396
  -10.500     0.000  -0.754903   0.027093   0.015045   0.042138  -0.000000  -0.000000  -0.115031  -0.000000  -0.000000   25.0000     0.0396
  -10.000     0.000  -0.719786   0.024641   0.014311   0.038953  -0.000000  -0.000000  -0.105157  -0.000000  -0.000000   25.0000     0.0395
   -9.500     0.000  -0.684550   0.022297   0.013683   0.035980  -0.000000  -0.000000  -0.095626  -0.000000  -0.000000   25.0000     0.0395
   -9.000     0.000  -0.649200   0.020061   0.013166   0.033227  -0.000000  -0.000000  -0.086443  -0.000000  -0.000000   25.0000     0.0395
   -8.500     0.000  -0.613741   0.017936   0.012756   0.030692  -0.000000  -0.000000  -0.077615  -0.000000  -0.000000   25.0000     0.0395
   -8.000     0.000  -0.578179   0.015923   0.012428   0.028351  -0.000000  -0.000000  -0.069160  -0.000000  -0.000000   25.0000     0.0394
   -7.500     0.000  -0.542521   0.014024   0.012174   0.026198  -0.000000  -0.000000  -0.061086  -0.000000  -0.000000   25.0000     0.0394
   -7.000     0.000  -0.506772   0.012241   0.011959   0.024199  -0.000000  -0.000000  -0.053415  -0.000000  -0.000000   25.0000     0.0394
   -6.500     0.000  -0.470937   0.010574   0.011775   0.022349  -0.000000  -0.000000  -0.046154  -0.000000  -0.000000   25.0000     0.0394
   -6.000     0.000  -0.435022   0.009025   0.011604   0.020629  -0.000000  -0.000000  -0.039320  -0.000000  -0.000000   25.0000     0.0394
   -5.500     0.000  -0.399034   0.007595   0.011448   0.019044  -0.000000  -0.000000  -0.032916  -0.000000  -0.000000   25.0000     0.0394
   -5.000     0.000  -0.362978   0.006286   0.011293   0.017580  -0.000000  -0.000000  -0.026955  -0.000000  -0.000000   25.0000     0.0394
   -4.500     0.000  -0.326860   0.005098   0.011138   0.016237  -0.000000  -0.000000  -0.021439  -0.000000  -0.000000   25.0000     0.0393
   -4.000     0.000  -0.290685   0.004033   0.010982   0.015015  -0.000000  -0.000000  -0.016371  -0.000000  -0.000000   25.0000     0.0393
   -3.500     0.000  -0.254461   0.003091   0.010825   0.013916  -0.000000  -0.000000  -0.011750  -0.000000  -0.000000   25.0000     0.0393
   -3.000     0.000  -0.218193   0.002273   0.010667   0.012940  -0.000000  -0.000000  -0.007577  -0.000000  -0.000000   25.0000     0.0393
   -2.500     0.000  -0.181887   0.001580   0.010509   0.012089  -0.000000  -0.000000  -0.003855  -0.000000  -0.000000   25.0000     0.0393
   -2.000     0.000  -0.145550   0.001012   0.010360   0.011372  -0.000000  -0.000000  -0.000580  -0.000000  -0.000000   25.0000     0.0393
   -1.500     0.000  -0.109186   0.000569   0.010222   0.010791  -0.000000  -0.000000   0.002248  -0.000000   0.000000   25.0000     0.0393
   -1.000     0.000  -0.072802   0.000253   0.010112   0.010365  -0.000000  -0.000000   0.004637  -0.000000   0.000000   25.0000     0.0393
   -0.500     0.000  -0.036405   0.000063   0.010045   0.010108  -0.000000  -0.000000   0.006598  -0.000000   0.000000   25.0000     0.0393
    0.000     0.000  -0.000000   0.000000   0.010003   0.010003  -0.000000  -0.000000   0.008114  -0.000000   0.000000   25.0000     0.0883
    0.500     0.000   0.036406   0.000063   0.010045   0.010108  -0.000000   0.000000   0.009222  -0.000000   0.000000   25.0000     0.0393
    1.000     0.000   0.072808   0.000253   0.010112   0.010365   0.000000   0.000000   0.009885  -0.000000   0.000000   25.0000     0.0393
    1.500     0.000   0.109200   0.000570   0.010221   0.010791   0.000000   0.000000   0.010117  -0.000000   0.000000   25.0000     0.0393
    2.000     0.000   0.145574   0.001013   0.010360   0.011373   0.000000   0.000000   0.009908  -0.000000   0.000000   25.0000     0.0393
    2.500     0.000   0.181926   0.001582   0.010510   0.012092   0.000000   0.000000   0.009251  -0.000000   0.000000   25.0000     0.0393
    3.000     0.000   0.218249   0.002276   0.010670   0.012947   0.000000   0.000000   0.008144  -0.000000   0.000000   25.0000     0.0393
    3.500     0.000   0.254537   0.003096   0.010831   0.013927   0.000000   0.000000   0.006582  -0.000000   0.000000   25.0000     0.0393
    4.000     0.000   0.290784   0.004040   0.010987   0.015027   0.000000   0.000000   0.004562  -0.000000   0.000000   25.0000     0.0393
    4.500     0.000   0.326985   0.005108   0.011141   0.016249   0.000000   0.000000   0.002087  -0.000000   0.000000   25.0000     0.0393
    5.000     0.000   0.363132   0.006300   0.011295   0.017594   0.000000   0.000000  -0.000841  -0.000000   0.000000   25.0000     0.0393
    5.500     0.000   0.399220   0.007613   0.011449   0.019062   0.000000   0.000000  -0.004222  -0.000000   0.000000   25.0000     0.0393
    6.000     0.000   0.435243   0.009048   0.011605   0.020653   0.000000   0.000000  -0.008054  -0.000000   0.000000   25.0000     0.0394
    6.500     0.000   0.471196   0.010603   0.011775   0.022379   0.000000   0.000000  -0.012325  -0.000000  -0.000000   25.0000     0.0394
    7.000     0.000   0.507072   0.012277   0.011959   0.024237   0.000000   0.000000  -0.017033  -0.000000  -0.000000   25.0000     0.0394
    7.500     0.000   0.542865   0.014069   0.012175   0.026245   0.000000   0.000000  -0.022161  -0.000000  -0.000000   25.0000     0.0394
    8.000     0.000   0.578570   0.015978   0.012429   0.028407   0.000000   0.000000  -0.027703  -0.000000  -0.000000   25.0000     0.0394
    8.500     0.000   0.614181   0.018002   0.012760   0.030761   0.000000   0.000000  -0.033637  -0.000000  -0.000000   25.0000     0.0394
    9.000     0.000   0.649692   0.020139   0.013172   0.033311   0.000000   0.000000  -0.039957  -0.000000  -0.000000   25.0000     0.0395
    9.500     0.000   0.685097   0.022388   0.013691   0.036079   0.000000   0.000000  -0.046644  -0.000000  -0.000000   25.0000     0.0395
   10.000     0.000   0.720391   0.024748   0.014323   0.039071   0.000000   0.000000  -0.053691  -0.000000  -0.000000   25.0000     0.0395
   10.500     0.000   0.755569   0.027216   0.015059   0.042275   0.000000   0.000000  -0.061095  -0.000000  -0.000000   25.0000     0.0395
   11.000     0.000   0.790623   0.029791   0.015888   0.045679   0.000000   0.000000  -0.068863  -0.000000  -0.000000   25.0000     0.0396
   11.500     0.000   0.825550   0.032471   0.016792   0.049264   0.000000   0.000000  -0.077002  -0.000000  -0.000000   25.0000     0.0396
