Pepino_xl_goe611_wing_only_flap
T1-40.0 m/s-LLT-x0.3m
Freestream speed = 40.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -17            0     -0.23862      0.19687      0.19413    0.0027335            0   -0.0021422            0   -0.0021422  -1.1068e-18   1.2189e-18   1.2536e-18  -3.4692e-20      -1.2121     -0.59209            0      -112.25       92.607      -31.588            0      -107.72            0            0            0            0            0            0       30.855      -61.703           40      -39.524  -1.2495e-15     -0.20154   1.3761e-15      0.31303            0            0       -34.67       -24212       3704.3      0.55254    -0.074694            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -16.5            0     -0.23259      0.19153      0.18896    0.0025758            0   -0.0039974            0   -0.0039974  -1.1971e-18   9.0584e-19   9.3738e-19  -3.1538e-20      -1.2144     -0.58566            0      -109.41       90.098      -29.913            0      -105.25            0            0            0            0            0            0       30.878       -62.38           40      -39.471  -1.3515e-15     -0.37608   1.0227e-15      0.31123            0            0      -33.804       -24478       3603.9      0.55711     -0.07239            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -16            0     -0.22617      0.18598      0.18354    0.0024368            0   -0.0058801            0   -0.0058801  -1.2084e-18    7.606e-19   7.9056e-19  -2.9961e-20      -1.2161     -0.57837            0      -106.39       87.483      -28.224            0      -102.59            0            0            0            0            0            0       30.896      -63.166           40       -39.43  -1.3643e-15      -0.5532   8.5869e-16      0.30938            0            0      -32.895       -24787       3499.3      0.55684    -0.069973            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -15.5            0     -0.21965      0.18028      0.17797    0.0023135            0   -0.0076077            0   -0.0076077   -9.035e-19   1.0598e-18   1.0503e-18   9.4614e-21      -1.2184     -0.57102            0      -103.32       84.805      -26.564            0      -99.857            0            0            0            0            0            0       30.919      -63.979           40      -39.378    -1.02e-15     -0.71573   1.1965e-15       0.3076            0            0      -31.985       -25106       3392.2      0.55319    -0.067565            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -15            0     -0.21287      0.17442      0.17222    0.0022033            0   -0.0089146            0   -0.0089146  -2.7105e-19   1.0902e-19   7.9056e-20   2.9961e-20      -1.2204     -0.56308            0      -100.13       82.047      -24.915            0       -96.99            0            0            0            0            0            0        30.94      -64.882           40      -39.331  -3.0601e-16     -0.83869   1.2308e-16      0.30613            0            0      -31.081       -25460       3281.9      0.54553    -0.065166            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -14.5            0      -0.2057      0.16836      0.16626    0.0020984            0    -0.010287            0    -0.010287   -1.423e-18   5.1425e-19   5.3081e-19  -1.6558e-20      -1.2218     -0.55413            0      -96.762       79.197      -23.272            0      -93.927            0            0            0            0            0            0       30.954      -65.929           40      -39.299  -1.6065e-15     -0.96782   5.8057e-16      0.30443            0            0      -30.129       -25871       3167.9      0.53486    -0.062622            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -14            0      -0.1984      0.16211      0.16013    0.0019854            0    -0.011601            0    -0.011601  -1.7167e-18   6.6791e-19   6.6633e-19   1.5769e-21      -1.2239     -0.54514            0      -93.329       76.257      -21.672            0      -90.782            0            0            0            0            0            0       30.975      -67.017           40      -39.252   -1.938e-15      -1.0914   7.5404e-16      0.30271            0            0      -29.177       -26297       3050.3      0.52591    -0.060059            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -13.5            0     -0.19204       0.1555       0.1536     0.001905            0    -0.012283            0    -0.012283  -1.6715e-18    5.027e-19   5.0822e-19  -5.5192e-21       -1.235     -0.54118            0      -90.335       73.148      -20.217            0      -88.048            0            0            0            0            0            0       31.086      -67.506           40      -38.999   -1.887e-15      -1.1556   5.6753e-16      0.30161            0            0      -28.369       -26490       2925.9       0.5135     -0.05792            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -13            0     -0.18583      0.14864      0.14681    0.0018318            0    -0.012577            0    -0.012577  -1.3327e-18   7.0021e-19   7.0021e-19            0      -1.2502     -0.53894            0      -87.414       69.919      -18.824            0      -85.368            0            0            0            0            0            0       31.237      -67.787           40      -38.655  -1.5045e-15      -1.1832   7.9051e-16      0.30095            0            0      -27.599       -26600       2796.8      0.50006    -0.055926            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -12.5            0     -0.17765      0.14176      0.14008    0.0016805            0    -0.014039            0    -0.014039  -1.8409e-18   3.3907e-19   3.5011e-19  -1.1038e-20      -1.2532     -0.52822            0      -83.568       66.682      -17.316            0      -81.758            0            0            0            0            0            0       31.266      -69.163           40      -38.588  -2.0783e-15      -1.3207   3.8279e-16       0.2986            0            0      -26.499       -27140       2667.3      0.49816    -0.053048            0            0            0            0            0            0            0            0            0           40        0.325            0  
